DateTime,AddedIPs,RemovedIPs
1516446888,4,10
1516450490,14,6
1516454070,8,3
1516457681,5,8
1516461277,6,3
1516464930,1,16
1516468523,2,8
1516472096,7,21
1516475691,30,3
1516479326,2,4
1516482898,9,6
1516486488,14,3
1516490085,4,5
1516493779,32,2
1516497341,5,5
1516500885,7,20
1516504564,2,36
1516508070,24,8
1516511728,1,8
1516515299,14,8
1516518901,9,2
1516522510,10,2
1516526077,6,2
1516529705,2,5
1516533248,3,7
1516536926,3,4
1516540483,9,7
1516544109,5,5
1516547740,6,6
1516551295,2,6
1516554879,4,8
1516558526,5,6
1516562140,3,11
1516565711,14,5
1516569303,4,6
1516572942,8,11
1516576515,8,8
1516580112,33,10
1516583708,5,6
1516587276,14,10
1516590874,8,29
1516594525,3,11
1516598112,7,11
1516601679,12,6
1516605295,2,5
1516608912,4,2
1516612488,5,6
1516616079,7,15
1516619694,8,18
1516623324,18,7
1516626854,13,4
1516630514,2,5
1516634138,4,5
1516637691,5,3
1516641282,3,20
1516644926,7,4
1516648509,12,5
1516652110,5,12
1516655688,6,3
1516659258,12,1
1516662973,4,10
1516666522,24,4
1516670071,8,4
1516673695,4,4
1516677268,5,13
1516680842,5,27
1516684472,9,10
1516688071,18,3
1516691658,5,10
1516695288,9,9
1516698844,5,14
1516702497,8,14
1516706065,18,5
1516709688,12,14
1516713266,15,6
1516716908,14,7
1516720461,13,8
1516724093,11,10
1516727660,12,9
1516731255,8,13
1516734887,10,1
1516738478,10,8
1516742093,9,6
1516745681,7,1
1516749283,0,5
1516752871,19,15
1516756464,8,18
1516760064,12,28
1516763681,14,30
1516767252,6,11
1516770872,19,5
1516774444,7,7
1516778098,9,7
1516781722,2,12
1516785290,16,11
1516788882,16,8
1516792440,5,5
1516796106,18,7
1516799666,15,6
1516803290,8,9
1516806896,4,9
1516810496,14,7
1516814079,7,8
1516817667,8,7
1516821265,1,9
1516824880,3,6
1516828464,4,26
1516832117,14,13
1516835669,10,12
1516839324,28,5
1516842897,31,6
1516846526,5,4
1516850070,4,21
1516853712,4,11
1516857310,5,28
1516860881,28,5
1516864485,13,4
1516868126,4,3
1516871697,6,8
1516875253,5,12
1516882470,7,17
1516886096,4,6
1516889692,21,15
1516893298,9,4
1516896871,10,4
1516900476,11,4
1516904128,6,11
1516907683,10,3
1516911301,1,6
1516914899,7,5
1516918483,6,6
1516922047,6,17
1516925731,21,5
1516929321,7,20
1516932913,7,11
1516936488,13,21
1516940074,17,5
1516943706,4,12
1516947277,8,4
1516950891,6,6
1516954497,6,18
1516958113,15,8
1516961677,6,5
1516965295,3,15
1516968885,26,7
1516972483,5,4
1516976109,5,8
1516979646,10,1
1516983271,5,5
1516986878,7,3
1516990468,3,3
1516994094,6,6
1516997706,3,11
1517001272,6,6
1517004861,7,14
1517008444,15,8
1517012104,32,5
1517015720,5,4
1517019274,7,8
1517022895,2,42
1517026518,8,22
1517030070,12,6
1517033687,7,9
1517037304,10,4
1517040923,5,24
1517044658,34,7
1517048082,10,5
1517051720,5,10
1517055312,24,7
1517058906,7,12
1517062474,16,6
1517066130,11,2
1517069670,6,8
1517073290,5,7
1517076882,4,14
1517080483,10,8
1517084092,11,11
1517087684,11,0
1517091272,7,4
1517094861,3,9
1517098551,23,8
1517102138,10,8
1517105697,12,6
1517109295,8,23
1517112933,6,10
1517116536,11,8
1517120088,9,5
1517123694,6,12
1517127297,10,6
1517130901,7,10
1517134489,8,3
1517138116,1,5
1517141680,4,3
1517145280,2,20
1517148930,6,21
1517152466,26,7
1517156098,10,8
1517159686,12,5
1517163314,15,6
1517166897,5,8
1517170506,7,5
1517174115,4,11
1517177684,9,7
1517181296,6,6
1517185004,21,7
1517188583,12,3
1517192175,4,11
1517195726,12,29
1517199348,6,14
1517202960,16,18
1517206524,12,5
1517210159,6,9
1517213758,8,8
1517217384,12,21
1517220931,6,12
1517224525,22,6
1517228149,12,12
1517231763,3,12
1517235359,13,2
1517238939,7,9
1517242549,6,9
1517246155,5,5
1517249727,11,6
1517253348,3,17
1517256944,11,11
1517260564,15,4
1517264154,7,10
1517267731,15,7
1517271377,29,4
1517274918,2,11
1517278558,13,6
1517282156,4,30
1517285730,7,7
1517289368,3,12
1517292943,9,10
1517296515,9,13
1517300111,11,3
1517303735,6,10
1517307299,12,19
1517310904,24,8
1517314633,21,7
1517318097,6,11
1517321769,6,9
1517325338,3,6
1517328938,3,12
1517332546,6,13
1517336136,16,19
1517339713,17,4
1517343313,2,3
1517346924,7,4
1517350534,6,8
1517354135,3,18
1517357794,45,10
1517361345,14,16
1517364905,16,7
1517368496,6,21
1517372133,6,25
1517375691,7,8
1517379305,19,14
1517382884,25,6
1517386555,9,3
1517390158,5,5
1517393691,6,4
1517397284,5,6
1517400929,6,8
1517404509,4,6
1517408134,2,10
1517411706,5,19
1517415337,3,24
1517418935,29,20
1517422516,14,2
1517426100,7,6
1517429736,8,5
1517440529,2,27
1517444196,25,21
1517447740,14,8
1517451342,12,5
1517454942,12,25
1517458558,22,8
1517462137,10,7
1517465723,8,5
1517469324,13,2
1517472972,2,7
1517476502,9,13
1517480164,11,5
1517501741,15,16
1517505350,4,12
1517508928,10,7
1517512550,6,22
1517516125,25,12
1517519734,7,4
1517523312,7,2
1517545017,21,3
1517559341,11,15
1517562962,12,21
1517570152,8,18
1517573713,6,4
1517681749,37,44
1517707015,54,24
1517710465,16,9
1517750108,27,55
1517760907,6,21
1517772043,6,16
1517778921,38,18
1517786183,14,3
1517789746,21,4
1517804132,23,12
1517850891,16,26
1517854520,10,24
1517858091,18,16
1517872609,6,18
1517876165,25,10
1517879726,15,21
1517883422,27,25
1517890646,6,28
1517894131,8,1
1517901361,3,4
1517904973,3,5
1517908553,4,2
1517912111,12,14
1517922895,5,11
1517926496,6,16
1517930076,17,18
1517933715,7,14
1517937293,5,6
1517940867,9,7
1517944466,10,44
1517948072,10,14
1517951698,35,5
1517955280,14,8
1517962522,40,10
1517966085,10,15
1517969641,8,11
1517973285,6,36
1517976889,32,9
1517980458,8,15
1517991305,31,11
1517994975,8,7
1517998475,7,9
1518002129,8,7
1518005664,9,13
1518009945,0,6
1518013534,0,15
1518017138,0,42
1518092133,31,213
1518110044,146,0
1518113626,36,0
1518117298,35,0
1518135318,31,12
1518138837,38,13
1518142440,20,13
1518146058,4,22
1518160492,29,30
1518214652,19,51
1518257627,66,34
1518261244,5,23
1518264930,5,6
1518268464,11,10
1518272048,2,28
1518275718,16,8
1518279209,15,2
1518286432,11,30
1518293588,24,7
1518297290,21,13
1518304433,12,23
1518308065,30,6
1518311631,4,26
1518315413,47,5
1518322384,9,29
1518326078,3,4
1518329651,4,29
1518340475,19,58
1518344088,5,4
1518347650,39,9
1518351322,5,9
1518354832,20,7
1518358476,24,4
1518365650,10,14
1518369253,6,7
1518372843,12,6
1518376435,8,5
1518380026,11,13
1518383689,13,6
1518387256,2,4
1518390849,5,6
1518394471,17,14
1518398130,8,14
1518405202,15,10
1518412417,20,32
1518416043,10,6
1518419613,15,7
1518423410,4,5
1518426816,5,14
1518430448,8,11
1518433999,14,3
1518437661,8,3
1518441274,6,1
1518444795,4,3
1518448414,3,46
1518452058,3,12
1518459223,34,9
1518466465,3,9
1518470083,28,5
1518473623,8,10
1518477198,7,1
1518480887,23,0
1518491577,17,53
1518502469,20,34
1518506011,19,16
1518516834,32,14
1518549217,28,29
1518585254,42,25
1518599617,22,54
1518646392,34,47
1518650066,9,7
1518653728,25,21
1518664429,31,7
1518668043,5,27
1518693203,19,37
1518696865,12,23
1518700426,22,9
1518704019,24,6
1518707578,20,11
1518711224,8,9
1518714850,5,9
1518721996,10,12
1518725631,24,13
1518736453,22,12
1518743626,41,37
1518754394,20,19
1518804786,26,60
1518826428,41,28
1518830010,28,8
1518833616,12,11
1518858833,28,69
1518862455,13,15
1518880664,62,15
1518898515,10,18
1518905627,12,17
1518909209,22,18
1518912861,21,5
1518916422,20,11
1518920023,10,7
1518923654,4,43
1518927211,24,5
1518930838,7,23
1518934453,2,9
1518938029,13,9
1518941612,12,25
1518945224,16,9
1518948843,24,4
1518952425,14,7
1518956013,8,6
1518959672,3,9
1518963286,7,19
1518966835,15,14
1518970437,25,7
1518974026,5,4
1518977604,5,3
1518981205,6,9
1518984883,3,54
1518988430,22,6
1518992008,39,8
1518995678,3,6
1518999306,29,3
1519002846,8,8
1519006446,4,60
1519010015,15,34
1519013684,15,7
1519017257,19,6
1519020818,21,13
