DateTime,AddedIPs,RemovedIPs
1516500472,2,7
1516504118,0,3
1516507668,6,2
1516511301,0,2
1516514871,7,1
1516518460,3,0
1516525651,2,0
1516529295,0,1
1516532844,1,0
1516540057,0,3
1516543696,1,0
1516547299,0,3
1516550877,1,0
1516554467,1,3
1516558082,0,1
1516561703,1,1
1516565276,2,1
1516568878,0,3
1516572495,3,1
1516576076,0,1
1516579693,3,2
1516583287,1,0
1516586853,1,5
1516590464,0,8
1516594093,1,0
1516597689,1,2
1516601265,1,1
1516608480,0,1
1516612083,0,2
1516615657,3,3
1516626456,1,0
1516637279,2,0
1516640863,1,1
1516651667,0,1
1516658855,4,0
1516662511,1,0
1516669648,1,0
1516676849,0,1
1516680447,0,6
1516684044,4,0
1516687643,1,0
1516691251,1,1
1516694838,0,1
1516698441,0,3
1516702060,1,2
1516705645,2,0
1516709257,1,0
1516712849,3,0
1516716467,3,0
1516723629,4,1
1516727244,1,3
1516730833,3,4
1516734444,0,1
1516738051,6,3
1516741636,5,1
1516745269,1,0
1516752464,1,4
1516756045,0,10
1516759643,1,3
1516763242,1,4
1516766831,1,2
1516770444,3,1
1516774059,4,0
1516777641,1,0
1516781275,0,2
1516784855,3,2
1516788456,3,3
1516792044,1,1
1516795649,5,0
1516799244,7,1
1516802835,3,1
1516806460,1,0
1516810050,2,1
1516813629,1,2
1516817248,1,5
1516820845,0,3
1516824451,2,2
1516828048,0,10
1516831674,0,2
1516835259,1,2
1516838903,3,1
1516842455,13,0
1516846089,1,0
1516849659,3,0
1516853292,0,3
1516856864,2,9
1516860450,8,0
1516864043,6,1
1516867693,1,0
1516871274,2,0
1516874845,1,1
1516882069,0,8
1516885659,0,1
1516889249,11,2
1516892875,0,2
1516896445,0,3
1516900047,2,0
1516903696,0,5
1516907257,3,0
1516914456,1,1
1516918069,1,0
1516921648,0,7
1516925287,1,0
1516928877,0,8
1516932470,1,4
1516936061,5,2
1516939625,5,2
1516943281,2,0
1516950449,1,3
1516954045,3,7
1516957661,1,1
1516961258,3,0
1516968444,6,1
1516972051,0,1
1516975674,2,0
1516979239,1,0
1516982840,1,2
1516986455,1,0
1516993653,0,1
1516997249,0,4
1517000853,0,3
1517004429,3,1
1517008039,5,2
1517011687,3,1
1517015256,1,1
1517018856,0,2
1517022470,0,5
1517026080,0,5
1517029652,3,1
1517033254,2,1
1517036857,0,1
1517044062,6,2
1517047654,2,2
1517051267,1,1
1517054853,7,0
1517058473,0,4
1517062040,5,2
1517065664,4,0
1517069227,2,2
1517072843,1,0
1517076453,0,4
1517080060,4,1
1517083673,0,1
1517087256,1,0
1517090857,2,1
1517094431,0,7
1517098086,4,3
1517101699,1,2
1517105236,4,3
1517108839,5,0
1517112478,0,2
1517116060,2,2
1517119663,2,3
1517123255,1,4
1517126842,8,1
1517130448,2,0
1517134050,1,1
1517137660,0,2
1517141277,0,1
1517144847,0,9
1517152043,3,2
1517155639,3,1
1517159255,3,0
1517162847,3,1
1517166470,1,1
1517170067,2,0
1517173667,0,5
1517177231,6,2
1517180846,0,1
1517184531,1,2
1517188135,3,0
1517195270,4,2
1517198907,0,2
1517202483,2,4
1517206068,1,0
1517209695,1,1
1517216915,2,4
1517220492,0,1
1517224080,4,1
1517227683,1,0
1517231299,0,1
1517234909,2,0
1517238490,1,3
1517242094,3,3
1517245701,1,0
1517249291,1,1
1517252884,0,3
1517256487,2,2
1517260102,7,0
1517263694,0,2
1517267281,4,0
1517270914,3,1
1517274479,0,1
1517278095,0,3
1517281699,1,11
1517285267,1,3
1517288896,0,4
1517292520,3,0
1517296091,0,5
1517299666,2,1
1517303279,2,0
1517306871,4,1
1517310464,10,0
1517314189,2,0
1517317674,2,0
1517321297,0,1
1517324886,0,1
1517328492,1,5
1517332076,0,7
1517335672,10,2
1517346480,2,0
1517350108,0,3
1517353708,0,1
1517357330,2,2
1517360877,2,6
1517364474,2,0
1517368078,2,0
1517371692,1,4
1517375270,2,2
1517378873,0,1
1517382466,7,1
1517386093,1,0
1517389690,0,1
1517393249,1,0
1517396849,1,0
1517400481,2,1
1517404069,1,0
1517407684,0,1
1517411264,0,2
1517414894,0,3
1517418484,3,3
1517422068,2,0
1517425673,1,0
1517432889,0,6
1517440091,0,3
1517443741,2,7
1517447303,2,0
1517450887,3,2
1517454485,1,1
1517458092,3,2
1517465269,6,1
1517468872,7,0
1517476080,4,1
1517483361,5,1
1517501280,2,0
1517504902,0,3
1517512098,0,4
1517515685,1,6
1517519270,2,1
1517522868,5,0
1517544494,4,0
1517548083,7,1
1517551714,1,1
1517558889,0,4
1517562477,5,0
1517569705,1,9
1517573282,3,2
1517602061,4,1
1517605655,2,8
1517656128,0,5
1517663320,0,8
1517681271,1,9
1517695665,6,7
1517706537,17,0
1517710043,7,0
1517720850,2,0
1517760474,0,4
1517771374,0,3
1517774909,4,6
1517778456,6,0
1517782075,3,0
1517785715,2,0
1517789317,2,1
1517792926,7,0
1517803693,1,6
1517850456,4,3
1517854100,2,3
1517857693,3,3
1517872182,0,2
1517875734,3,3
1517879297,1,2
1517882971,6,18
1517890216,1,0
1517893694,1,0
1517904520,0,2
1517911666,7,4
1517922470,0,2
1517926074,0,2
1517929655,1,11
1517933262,1,1
1517936863,1,0
1517944051,0,4
1517947669,0,1
1517951260,4,1
1517954864,3,0
1517958458,6,0
1517962082,1,0
1517965655,0,1
1517969254,0,2
1517972861,0,5
1517976470,8,0
1517980052,2,1
1517987229,4,1
1517990862,3,1
1517994452,1,2
1518001673,4,0
1518005246,0,4
1518012491,0,2
1518016094,0,3
1518019658,0,28
1518098871,7,0
1518109661,14,0
1518113249,4,0
1518116850,7,0
1518134899,0,2
1518138460,10,3
1518142043,7,6
1518145662,0,1
1518152907,0,10
1518156500,6,19
1518160078,19,1
1518170907,1,0
1518178090,11,1
1518188926,0,23
1518206981,0,15
1518210504,1,1
1518214119,18,0
1518235734,0,2
1518242919,6,0
1518246545,10,0
1518257255,6,14
1518268077,2,0
1518271664,0,7
1518275242,2,2
1518278846,7,0
1518286050,5,4
1518293231,2,1
1518296839,3,3
1518300494,0,6
1518304046,1,0
1518307659,1,1
1518311263,1,4
1518314921,4,3
1518318485,4,0
1518322021,0,2
1518325679,0,1
1518329262,0,3
1518332883,1,3
1518340066,2,11
1518343691,1,0
1518347263,9,0
1518354474,1,1
1518358091,11,0
1518365258,0,2
1518368865,0,1
1518372445,2,0
1518376053,3,0
1518379640,2,1
1518383312,1,0
1518386866,0,1
1518390469,0,3
1518394090,1,4
1518397692,0,5
1518401248,2,0
1518404842,4,4
1518408439,4,0
1518412044,4,0
1518415660,1,0
1518419238,0,1
1518422899,1,0
1518426439,0,6
1518430071,2,3
1518433633,5,2
1518437264,3,1
1518444439,1,0
1518448045,0,6
1518451646,0,1
1518455240,2,2
1518458845,5,0
1518466073,0,1
1518469649,4,2
1518473247,0,6
1518476838,4,0
1518480490,3,0
1518484042,4,0
1518487664,0,5
1518491214,7,4
1518494865,1,2
1518498462,0,7
1518502091,5,0
1518505637,2,3
1518509247,9,0
1518512888,2,0
1518516435,0,1
1518520039,2,5
1518530887,0,2
1518534478,0,12
1518548828,2,4
1518556038,10,9
1518559683,7,0
1518584855,8,0
1518588454,1,0
1518592125,0,7
1518599225,2,10
1518602902,2,7
1518606552,0,1
1518624433,4,3
1518638907,0,7
1518646021,7,0
1518653310,1,4
1518664051,4,0
1518667658,0,6
1518674940,3,0
1518678506,0,1
1518692821,2,6
1518696475,0,2
1518700034,11,0
1518703641,6,1
1518707232,4,0
1518714448,0,2
1518721627,0,3
1518725241,4,3
1518728827,2,1
1518739677,2,0
1518743244,2,7
1518750422,4,1
1518754026,2,0
1518764864,2,1
1518779268,0,3
1518782855,0,3
1518786514,8,0
1518793686,0,4
1518797261,2,0
1518800848,0,5
1518804421,0,3
1518811747,0,5
1518826033,7,7
1518829640,10,2
1518833245,5,3
1518836857,1,0
1518854865,3,4
1518858473,0,12
1518862061,2,7
1518869276,9,0
1518876474,13,1
1518880084,4,1
