DateTime,AddedIPs,RemovedIPs
1513001111,1,0
1513008298,0,1
1513011896,1,0
1513029906,0,1
1513037151,1,0
1513040705,0,1
1513044304,1,0
1513051511,0,3
1513055097,2,0
1513058715,1,0
1513094709,0,1
1513098301,1,0
1513101907,0,1
1513105499,1,0
1513116298,0,1
1513119907,1,3
1513123537,2,0
1513127084,1,1
1513134291,1,0
1513137894,0,1
1513141494,0,1
1513145090,2,0
1513152289,0,1
1513163101,1,0
1513191883,0,1
1513195498,1,0
1513206288,0,1
1513209920,0,1
1513213484,1,0
1513217084,1,0
1513220665,0,3
1513224301,3,0
1513231483,0,1
1513235095,1,0
1513256691,0,1
1513263899,1,0
1513274683,0,2
1513278335,1,0
1513281921,0,1
1513285497,1,0
1513299894,0,1
1513303498,1,1
1513310694,1,0
1513328688,0,1
1513335886,1,0
1513368284,0,1
1513379099,1,0
1513447482,0,1
1513458283,1,0
1513483494,0,3
1513487078,3,0
1513526685,0,1
1513530287,1,0
1513638321,0,1
1513645513,1,0
1513757129,0,1
1513760709,1,0
1513782317,1,0
1513793114,0,1
1513796712,1,0
1513897521,0,1
1513901144,1,0
1513915511,0,1
1513919117,1,0
1513951497,0,1
1513955108,1,0
1514185488,0,1
1514189095,0,1
1514192695,2,0
1514243085,0,1
1514246729,1,0
1514300694,0,1
1514311494,1,0
1514420119,0,1
1514423435,0,1
1514430509,0,2
1514434122,0,9
1514437597,0,28
1514477459,28,0
1514481045,7,0
1514484676,3,0
1514488256,2,0
1514491887,0,1
1514495430,1,0
1514499001,1,0
1514509874,0,1
1514517146,1,0
1514520724,0,1
1514538718,1,0
1514542314,0,1
1514553091,0,1
1514560292,2,0
1514596269,0,1
1514599909,1,2
1514603520,1,0
1514607154,0,1
1514610749,1,0
1514614293,0,1
1514621529,1,0
1514657106,1,0
1514700273,45,0
1514703861,8,0
1514707479,4,0
1514721943,0,1
1514725544,0,1
1514729134,2,2
1514732714,1,1
1514736338,1,0
1514743471,1,0
1514750758,0,1
1514754352,0,2
1514758207,1,10
1514761658,9,5
1514765688,8,0
1514776166,0,1
1514783358,1,1
1514786867,1,0
1514801217,0,1
1514804817,1,0
1514808350,1,2
1514811995,0,2
1514815466,1,2
1514819256,2,1
1514822854,2,2
1514826668,4,1
1514830017,1,0
1514833667,0,1
1514837454,1,0
1514840832,0,2
1514848104,0,1
1514851909,2,0
1514855326,0,3
1514858939,3,2
1514862518,0,1
1514866113,1,1
1514869655,1,1
1514873250,3,2
1514876826,1,0
1514880490,0,2
1514883991,0,1
1514887474,4,0
1514891237,0,1
1514894809,0,1
1514898524,2,0
1514905762,0,1
1514909349,1,1
1514912872,0,2
1514916497,1,1
1514920011,3,1
1514923699,0,1
1514927344,1,0
1514930751,0,3
1514934510,1,1
1514938313,1,0
1514941466,3,1
1514945243,0,1
1514955974,1,1
1514959629,2,0
1514963140,0,3
1514966755,2,2
1514970241,3,0
1514973942,0,1
1514977456,1,0
1514984745,0,2
1514988346,2,0
1514991851,1,2
1514995496,2,1
1515002648,1,1
1515038901,1,0
1515042497,0,1
1515045983,1,1
1515049717,0,1
1515053269,1,0
1515056756,1,0
1515060534,0,2
1515064011,1,0
1515067585,0,3
1515071253,1,0
1515074838,2,0
1515081858,0,1
1515089209,1,2
1515092768,2,0
1515096427,1,0
1515099981,0,2
1515103544,0,2
1515107162,3,2
1515111049,2,1
1515114473,1,2
1515118024,4,0
1515121675,0,3
1515125296,2,0
1515128845,1,1
1515132446,0,2
1515135999,2,0
1515139680,1,2
1515143140,2,3
1515146657,3,0
1515182746,0,2
1515186380,1,0
1515193607,0,2
1515197571,2,1
1515200834,0,1
1515204441,3,0
1515211684,1,1
1515215279,1,1
1515218860,1,3
1515222446,1,1
1515226031,0,4
1515229599,5,2
1515236893,0,1
1515240516,1,2
1515243846,5,0
1515269508,0,3
1515273116,1,1
1515276710,1,5
1515280295,4,0
1515284121,1,1
1515291046,0,1
1515294627,2,2
1515298200,3,0
1515301818,1,2
1515305426,1,0
1515309011,0,1
1515312605,0,2
1515316196,1,0
1515319537,1,2
1515323052,1,1
1515326657,4,1
1515330253,1,0
1515333941,0,1
1515344810,1,1
1515348490,0,1
1515352032,0,3
1515355667,3,2
1515359268,1,3
1515362881,3,1
1515370263,1,0
1515373764,2,1
1515377373,0,2
1515380984,4,2
1515384588,1,1
1515391766,1,1
1515395351,0,2
1515398928,3,1
1515402530,0,2
1515406146,1,1
1515409739,1,0
1515413316,1,1
1515416952,1,3
1515420523,1,2
1515424117,1,1
1515427533,1,0
1515431340,3,0
1515434959,0,2
1515438550,3,1
1515441856,1,1
1515445736,2,2
1515449390,2,0
1515456855,0,4
1515460177,1,2
1515463762,3,1
1515467358,0,6
1515470953,5,0
1515474540,1,0
1515478114,1,3
1515481549,2,4
1515485068,4,1
