DateTime,Entries,UniqueIPs
1518113074,18076,18076
1518114981,16204,16204
1518116887,16198,16198
1518118776,16218,16218
1518120729,16254,16254
1518122541,16188,16188
1518124606,16268,16268
1518126722,16343,16343
1518128921,16392,16392
1518130966,16415,16415
1518132911,16624,16624
1518134943,16611,16611
1518136846,16625,16625
1518138982,16597,16597
1518140907,16619,16619
1518143002,16609,16609
1518144970,16591,16591
1518146806,16577,16577
1518149073,16601,16601
1518151023,16619,16619
1518152906,16603,16603
1518155094,16587,16587
1518157048,16599,16599
1518158918,16611,16611
1518160838,16570,16570
1518162744,16635,16635
1518164681,16673,16673
1518166584,16599,16599
1518168501,16625,16625
1518170457,16615,16615
1518172362,16649,16649
1518174269,16648,16648
1518176186,16702,16702
1518178126,16706,16706
1518180023,16660,16660
1518181828,14947,14947
1518183853,12951,12951
1518185797,12958,12958
1518187964,12200,12200
1518190116,10215,10215
1518192068,9679,9679
1518194181,9678,9678
1518196121,9695,9695
1518198011,9695,9695
1518199939,9669,9669
1518202100,9490,9490
1518204035,9515,9515
1518205941,9413,9413
1518207878,9441,9441
1518209777,9386,9386
1518211721,9319,9319
1518213869,9389,9389
1518215775,9343,9343
1518217962,9332,9332
1518220117,9159,9159
1518222050,9159,9159
1518223942,9171,9171
1518225884,9146,9146
1518227778,9105,9105
1518229969,9057,9057
1518231865,9051,9051
1518234045,9081,9081
1518235965,9088,9088
1518237884,9067,9067
1518239992,9074,9074
1518241952,9087,9087
1518244002,9084,9084
1518246041,9039,9039
1518247879,9020,9020
1518249853,8780,8780
1518251729,8751,8751
1518253944,8712,8712
1518256145,8593,8593
1518258022,10506,10506
1518259959,12670,12670
1518261858,13001,13001
1518263897,12905,12905
1518265700,12910,12910
1518267705,12949,12949
1518269566,12942,12942
1518271722,12858,12858
1518273645,12578,12578
1518275830,12528,12528
1518277946,12481,12481
1518279883,12450,12450
1518281778,12429,12429
1518283719,12387,12387
1518285658,12370,12370
1518287838,12340,12340
1518289717,12254,12254
1518291649,12273,12273
1518293565,12254,12254
1518295490,12259,12259
1518297398,12236,12236
1518299814,12137,12137
1518301707,12013,12013
1518303674,11993,11993
1518305994,11915,11915
1518307998,11908,11908
1518309884,11905,11905
1518311822,11896,11896
1518313723,11916,11916
1518315903,11879,11879
1518317799,12327,12327
1518319732,12356,12356
1518322850,12271,12271
1518324756,12239,12239
1518326913,12315,12315
1518329804,12399,12399
1518331964,12533,12533
1518333875,12533,12533
1518335804,12521,12521
1518337955,12487,12487
1518339914,12600,12600
1518341804,12595,12595
1518343752,11416,11416
1518345639,9231,9231
1518347577,8070,8070
1518349481,8066,8066
1518351585,8050,8050
1518354052,7979,7979
1518355968,7945,7945
1518357883,7981,7981
1518359797,7990,7990
1518361933,7982,7982
1518363860,8032,8032
1518365700,8245,8245
1518367714,12423,12423
1518369745,12725,12725
1518371560,12748,12748
1518373772,12738,12738
1518376612,12748,12748
1518378534,12696,12696
1518380445,12718,12718
1518382585,12652,12652
1518384523,12660,12660
1518386498,12652,12652
1518388363,12687,12687
1518390820,12693,12693
1518392860,12693,12693
1518395081,12713,12713
1518396972,14542,14542
1518398894,15721,15721
1518401284,15882,15882
1518403465,15443,15443
1518405392,15442,15442
1518407300,15389,15389
1518409253,15401,15401
1518411153,15446,15446
1518413326,15424,15424
1518416191,15306,15306
1518418384,15231,15231
1518420264,15228,15228
1518422479,15241,15241
1518424348,18712,18712
1518426524,19039,19039
1518428516,19078,19078
1518430383,19090,19090
1518432504,18991,18991
1518435007,19013,19013
1518437087,19024,19024
1518439231,19070,19070
1518441157,19057,19057
1518443075,19159,19159
1518445008,19159,19159
1518446926,19160,19160
1518449064,19134,19134
1518450988,19206,19206
1518452911,17237,17237
1518455065,14781,14781
1518456978,14540,14540
1518458930,14571,14571
1518460946,14577,14577
1518462762,14582,14582
1518464686,14606,14606
1518466591,14606,14606
1518469508,14621,14621
1518471645,14637,14637
1518473580,14643,14643
1518475452,14634,14634
1518477411,14704,14704
1518479570,14724,14724
1518481457,14714,14714
1518483653,12909,12909
1518485567,11845,11845
1518487487,11809,11809
1518489618,11821,11821
1518491559,11823,11823
1518493452,11785,11785
1518495390,12379,12379
1518497292,12428,12428
1518499228,12497,12497
1518501129,12529,12529
1518503074,12507,12507
1518504977,12569,12569
1518506924,12551,12551
1518509914,11924,11924
1518511927,8515,8515
1518513775,8510,8510
1518515715,8557,8557
1518517681,8717,8717
1518520609,8723,8723
1518522415,8751,8751
1518524436,8755,8755
1518526247,8774,8774
1518528057,8828,8828
1518530341,8730,8730
1518532145,8775,8775
1518534230,8816,8816
1518536423,8793,8793
1518538357,8762,8762
1518540271,8836,8836
1518542210,9812,9812
1518544123,9822,9822
1518546033,9809,9809
1518547950,9850,9850
1518549874,9895,9895
1518551800,9897,9897
1518553713,9887,9887
1518555661,9885,9885
1518557794,9858,9858
1518559706,9876,9876
1518561894,9882,9882
1518563795,9904,9904
1518566388,11424,11424
1518569231,12817,12817
1518571498,12843,12843
1518573394,12844,12844
1518575353,12876,12876
1518577823,12898,12898
1518579636,12914,12914
1518581755,12426,12426
1518583688,12447,12447
1518585625,12387,12387
1518587558,12387,12387
1518589416,12574,12574
1518591668,12619,12619
1518593810,12697,12697
1518595693,12734,12734
1518597886,12815,12815
1518599806,12849,12849
1518601730,12859,12859
1518603757,12748,12748
1518605569,12734,12734
1518607463,12725,12725
1518609399,12737,12737
1518611296,12729,12729
1518613228,12710,12710
1518615130,12683,12683
1518617091,12681,12681
1518619217,12697,12697
1518621169,12771,12771
1518623058,12857,12857
1518625221,12897,12897
1518627156,12960,12960
1518629087,13211,13211
1518631000,13426,13426
1518632924,13630,13630
1518634855,13598,13598
1518636987,13784,13784
1518638926,13854,13854
1518641077,13938,13938
1518643009,13967,13967
1518644932,13988,13988
1518646839,13975,13975
1518648938,13982,13982
1518650917,14017,14017
1518653011,14045,14045
1518655016,14078,14078
1518656914,14103,14103
1518659079,14149,14149
1518661251,14161,14161
1518663157,14200,14200
1518665321,14340,14340
1518668213,14471,14471
1518670375,14550,14550
1518672282,14605,14605
1518675402,12587,12587
1518677568,11419,11419
1518679472,11434,11434
1518681402,11594,11594
1518683291,11775,11775
1518686208,11760,11760
1518688128,11789,11789
