DateTime,AddedIPs,RemovedIPs
1517896575,0,1
1517898532,1,1
1517900458,1,1
1517902342,1,1
1517904267,1,0
1517906204,68,2
1517908098,62,3
1517910016,67,0
1517911941,1,1
1517913882,0,2
1517916392,1,0
1517918250,0,1
1517920106,1,1
1517922204,1,0
1517924179,1,2
1517926000,0,3
1517928009,1,1
1517934516,0,1
1517937621,0,1
1517941534,2,2
1517943376,1,0
1517945365,0,3
1517947263,0,1
1517951067,1,0
1517953040,1,1
1517954909,0,1
1517956912,1,0
1517960736,0,1
1517962595,2,22
1517964605,1,17
1517966437,0,1
1517968436,1,1
1517970258,1,2
1517972281,2,3
1517976131,0,1
1517977949,1,2
1517979983,1,2
1517981812,0,3
1517983822,1,2
1517985624,0,2
1517987597,2,2
1517989487,1,1
1517991462,1,42
1517993301,1,41
1517995297,0,112
1517997142,0,40
1517999143,1,1
1518000977,1,1
1518002987,1,1
1518006805,1,1
1518008668,0,2
1518010661,0,1
1518012681,0,1
1518014682,0,1
1518016847,0,1
1518020887,1,1
1518022828,1,0
1518024836,1,1
1518026659,0,1
1518028570,0,2
1518030534,1,1
1518036742,0,1
1518038675,1,0
1518040578,3,1
1518044707,2,2
1518046733,1,0
1518049107,0,1
1518050908,0,1
1518056201,1,2
1518058116,1,1
1518060040,1,1
1518065776,4,1
1518067949,1,1
1518069871,0,1
1518071813,3,0
1518073728,0,1
1518075616,2,0
1518077547,1,3
1518079473,1,0
1518081295,1,2
1518087133,1,1
1518089051,1,0
1518091003,2,0
1518093328,1,1
1518095542,12,0
1518097455,9,0
1518101313,22,1
1518103297,24,0
1518105128,12,1
1518107310,0,1
1518110176,2,2
1518112363,2,0
1518114264,1,0
1518118104,2,2
1518120034,2,1
1518121967,0,1
1518126020,1,1
1518127954,1,3
1518129881,0,1
1518131791,0,1
1518133723,0,1
1518135889,1,0
1518137769,1,0
1518139704,1,0
1518144970,1,1
1518146806,1,2
1518151023,0,2
1518152907,1,0
1518155094,2,1
1518157048,0,1
1518158919,2,1
1518160838,1,3
1518162745,2,0
1518164682,1,0
1518166585,0,1
1518168501,1,0
1518173296,0,2
1518175229,1,0
1518177146,0,2
1518179341,0,1
1518182202,1,13
1518184112,0,3
1518188462,8,26
1518190594,0,28
1518192545,1,1
1518194433,0,2
1518196595,0,2
1518198520,2,1
1518200426,1,2
1518202351,9,2
1518204253,12,1
1518206190,0,2
1518216012,2,0
1518217962,2,0
1518220117,1,0
1518222050,2,0
1518225884,0,1
1518227778,1,2
1518229969,1,0
1518231865,0,2
1518234045,4,1
1518235965,2,0
1518237885,1,4
1518239993,1,1
1518241952,0,1
1518244002,1,2
1518246992,1,1
1518249139,1,2
1518251059,0,1
1518252980,1,0
1518254905,0,1
1518256852,63,1
1518258733,166,0
1518260657,199,0
1518262569,2,2
1518264921,3,1
1518268826,1,0
1518274573,1,1
1518276500,0,2
1518279506,1,1
1518283426,2,0
1518286587,0,6
1518290672,3,22
1518294498,1,0
1518300266,0,1
1518302203,0,2
1518304126,1,1
1518305994,1,1
1518307999,0,1
1518309884,0,1
1518311822,2,1
1518313723,1,0
1518315903,2,0
1518317800,0,2
1518319733,0,4
1518322850,0,1
1518324757,1,0
1518326913,2,0
1518329804,1,1
1518331965,1,0
1518333876,0,1
1518335805,1,2
1518337955,2,0
1518341804,0,1
1518343753,1,123
1518345640,1,187
1518347577,0,122
1518349482,0,2
1518351586,0,2
1518354975,1,5
1518358818,1,0
1518360754,1,1
1518366019,175,1
1518367927,655,0
1518369746,19,3
1518371560,2,0
1518375668,1,1
1518377788,1,2
1518379954,0,1
1518382133,0,1
1518384037,1,0
1518385947,2,0
1518387868,15,1
1518391311,3,2
1518395547,24,0
1518397395,25,0
1518399368,10,1
1518401285,0,1
1518403465,0,2
1518407301,1,0
1518409254,3,0
1518411153,2,0
1518413327,1,2
1518416191,3,1
1518422480,0,1
1518424348,14,2
1518426524,2,1
1518430383,1,1
1518435008,1,0
1518437088,1,0
1518439231,1,1
1518441158,1,1
1518443075,1,0
1518446927,2,3
1518450989,1,2
1518452911,0,282
1518455065,1,543
1518456978,1,18
1518458931,1,1
1518460946,1,0
1518462762,3,1
1518464686,2,2
1518466592,2,0
1518471645,0,2
1518473580,3,15
1518475453,0,1
1518477411,1,2
1518481457,0,2
1518484597,0,55
1518486744,1,2
1518488649,1,0
1518490546,1,0
1518492765,1,0
1518494694,1,1
1518496635,4,1
1518498521,1,3
1518500465,3,0
1518502368,0,4
1518504271,0,1
1518510262,0,10
1518512213,1,8
1518514105,1,2
1518516075,1,1
1518517943,2,0
1518520148,2,1
1518522415,0,1
1518524436,1,3
1518526247,0,1
1518528057,3,1
1518530341,0,2
1518532145,1,1
1518534231,1,3
1518538357,1,0
1518542211,2,1
1518544123,0,3
1518547950,1,1
1518549874,1,1
1518551800,0,1
1518556781,4,3
1518560755,0,2
1518562588,1,0
1518565109,17,1
1518567803,39,0
1518569986,7,0
1518571990,0,1
1518573897,2,0
1518575791,0,1
1518581756,1,5
1518583688,1,3
1518585626,0,3
1518587558,4,0
1518589417,4,0
1518595694,1,1
1518597886,1,0
1518599807,0,1
1518603757,2,0
1518605570,0,1
1518607463,1,1
1518613251,2,1
1518615130,0,1
1518617091,1,0
1518621169,1,1
1518623058,2,0
1518625221,1,3
1518627157,2,1
1518629087,2,3
1518631001,1,0
1518632925,1,0
1518636197,1,3
1518638015,2,0
1518640177,0,1
1518643009,1,2
1518644932,1,0
1518646839,1,0
1518648938,1,0
1518650917,4,0
1518653011,2,2
1518655017,0,1
1518656915,3,2
1518659079,4,0
1518661251,1,6
1518663158,1,1
1518665321,3,0
1518668213,6,1
1518670376,3,1
1518672282,0,1
1518674477,2,31
1518676364,0,26
1518678525,3,2
1518682366,3,1
1518684264,1,1
1518686208,1,1
1518688129,1,0
1518690278,30,2
1518692201,21,1
1518694097,12,1
1518697406,2,2
1518700854,2,0
1518702747,1,0
1518704646,0,1
1518706572,1,2
1518708462,0,2
1518710669,1,0
1518712587,2,3
1518714490,0,1
1518716442,1,0
1518718957,1,0
1518722655,0,1
1518724605,1,1
1518726497,0,1
1518729405,1,2
1518731305,0,1
1518733478,0,1
1518735388,1,0
1518737559,1,5
1518739903,2,3
1518741862,1,0
1518743931,1,3
1518746195,40,2
1518748360,51,4
1518750256,39,2
1518752202,19,3
1518754125,1,4
1518756273,1,4
1518758201,1,1
1518760122,1,1
1518764197,0,3
1518766411,24,1
1518768319,0,2
1518770204,0,1
1518772160,102,1
1518774040,1,2
1518775982,1,22
1518777863,1,8
1518779738,1,10
1518781697,1,2
1518783588,0,1
1518785541,1,1
1518787732,0,1
1518789649,1,0
1518791570,1,0
1518796416,2,0
1518798294,2,1
1518800233,0,1
1518802164,78,0
1518804307,737,2
1518806232,3,0
1518808101,1,0
1518814130,1,0
1518816296,1,0
1518820141,1,1
1518822296,1,1
1518824233,1,1
1518826356,1,1
1518832115,1,27
1518834316,0,51
1518836178,0,20
1518838354,0,26
1518840267,1,1
1518846017,2,0
1518851788,0,23
1518853705,2,41
1518855627,0,5
1518857542,1,2
1518859461,0,1
1518861384,0,3
1518865463,0,1
1518867390,0,1
1518869424,1,0
1518871481,0,2
1518873743,0,1
1518875876,2,1
1518877964,0,1
1518879865,2,0
1518882037,0,2
1518883954,0,2
1518886072,3,1
1518888009,2,2
1518889932,0,607
1518891872,1,313
1518894223,0,4
1518898054,1,2
1518900035,2,1
1518902212,2,2
1518906288,1,0
1518908197,0,4
1518910950,2,1
1518912763,2,1
1518918763,3,2
1518920654,0,1
1518925939,1,0
1518934601,2,1
1518936994,1,0
1518938912,1,1
1518941035,1,1
1518947858,1,0
1518949698,517,1
1518951661,402,0
1518953560,1,1
1518955490,0,1
1518957622,1,0
1518959554,1,0
1518962562,1,1
1518964721,2,0
1518966653,8,2
1518970498,1,0
1518972633,4,2
1518974441,0,2
1518976485,1,0
