DateTime,AddedIPs,RemovedIPs
1518051867,2,5
1518053784,8,5
1518055728,7,13
1518057634,6,5
1518059555,5,7
1518061468,1,5
1518063392,2,6
1518065346,5,7
1518067214,3,7
1518069134,2,6
1518071060,6,2
1518072983,7,2
1518074889,5,4
1518077795,5,5
1518079703,2,4
1518081622,4,2
1518083535,0,2
1518085453,2,4
1518087402,6,2
1518089295,0,9
1518091264,5,2
1518093328,4,5
1518095543,12,3
1518097455,6,1
1518099314,10,5
1518101313,6,12
1518103298,6,11
1518105128,5,5
1518107310,8,11
1518110176,4,7
1518112364,6,12
1518114264,6,5
1518116179,1,11
1518118104,6,3
1518120068,3,5
1518121967,7,6
1518124109,2,11
1518126020,3,9
1518127955,6,11
1518129881,6,9
1518131791,4,10
1518133723,3,8
1518135890,5,6
1518137770,1,5
1518139704,2,5
1518143002,3,20
1518144971,4,12
1518146807,4,9
1518149074,5,2
1518151023,2,10
1518152907,1,9
1518155095,2,5
1518157048,3,10
1518158919,0,10
1518160839,2,11
1518162745,0,10
1518164682,1,3
1518166585,0,12
1518168501,0,11
1518171384,3,14
1518173297,1,16
1518175229,1,1
1518177146,0,8
1518179342,2,12
1518182202,2,30
1518184113,3,14
1518186470,6,30
1518189646,9,12
1518191538,1,5
1518193469,4,7
1518195366,4,3
1518197562,5,5
1518199488,6,6
1518201675,3,4
1518203543,3,3
1518205513,3,5
1518207389,6,7
1518209347,2,1
1518211224,3,2
1518213444,10,8
1518215296,83,6
1518217473,5,5
1518219642,8,3
1518221570,3,7
1518223481,3,1
1518225397,6,2
1518227302,3,1
1518229474,2,2
1518231383,2,1
1518233325,4,2
1518235255,2,4
1518237173,3,0
1518241232,1,1
1518243134,0,2
1518245048,2,0
1518246993,1,2
1518251059,1,1
1518252980,1,0
1518257770,0,3
1518259618,1,1
1518261628,1,1
1518263898,3,0
1518265701,1,2
1518267706,3,0
1518269566,1,2
1518271722,1,3
1518273646,2,22
1518275847,3,5
1518277947,0,1
1518279884,6,5
1518281779,3,4
1518283719,1,4
1518285670,0,6
1518287840,4,4
1518289717,2,3
1518291649,0,2
1518293567,3,7
1518295490,3,2
1518297398,1,3
1518299814,3,8
1518301707,3,84
1518303675,4,5
1518305995,5,7
1518307999,0,4
1518309885,2,3
1518311822,3,6
1518313724,3,3
1518315904,2,2
1518317800,7,2
1518319733,3,3
1518322850,2,6
1518324757,2,0
1518326913,0,1
1518329805,1,2
1518331966,0,1
1518335805,1,1
1518339914,0,1
1518341804,1,0
1518343753,1,0
1518345640,0,1
1518347577,0,1
1518349482,2,2
