DateTime,AddedIPs,RemovedIPs
1517879924,1,0
1517881931,5,0
1517883761,2,1
1517885767,3,1
1517887575,1,1
1517889394,6,1
1517891390,0,1
1517893308,3,1
1517895406,1,2
1517897289,0,1
1517899091,1,0
1517902887,0,1
1517904758,2,0
1517906707,1,0
1517910651,0,1
1517912652,0,2
1517916953,1,1
1517919326,2,0
1517921555,1,1
1517923475,3,0
1517925378,1,5
1517927300,2,3
1517929288,1,1
1517931143,5,4
1517933061,4,5
1517934981,2,3
1517936900,6,4
1517939093,7,5
1517941009,5,4
1517942915,2,3
1517944833,7,2
1517946761,6,4
1517948680,3,1
1517950596,3,2
1517952520,3,3
1517955407,5,9
1517957330,7,2
1517959241,2,2
1517961165,1,2
1517963078,2,3
1517965001,4,3
1517966916,0,3
1517968890,3,3
1517970756,3,4
1517972695,3,2
1517974821,2,6
1517976742,3,1
1517980573,3,4
1517982491,2,0
1517984410,0,1
1517990190,0,1
1517992355,0,1
1517994294,0,1
1517998605,1,0
1518000523,1,0
1518002522,1,1
1518006274,0,3
1518008199,2,1
1518010095,0,3
1518012083,2,1
1518013959,6,2
1518015891,6,2
1518017774,4,6
1518019726,5,2
1518021643,5,3
1518023569,1,5
1518025457,3,7
1518027406,1,5
1518029302,5,2
1518031466,3,7
1518033373,4,6
1518035563,4,3
1518037676,6,4
1518039610,6,2
1518041452,5,4
1518044282,3,7
1518046107,3,2
1518048088,3,1
1518049949,2,3
1518051868,1,3
1518053785,3,0
1518055729,4,4
1518057635,3,3
1518059556,1,3
1518061468,1,1
1518063393,0,3
1518065347,1,0
1518067215,1,3
1518069135,0,2
1518071061,1,0
1518085454,1,2
1518087403,1,0
1518089296,0,1
1518091286,1,0
1518093330,0,2
1518095544,4,0
1518097457,2,0
1518099315,3,2
1518101315,3,9
1518103299,6,7
1518105130,5,2
1518107312,6,7
1518109299,1,3
1518111187,3,3
1518113076,4,1
1518114983,1,3
1518116888,1,3
1518118778,4,5
1518120730,5,4
1518122543,2,3
1518124608,1,5
1518126723,7,8
1518128923,6,3
1518130968,4,2
1518132913,2,3
1518134944,5,5
1518136848,1,0
1518138984,2,1
1518140909,0,7
1518143004,2,1
1518144972,3,3
1518146808,4,1
1518149076,2,0
1518151025,2,1
1518152908,1,1
1518155097,2,0
1518157050,1,0
1518158921,0,1
1518160840,1,0
1518170470,1,0
1518172363,0,2
1518176187,0,1
1518180023,2,0
1518181828,0,4
1518183854,2,2
1518185797,4,3
1518187965,5,3
1518190117,5,6
1518192107,2,7
1518194182,4,3
1518196122,3,1
1518198012,6,4
1518199940,4,3
1518202101,2,2
1518204036,2,2
1518205942,3,3
1518207879,5,6
1518209778,1,1
1518211722,3,3
1518213870,6,6
1518215775,1,5
1518217963,4,4
1518220118,7,2
1518222051,1,4
1518223943,2,1
1518225885,6,2
1518227779,1,0
1518229970,2,2
1518231866,0,1
1518234047,2,2
1518235967,4,1
1518241953,1,1
1518246077,1,0
1518249854,1,0
1518256146,0,1
1518259960,1,0
1518263899,1,0
1518265702,1,1
1518267707,2,0
1518269568,1,1
1518271724,1,1
1518273647,2,22
1518275853,3,5
1518277948,0,1
1518279886,5,3
1518281780,2,4
1518283720,1,4
1518285679,0,5
1518287841,3,3
1518289718,1,3
1518291651,0,2
1518293568,1,5
1518295492,1,2
1518297400,0,2
1518299816,3,6
1518301709,3,1
1518303676,4,3
1518305996,5,6
1518308000,0,2
1518309886,2,3
1518311824,3,5
1518313725,1,2
1518315905,1,1
1518317802,0,1
1518319735,2,2
1518321672,1,1
1518323836,1,3
1518325723,1,0
1518327898,0,1
1518329806,1,0
1518331967,0,1
1518335806,1,1
1518343755,1,0
1518345641,0,1
1518349483,1,1
1518351587,1,0
1518354071,4,3
1518355970,2,1
1518357884,2,1
1518359799,0,2
1518361935,1,3
1518363861,1,0
1518367716,4,7
1518369747,3,1
1518371562,1,0
1518373774,2,3
1518375680,3,1
1518377789,2,0
1518379956,4,1
1518382134,6,2
1518384039,2,1
1518385949,4,2
1518387869,0,2
1518391313,3,6
1518393523,6,2
1518397397,1,3
1518399370,3,1
1518401287,2,1
1518403469,4,0
1518405395,3,1
1518407302,1,1
1518409255,0,1
1518411155,1,2
1518413328,3,0
1518415277,1,0
1518417421,1,1
1518421490,1,0
1518429378,0,1
1518431304,2,0
1518435428,1,0
1518437306,0,2
1518439233,0,2
1518441160,1,4
1518443077,2,2
1518445011,6,2
1518446928,4,0
1518449066,4,2
1518450990,5,0
1518452914,1,3
1518455067,3,1
1518456980,5,4
1518458932,4,0
1518460948,2,5
1518462764,2,1
1518464688,3,2
1518466594,3,4
1518469510,9,5
1518471647,5,5
1518473582,2,2
1518475454,1,2
1518477413,2,1
1518479572,2,5
1518481459,1,1
1518483703,1,1
1518485568,5,3
1518487489,4,2
1518489619,3,4
1518491561,2,2
1518493453,3,2
1518495391,1,0
1518497293,1,2
1518499229,2,2
1518501131,0,2
1518503075,1,0
1518504978,0,1
1518506926,1,1
1518515716,1,0
1518517682,0,2
1518519689,1,0
1518521856,1,1
1518524125,3,0
1518526249,3,1
1518528059,2,0
1518530343,0,5
1518532147,3,5
1518534233,4,3
1518536425,3,5
1518538359,3,3
1518540273,5,2
1518542213,4,3
1518544125,2,4
1518546035,3,3
1518547952,2,3
1518549876,2,3
1518551802,5,5
1518553716,2,0
1518555692,6,8
1518557796,1,6
1518559707,1,0
1518561895,5,2
1518563797,2,1
1518566390,6,3
1518569232,6,1
1518571500,1,4
1518573396,2,5
1518575355,0,3
1518577827,3,2
1518579638,0,3
1518581758,4,1
1518583690,1,1
1518585627,2,2
1518589419,0,1
1518593813,0,1
1518601733,0,1
1518607465,0,2
1518609401,0,2
1518611298,0,4
1518613280,2,1
1518615132,1,1
1518617092,6,0
1518619219,0,4
1518621170,2,5
1518623059,5,2
1518625223,9,5
1518627159,4,6
1518629089,3,3
1518631002,1,3
1518632926,4,3
1518634880,0,2
1518636989,5,1
1518638928,5,6
1518641078,8,3
1518643011,7,5
1518644934,5,0
1518646841,2,2
1518648940,3,4
1518650920,2,4
1518653013,3,4
1518655019,1,5
1518656917,3,0
1518659081,1,1
1518661253,1,2
1518663159,1,1
1518665324,5,0
1518667277,4,2
1518671325,1,1
1518677570,1,0
1518691232,1,0
1518695056,2,0
1518697408,1,0
1518699680,3,0
1518701596,2,1
1518703475,3,3
1518705414,4,12
1518707318,4,1
1518709275,3,5
1518711160,3,7
1518713342,1,6
1518715217,2,2
1518717190,5,2
1518719344,0,4
1518721299,1,0
1518723267,2,4
1518725085,3,4
1518726974,3,7
1518728942,0,6
1518730837,1,6
1518733008,0,4
1518734931,0,3
1518736989,2,2
1518740449,1,3
1518742359,1,1
1518744276,2,3
1518746196,3,1
1518748362,3,1
1518750258,0,2
1518752204,3,4
1518754127,0,4
1518756275,1,0
1518758203,0,1
1518762039,1,0
1518764199,0,1
1518781699,0,2
1518783590,1,1
1518785543,1,4
1518787734,0,2
1518789681,1,4
1518791572,1,4
1518793488,2,4
1518796417,1,3
1518798295,0,3
1518800234,1,2
1518802166,1,4
1518804309,4,2
1518806233,1,1
1518808102,1,0
1518810022,3,2
1518812219,1,5
1518814131,0,1
1518818202,2,1
1518820142,1,0
1518822297,0,1
1518824235,1,1
1518828281,0,2
1518830246,1,2
1518832117,0,2
1518834317,0,4
1518836179,1,0
1518838355,1,2
1518842194,1,1
1518844118,1,0
1518849865,0,1
1518857545,1,0
1518861387,1,0
1518871483,3,1
1518873745,1,1
1518875878,1,1
1518877967,1,1
1518879868,0,2
1518882040,1,0
1518883956,1,0
1518886074,0,1
1518888010,0,1
1518889933,0,2
1518891873,1,2
1518894225,1,2
1518896170,0,4
1518898055,1,0
1518900037,1,1
1518902213,2,0
1518904127,0,1
1518906289,2,3
1518908199,1,0
1518910952,2,1
1518912766,1,0
1518914679,1,0
1518916606,1,1
1518918765,2,0
1518920655,2,0
1518922875,0,2
1518929330,0,1
1518931223,0,1
1518941037,1,0
1518942971,1,1
1518947861,1,1
1518957625,1,3
1518959557,2,1
1518962564,1,2
1518964723,1,0
1518968552,1,1
1518972636,2,0
1518976487,1,0
1518978747,0,1
1518980668,0,1
1518984498,0,1
1518986426,2,1
1518988357,1,2
1518990288,4,0
1518992216,2,1
1518994106,1,1
1518996636,2,3
1518998680,0,1
1519000599,2,1
1519002517,0,1
1519004431,0,1
1519006356,0,2
1519008269,1,1
1519010189,1,0
1519012106,3,0
1519025563,1,0
1519029391,0,1
1519031313,0,1
1519037318,0,1
1519041137,2,0
1519042950,0,1
1519045272,1,2
1519047408,1,0
1519049322,0,1
1519051240,1,2
1519053143,2,0
1519055083,0,1
1519057010,1,0
1519059159,3,2
1519061062,1,0
1519062975,1,1
1519069260,2,0
1519071400,2,1
1519074305,1,2
1519076435,1,4
1519078265,0,1
1519080521,1,2
1519082440,0,1
1519084356,3,0
1519086529,2,2
1519090361,1,0
1519092273,2,0
1519096114,1,1
1519098004,0,3
1519104030,1,0
1519125317,1,0
