DateTime,AddedIPs,RemovedIPs
1516603709,0,1
1516609472,0,1
1516615279,0,1
1516619232,51,0
1516621210,50,0
1516648130,15,0
1516650046,1,0
1516658479,2,0
1516660365,3,0
1516666096,1,1
1516673795,0,1
1516677656,0,1
1516696821,1,0
1516704503,0,4
1516706432,0,97
1516714161,1,0
1516722035,1,0
1516730755,4,0
1516734765,0,15
1516736675,1,1
1516738643,27,0
1516740531,55,0
1516742489,18,0
1516744363,17,1
1516746302,61,3
1516748232,0,1
1516752765,0,1
1516783690,0,1
1516801285,0,1
1516806997,0,1
1516816929,0,3
1516818761,0,1
1516824528,2,5
1516826418,44,25
1516828389,0,62
1516830265,0,15
1516832245,0,63
1516836070,41,0
1516838245,1,0
1516847829,1,0
1516853590,1,0
1516866980,1,0
1516882358,33,0
1516884298,3,0
1516911138,4,7
1516913078,0,34
1516916897,9,0
1516921702,0,28
1516923686,0,10
1516935437,0,1
1516939314,0,1
1516943147,0,1
1516952895,0,1
1516968280,0,6
1516970431,0,47
1516997805,0,4
1516999700,33,0
1517001627,9,0
1517003560,0,9
1517016029,1,0
1517020184,1,0
1517029710,1,0
1517031721,1,0
1517035596,1,0
1517039466,1,0
1517047482,4,0
1517049402,22,0
1517059188,1,0
1517070865,1,0
1517084685,0,1
1517086677,4,26
1517088499,1,6
1517102670,0,1
1517106506,0,1
1517116106,0,1
1517119968,0,1
1517121864,0,1
1517125724,0,1
1517134509,0,34
1517144168,2,0
1517146093,0,1
1517148079,1,0
1517154283,1,0
1517158344,0,1
1517162182,1,0
1517171800,0,3
1517173702,0,2
1517175625,0,1
1517183548,9,0
1517185462,28,0
1517189299,1,0
1517196986,1,0
1517198907,1,0
1517202761,1,0
1517210454,1,0
1517212343,1,0
1517214268,1,0
1517222919,1,0
1517224822,1,0
1517228687,1,0
1517230598,0,2
1517234485,0,1
1517240200,0,1
1517248121,0,1
1517254131,1,0
1517260113,1,0
1517264196,1,0
1517268711,1,0
1517270917,0,26
1517272823,0,11
1517274757,0,1
1517282432,0,1
1517284364,0,1
1517288183,0,1
1517295862,0,1
1517297783,1,0
1517299724,0,1
1517301630,1,1
1517303662,1,0
1517308340,0,1
1517310335,0,1
1517314337,0,1
1517318208,2,0
1517322094,74,0
1517323958,13,0
1517328157,3,0
1517339560,0,1
1517347223,1,1
1517349418,0,1
1517351302,1,0
1517355409,0,1
1517366909,1,0
1517382326,1,0
1517384321,0,1
1517388279,0,1
1517390188,0,1
1517400119,1,0
1517403887,0,2
1517407739,0,60
1517409862,0,27
1517413828,0,3
1517423790,1,0
1517425705,2,0
1517427620,1,0
1517429566,1,0
1517433403,0,1
1517437220,1,1
1517439147,1,0
1517443296,1,0
1517445134,1,0
1517449222,2,0
1517451145,1,0
1517453064,0,1
1517456903,1,0
1517468476,1,1
1517476120,3,0
1517485706,28,1
1517487882,3,0
1517495708,17,0
1517499608,1,0
1517503480,1,0
1517511134,0,3
1517513074,1,1
1517516913,0,1
1517523147,1,1
1517525086,0,1
1517528904,0,1
1517530820,0,1
1517536570,0,3
1517543554,1,1
1517547374,1,0
1517549572,1,0
1517555305,0,1
1517562989,0,3
1517571642,3,7
1517573715,1,23
1517575693,0,1
1517579531,1,0
1517581475,0,17
1517585550,0,1
1517587478,3,0
1517589423,0,1
1517591334,1,0
1517598986,3,1
1517608618,1,0
1517610531,0,1
1517614926,2,0
1517620619,1,0
1517626367,1,0
1517628526,0,1
1517632366,2,0
1517634287,0,1
1517636199,0,1
1517653701,3,0
1517655686,1,0
1517657565,0,3
1517659497,0,1
1517661627,1,0
1517665479,11,1
1517667387,53,0
1517669300,3,0
1517673400,0,2
1517675406,0,1
1517677289,0,1
1517683005,1,0
1517684936,0,3
1517696217,0,1
1517702205,0,2
1517706075,0,1
1517712023,0,1
1517717797,0,2
1517729303,1,0
1517734349,1,0
1517736261,1,0
1517740100,0,3
1517742072,0,1
1517743936,1,0
1517749702,0,1
1517751620,0,7
1517753790,0,57
1517755700,0,3
1517761465,1,0
1517770032,1,1
1517779912,1,0
1517787631,1,0
1517797966,1,0
1517805646,3,0
1517818848,0,1
1517820732,0,1
1517822659,0,1
1517824884,1,0
1517830833,0,1
1517832690,45,0
1517834663,2,0
1517836582,24,0
1517838512,1,0
1517840425,2,0
1517844264,1,0
1517846179,1,0
1517848349,1,1
1517854571,0,1
1517858652,1,0
1517866572,0,1
1517876106,5,0
1517883761,0,1
1517891390,1,3
1517893309,1,0
1517895406,1,0
1517900924,1,0
1517902887,3,0
1517904759,1,0
1517906708,1,0
1517910652,0,1
1517919327,0,48
1517921556,0,9
1517923475,38,15
1517925379,0,3
1517927301,2,0
1517929288,4,0
1517931144,0,2
1517934981,0,1
1517941009,1,0
1517944833,0,1
1517948680,1,0
1517963078,0,5
1517974822,1,0
1517978657,0,2
1517980573,0,1
1517988253,0,1
1517990190,0,3
1517992356,0,1
1517994294,0,1
1517996361,2,0
1518006274,1,0
1518010095,0,38
1518013960,0,5
1518015891,0,1
1518023569,3,0
1518027406,0,1
1518035563,0,1
1518053031,1,0
1518057159,1,0
1518062928,0,1
1518083537,0,2
1518087403,8,0
1518089296,37,0
1518091289,9,0
1518093330,1,1
1518095545,2,0
1518105130,1,0
1518111187,0,3
1518113076,1,0
1518138984,0,1
1518144973,0,1
1518146808,1,0
1518172363,1,1
1518174270,11,7
1518176187,79,18
1518178127,0,9
1518180024,0,1
1518181829,0,2
1518183854,1,0
1518192113,0,1
1518198012,2,0
1518199940,1,1
1518205942,1,0
1518215776,9,0
1518222052,1,0
1518229970,1,0
1518231866,1,1
1518234047,1,0
1518241953,1,0
1518247880,1,0
1518259961,2,4
1518261859,0,52
1518263899,1,54
1518265702,1,0
1518269568,2,1
1518271724,1,0
1518279886,1,0
1518281780,2,0
1518283721,0,1
1518285679,1,2
1518293568,0,1
1518295492,3,0
1518301709,0,8
1518303677,0,1
1518309887,0,1
1518315906,0,1
1518317802,1,1
1518319735,0,1
1518323837,1,0
1518327898,0,1
1518333878,0,1
1518345642,0,2
1518349484,1,1
1518351587,0,1
1518355970,0,2
1518357885,0,1
1518367716,0,3
1518369748,1,0
1518371562,2,1
1518382135,0,3
1518392253,3,0
1518403961,1,0
1518405885,1,1
1518411675,0,1
1518413794,1,0
1518415728,1,0
1518425770,2,0
1518435010,0,1
1518439234,1,0
1518446929,1,0
1518449066,1,0
1518455067,0,1
1518456981,0,1
1518458933,0,1
1518471647,10,0
1518473582,10,0
1518477414,0,2
