DateTime,Entries,UniqueIPs
1516603709,5,5
1516609472,4,4
1516615279,3,3
1516619232,54,54
1516621210,104,104
1516648130,119,119
1516650046,120,120
1516658479,122,122
1516660365,125,125
1516666096,125,125
1516673795,124,124
1516677656,123,123
1516696821,124,124
1516704503,120,120
1516706432,23,23
1516714161,24,24
1516722035,25,25
1516730755,29,29
1516734765,14,14
1516736675,14,14
1516738643,41,41
1516740531,96,96
1516742489,114,114
1516744363,130,130
1516746302,188,188
1516748232,187,187
1516752765,186,186
1516783690,185,185
1516801285,184,184
1516806997,183,183
1516816929,180,180
1516818761,179,179
1516824528,176,176
1516826418,195,195
1516828389,133,133
1516830265,118,118
1516832245,55,55
1516836070,96,96
1516838245,97,97
1516847829,98,98
1516853590,99,99
1516866980,100,100
1516882358,133,133
1516884298,136,136
1516911138,133,133
1516913078,99,99
1516916897,108,108
1516921702,80,80
1516923686,70,70
1516935437,69,69
1516939314,68,68
1516943147,67,67
1516952895,66,66
1516968280,60,60
1516970431,13,13
1516997805,9,9
1516999700,42,42
1517001627,51,51
1517003560,42,42
1517016029,43,43
1517020184,44,44
1517029710,45,45
1517031721,46,46
1517035596,47,47
1517039466,48,48
1517047482,52,52
1517049402,74,74
1517059188,75,75
1517070865,76,76
1517084685,75,75
1517086677,53,53
1517088499,48,48
1517102670,47,47
1517106506,46,46
1517116106,45,45
1517119968,44,44
1517121864,43,43
1517125724,42,42
1517134509,8,8
1517144168,10,10
1517146093,9,9
1517148079,10,10
1517154283,11,11
1517158344,10,10
1517162182,11,11
1517171800,8,8
1517173702,6,6
1517175625,5,5
1517183548,14,14
1517185462,42,42
1517189299,43,43
1517196986,44,44
1517198907,45,45
1517202761,46,46
1517210454,47,47
1517212343,48,48
1517214268,49,49
1517222919,50,50
1517224822,51,51
1517228687,52,52
1517230598,50,50
1517234485,49,49
1517240200,48,48
1517248121,47,47
1517254131,48,48
1517260113,49,49
1517264196,50,50
1517268711,51,51
1517270917,25,25
1517272823,14,14
1517274757,13,13
1517282432,12,12
1517284364,11,11
1517288183,10,10
1517295862,9,9
1517297783,10,10
1517299724,9,9
1517301630,9,9
1517303662,10,10
1517308340,9,9
1517310335,8,8
1517314337,7,7
1517318208,9,9
1517322094,83,83
1517323958,96,96
1517328157,99,99
1517339560,98,98
1517347223,98,98
1517349418,97,97
1517351302,98,98
1517355409,97,97
1517366909,98,98
1517382326,99,99
1517384321,98,98
1517388279,97,97
1517390188,96,96
1517400119,97,97
1517403887,95,95
1517407739,35,35
1517409862,8,8
1517413828,5,5
1517423790,6,6
1517425705,8,8
1517427620,9,9
1517429566,10,10
1517433403,9,9
1517437220,9,9
1517439147,10,10
1517443296,11,11
1517445134,12,12
1517449222,14,14
1517451145,15,15
1517453064,14,14
1517456903,15,15
1517468476,15,15
1517476120,18,18
1517485706,45,45
1517487882,48,48
1517495708,65,65
1517499608,66,66
1517503480,67,67
1517511134,64,64
1517513074,64,64
1517516913,63,63
1517523147,63,63
1517525086,62,62
1517528904,61,61
1517530820,60,60
1517536570,57,57
1517543554,57,57
1517547374,58,58
1517549572,59,59
1517555305,58,58
1517562989,55,55
1517571642,51,51
1517573715,29,29
1517575693,28,28
1517579531,29,29
1517581475,12,12
1517585550,11,11
1517587478,14,14
1517589423,13,13
1517591334,14,14
1517598986,16,16
1517608618,17,17
1517610531,16,16
1517614926,18,18
1517620619,19,19
1517626367,20,20
1517628526,19,19
1517632366,21,21
1517634287,20,20
1517636199,19,19
1517653701,22,22
1517655686,23,23
1517657565,20,20
1517659497,19,19
1517661627,20,20
1517665479,30,30
1517667387,83,83
1517669300,86,86
1517673400,84,84
1517675406,83,83
1517677289,82,82
1517683005,83,83
1517684936,80,80
1517696217,79,79
1517702205,77,77
1517706075,76,76
1517712023,75,75
1517717797,73,73
1517729303,74,74
1517734349,75,75
1517736261,76,76
1517740100,73,73
1517742072,72,72
1517743936,73,73
1517749702,72,72
1517751620,65,65
1517753790,8,8
1517755700,5,5
1517761465,6,6
1517770032,6,6
1517779912,7,7
1517787631,8,8
1517797966,9,9
1517805646,12,12
1517818848,11,11
1517820732,10,10
1517822659,9,9
1517824884,10,10
