DateTime,Entries,UniqueIPs
1518071814,1006,1006
1518073729,1006,1006
1518075617,1004,1004
1518077548,1005,1005
1518079474,1003,1003
1518081296,1004,1004
1518083314,1003,1003
1518085245,1004,1004
1518087133,1002,1002
1518089052,1129,1129
1518091004,1124,1124
1518093331,1091,1091
1518095545,1093,1093
1518097458,1093,1093
1518099316,1093,1093
1518101316,1096,1096
1518103300,1099,1099
1518105130,1100,1100
1518107313,1100,1100
1518109301,1111,1111
1518111188,1106,1106
1518113077,1103,1103
1518114984,1300,1300
1518116889,1299,1299
1518118779,1303,1303
1518120731,1235,1235
1518122543,1090,1090
1518124609,1088,1088
1518126724,1129,1129
1518128924,1215,1215
1518130968,1218,1218
1518132914,1516,1516
1518134945,1515,1515
1518136849,1514,1514
1518138985,1515,1515
1518140909,1517,1517
1518143004,1583,1583
1518144973,1583,1583
1518146809,1583,1583
1518149077,1582,1582
1518151026,1583,1583
1518152909,1583,1583
1518155097,1570,1570
1518157051,1569,1569
1518158921,1591,1591
1518160841,1593,1593
1518162747,1749,1749
1518164684,1748,1748
1518166587,1749,1749
1518168504,1766,1766
1518170477,1767,1767
1518172364,1765,1765
1518174270,1768,1768
1518176188,1773,1773
1518178127,1804,1804
1518180024,1805,1805
1518181829,1806,1806
1518183854,1804,1804
1518185798,1805,1805
1518187965,1733,1733
1518190118,1735,1735
1518192118,1589,1589
1518194183,1591,1591
1518196123,1585,1585
1518198013,1587,1587
1518199941,1591,1591
1518202102,1410,1410
1518204037,1408,1408
1518209779,1406,1406
1518211723,1400,1400
1518213871,1362,1362
1518215776,1277,1277
1518217964,1253,1253
1518220119,976,976
1518222052,973,973
1518223944,973,973
1518225886,971,971
1518227780,971,971
1518229971,895,895
1518231867,896,896
1518234047,897,897
1518237886,895,895
1518239994,893,893
1518241954,912,912
1518246080,884,884
1518247880,882,882
1518249855,705,705
1518251731,706,706
1518253946,707,707
1518256146,679,679
1518258024,681,681
1518259961,736,736
1518261860,727,727
1518263900,713,713
1518265703,714,714
1518267708,769,769
1518269569,776,776
1518271725,782,782
1518273648,655,655
1518275854,652,652
1518277949,651,651
1518279887,647,647
1518281781,647,647
1518283721,649,649
1518285680,646,646
1518287842,640,640
1518289719,641,641
1518291652,644,644
1518293569,622,622
1518295493,627,627
1518297401,624,624
1518299817,640,640
1518301709,624,624
1518303677,626,626
1518305997,627,627
1518308001,626,626
1518309887,655,655
1518311826,676,676
1518313726,676,676
1518315906,675,675
1518317803,1231,1231
1518319735,1356,1356
1518321673,1357,1357
1518323837,1356,1356
1518325724,1356,1356
1518327898,1517,1517
1518329807,1524,1524
1518331968,1676,1676
1518333878,1675,1675
1518337958,1641,1641
1518339917,1770,1770
1518341806,1772,1772
1518343755,1772,1772
1518345642,1773,1773
1518347579,1758,1758
1518349484,1757,1757
1518354072,1714,1714
1518355971,1709,1709
1518357885,1706,1706
1518359800,1730,1730
1518361935,1730,1730
1518363861,1732,1732
1518367717,1748,1748
1518369748,1747,1747
1518371563,1744,1744
1518373775,1744,1744
1518375680,1745,1745
1518377790,1745,1745
1518379957,1744,1744
1518382135,1746,1746
1518384040,1747,1747
1518385950,1741,1741
1518390091,1754,1754
1518392254,1754,1754
1518394135,1755,1755
1518396042,1757,1757
1518398192,1755,1755
1518400101,2012,2012
1518402032,2012,2012
1518403963,1544,1544
1518405886,1417,1417
1518407775,1417,1417
1518409706,1420,1420
1518411679,1422,1422
1518413794,1377,1377
1518415728,1298,1298
1518417861,1189,1189
1518419813,1191,1191
1518421944,1193,1193
1518423884,1194,1194
1518425771,1191,1191
1518427966,1179,1179
1518429880,1178,1178
1518431802,1052,1052
1518435011,1052,1052
1518437089,1055,1055
1518439234,1060,1060
1518441160,1060,1060
1518443078,1205,1205
1518445012,1201,1201
1518446929,1203,1203
1518449085,1203,1203
1518450991,1205,1205
1518452914,1205,1205
1518455068,1093,1093
1518456981,1095,1095
1518458933,1095,1095
1518460949,1096,1096
1518462765,1099,1099
1518464688,1100,1100
1518466594,1100,1100
1518469511,1098,1098
1518471648,1099,1099
1518473583,1100,1100
1518475455,1083,1083
1518477414,1229,1229
1518479573,1229,1229
1518481459,1205,1205
1518483716,1266,1266
1518485569,1033,1033
1518487490,1012,1012
1518489620,1013,1013
1518491561,1015,1015
1518493454,1014,1014
1518495392,1014,1014
1518497294,1013,1013
1518499230,1128,1128
1518501131,1140,1140
1518503076,1139,1139
1518504979,1239,1239
1518506927,1240,1240
1518509916,1242,1242
1518511929,1240,1240
1518515717,1240,1240
1518517683,1337,1337
1518519690,1337,1337
1518521857,1334,1334
1518524126,1332,1332
1518526250,1326,1326
1518528060,1325,1325
1518530344,1177,1177
1518532148,1178,1178
1518534234,1182,1182
1518536426,1183,1183
1518538360,1182,1182
1518540274,1251,1251
1518542214,2301,2301
1518544126,2318,2318
1518546036,2318,2318
1518547953,2393,2393
1518549877,2451,2451
1518551803,2456,2456
1518553717,2457,2457
1518555693,2458,2458
1518557797,2456,2456
1518559709,2461,2461
1518561896,2420,2420
1518563798,2432,2432
1518566390,2432,2432
1518569233,2277,2277
1518571501,2275,2275
1518573397,2273,2273
1518575356,2274,2274
1518577828,2272,2272
1518579639,2272,2272
1518581759,2334,2334
1518583691,2449,2449
1518585628,2345,2345
1518587561,2332,2332
1518589420,2330,2330
1518591684,2376,2376
1518593814,2381,2381
1518595696,2384,2384
1518597889,2384,2384
1518599810,2388,2388
1518601733,2391,2391
1518603760,2294,2294
1518605573,2292,2292
1518607466,2292,2292
1518609402,2292,2292
1518611299,2292,2292
1518613283,2291,2291
1518615133,2293,2293
1518617093,2294,2294
1518619220,2267,2267
1518621171,2267,2267
1518623060,2271,2271
1518625223,2270,2270
1518627160,2271,2271
1518629090,2365,2365
1518631003,2537,2537
1518632927,2537,2537
1518634882,2369,2369
1518636990,2537,2537
1518638929,2539,2539
1518641079,2539,2539
1518643012,2546,2546
1518644935,2548,2548
1518646842,2549,2549
1518648941,2549,2549
1518653014,2547,2547
1518655020,2551,2551
1518656918,2550,2550
1518661254,2551,2551
1518663160,2552,2552
1518665325,2553,2553
1518667278,2552,2552
1518669425,2547,2547
1518671326,2546,2546
1518673491,2562,2562
1518675405,2563,2563
1518677571,2456,2456
1518679475,2458,2458
1518681405,2458,2458
1518683294,2533,2533
1518685288,2401,2401
1518687160,2400,2400
1518689334,1157,1157
1518695057,1156,1156
1518697409,1156,1156
1518701597,1160,1160
1518703476,2404,2404
1518705415,2497,2497
1518707319,2499,2499
1518709276,2501,2501
1518711161,2501,2501
1518713343,2519,2519
1518715218,2507,2507
1518717191,2261,2261
1518719345,2278,2278
1518721300,2276,2276
1518723268,2277,2277
1518725086,2293,2293
1518726975,2417,2417
1518728943,2465,2465
1518730838,2441,2441
1518733009,2453,2453
1518734932,2454,2454
1518736990,2706,2706
1518741403,2708,2708
1518743347,2709,2709
1518747157,2711,2711
1518749072,2709,2709
1518750999,2727,2727
1518753158,2726,2726
1518757280,2680,2680
1518759316,2746,2746
1518761541,2751,2751
1518763361,2792,2792
1518765399,2792,2792
1518767355,2793,2793
1518769236,2675,2675
1518771288,2678,2678
1518773287,2681,2681
1518775471,2683,2683
1518777402,2684,2684
1518779742,2687,2687
1518781700,2689,2689
1518783591,2739,2739
1518787735,2739,2739
1518789683,2737,2737
1518791573,2678,2678
1518793489,2740,2740
1518796418,2740,2740
1518798296,2721,2721
1518800235,2722,2722
1518802167,2722,2722
1518804310,2719,2719
1518806234,2554,2554
1518808103,2557,2557
1518810023,2555,2555
1518812220,2419,2419
1518814132,2372,2372
1518816298,2406,2406
1518818203,2439,2439
1518820143,2437,2437
1518822298,2432,2432
