DateTime,Entries,UniqueIPs
1518116890,1347,1347
1518118779,1352,1352
1518120732,1284,1284
1518122544,1137,1137
1518124609,1135,1135
1518126725,1176,1176
1518128924,1262,1262
1518130969,1266,1266
1518132915,1560,1560
1518134946,1560,1560
1518136849,1557,1557
1518138985,1557,1557
1518140910,1560,1560
1518143005,1625,1625
1518144974,1626,1626
1518146809,1624,1624
1518149077,1625,1625
1518151026,1628,1628
1518152910,1626,1626
1518155098,1611,1611
1518157051,1611,1611
1518158922,1633,1633
1518160842,1633,1633
1518162748,1791,1791
1518164685,1791,1791
1518166588,1791,1791
1518168504,1808,1808
1518170478,1807,1807
1518172364,1805,1805
1518174271,1808,1808
1518176188,1815,1815
1518178128,1845,1845
1518180025,1846,1846
1518181830,1846,1846
1518183855,1845,1845
1518185799,1846,1846
1518187966,1773,1773
1518190118,1776,1776
1518192123,1629,1629
1518194183,1635,1635
1518196123,1629,1629
1518198013,1630,1630
1518199941,1635,1635
1518202102,1454,1454
1518204037,1452,1452
1518205943,1451,1451
1518209779,1446,1446
1518211723,1447,1447
1518213871,1410,1410
1518215777,1325,1325
1518217964,1301,1301
1518220119,1024,1024
1518222053,1022,1022
1518223944,1025,1025
1518225886,1023,1023
1518227780,1021,1021
1518229971,947,947
1518231867,946,946
1518234048,948,948
1518235968,947,947
1518237886,942,942
1518239995,941,941
1518241954,958,958
1518244006,963,963
1518246080,936,936
1518247880,933,933
1518249855,754,754
1518251731,755,755
1518253946,757,757
1518256147,730,730
1518258024,733,733
1518259961,789,789
1518261860,778,778
1518263900,763,763
1518265703,764,764
1518267708,819,819
1518269569,827,827
1518271725,832,832
1518273648,706,706
1518275854,703,703
1518277950,700,700
1518279887,693,693
1518281781,692,692
1518283721,693,693
1518285680,689,689
1518287843,683,683
1518289719,685,685
1518291652,689,689
1518293569,667,667
1518295493,675,675
1518297401,665,665
1518299817,682,682
1518301710,666,666
1518303677,669,669
1518305997,670,670
1518308002,665,665
1518309888,694,694
1518311841,714,714
1518313726,715,715
1518315907,713,713
1518317803,1270,1270
1518319736,1394,1394
1518321674,1398,1398
1518323838,1396,1396
1518325724,1394,1394
1518327899,1556,1556
1518329807,1557,1557
1518331969,1708,1708
1518333878,1705,1705
1518337958,1671,1671
1518339917,1799,1799
1518341807,1800,1800
1518343756,1799,1799
1518345643,1798,1798
1518347580,1783,1783
1518349485,1784,1784
1518351588,1785,1785
1518354072,1746,1746
1518355971,1742,1742
1518357886,1740,1740
1518359800,1764,1764
1518361936,1766,1766
1518363862,1768,1768
1518365703,1770,1770
1518367717,1787,1787
1518369749,1786,1786
1518371564,1784,1784
1518373775,1785,1785
1518375681,1786,1786
1518377791,1786,1786
1518379957,1787,1787
1518382136,1787,1787
1518384040,1790,1790
1518385950,1783,1783
1518387871,1782,1782
1518390102,1798,1798
1518392254,1798,1798
1518394136,1800,1800
1518396042,1801,1801
1518398192,1801,1801
1518400101,2057,2057
1518402033,2057,2057
1518403963,1591,1591
1518405886,1464,1464
1518407775,1462,1462
1518409707,1465,1465
