DateTime,Entries,UniqueIPs
1518097459,400,400
1518099318,404,404
1518101318,403,403
1518103302,402,402
1518105132,399,399
1518107316,395,395
1518109304,384,384
1518111191,374,374
1518113079,364,364
1518114986,359,359
1518116891,350,350
1518118781,345,345
1518120733,339,339
1518122545,344,344
1518124610,341,341
1518126726,342,342
1518128926,348,348
1518130970,344,344
1518132916,345,345
1518134947,349,349
1518136851,348,348
1518138987,350,350
1518140911,352,352
1518143006,356,356
1518144975,363,363
1518146811,359,359
1518149078,352,352
1518151028,352,352
1518152911,349,349
1518155099,354,354
1518157054,356,356
1518158924,352,352
1518160844,359,359
1518162750,360,360
1518164686,357,357
1518166589,361,361
1518168506,360,360
1518170481,361,361
1518172366,363,363
1518174272,367,367
1518176190,365,365
1518178130,360,360
1518180026,359,359
1518181831,355,355
1518183856,360,360
1518185800,364,364
1518187967,371,371
1518190119,375,375
1518192127,380,380
1518194184,385,385
1518196125,390,390
1518198015,396,396
1518199942,401,401
1518202103,404,404
1518204038,404,404
1518205945,407,407
1518207883,410,410
1518209781,405,405
1518211725,404,404
1518213873,395,395
1518215779,392,392
1518217967,390,390
1518220122,387,387
1518222056,376,376
1518223947,373,373
1518225889,365,365
1518227783,357,357
1518229974,348,348
1518231870,335,335
1518234050,320,320
1518235970,311,311
1518237889,302,302
1518239997,294,294
1518241958,284,284
1518244008,276,276
1518246082,263,263
1518247883,250,250
1518249857,243,243
1518251733,232,232
1518253949,220,220
1518256149,214,214
1518258026,209,209
1518259963,200,200
1518261862,199,199
1518263902,195,195
1518265705,193,193
1518267709,194,194
1518269570,191,191
1518271727,179,179
1518273650,168,168
1518275856,163,163
1518277951,163,163
1518279888,160,160
1518281783,159,159
1518283723,159,159
1518285682,164,164
1518287845,170,170
1518289721,174,174
1518291653,194,194
1518293571,196,196
1518295495,201,201
1518297403,209,209
1518299818,219,219
1518301712,223,223
1518303680,227,227
1518306000,226,226
1518308004,231,231
1518309891,231,231
1518311844,231,231
1518313728,234,234
1518315908,235,235
1518317805,237,237
1518319737,239,239
1518323839,239,239
1518325726,239,239
1518331970,241,241
1518335809,239,239
1518337960,243,243
1518339918,244,244
1518341808,249,249
1518343757,255,255
1518345644,258,258
1518347581,261,261
1518349486,262,262
1518351590,258,258
1518354074,258,258
1518355975,259,259
1518357888,265,265
1518359802,262,262
1518361937,263,263
1518363863,260,260
1518365704,262,262
1518367719,262,262
1518369750,284,284
1518371565,289,289
1518373777,291,291
1518375682,289,289
1518377792,279,279
1518379959,269,269
1518382137,266,266
1518384042,263,263
1518385952,265,265
1518387872,255,255
1518390108,248,248
1518392256,245,245
1518394137,245,245
1518396043,245,245
1518398194,247,247
1518400103,249,249
1518402034,251,251
1518403967,255,255
1518405889,255,255
1518407778,258,258
1518409708,260,260
1518411681,261,261
1518413796,272,272
1518415730,282,282
1518417862,301,301
1518419815,311,311
1518421946,316,316
1518423886,325,325
1518425772,331,331
1518427967,329,329
1518429882,330,330
1518431804,329,329
1518435015,323,323
1518437091,329,329
1518439236,338,338
1518441162,338,338
1518443081,338,338
1518445014,346,346
1518446931,346,346
1518449090,353,353
1518450993,356,356
1518452917,360,360
1518455071,360,360
1518456984,332,332
1518458935,337,337
1518460951,335,335
1518462767,331,331
1518464690,336,336
1518466596,335,335
1518469512,336,336
1518471649,332,332
1518473585,332,332
1518475457,335,335
1518477416,335,335
1518479575,341,341
1518481461,340,340
1518483718,347,347
1518485571,344,344
1518487492,347,347
1518489622,347,347
1518491563,350,350
1518493456,351,351
1518495394,351,351
1518497296,353,353
1518499232,351,351
1518501134,340,340
1518503079,327,327
1518504982,314,314
1518506929,313,313
1518509918,310,310
1518511931,307,307
1518513778,310,310
1518515719,309,309
1518517685,304,304
1518519692,298,298
1518521859,297,297
1518524128,293,293
1518526252,284,284
1518528062,287,287
1518530346,286,286
1518532150,289,289
1518534236,286,286
1518536428,279,279
1518538362,275,275
1518540276,272,272
1518542217,274,274
1518544128,272,272
1518546038,267,267
1518547955,268,268
1518549879,273,273
1518551805,269,269
1518553720,268,268
1518555696,263,263
1518557800,266,266
1518559712,276,276
1518561899,280,280
1518563801,283,283
1518566393,280,280
1518569236,276,276
1518571504,282,282
1518573400,282,282
1518575359,279,279
1518577831,276,276
1518579642,276,276
1518581762,280,280
1518583694,284,284
1518585631,283,283
1518587563,285,285
1518589422,283,283
1518591687,281,281
1518593816,284,284
1518595698,278,278
1518597891,275,275
1518599812,278,278
1518601735,283,283
1518603762,290,290
1518605574,294,294
1518607468,292,292
1518609404,295,295
1518611301,289,289
1518613285,285,285
1518615134,281,281
1518617095,266,266
1518619222,262,262
1518621173,256,256
1518623062,253,253
1518625225,243,243
1518627162,236,236
1518629092,231,231
1518631007,225,225
1518632929,223,223
1518634883,220,220
1518636992,216,216
1518638932,211,211
1518641082,215,215
1518643015,232,232
1518644938,254,254
1518646845,254,254
1518648944,258,258
1518650924,258,258
1518653018,261,261
1518655023,263,263
1518656921,259,259
1518659085,262,262
1518661256,259,259
1518663162,260,260
1518665327,262,262
1518667280,257,257
1518669427,251,251
1518671328,248,248
