DateTime,AddedIPs,RemovedIPs
1518031469,1,3
1518035568,1,1
1518039616,1,1
1518041457,3,2
1518044287,1,3
1518046112,1,0
1518048183,2,1
1518050446,3,2
1518052371,0,5
1518054291,3,2
1518056207,7,2
1518058121,2,3
1518060045,0,4
1518061965,3,4
1518063893,1,4
1518065780,2,3
1518067953,6,4
1518069875,5,2
1518071817,1,0
1518073732,7,2
1518075620,4,1
1518077551,2,1
1518079478,10,6
1518081298,2,4
1518083316,2,1
1518085249,6,1
1518087137,38,2
1518089057,2,0
1518091008,4,1
1518093335,3,4
1518095549,3,3
1518097462,0,1
1518099319,2,5
1518101319,2,3
1518103303,1,2
1518109305,1,0
1518111192,1,2
1518113081,3,1
1518114987,1,2
1518116892,2,2
1518118782,1,2
1518120734,1,1
1518122546,1,0
1518124612,2,1
1518126727,1,0
1518128928,4,2
1518130972,2,2
1518132918,2,2
1518134949,0,1
1518136852,1,2
1518138989,3,0
1518140913,4,3
1518143009,3,8
1518144977,7,1
1518146813,2,1
1518149081,3,1
1518151030,5,0
1518152914,4,3
1518155102,4,9
1518157055,4,2
1518158926,5,3
1518160846,6,5
1518162751,4,6
1518164687,3,4
1518166590,2,7
1518168507,3,4
1518170482,5,5
1518172367,80,5
1518174274,10,29
1518176191,0,3
1518178131,0,4
1518180027,3,2
1518181832,2,3
1518183857,0,1
1518185802,4,2
1518187969,1,2
1518190121,3,1
1518192129,1,0
1518194186,1,0
1518196126,2,1
1518198016,2,0
1518199945,2,2
1518202106,3,4
1518204040,0,1
1518205946,1,1
1518207884,3,0
1518209783,4,2
1518211727,3,1
1518213875,3,1
1518215780,2,3
1518217969,3,1
1518220123,2,2
1518222057,2,1
1518223948,1,1
1518225890,1,2
1518227784,4,5
1518229975,6,3
1518231871,7,7
1518234051,3,0
1518235972,3,4
1518237890,1,3
1518239998,2,5
1518241960,4,5
1518244010,4,4
1518246084,2,8
1518247885,1,4
1518249859,3,4
1518251735,2,4
1518253950,2,3
1518256150,3,5
1518258027,0,55
1518259964,5,46
1518261863,2,0
