DateTime,Entries,UniqueIPs
1518031469,101,101
1518035568,101,101
1518039616,101,101
1518041457,102,102
1518044287,100,100
1518046112,101,101
1518048183,102,102
1518050446,103,103
1518052371,98,98
1518054291,99,99
1518056207,104,104
1518058121,103,103
1518060045,99,99
1518061965,98,98
1518063893,95,95
1518065780,94,94
1518067953,96,96
1518069875,99,99
1518071817,100,100
1518073732,105,105
1518075620,108,108
1518077551,109,109
1518079478,113,113
1518081298,111,111
1518083316,112,112
1518085249,117,117
1518087137,153,153
1518089057,155,155
1518091008,158,158
1518093335,157,157
1518095549,157,157
1518097462,156,156
1518099319,153,153
1518101319,152,152
1518103303,151,151
1518109305,152,152
1518111192,151,151
1518113081,153,153
1518114987,152,152
1518116892,152,152
1518118782,151,151
1518120734,151,151
1518122546,152,152
1518124612,153,153
1518126727,154,154
1518128928,156,156
1518130972,156,156
1518132918,156,156
1518134949,155,155
1518136852,154,154
1518138989,157,157
1518140913,158,158
1518143009,153,153
1518144977,159,159
1518146813,160,160
1518149081,162,162
1518151030,167,167
1518152914,168,168
1518155102,163,163
1518157055,165,165
1518158926,167,167
1518160846,168,168
1518162751,166,166
1518164687,165,165
1518166590,160,160
1518168507,159,159
1518170482,159,159
1518172367,234,234
1518174274,215,215
1518176191,212,212
1518178131,208,208
1518180027,209,209
1518181832,208,208
1518183857,207,207
1518185802,209,209
1518187969,208,208
1518190121,210,210
1518192129,211,211
1518194186,212,212
1518196126,213,213
1518198016,215,215
1518199945,215,215
1518202106,214,214
1518204040,213,213
1518205946,213,213
1518207884,216,216
1518209783,218,218
1518211727,220,220
1518213875,222,222
1518215780,221,221
1518217969,223,223
1518220123,223,223
1518222057,224,224
1518223948,224,224
1518225890,223,223
1518227784,222,222
1518229975,225,225
1518231871,225,225
1518234051,228,228
1518235972,227,227
1518237890,225,225
1518239998,222,222
1518241960,221,221
1518244010,221,221
1518246084,215,215
1518247885,212,212
1518249859,211,211
1518251735,209,209
1518253950,208,208
1518256150,206,206
1518258027,151,151
1518259964,110,110
1518261863,112,112
1518265706,111,111
1518267711,112,112
1518269572,113,113
1518271728,111,111
1518273651,112,112
1518275857,110,110
1518277953,110,110
1518279889,108,108
1518281784,109,109
1518283724,108,108
1518285683,105,105
1518287846,105,105
1518289722,106,106
1518291655,104,104
1518293574,104,104
1518295497,104,104
1518297404,104,104
1518299819,105,105
1518301713,104,104
1518303681,105,105
1518306001,107,107
1518308005,107,107
1518309892,106,106
1518311846,107,107
1518313729,110,110
1518315909,107,107
1518317806,107,107
1518319738,108,108
1518321676,106,106
1518323841,106,106
1518325727,111,111
1518327901,108,108
1518329810,107,107
1518331972,113,113
1518333881,114,114
1518335810,114,114
1518337961,115,115
1518339920,115,115
1518341811,115,115
1518343760,113,113
1518345646,111,111
1518347582,108,108
1518349487,107,107
1518351591,108,108
1518354077,105,105
1518355976,107,107
1518357889,108,108
1518359804,107,107
1518361938,106,106
1518363864,107,107
1518365705,105,105
1518367720,105,105
1518369751,174,174
1518371567,175,175
1518373778,174,174
1518375684,172,172
1518377793,170,170
1518379960,168,168
1518382139,166,166
1518384043,166,166
1518385954,167,167
1518390110,165,165
1518392258,163,163
1518394140,166,166
1518396046,167,167
1518398197,167,167
1518400105,168,168
1518402036,168,168
1518403970,164,164
1518405891,163,163
1518407780,162,162
1518409711,159,159
1518411683,154,154
1518413799,154,154
1518415733,155,155
1518417865,153,153
1518419816,153,153
1518421947,152,152
1518423887,155,155
1518425773,155,155
1518427969,154,154
1518429883,155,155
1518431805,155,155
1518435019,157,157
1518437093,154,154
1518439238,158,158
1518441163,155,155
1518443082,150,150
1518445015,152,152
1518446932,153,153
1518449091,155,155
1518450994,153,153
1518452919,153,153
1518456985,87,87
1518460952,89,89
1518462769,90,90
1518464692,93,93
1518466599,92,92
1518469515,93,93
1518471652,147,147
1518473586,148,148
1518475458,147,147
1518479576,147,147
1518481462,144,144
1518483720,153,153
1518485572,156,156
1518487493,157,157
1518489624,160,160
1518491564,164,164
1518493457,161,161
1518495395,166,166
1518497297,167,167
1518499233,171,171
1518501135,171,171
1518503080,171,171
1518504983,168,168
1518506931,167,167
1518509919,170,170
1518511931,173,173
1518513779,173,173
1518515720,176,176
1518517687,178,178
1518519694,180,180
1518521861,180,180
1518524131,180,180
1518526254,180,180
1518528065,182,182
1518530349,182,182
1518532152,182,182
1518534238,182,182
1518536430,180,180
1518540278,179,179
1518544131,176,176
1518546039,175,175
1518547956,171,171
1518549880,170,170
1518551806,171,171
1518553721,169,169
1518555698,169,169
1518557801,113,113
1518561900,113,113
1518563802,116,116
1518566395,115,115
1518569238,112,112
1518571506,102,102
1518573402,100,100
1518575361,98,98
1518577832,92,92
1518579643,89,89
1518581763,85,85
1518583696,83,83
1518585633,81,81
1518587565,77,77
1518589425,75,75
1518591689,75,75
1518593819,73,73
1518595699,70,70
1518597892,69,69
1518599813,66,66
1518601736,66,66
1518603763,63,63
1518605575,61,61
1518607469,60,60
1518609405,60,60
1518611303,61,61
1518613286,58,58
1518615136,56,56
1518617097,53,53
1518619223,51,51
1518623063,52,52
1518627163,134,134
1518629094,138,138
1518631008,139,139
