DateTime,Entries,UniqueIPs
1518122547,707,707
1518124612,717,717
1518126728,730,730
1518128928,727,727
1518130972,714,714
1518132918,708,708
1518134949,702,702
1518136853,703,703
1518138989,699,699
1518140913,691,691
1518143009,687,687
1518144978,676,676
1518146814,671,671
1518149081,679,679
1518151031,669,669
1518152915,665,665
1518155102,665,665
1518157055,658,658
1518158926,649,649
1518160846,639,639
1518162752,628,628
1518164688,623,623
1518166591,613,613
1518168508,600,600
1518170482,596,596
1518172368,585,585
1518174274,585,585
1518176191,575,575
1518178131,566,566
1518180028,556,556
1518181832,533,533
1518183858,523,523
1518185802,508,508
1518187969,536,536
1518190121,531,531
1518192130,531,531
1518194186,537,537
1518196127,545,545
1518198016,552,552
1518199947,549,549
1518202106,559,559
1518204040,580,580
1518205947,584,584
1518207884,590,590
1518209783,588,588
1518211727,571,571
1518213875,624,624
1518215780,662,662
1518217969,666,666
1518220123,671,671
1518222057,667,667
1518223949,667,667
1518225890,668,668
1518227784,667,667
1518229976,669,669
1518231871,667,667
1518234052,676,676
1518235972,677,677
1518237891,678,678
1518239998,680,680
1518241960,674,674
1518244010,676,676
1518246084,681,681
1518247885,680,680
1518249859,686,686
1518251735,688,688
1518253951,689,689
1518256151,693,693
1518258027,692,692
1518259965,694,694
1518261863,694,694
1518263904,691,691
1518265706,693,693
1518267711,690,690
1518269572,695,695
1518271728,698,698
1518273651,629,629
1518275858,628,628
1518277953,623,623
1518279890,615,615
1518281785,608,608
1518283724,601,601
1518285683,594,594
1518287846,598,598
1518289723,564,564
1518291655,564,564
1518293574,561,561
1518295498,556,556
1518297404,550,550
1518299820,537,537
1518301714,456,456
1518303681,456,456
1518306001,454,454
1518308006,451,451
1518309892,452,452
1518311846,447,447
1518313729,444,444
1518315910,438,438
1518317806,443,443
1518319739,435,435
1518321677,432,432
1518323841,427,427
1518325727,421,421
1518327902,418,418
1518329810,415,415
1518331972,412,412
1518333881,410,410
1518335810,407,407
1518337961,403,403
1518339920,405,405
1518341811,403,403
1518343760,400,400
1518345647,398,398
1518347583,397,397
1518349487,396,396
1518351591,403,403
1518354077,408,408
1518355976,399,399
1518357890,403,403
1518359804,401,401
1518361938,395,395
1518363864,396,396
1518365706,397,397
1518367720,403,403
1518369751,408,408
1518371567,412,412
1518373778,404,404
1518375684,399,399
1518377794,400,400
1518379961,400,400
1518382139,408,408
1518384043,406,406
1518385955,410,410
1518387874,410,410
1518390110,402,402
1518392258,406,406
1518394140,412,412
1518396046,413,413
1518398197,414,414
1518400106,412,412
1518402037,422,422
1518403970,420,420
1518405891,422,422
1518407781,431,431
1518409711,433,433
1518411683,436,436
1518413799,447,447
1518415733,450,450
1518417865,453,453
1518419816,457,457
1518421947,461,461
1518423888,462,462
1518425774,462,462
1518427969,461,461
1518429883,458,458
1518431806,461,461
1518435019,472,472
1518437093,470,470
1518439238,460,460
1518441164,454,454
1518443082,451,451
1518445015,458,458
1518446933,459,459
1518449092,471,471
1518450995,478,478
1518452919,479,479
1518455073,483,483
1518456986,479,479
1518458937,487,487
1518460952,485,485
1518462770,488,488
1518464693,487,487
1518466599,487,487
1518469515,491,491
1518471652,487,487
1518473586,485,485
1518475458,484,484
1518477417,484,484
1518479576,480,480
1518481462,482,482
1518483720,483,483
1518485573,490,490
1518487493,493,493
1518489624,489,489
1518491565,488,488
1518493457,487,487
1518495395,771,771
1518497297,774,774
1518499233,767,767
1518501135,769,769
1518503080,765,765
1518504983,765,765
1518506931,763,763
1518509919,764,764
1518511932,770,770
1518513780,773,773
1518515720,774,774
1518517688,782,782
1518519695,815,815
1518521862,853,853
1518524131,885,885
1518526255,921,921
1518528065,949,949
1518530349,977,977
1518532152,1003,1003
1518534238,1029,1029
1518536431,1050,1050
1518538365,1076,1076
1518540279,1100,1100
1518542220,1140,1140
1518544131,1168,1168
1518546040,1185,1185
1518547957,1192,1192
1518549881,1205,1205
1518551807,1211,1211
1518553721,1211,1211
1518555698,1200,1200
1518557802,1198,1198
1518559713,1199,1199
1518561901,1206,1206
1518563802,1209,1209
1518566395,1214,1214
1518569238,1215,1215
1518571506,1208,1208
1518573402,1206,1206
1518575361,1202,1202
1518577832,1196,1196
1518579643,1192,1192
1518581764,903,903
1518583696,898,898
1518585633,897,897
1518587565,903,903
1518589425,901,901
1518591690,908,908
1518593819,908,908
1518595699,908,908
1518597892,902,902
1518599813,901,901
1518601737,899,899
1518603763,894,894
1518605576,869,869
1518607470,833,833
1518609405,797,797
1518611303,770,770
1518613287,742,742
1518615136,710,710
1518617097,688,688
1518619223,695,695
1518621175,659,659
1518623064,637,637
1518625227,606,606
1518627163,576,576
1518629094,539,539
1518631009,502,502
1518632931,510,510
1518634885,487,487
1518636994,486,486
1518638935,489,489
1518641085,494,494
1518643018,490,490
1518644940,505,505
1518646848,506,506
1518648947,503,503
1518650927,504,504
1518653021,510,510
1518655026,507,507
1518656924,510,510
1518659087,509,509
1518661257,516,516
1518663164,525,525
1518665329,545,545
1518667282,563,563
1518669428,597,597
1518671329,611,611
1518673494,660,660
1518675409,655,655
1518677575,665,665
1518679478,673,673
1518681408,689,689
1518683297,695,695
1518685292,705,705
1518687164,716,716
1518689338,726,726
1518691236,746,746
1518693168,746,746
1518695061,748,748
1518697413,754,754
1518699693,762,762
1518701601,772,772
1518703479,777,777
1518705421,755,755
1518707324,733,733
1518709280,736,736
1518711166,735,735
1518713347,729,729
1518715222,739,739
1518717196,744,744
1518719350,734,734
1518721305,738,738
1518723272,733,733
1518725091,727,727
1518726980,734,734
1518728946,727,727
1518730841,718,718
1518733012,715,715
1518734935,714,714
1518736993,710,710
1518739395,698,698
1518741407,701,701
1518743350,698,698
1518745237,695,695
1518747161,700,700
1518749075,695,695
1518751004,695,695
1518753166,681,681
1518755083,649,649
1518757319,640,640
1518759320,637,637
1518761545,581,581
1518763368,580,580
1518765402,577,577
1518767358,573,573
1518769240,577,577
1518771292,587,587
1518773291,586,586
1518775476,590,590
1518777406,581,581
1518779747,597,597
1518781705,606,606
1518783595,617,617
1518785549,617,617
1518787742,624,624
1518789689,638,638
1518791578,632,632
1518793494,645,645
1518796424,648,648
1518798303,656,656
1518800242,660,660
1518802173,663,663
1518804316,675,675
1518806241,685,685
1518808110,692,692
1518810030,702,702
1518812226,704,704
1518814139,712,712
1518816305,727,727
1518818209,739,739
1518820150,746,746
1518822305,748,748
1518824242,759,759
1518826365,763,763
1518828289,764,764
1518830254,765,765
1518832124,769,769
1518834324,767,767
1518836186,778,778
1518838361,773,773
1518840280,774,774
1518842201,771,771
1518844125,776,776
1518846026,779,779
1518847954,784,784
1518849872,783,783
1518851798,786,786
1518853716,779,779
1518855636,772,772
1518857552,765,765
1518859471,756,756
1518861393,756,756
1518863322,758,758
1518865473,759,759
1518867399,753,753
1518869433,761,761
1518871489,767,767
1518873752,773,773
1518875885,787,787
1518877973,779,779
1518879872,769,769
1518882044,767,767
1518883960,771,771
1518886079,765,765
1518888015,771,771
1518889938,764,764
1518891878,765,765
1518894229,806,806
1518896175,837,837
1518898060,855,855
1518900042,851,851
1518902218,844,844
1518904132,848,848
1518906295,857,857
1518908203,862,862
1518910956,872,872
1518912770,887,887
1518914683,887,887
1518916610,895,895
1518918769,898,898
1518920660,905,905
