DateTime,AddedIPs,RemovedIPs
1514890296,1,1
1514892262,1,0
1514898398,1,0
1514908378,0,1
1514921068,1,0
1514952751,0,1
1514968118,1,0
1514975807,0,1
1514977746,0,1
1514981672,6,0
1514983473,0,1
1515006767,0,1
1515016592,1,0
1515133542,7,4
1515137385,0,4
1515139314,1,0
1515145036,0,1
1515160886,1,0
1515174758,0,1
1515192065,0,1
1515196624,0,1
1515198514,0,1
1515208119,0,1
1515217949,1,0
1515230103,1,0
1515235926,0,1
1515247611,0,1
1515263265,1,0
1515300146,1,0
1515317759,0,1
1515344513,1,0
1515346368,0,1
1515350428,0,1
1515376900,2,0
1515378739,1,0
1515382752,1,0
1515386932,1,1
1515415859,1,0
1515439435,6,0
1515450490,0,1
1515462483,0,2
1515464438,0,1
1515468274,1,1
1515472369,0,1
1515474457,1,0
1515489881,1,0
1515501438,0,1
1515505258,1,0
1515515066,1,0
1515525192,0,6
1515527076,1,0
1515547010,1,0
1515554675,0,1
1515556926,1,0
1515560784,0,1
1515576073,0,1
1515577960,1,0
1515590133,0,1
1515597848,1,0
1515599665,1,0
1515603527,0,1
1515613408,0,1
1515633671,0,1
1515643293,1,1
1515645155,1,0
1515659688,0,1
1515675465,1,0
1515687344,0,1
1515691696,1,0
1515693910,1,0
1515695811,1,0
1515711533,1,1
1515719335,0,1
1515723416,2,0
1515725302,1,0
1515729176,1,1
1515731333,0,1
1515735410,1,0
1515752931,1,0
1515758683,2,0
1515762762,1,1
1515772887,1,0
1515776689,1,0
1515778585,0,1
1515780542,1,2
1515784594,2,0
1515790894,1,0
1515794573,1,0
1515798748,1,1
1515802896,1,0
1515809079,0,1
1515811119,2,1
1515817020,2,1
1515820841,2,1
1515824926,1,0
1515826912,1,0
1515828765,0,1
1515836683,1,0
1515838837,0,1
1515844622,0,2
1515848492,0,1
1515854211,1,0
1515858303,0,1
1515862179,2,1
1515865959,0,1
1515870092,0,1
1515872229,0,1
1515876059,0,1
1515877991,1,0
1515881875,1,1
1515885663,1,1
1515887576,1,0
1515889519,0,1
1515893363,1,0
1515897266,0,2
1515902992,1,1
1515904963,1,1
1515906780,0,1
1515908758,1,0
1515910650,0,1
1515912861,0,1
1515922592,1,0
1515924434,0,1
1515932104,1,0
1515943967,1,0
1515947821,0,1
1515951632,0,1
1515955493,1,0
1515959340,1,0
