DateTime,Entries,UniqueIPs
1514890296,3,3
1514892262,4,4
1514898398,5,5
1514908378,4,4
1514921068,5,5
1514952751,4,4
1514968118,5,5
1514975807,4,4
1514977746,3,3
1514981672,9,9
1514983473,8,8
1515006767,7,7
1515016592,8,8
1515133542,11,11
1515137385,7,7
1515139314,8,8
1515145036,7,7
1515160886,8,8
1515174758,7,7
1515192065,6,6
1515196624,5,5
1515198514,4,4
1515208119,3,3
1515217949,4,4
1515230103,5,5
1515235926,4,4
1515247611,3,3
1515263265,4,4
1515300146,5,5
1515317759,4,4
1515344513,5,5
1515346368,4,4
1515350428,3,3
1515376900,5,5
1515378739,6,6
1515382752,7,7
1515386932,7,7
1515415859,8,8
1515439435,14,14
1515450490,13,13
1515462483,11,11
1515464438,10,10
1515468274,10,10
1515472369,9,9
1515474457,10,10
1515489881,11,11
1515501438,10,10
1515505258,11,11
1515515066,12,12
1515525192,6,6
1515527076,7,7
1515547010,8,8
1515554675,7,7
1515556926,8,8
1515560784,7,7
1515576073,6,6
1515577960,7,7
1515590133,6,6
1515597848,7,7
1515599665,8,8
1515603527,7,7
1515613408,6,6
1515633671,5,5
1515643293,5,5
1515645155,6,6
1515659688,5,5
1515675465,6,6
1515687344,5,5
1515691696,6,6
1515693910,7,7
1515695811,8,8
1515711533,8,8
1515719335,7,7
1515723416,9,9
1515725302,10,10
1515729176,10,10
1515731333,9,9
1515735410,10,10
1515752931,11,11
1515758683,13,13
1515762762,13,13
1515772887,14,14
1515776689,15,15
1515778585,14,14
1515780542,13,13
1515784594,15,15
1515790894,16,16
1515794573,17,17
1515798748,17,17
1515802896,18,18
1515809079,17,17
1515811119,18,18
1515817020,19,19
1515820841,20,20
1515824926,21,21
1515826912,22,22
1515828765,21,21
1515836683,22,22
1515838837,21,21
1515844622,19,19
1515848492,18,18
1515854211,19,19
1515858303,18,18
1515862179,19,19
1515865959,18,18
1515870092,17,17
1515872229,16,16
1515876059,15,15
1515877991,16,16
1515881875,16,16
1515885663,16,16
1515887576,17,17
1515889519,16,16
