DateTime,Entries,UniqueIPs
1518122548,326,326
1518124614,322,322
1518126730,314,314
1518128930,314,314
1518130974,313,313
1518132920,314,314
1518134951,308,308
1518136855,307,307
1518138991,309,309
1518140916,312,312
1518143011,312,312
1518144980,309,309
1518146816,304,304
1518149083,301,301
1518151033,300,300
1518152917,292,292
1518155104,287,287
1518157058,286,286
1518158928,284,284
1518160848,278,278
1518162754,275,275
1518164690,269,269
1518166593,268,268
1518168510,271,271
1518170484,269,269
1518172370,267,267
1518174276,265,265
1518176193,261,261
1518178133,265,265
1518180030,266,266
1518181835,265,265
1518183859,264,264
1518185804,268,268
1518187971,268,268
1518190123,252,252
1518192132,249,249
1518194188,250,250
1518196129,247,247
1518198018,248,248
1518199949,243,243
1518202108,247,247
1518204042,250,250
1518205949,240,240
1518207886,239,239
1518209785,234,234
1518211730,237,237
1518213877,245,245
1518215782,242,242
1518217971,243,243
1518220125,244,244
1518222060,245,245
1518223951,243,243
1518225892,242,242
1518227786,244,244
1518229978,247,247
1518231873,246,246
1518234054,244,244
1518235975,249,249
1518240000,251,251
1518241962,254,254
1518244012,253,253
1518246086,254,254
1518247887,254,254
1518249861,262,262
1518251737,263,263
1518253952,264,264
1518256153,264,264
1518258030,272,272
1518259967,272,272
1518261865,275,275
1518263905,266,266
1518265708,271,271
1518267713,274,274
1518269575,273,273
1518271730,272,272
1518273654,276,276
1518275860,280,280
1518277956,286,286
1518279892,290,290
1518281787,290,290
1518283727,287,287
1518285685,287,287
1518287848,285,285
1518289725,285,285
1518291657,284,284
1518293576,291,291
1518295502,290,290
1518297408,292,292
1518299822,282,282
1518301716,286,286
1518303683,285,285
1518306004,282,282
1518308008,279,279
1518309894,273,273
1518311848,272,272
1518313731,281,281
1518315912,277,277
1518317808,277,277
1518319741,277,277
1518321680,274,274
1518323843,275,275
1518325729,276,276
1518327904,280,280
1518329812,280,280
1518331974,280,280
1518333883,279,279
1518335812,271,271
1518337963,281,281
1518339922,278,278
1518341813,276,276
1518343762,271,271
1518345649,269,269
1518347585,269,269
1518349489,269,269
1518351593,265,265
1518354079,266,266
1518355978,263,263
1518357892,268,268
1518359806,267,267
1518361940,266,266
1518363866,267,267
1518365708,380,380
1518367722,449,449
1518369754,452,452
1518371570,453,453
1518373780,449,449
1518375686,449,449
1518377796,452,452
1518379963,451,451
1518382141,450,450
1518384045,445,445
1518385957,447,447
1518387876,445,445
1518390112,450,450
1518392261,456,456
1518394143,458,458
1518396048,466,466
1518398199,471,471
