DateTime,Entries,UniqueIPs
1517882672,72,72
1517884609,76,76
1517886533,74,74
1517888421,73,73
1517890365,75,75
1517892260,74,74
1517894209,75,75
1517896131,75,75
1517898025,73,73
1517899960,70,70
1517901878,73,73
1517903800,74,74
1517905695,75,75
1517907709,72,72
1517909541,70,70
1517911482,68,68
1517913377,71,71
1517916399,68,68
1517918254,68,68
1517920111,69,69
1517922209,70,70
1517924185,71,71
1517928013,70,70
1517930212,69,69
1517932293,71,71
1517934523,69,69
1517936493,68,68
1517940272,69,69
1517946274,69,69
1517950119,67,67
1517953955,67,67
1517955869,64,64
1517957827,62,62
1517959707,60,60
1517961701,59,59
1517963548,57,57
1517965476,57,57
1517967391,59,59
1517969330,59,59
1517971238,59,59
1517973149,57,57
1517975086,58,58
1517976992,59,59
1517978908,61,61
1517980839,62,62
1517982771,63,63
1517986606,62,62
1517988511,62,62
1517990483,62,62
1517992360,63,63
1517994298,62,62
1517996365,63,63
1517998611,63,63
1518000529,61,61
1518002528,60,60
1518004362,57,57
1518006280,56,56
1518008205,56,56
1518010101,57,57
1518012133,59,59
1518013965,58,58
1518015897,59,59
1518017780,59,59
1518027413,59,59
1518029308,59,59
1518031472,60,60
1518035573,60,60
1518039618,61,61
1518041460,62,62
1518046115,63,63
1518048186,64,64
1518050449,65,65
1518052373,63,63
1518054294,64,64
1518056209,63,63
1518058123,60,60
1518060048,59,59
1518061968,57,57
1518063895,55,55
1518065783,54,54
1518067955,52,52
1518069878,51,51
1518071819,52,52
1518073734,56,56
1518075622,57,57
1518077553,57,57
1518079482,58,58
1518081301,60,60
1518083319,60,60
1518085252,64,64
1518087140,65,65
1518089059,67,67
1518091011,68,68
1518093337,68,68
1518095552,67,67
1518097465,66,66
1518099321,67,67
1518101323,68,68
1518103306,67,67
1518107320,68,68
1518111195,68,68
1518113083,69,69
1518114990,69,69
1518116895,70,70
1518118784,70,70
1518120737,69,69
1518124614,69,69
1518126730,68,68
1518128930,69,69
1518132921,69,69
1518136855,67,67
1518138992,68,68
1518140916,67,67
1518143012,69,69
1518144980,74,74
1518146816,76,76
1518149084,77,77
1518151033,79,79
1518152917,79,79
1518155105,76,76
1518157058,78,78
1518158928,79,79
1518160848,76,76
1518162754,76,76
1518164690,78,78
1518166593,74,74
1518168510,75,75
1518170485,75,75
1518172370,74,74
1518174276,72,72
1518176194,70,70
1518178134,69,69
1518180030,69,69
1518181835,70,70
1518185804,69,69
1518187971,68,68
1518190123,71,71
1518192133,72,72
1518196129,73,73
1518198019,75,75
1518199949,77,77
1518202108,76,76
1518205949,77,77
1518207886,79,79
1518209786,79,79
1518211730,81,81
1518213877,83,83
1518215783,83,83
1518217971,86,86
1518220126,84,84
1518222060,85,85
1518223951,86,86
1518225892,86,86
1518227787,87,87
1518229978,88,88
1518231873,89,89
1518234055,92,92
1518235975,90,90
1518237893,89,89
1518240001,88,88
1518241962,86,86
1518244013,84,84
1518246086,83,83
1518247888,82,82
1518249861,81,81
1518251737,79,79
1518253953,79,79
1518256154,80,80
1518258030,79,79
1518259967,82,82
1518261866,84,84
1518265709,84,84
1518267714,83,83
1518269575,85,85
1518271731,85,85
1518273654,86,86
1518275860,84,84
1518277956,83,83
1518279892,82,82
1518283727,80,80
1518285686,77,77
1518287848,76,76
1518289725,78,78
1518291658,77,77
1518293576,77,77
1518295503,79,79
1518297408,78,78
1518299822,78,78
1518301716,77,77
1518303684,78,78
1518306004,81,81
1518308008,81,81
1518311848,82,82
1518313731,84,84
1518315912,82,82
1518317808,80,80
1518319741,81,81
1518321681,80,80
1518323843,80,80
1518325730,84,84
1518327904,82,82
1518329812,80,80
1518331974,84,84
1518333884,85,85
1518335812,83,83
1518337964,83,83
1518339923,83,83
1518341813,82,82
1518343762,80,80
1518345649,79,79
1518347585,77,77
1518349489,77,77
1518351593,79,79
1518354079,79,79
1518355979,79,79
1518357892,80,80
1518359806,78,78
1518361941,77,77
1518363866,78,78
1518365709,78,78
1518367722,79,79
1518369754,79,79
1518371570,80,80
1518375686,78,78
1518377796,76,76
1518379963,74,74
1518382141,72,72
1518384046,73,73
1518385957,72,72
1518390112,70,70
1518392261,68,68
1518394143,68,68
1518398199,67,67
1518400108,67,67
1518402039,68,68
1518403975,66,66
1518405894,64,64
1518407783,63,63
1518409713,62,62
1518411686,59,59
1518413802,59,59
1518415735,61,61
1518417867,57,57
1518419819,56,56
1518421950,55,55
1518423890,56,56
1518425777,56,56
1518427971,56,56
1518429886,57,57
1518431808,58,58
1518435024,59,59
1518437096,56,56
1518439241,59,59
1518441166,58,58
1518443085,54,54
1518446935,55,55
1518450997,53,53
1518452921,52,52
1518456989,52,52
1518460955,53,53
1518462772,54,54
1518464695,55,55
1518466602,54,54
1518469518,54,54
1518471656,53,53
1518475460,54,54
1518479579,53,53
1518481465,52,52
1518483722,58,58
1518485575,59,59
1518487496,58,58
1518489626,57,57
1518491567,58,58
1518493459,56,56
1518495399,61,61
1518497300,61,61
1518499236,64,64
1518501137,63,63
1518503083,63,63
1518504986,61,61
1518506933,63,63
1518508883,62,62
1518510764,61,61
1518512672,63,63
1518514608,62,62
1518516530,62,62
1518518422,66,66
1518520612,67,67
1518522419,68,68
1518524440,66,66
1518526257,65,65
1518528068,66,66
1518530351,68,68
1518532155,68,68
1518534241,68,68
1518542223,67,67
1518544133,66,66
1518547959,65,65
1518549883,65,65
1518551809,64,64
1518553723,63,63
1518557804,63,63
1518561903,64,64
1518563805,67,67
1518566398,66,66
1518569241,65,65
1518571509,59,59
1518573404,58,58
1518575364,58,58
1518577835,55,55
1518579646,54,54
1518581766,51,51
1518583698,50,50
1518585636,49,49
1518587567,47,47
1518589427,46,46
1518591692,46,46
1518593821,44,44
1518595702,42,42
1518597894,43,43
1518599816,41,41
1518601739,41,41
1518603766,39,39
1518605578,36,36
1518607472,35,35
1518609408,34,34
1518613289,33,33
1518615139,32,32
1518617099,29,29
1518619226,28,28
1518629097,31,31
1518636996,32,32
1518638938,31,31
1518641087,32,32
1518644943,33,33
1518646850,32,32
1518648950,31,31
1518650929,29,29
1518656926,26,26
1518661260,24,24
1518667285,23,23
1518669431,24,24
1518671332,25,25
1518673497,25,25
1518675411,25,25
1518677577,24,24
1518679480,27,27
1518681411,26,26
1518683300,25,25
1518685295,24,24
1518687166,23,23
1518689340,22,22
1518691239,21,21
1518693171,20,20
1518697416,21,21
1518699695,22,22
1518703482,23,23
1518707327,22,22
1518711168,23,23
1518713350,24,24
1518715225,22,22
1518717198,22,22
1518723275,21,21
1518725093,20,20
1518726983,21,21
1518728949,21,21
1518730844,20,20
1518734938,22,22
1518739398,23,23
1518741409,24,24
1518747164,24,24
1518749078,25,25
1518755085,24,24
1518757322,23,23
1518759322,22,22
1518761548,21,21
1518763371,22,22
1518765406,19,19
1518771294,19,19
1518773294,19,19
1518777409,20,20
1518779749,22,22
1518783598,21,21
1518787745,20,20
1518789691,20,20
1518796427,21,21
1518798306,22,22
1518800244,21,21
1518804319,21,21
1518806244,22,22
1518808112,23,23
1518812229,24,24
1518814142,22,22
1518816308,23,23
1518822308,22,22
1518826368,21,21
1518828292,20,20
1518834327,22,22
1518836189,21,21
1518838364,22,22
1518840285,23,23
1518842204,24,24
1518844128,25,25
1518849875,23,23
1518851801,24,24
1518853719,25,25
1518857554,25,25
1518859474,24,24
1518861396,26,26
1518863324,27,27
1518865476,26,26
1518867402,25,25
1518869435,26,26
1518873754,27,27
1518875888,25,25
1518882047,27,27
1518883963,28,28
1518888018,27,27
1518889940,27,27
1518894231,27,27
1518896177,27,27
1518900044,26,26
1518904134,25,25
1518906297,26,26
1518908206,27,27
1518914685,27,27
1518918772,26,26
1518920662,25,25
1518922882,25,25
1518925161,26,26
1518927410,24,24
1518931230,24,24
1518933168,25,25
1518935066,24,24
1518937003,23,23
1518938923,25,25
1518941047,25,25
1518942978,24,24
1518944903,25,25
1518947869,26,26
1518949709,25,25
1518953571,26,26
1518955502,25,25
1518959564,24,24
1518965239,25,25
1518967229,24,24
1518969381,23,23
1518973469,22,22
1518977314,21,21
1518979222,22,22
1518981205,21,21
1518985008,22,22
1518986931,23,23
1518988844,25,25
1518992662,24,24
1518995831,23,23
1518997706,24,24
1518999784,27,27
1519002080,26,26
1519005888,28,28
1519007809,29,29
1519009714,28,28
1519011646,28,28
1519017404,27,27
1519019323,27,27
1519021240,26,26
1519023164,28,28
1519025060,27,27
1519028917,28,28
1519030869,28,28
1519032759,26,26
1519039004,25,25
1519040896,26,26
1519042954,27,27
1519045276,28,28
1519051244,29,29
1519053146,28,28
1519055087,29,29
1519057014,30,30
1519059163,31,31
1519065237,30,30
1519067107,31,31
1519071407,30,30
1519074314,32,32
1519076444,32,32
1519080531,32,32
1519082449,31,31
1519086536,29,29
1519088530,31,31
1519092281,29,29
1519098011,30,30
1519102130,31,31
1519105981,30,30
1519107868,31,31
1519109819,29,29
1519111706,30,30
1519113687,32,32
1519115550,31,31
1519117517,33,33
1519123229,34,34
