DateTime,AddedIPs,RemovedIPs
1517691177,0,3
1517695293,2,3
1517699489,2,2
1517703658,2,1
1517705739,1,0
1517707966,1,1
1517710145,2,1
1517712032,1,3
1517715884,1,1
1517717804,1,2
1517719723,2,3
1517721647,1,2
1517723564,2,1
1517727392,1,2
1517729311,3,1
1517731290,1,2
1517733399,0,1
1517735309,1,4
1517737235,2,0
1517739169,2,2
1517741340,1,4
1517743229,2,4
1517745168,3,1
1517747085,1,1
1517749001,4,1
1517750927,1,4
1517752886,2,2
1517754751,1,3
1517756682,0,1
1517758590,2,6
1517760544,2,3
1517762534,3,1
1517764626,0,2
1517766513,0,2
1517770040,1,3
1517772168,1,2
1517773972,1,3
1517776044,2,0
1517779919,1,0
1517781863,0,2
1517787639,1,2
1517789816,0,1
1517791975,1,2
1517793906,1,0
1517796093,1,3
1517797974,1,0
1517799883,2,1
1517801814,0,1
1517803742,1,0
1517805654,0,3
1517807575,1,1
1517809475,0,1
1517811426,4,1
1517813341,1,1
1517815478,2,1
1517817689,0,3
1517819566,1,0
1517821473,0,1
1517823420,1,2
1517825334,1,2
1517827493,2,1
1517829853,3,2
1517831776,2,3
1517833698,3,1
1517835681,1,4
1517837488,2,1
1517839461,3,2
1517841397,4,1
1517843559,1,0
1517845484,3,3
1517847398,1,3
1517849308,1,1
1517851229,2,0
1517853388,2,0
1517855554,4,0
1517857476,1,2
1517859411,1,1
1517861541,1,2
1517863492,1,0
1517865388,2,0
1517867327,1,1
1517869230,3,0
1517871177,1,0
1517873074,1,1
1517875006,3,0
1517876921,1,1
1517880766,2,2
1517882672,4,0
1517884610,0,2
1517886533,2,1
1517888422,1,0
1517890365,0,1
1517892261,1,0
1517894210,1,1
1517896131,1,0
1517898025,0,5
1517899961,4,0
1517901879,1,2
1517907710,0,1
1517909542,0,1
1517913377,0,1
1517916400,0,6
1517918255,0,2
1517920112,0,2
1517922209,0,1
1517924185,0,3
1517926005,0,2
1517928014,0,4
1517930213,1,3
1517932293,0,1
1517934524,0,1
1517936494,0,2
1517938401,0,1
1517940272,1,2
1517942442,3,4
1517944360,0,2
1517946274,3,0
1517948195,2,1
1517950119,1,1
1517952030,3,2
1517953955,1,1
1517955869,1,3
1517957828,0,1
1517959708,3,2
1517961702,0,2
1517963549,2,1
1517965476,2,0
1517967392,2,3
1517969331,2,3
1517973150,0,2
1517975087,1,1
1517976993,1,0
1517978909,0,1
1517980840,0,1
1517982772,2,1
1517984669,1,0
1517986608,2,4
1517988512,4,1
1517990484,2,0
1517992361,1,0
1517994299,1,0
1517996366,1,0
1517998612,2,0
1518000529,1,0
1518002530,2,0
1518004363,3,0
1518006281,3,0
1518008206,2,0
1518010102,1,0
1518015898,2,0
1518017781,1,0
1518019734,3,0
1518021654,2,0
1518023575,4,0
1518025463,1,0
1518027413,1,2
1518029309,1,2
1518031472,3,1
1518033380,2,2
1518035574,3,3
1518037687,1,1
1518039619,0,2
1518041461,2,2
1518044290,3,1
1518046116,0,2
1518048187,1,1
1518050450,2,1
1518052374,1,2
1518054295,1,2
1518056210,0,2
1518058124,3,0
1518060048,1,0
1518061969,1,1
1518063896,3,1
1518067956,0,2
1518069879,1,0
1518071820,1,3
1518073735,2,0
1518075623,2,5
1518077554,2,1
1518079483,1,2
1518081301,2,0
1518083319,3,2
1518085253,0,1
1518087141,2,1
1518089060,2,2
1518091012,0,3
1518093338,5,5
1518095553,1,1
1518097466,4,0
1518099322,2,0
1518103306,0,4
1518105137,0,1
1518107320,0,4
1518109308,0,1
1518111196,0,3
1518113084,0,2
1518114991,0,1
1518116896,0,1
1518118785,0,4
1518122550,0,3
1518124615,0,1
1518128931,0,5
1518132921,0,1
1518136856,0,2
1518138993,0,1
1518140917,0,1
1518144981,0,3
1518146817,0,1
1518149084,0,3
1518151034,0,1
1518157059,0,1
1518158929,0,3
1518162755,0,2
1518164691,0,2
1518166594,0,2
1518168511,0,4
1518172371,0,1
1518174277,0,1
1518176194,0,2
1518178134,0,1
1518180031,0,5
1518183861,0,4
1518229011,1,2
1518258529,1,0
1518268585,2,0
1518284209,1,0
1518313732,1,0
1518315913,1,1
1518329813,1,0
1518345650,0,1
1518355979,0,2
1518371571,0,1
1518400109,0,1
1518402040,0,1
1518413802,0,1
1518423631,1,0
1518499236,1,0
1518510764,0,1
1518512672,3,0
1518516531,2,0
1518518423,1,0
1518520613,1,0
1518559716,2,0
1518561904,2,0
1518563805,2,0
1518569242,1,0
1518571509,2,0
1518577836,2,0
1518579647,2,0
1518581767,1,0
1518583699,1,0
1518585637,2,1
1518589428,2,0
1518591693,1,0
1518593822,1,0
1518595702,1,0
1518597895,0,2
1518599817,0,1
1518601740,1,1
1518603766,4,2
1518605579,2,0
1518607473,0,1
1518609409,3,0
1518611306,2,0
1518613290,1,0
1518615139,6,0
1518617100,3,0
1518619227,1,0
1518621178,3,0
1518623067,4,0
1518625230,4,0
1518627167,2,0
1518629098,5,0
1518631014,2,0
1518632934,1,0
1518634888,4,0
1518636997,1,0
1518638939,2,0
1518641088,2,0
1518644944,1,1
1518646851,2,2
1518648950,0,1
1518650930,2,2
1518655029,0,1
1518656927,1,2
1518661260,4,0
1518663167,1,1
1518665332,3,2
1518667285,0,1
1518669432,4,2
1518671333,4,1
1518673497,2,1
1518675412,1,1
1518677578,5,1
1518679481,3,1
1518681411,2,1
1518683300,2,1
1518685295,3,0
1518687167,0,1
1518689341,2,3
1518691240,3,3
1518693172,3,0
1518695064,1,1
1518697416,4,4
1518699696,2,1
1518701604,3,6
1518703483,2,3
1518705424,3,1
1518707327,1,2
1518709284,4,5
1518711169,1,4
1518713351,1,2
1518715225,1,3
1518717199,1,4
1518719353,1,1
1518721308,1,4
1518723276,2,1
1518725094,0,2
1518726983,0,2
1518728949,2,0
1518730845,1,1
1518733017,1,1
1518734938,3,1
1518739398,1,2
1518741410,2,0
1518743355,2,1
1518745240,1,0
1518747164,2,2
1518749078,0,2
1518751008,0,1
1518753173,2,3
1518755086,2,3
1518757322,2,5
1518759323,1,1
1518761549,1,2
1518763372,1,5
1518765406,2,3
1518767361,0,2
1518769243,0,2
1518771295,2,3
1518773295,1,0
1518775480,2,2
1518777410,1,2
1518779750,2,4
1518781708,2,1
1518783599,4,3
1518785552,1,3
1518787746,2,3
1518789692,0,2
1518791582,0,3
1518793498,3,1
1518796427,0,4
1518798306,3,1
1518800245,0,1
1518802176,1,1
1518804320,1,1
1518806245,1,1
1518808113,1,1
1518810033,4,2
1518812230,4,0
1518814142,2,1
1518816309,1,1
1518818213,1,1
1518820155,2,1
1518822309,0,3
1518826368,0,2
1518828293,0,1
1518830258,1,3
1518832128,1,1
1518834328,0,1
1518836190,1,0
1518838365,0,2
1518842205,0,2
1518844128,2,2
1518846030,2,1
1518847957,2,1
1518849875,1,1
1518851802,1,2
1518855639,1,0
1518857555,0,2
1518859474,1,1
1518861397,2,2
1518863325,1,1
1518865476,2,1
1518867403,1,3
1518869436,0,1
1518871493,1,3
1518873755,2,1
1518875889,2,2
1518877977,1,0
1518879875,0,3
1518882047,2,0
1518883963,1,2
1518886082,2,1
1518888019,1,1
1518891881,4,1
1518894232,1,2
1518896177,1,4
1518898065,0,4
1518900045,1,2
1518902221,0,1
1518904135,0,1
1518906298,1,2
1518908206,1,0
1518910959,1,0
1518916613,2,1
1518918772,0,1
1518920663,1,0
1518922882,1,1
1518925161,1,0
1518927412,1,0
1518929339,0,1
1518931231,0,1
1518933169,1,3
1518935067,0,1
1518937004,1,1
1518938923,0,1
1518941047,2,0
1518942979,0,1
1518947869,2,3
1518949710,1,1
1518951697,1,2
1518953572,3,0
1518955503,1,1
1518957633,1,1
1518959565,0,2
1518961476,1,1
1518963397,0,1
1518965240,2,1
1518967230,4,1
1518969382,1,2
1518971298,0,1
1518973470,1,2
1518975385,2,0
1518979223,2,4
1518981206,3,2
1518983072,1,0
1518985008,1,0
1518986932,0,1
1518990746,1,0
1518992663,0,1
1518995832,2,1
1518997706,1,1
1519002081,0,1
1519003970,1,1
1519005889,3,0
1519007809,0,1
1519009714,2,1
1519011647,0,1
1519015514,2,1
1519017404,1,0
1519019324,0,1
1519021241,1,0
1519023165,0,1
1519027007,0,1
1519028918,1,1
1519030871,1,0
1519034929,3,3
1519039004,1,3
1519040897,0,2
1519042955,1,0
1519045276,3,1
1519047412,0,1
1519049330,2,0
