DateTime,Entries,UniqueIPs
1517691177,75,75
1517695293,74,74
1517699489,74,74
1517703658,75,75
1517705739,76,76
1517707966,76,76
1517710145,77,77
1517712032,75,75
1517715884,75,75
1517717804,74,74
1517719723,73,73
1517721647,72,72
1517723564,73,73
1517727392,72,72
1517729311,74,74
1517731290,73,73
1517733399,72,72
1517735309,69,69
1517737235,71,71
1517739169,71,71
1517741340,68,68
1517743229,66,66
1517745168,68,68
1517747085,68,68
1517749001,71,71
1517750927,68,68
1517752886,68,68
1517754751,66,66
1517756682,65,65
1517758590,61,61
1517760544,60,60
1517762534,62,62
1517764626,60,60
1517766513,58,58
1517770040,56,56
1517772168,55,55
1517773972,53,53
1517776044,55,55
1517779919,56,56
1517781863,54,54
1517787639,53,53
1517789816,52,52
1517791975,51,51
1517793906,52,52
1517796093,50,50
1517797974,51,51
1517799883,52,52
1517801814,51,51
1517803742,52,52
1517805654,49,49
1517807575,49,49
1517809475,48,48
1517811426,51,51
1517813341,51,51
1517815478,52,52
1517817689,49,49
1517819566,50,50
1517821473,49,49
1517823420,48,48
1517825334,47,47
1517827493,48,48
1517829853,49,49
1517831776,48,48
1517833698,50,50
1517835681,47,47
1517837488,48,48
1517839461,49,49
1517841397,52,52
1517843559,53,53
1517845484,53,53
1517847398,51,51
1517849308,51,51
1517851229,53,53
1517853388,55,55
1517855554,59,59
1517857476,58,58
1517859411,58,58
1517861541,57,57
1517863492,58,58
1517865388,60,60
1517867327,60,60
1517869230,63,63
1517871177,64,64
1517873074,64,64
1517875006,67,67
1517876921,67,67
1517880766,67,67
1517882672,71,71
1517884610,69,69
1517886533,70,70
1517888422,71,71
1517890365,70,70
1517892261,71,71
1517894210,71,71
1517896131,72,72
1517898025,67,67
1517899961,71,71
1517901879,70,70
1517907710,69,69
1517909542,68,68
1517913377,67,67
1517916400,61,61
1517918255,59,59
1517920112,57,57
1517922209,56,56
1517924185,53,53
1517926005,51,51
1517928014,47,47
1517930213,45,45
1517932293,44,44
1517934524,43,43
1517936494,41,41
1517938401,40,40
1517940272,39,39
1517942442,38,38
1517944360,36,36
1517946274,39,39
1517948195,40,40
1517950119,40,40
1517952030,41,41
1517953955,41,41
1517955869,39,39
1517957828,38,38
1517959708,39,39
1517961702,37,37
1517963549,38,38
1517965476,40,40
1517967392,39,39
1517969331,38,38
1517973150,36,36
1517975087,36,36
1517976993,37,37
1517978909,36,36
1517980840,35,35
