DateTime,AddedIPs,RemovedIPs
1517104589,0,1
1517106515,1,0
1517112296,1,0
1517114206,1,0
1517118041,1,0
1517121872,0,1
1517127656,0,1
1517131706,1,0
1517134518,1,2
1517138421,1,0
1517150206,1,0
1517152355,0,1
1517156457,2,0
1517158353,0,1
1517160288,1,0
1517166100,1,0
1517167978,1,0
1517173714,1,0
1517175635,1,1
1517179477,0,2
1517181569,2,0
1517185472,0,1
1517187404,2,0
1517195082,2,0
1517200827,0,1
1517214278,1,0
1517218379,0,1
1517220944,0,2
1517226774,1,0
1517230608,0,1
1517242137,0,2
1517245971,1,0
1517248131,0,2
1517251966,0,1
1517254143,1,0
1517256249,1,0
1517260124,1,1
1517262021,0,1
1517268721,0,2
1517272834,0,2
1517274767,1,0
1517276690,0,1
1517280506,0,1
1517282442,0,1
1517284374,2,0
1517292088,1,0
1517299733,0,1
1517301640,0,1
1517310346,0,1
1517312220,1,0
1517322105,0,1
1517331875,0,1
1517337767,1,0
1517341545,1,0
1517343394,0,1
1517345338,0,1
1517351312,1,0
1517353360,2,0
1517357328,1,0
1517361151,0,1
1517363083,0,1
1517365054,2,0
1517368895,2,0
1517370775,0,2
1517388289,2,0
1517392351,1,0
1517396087,1,0
1517398149,0,1
1517409872,1,0
1517413838,1,0
1517415655,1,0
1517417566,1,0
1517419693,1,0
1517425713,0,1
1517427629,0,1
1517429575,0,1
1517433413,11,0
1517437229,0,1
1517441387,0,1
1517443307,0,2
1517447086,1,1
1517449232,1,0
1517451155,1,1
1517455006,0,1
1517468488,2,0
1517474194,0,1
1517476131,1,0
1517478029,0,1
1517479953,1,0
1517481872,0,1
1517483805,1,0
1517485718,1,0
1517487893,3,0
1517493689,0,1
1517495718,0,1
1517497718,4,0
1517499616,0,2
1517505420,1,0
1517507301,0,1
1517518984,0,10
1517528913,0,1
1517532737,0,1
1517538519,0,1
1517550276,1,0
1517554126,0,1
1517559878,2,0
1517561773,1,0
1517563952,5,1
1517566022,0,1
1517572110,0,1
1517574043,0,1
1517575951,1,1
1517579785,1,0
1517581705,0,1
1517583684,0,1
1517585560,0,1
1517587488,0,1
1517589434,1,1
1517600937,0,1
1517602840,1,0
1517610541,1,0
1517616749,2,0
1517622521,2,0
1517626376,1,0
1517628536,3,0
1517632375,1,0
1517634297,0,1
1517640050,1,0
1517645801,0,1
1517647730,0,1
1517649634,0,4
1517651570,0,1
1517655696,1,0
1517659506,0,1
1517661636,1,2
1517667395,0,1
1517669310,1,0
1517677305,1,1
1517683013,0,1
1517689232,1,0
1517693071,1,0
1517697166,1,0
1517699490,1,0
1517701708,0,1
1517703659,1,1
1517705740,1,0
1517710146,1,1
1517712033,1,1
1517713971,0,1
1517715884,0,1
1517721648,1,0
1517723565,1,0
1517727393,0,1
1517731290,1,0
1517735310,1,0
1517737236,0,1
1517741340,0,1
1517747086,0,1
1517756683,0,1
1517764627,0,1
1517766513,2,0
1517770041,1,0
1517776045,0,1
1517779920,0,1
1517785473,1,0
1517787640,0,2
1517789817,0,1
1517791976,3,1
1517793908,1,0
1517796093,2,1
1517797975,0,1
1517805655,2,0
1517807576,0,1
1517809476,0,1
1517811426,1,0
1517817690,0,1
1517821474,0,1
1517823421,0,1
1517827494,1,0
1517831776,1,0
1517843559,3,1
1517845485,1,1
1517847399,0,1
1517853388,1,2
1517855555,1,1
1517859411,0,1
1517865389,2,0
1517867327,1,0
1517873075,0,2
1517875006,0,1
1517878930,0,4
1517880767,1,1
1517882673,0,1
1517892262,0,2
1517898026,0,1
1517901880,1,0
1517905697,0,1
1517916400,0,1
1517918256,1,1
1517922210,1,0
1517924187,1,0
1517926005,1,0
1517928015,1,0
1517930214,0,2
1517932294,1,0
1517936495,1,0
1517940273,1,2
1517952030,0,1
1517953956,0,1
1517957828,3,0
1517969332,1,0
1517976994,1,0
1517978910,1,0
1517982773,1,0
1517998613,1,0
1518002531,1,0
1518004364,1,0
1518008207,0,1
1518012134,0,1
1518015899,1,0
1518017782,0,1
1518019734,0,1
1518021655,0,1
1518025464,2,0
1518027414,0,1
1518029309,0,1
1518033380,1,0
1518035574,1,1
1518037688,0,1
1518044291,1,2
1518048187,1,0
1518050451,2,0
1518054295,0,1
1518056211,0,1
1518060049,2,0
1518061969,0,1
1518063897,0,1
1518065784,0,1
1518067957,2,0
1518069880,2,0
1518071821,5,0
1518077554,1,0
1518083320,1,0
1518087141,1,0
1518089061,0,1
1518093339,3,0
1518095554,1,0
1518105137,1,0
1518107321,2,1
1518111197,0,1
1518113085,0,1
1518114991,0,1
1518118786,1,0
1518120738,1,3
1518122551,1,0
1518124616,1,0
