DateTime,AddedIPs,RemovedIPs
1518122552,4,8
1518124617,3,5
1518126732,2,7
1518128932,2,5
1518130976,1,4
1518132922,2,7
1518134954,0,1
1518136857,2,5
1518138994,3,21
1518140918,2,4
1518143014,2,4
1518144982,2,1
1518146818,0,3
1518149086,2,7
1518151035,2,7
1518152919,3,1
1518155107,5,4
1518157060,6,6
1518158930,2,4
1518160851,5,3
1518162756,5,5
1518164692,3,7
1518166595,3,5
1518168512,5,6
1518170487,3,12
1518172373,2,6
1518174278,3,5
1518176195,2,6
1518178136,4,2
1518180032,2,7
1518181837,7,5
1518183862,2,8
1518185806,5,5
1518187973,2,5
1518190125,1,2
1518192135,2,3
1518194190,3,5
1518196131,2,2
1518198020,5,6
1518199952,0,3
1518202110,2,7
1518204045,4,2
1518205952,1,6
1518207888,1,5
1518209787,3,3
1518211733,3,5
1518213879,2,0
1518215784,2,2
1518217974,2,1
1518220128,7,3
1518223954,2,3
1518225895,4,1
1518227789,1,4
1518229981,1,1
1518231876,5,1
1518234059,14,0
1518235977,8,0
1518237895,2,1
1518240004,5,1
1518241966,2,4
1518244016,21,4
1518246088,4,1
1518247890,2,7
1518249864,2,4
1518251740,3,2
1518253955,4,3
1518256158,2,2
1518258033,3,6
1518259969,3,1
1518261868,4,2
1518263908,7,7
1518265711,9,2
1518267716,5,7
1518269578,3,1
1518271733,2,8
1518273656,1,2
1518275862,1,2
1518277958,4,1
1518279894,3,1
1518281789,9,2
1518283729,17,6
1518285687,7,2
1518287850,3,2
1518289727,1,1
1518291659,4,4
1518293578,3,2
1518295505,2,2
1518297410,3,5
1518299825,1,4
1518301718,1,1
1518303685,3,1
1518306006,5,9
1518308010,2,0
1518309896,0,2
1518311850,5,7
1518313733,4,1
1518315915,2,0
1518317810,1,5
1518319744,2,3
1518321683,3,11
1518323846,3,3
1518325733,4,2
1518327907,2,4
1518329815,14,16
1518331977,3,1
1518333887,11,4
1518335815,13,2
1518337967,2,7
1518339925,4,2
1518341816,5,0
1518343765,2,6
1518345652,1,5
1518347587,1,4
1518349492,8,5
1518351595,1,12
1518354081,6,4
1518355981,6,3
1518357894,4,2
1518359808,4,1
1518361942,6,3
1518363868,3,2
1518365710,5,3
1518367724,5,5
1518369756,3,9
1518371572,9,9
1518373782,1,6
1518375688,0,1
1518377798,0,5
1518379965,4,3
1518382143,2,2
1518384048,1,5
1518385959,1,0
1518387878,3,2
1518390114,5,4
1518392263,3,4
1518394146,5,3
1518396051,5,0
1518398203,0,5
1518400111,3,4
1518402042,1,3
1518403981,1,0
1518405897,3,2
1518407786,5,3
1518409716,4,1
1518411689,1,4
1518413805,5,2
1518415738,15,15
1518417870,2,1
1518419821,5,1
1518421953,25,22
1518423893,2,3
1518425780,4,4
1518427973,4,7
1518429887,1,4
1518431810,3,3
1518435026,14,8
1518437097,8,3
1518439243,5,2
1518441168,4,4
1518443087,6,5
1518445019,5,2
1518446937,2,5
1518449098,2,6
1518450999,2,6
1518452923,5,5
1518455079,6,2
1518456990,17,11
1518458941,3,4
1518460956,5,4
1518462773,3,1
1518464697,5,2
1518466604,2,4
1518469520,2,3
1518471658,1,2
1518473590,1,4
1518475462,6,1
1518477421,7,5
1518479581,1,5
1518481467,1,6
1518483724,3,3
1518485577,9,2
1518487497,0,1
1518489628,0,2
1518491569,2,1
1518493461,8,2
1518495400,2,0
1518497302,5,2
1518499237,2,3
1518501139,5,2
1518503085,3,12
1518504987,16,3
1518506935,5,26
1518508885,7,6
1518510765,5,2
1518512673,4,5
1518514610,6,2
1518516533,4,3
1518518425,3,2
1518520615,6,5
1518522422,10,10
1518524443,7,4
1518526260,8,2
1518528071,4,5
1518530354,4,3
1518532158,4,3
1518534244,7,4
1518536436,1,3
1518538369,3,1
1518540283,5,5
1518542226,4,2
1518544137,14,14
1518546045,3,4
1518547962,2,6
1518549886,4,6
1518551812,4,2
1518553726,8,4
1518555703,1,4
1518557807,5,2
1518559719,8,1
1518561907,11,4
1518563808,6,7
1518566403,9,1
1518569244,13,3
1518571512,4,6
1518573407,4,5
1518575367,5,0
1518577838,8,2
1518579649,9,3
1518581769,27,4
1518583702,8,3
1518585639,8,2
1518587570,9,4
1518589430,16,4
1518591695,14,14
1518593825,6,6
1518595704,7,5
1518597897,4,4
1518599818,23,7
1518601741,13,3
1518603768,8,8
1518605580,9,5
1518607474,7,6
1518609410,18,15
1518611308,10,6
1518613291,7,6
1518615141,5,8
1518617102,10,4
1518619228,14,5
1518621179,10,9
1518623068,9,1
1518625232,16,4
1518627168,5,5
1518629099,17,20
1518631016,4,1
1518632936,7,4
1518634889,5,3
1518636998,11,3
1518638941,7,4
1518641090,5,3
1518643023,2,4
1518644946,3,6
1518646853,6,7
1518648953,6,10
1518650933,4,8
1518653029,2,4
1518655031,3,8
1518656930,2,7
1518659093,2,2
1518661263,12,5
1518663169,11,8
1518665334,12,4
1518667288,18,31
1518669434,11,4
1518671335,11,7
1518673499,11,6
1518675414,5,18
1518677580,15,10
1518679484,4,5
1518681414,7,10
1518683302,2,5
1518685297,2,13
1518687168,12,27
1518689343,4,8
1518691241,0,9
1518693173,3,7
1518695065,2,17
1518697418,6,15
1518699697,3,13
1518701605,3,4
1518703484,2,10
1518705426,5,15
1518707329,3,11
1518709285,9,9
1518711170,9,16
1518713352,6,8
1518715227,4,6
1518717200,7,16
1518719354,9,10
1518721309,3,7
1518723277,4,12
1518725095,3,7
1518726985,3,5
1518728951,3,2
1518730846,4,3
1518733018,5,5
1518734939,4,6
1518736998,3,4
1518739400,2,3
1518741412,5,3
1518743356,1,2
1518745242,4,2
1518747166,4,10
1518749080,8,6
1518751009,13,0
1518753175,13,5
1518755087,12,4
1518757324,11,5
1518759324,14,2
1518761550,9,2
1518763375,8,8
1518765408,9,11
1518767363,11,14
1518769245,4,16
1518771297,4,7
1518773297,1,17
1518775482,11,17
1518777413,2,3
1518779753,5,9
1518781711,5,5
1518783601,4,6
1518785554,2,4
1518787749,5,3
1518789694,5,3
1518791584,3,3
1518793500,10,3
1518796430,6,7
1518798309,14,4
1518800247,4,3
1518802179,6,5
1518804323,2,7
1518806247,4,8
1518808115,6,4
1518810036,6,4
1518812233,4,6
1518814145,3,3
1518816312,0,3
1518818215,5,7
1518820158,2,3
1518822311,1,3
1518824248,4,4
1518826371,4,1
1518828295,2,4
1518830260,2,1
1518832130,4,5
1518834330,8,4
1518836192,10,3
1518838367,9,4
1518840290,5,4
1518842207,10,7
1518844131,1,6
1518846032,4,6
1518847959,2,5
1518849878,9,6
1518851804,4,10
1518853722,13,12
1518855642,6,10
1518857557,3,13
1518859477,5,6
1518861399,3,17
1518863327,5,13
1518865479,6,8
1518867405,3,5
1518869438,4,6
1518871495,4,4
1518873757,6,4
1518875891,9,8
1518877979,4,4
1518879876,2,11
1518882049,7,6
1518883965,10,12
1518886083,11,7
1518888020,10,5
1518889942,5,5
1518891882,2,3
1518894233,4,7
1518896179,8,5
1518898067,3,2
1518900046,0,6
1518902223,2,0
1518904136,4,4
1518906299,5,3
1518908208,3,1
1518910960,3,5
1518912775,7,3
1518914687,2,2
1518916615,4,2
1518918773,1,4
1518920664,5,3
1518922883,6,3
1518925163,15,2
1518927415,9,4
1518929341,8,2
1518931233,5,2
1518933171,7,2
1518935069,7,7
1518937006,6,7
1518938926,2,7
1518941050,6,11
1518942981,2,11
1518944905,3,0
1518947871,6,6
1518949712,4,4
1518951699,4,10
1518953574,4,8
1518955505,2,13
1518957635,4,6
1518959566,6,5
1518961478,4,7
1518963398,3,6
1518965241,6,5
1518967231,33,5
1518969383,3,6
1518971300,8,8
1518973471,4,10
1518975386,3,10
1518977315,1,3
1518979224,5,4
1518981208,4,4
1518983073,2,7
1518985009,3,2
1518986933,3,3
1518988846,0,2
1518990748,4,5
1518992664,2,3
1518995833,5,6
1518997708,3,2
1518999786,4,6
1519002082,2,5
1519003972,2,3
1519005890,5,0
1519007811,8,1
1519009716,6,5
1519011649,7,5
1519013570,9,0
1519015516,20,5
1519017406,3,4
1519019326,8,4
1519021243,11,1
1519023167,5,6
1519025062,2,6
1519027009,11,9
1519028920,4,10
1519030873,1,6
1519032762,5,5
1519034931,7,12
1519036817,4,8
1519039006,6,7
1519040899,10,4
1519042957,5,3
1519045279,11,8
1519047414,5,4
1519049333,7,4
1519051247,2,3
1519053148,10,7
1519055089,4,31
1519057016,6,7
1519059165,8,5
1519061069,6,3
1519062983,9,3
1519065239,9,4
1519067109,3,4
1519069268,8,2
1519071410,8,4
1519074316,4,4
1519076446,3,3
1519078276,3,3
1519080533,3,3
1519082451,2,4
1519084366,1,2
1519086538,2,3
1519088532,11,1
1519090371,1,2
1519092283,2,5
1519094209,7,3
1519096123,5,2
1519098014,6,2
1519100209,8,4
1519102133,7,17
1519104040,4,1
1519105984,11,5
1519107869,9,3
1519109820,3,8
1519111707,1,8
1519113689,7,11
1519115553,6,9
1519117519,5,2
1519119389,4,12
1519121343,7,12
1519123231,3,8
1519125326,3,9
