DateTime,AddedIPs,RemovedIPs
1517851232,2,2
1517855557,3,2
1517857479,1,0
1517859413,1,1
1517861543,3,0
1517863495,2,0
1517865390,0,1
1517867329,0,3
1517873077,0,1
1517875008,1,2
1517876925,0,1
1517878933,0,1
1517880770,0,3
1517884613,2,0
1517890369,1,1
1517892264,1,1
1517894213,2,1
1517899965,2,0
1517901881,1,1
1517903804,2,1
1517905699,2,0
1517907713,0,1
1517909545,1,0
1517916403,2,1
1517920115,2,1
1517922213,1,3
1517924191,0,1
1517926008,2,2
1517928017,2,0
1517930215,1,0
1517934526,0,3
1517936497,2,1
1517938404,2,1
1517940275,1,1
1517942444,1,2
1517944364,2,2
1517946279,0,2
1517948201,2,2
1517950123,0,2
1517953958,1,0
1517961705,0,1
1517965479,1,0
1517967395,1,0
1517971241,0,1
1517973152,1,1
1517976996,0,1
1517978912,0,1
1517980842,0,3
1517984672,1,0
1517986610,0,1
1517988514,0,2
1517990488,0,1
1517992363,0,2
1517994302,1,1
1517996369,0,1
1517998616,2,0
1518000533,1,0
1518002533,0,1
1518004367,1,0
1518006284,0,1
1518008210,0,3
1518010105,1,1
1518012137,0,2
1518013970,0,2
1518015902,2,0
1518017784,0,1
1518019737,2,0
1518021658,1,1
1518023577,0,1
1518025466,0,1
1518027416,0,1
1518029311,1,0
1518031475,1,2
1518033382,2,1
1518035576,1,1
1518039621,2,1
1518044293,1,0
1518048189,1,0
1518050453,2,0
1518052376,1,1
1518058127,1,1
1518061971,1,0
1518063899,0,1
1518067960,3,0
1518069883,0,1
1518071824,1,1
1518073738,1,0
1518077557,3,0
1518081304,1,1
1518083322,1,0
1518085255,1,2
1518087143,1,1
1518091014,0,1
1518093340,1,1
1518095555,1,0
1518097468,1,1
1518101326,0,1
1518103309,0,1
1518105139,4,1
1518107323,0,2
1518109311,1,2
1518111199,3,0
1518114993,0,1
1518118788,2,2
1518120740,2,2
1518122553,2,0
1518124619,1,0
1518126734,4,2
1518128934,2,0
1518130977,0,1
1518132924,1,1
1518134955,2,1
1518138995,0,1
1518143015,1,0
1518144983,0,1
1518146820,1,0
1518149087,0,1
1518151036,3,0
1518152920,1,1
1518155108,1,2
1518158931,1,1
1518160852,1,1
1518162757,2,0
1518164693,0,2
1518166596,3,1
1518170488,0,1
1518174279,0,1
1518176197,3,0
1518178138,1,0
1518180034,3,1
1518181838,1,0
1518183863,2,2
1518185808,1,0
1518187975,1,0
1518190126,0,2
1518192138,0,2
1518194191,1,1
1518196132,1,0
1518198021,0,3
1518199954,1,0
1518202111,2,0
1518204046,1,2
1518205954,1,0
1518207889,1,4
1518211735,0,3
1518213880,0,2
1518215785,1,1
1518217975,1,1
1518220130,1,2
1518222064,1,1
1518223955,1,0
1518227791,2,0
1518229982,2,1
1518231877,0,2
1518234060,1,0
1518235979,0,1
1518237896,0,3
1518241967,2,0
1518246090,1,0
1518247891,0,2
1518249865,0,1
1518251741,2,0
1518253957,1,2
1518258034,1,0
1518259971,1,0
1518261870,0,2
1518263910,0,1
1518265713,0,2
1518267718,0,3
1518269579,0,1
1518271735,2,1
1518273658,0,2
1518277959,1,0
1518279895,0,1
1518283730,1,2
1518285689,1,1
1518287851,1,3
1518291661,2,2
1518293579,1,1
1518295506,1,0
1518297411,1,0
1518299826,1,0
1518301719,0,1
1518303687,0,1
1518306008,0,1
1518308012,2,1
1518309898,0,1
1518313735,0,1
1518315916,0,2
1518317812,2,0
1518319746,1,1
1518327909,0,2
1518329817,1,0
1518331978,0,1
1518333888,0,1
1518335817,1,1
1518337968,1,2
1518339927,0,1
1518341817,4,0
1518345653,2,1
1518347589,1,0
1518349493,3,0
1518354083,1,0
1518355983,1,0
1518357895,0,1
1518359809,1,1
1518365712,0,2
1518369757,0,1
1518371574,0,1
1518373784,3,1
1518375689,1,1
1518377799,0,2
1518382145,0,2
1518385960,1,1
1518387879,1,0
1518394148,0,3
1518396053,1,0
1518398204,1,0
1518400113,1,0
1518402044,1,0
1518403983,1,2
1518405898,0,1
1518407787,3,0
1518413806,1,0
1518415740,1,1
1518419823,2,0
1518421954,1,1
1518423894,1,1
1518427976,2,1
1518429888,0,4
1518431812,1,2
1518435028,3,2
1518437099,1,2
1518439244,1,0
1518441170,1,0
1518443088,0,1
1518446939,1,1
1518449100,4,0
1518455081,1,0
1518458943,1,3
1518460958,0,1
1518462774,1,0
1518464698,0,1
1518466606,1,0
1518469521,3,0
1518471660,1,0
1518473591,1,1
1518475464,0,1
1518477423,1,0
1518481468,1,1
1518485579,0,2
1518489629,0,2
1518491570,1,0
1518493462,0,1
1518495402,0,1
1518499239,0,2
1518501141,1,0
1518503086,0,1
1518504989,0,1
1518506936,1,0
1518510767,0,1
1518512675,0,1
1518514611,2,3
1518518426,0,1
1518520616,2,2
1518522423,1,2
1518524444,0,1
1518526261,1,0
1518532160,0,1
1518534245,3,2
1518536437,0,2
1518538371,3,1
1518540285,2,0
1518542227,1,1
1518544138,1,1
1518546047,1,0
1518547963,1,0
1518549887,1,2
1518551814,1,1
1518553728,1,2
1518555705,0,1
1518557809,3,2
1518559720,2,1
1518563809,1,1
1518566462,1,0
1518569246,2,1
1518575368,1,0
1518577840,0,1
1518579650,1,0
1518581771,1,0
1518585641,1,0
1518587572,1,1
1518589432,1,0
1518593826,0,1
1518595705,1,0
1518599820,1,0
1518601743,1,2
1518603770,2,0
1518605582,1,1
1518607476,0,1
1518609412,0,1
1518613293,2,1
1518617104,1,0
1518621181,0,3
1518623070,0,1
1518625233,1,3
1518627170,0,1
1518629100,2,1
1518631018,0,1
1518632937,1,1
1518634891,1,1
1518637000,0,2
1518638943,5,0
1518641092,4,1
1518643025,2,1
1518644948,1,2
1518646855,2,2
1518650935,2,1
1518653031,0,1
1518655033,1,1
1518659094,1,0
1518663171,1,1
1518667289,0,2
1518671337,1,0
1518673501,1,2
1518675416,0,1
1518677582,1,0
1518681415,1,0
1518683303,2,0
1518685298,3,0
1518687170,1,2
1518689346,0,1
1518691243,0,1
1518693175,1,1
1518697420,2,0
1518699699,0,2
1518701607,3,0
1518703486,0,1
1518707330,1,0
1518709287,1,0
1518711172,2,1
1518713354,1,0
1518715228,0,2
1518717202,1,0
1518719356,1,1
1518721311,0,1
1518723279,1,0
1518725097,1,6
1518726987,1,3
1518728952,0,2
1518730848,3,2
1518733020,0,1
1518734941,1,0
1518737000,1,2
1518739401,0,1
1518741413,0,1
1518745243,0,1
1518747167,1,0
1518749082,1,0
1518751011,2,1
1518753177,1,0
1518757326,0,1
1518759326,1,1
1518761552,1,0
1518763377,1,0
1518765409,0,1
1518767365,1,1
1518769246,0,1
1518771298,1,4
1518773299,1,1
1518775484,2,0
1518779755,1,1
1518781712,1,0
1518783603,1,1
1518785556,0,1
1518787751,0,3
1518789696,2,0
1518793502,3,1
1518796432,2,1
1518798311,0,2
1518800249,0,1
1518804325,1,1
1518810038,2,2
1518814146,1,1
1518816313,5,2
1518818217,1,2
1518822313,0,1
1518824250,0,1
1518828297,1,0
1518830262,1,0
1518832133,1,1
1518836194,0,2
1518838369,1,2
1518840292,1,0
1518842209,2,0
1518844132,1,1
1518846034,1,0
1518847961,0,1
1518849879,0,1
1518853723,1,1
1518855643,1,0
1518857559,0,1
1518859478,1,1
1518861401,0,1
1518863329,1,1
1518865480,1,0
1518867407,0,1
1518869440,0,2
1518875893,1,2
1518879878,1,3
1518882050,0,1
1518883966,0,1
1518886085,1,0
1518889944,2,1
1518891883,1,0
1518896180,1,1
1518898068,1,1
1518900048,1,1
1518902224,2,4
1518904137,2,2
1518906301,3,0
1518908209,2,0
1518912776,0,1
1518914688,2,1
1518916616,0,1
1518918775,1,1
1518925164,2,1
1518927416,0,1
1518929342,2,2
1518933172,1,1
1518937007,1,0
1518938927,0,1
1518947873,0,1
1518949713,0,1
1518951701,0,1
1518953575,2,0
1518955507,1,0
1518957636,2,0
1518959568,1,0
1518961479,0,1
1518963400,1,0
1518967233,0,1
1518969385,4,0
1518973472,0,1
1518975388,1,0
1518977317,0,3
1518979225,3,1
1518981210,2,0
1518983074,1,2
1518985011,2,0
1518986935,0,1
1518988847,0,2
1518990749,0,2
1518992666,1,2
1518995835,1,2
1518997709,2,0
1518999787,2,2
1519002084,1,1
1519003974,0,1
1519009718,1,0
1519011650,2,2
1519015518,2,1
1519019327,0,1
1519023168,2,2
1519028921,4,0
1519030875,2,0
1519034932,1,0
1519040901,0,3
1519045280,1,2
1519049335,1,1
1519051248,1,0
1519053150,1,0
1519055090,0,1
1519057018,0,3
1519059167,1,0
1519061070,1,3
1519065240,1,2
1519067111,0,2
1519071412,2,2
1519074318,2,0
1519076448,2,0
1519078277,1,2
1519080535,2,1
1519082453,0,1
1519084367,1,2
1519086540,1,2
1519088534,1,0
1519090372,1,0
1519094211,1,0
1519096125,1,2
1519098016,0,2
1519102135,0,1
1519107871,0,1
1519109822,2,0
1519113690,0,1
1519115555,0,4
1519117521,0,2
1519119391,2,0
1519121344,1,0
1519123232,1,0
