DateTime,AddedIPs,RemovedIPs
1518124618,111,81
1518126733,101,70
1518128933,81,87
1518130976,92,67
1518132923,76,63
1518134955,56,64
1518136858,61,52
1518138994,64,83
1518140918,79,76
1518143014,68,90
1518144983,53,71
1518146819,65,70
1518149086,98,81
1518151036,70,64
1518152920,51,67
1518155108,60,73
1518157061,67,58
1518158931,70,61
1518160851,55,62
1518162757,68,119
1518164692,114,76
1518166596,76,141
1518168513,106,73
1518170487,79,82
1518172374,61,56
1518174279,78,76
1518176197,88,68
1518178137,70,77
1518180033,56,65
1518181838,54,1857
1518183863,65,2127
1518185807,82,77
1518187974,82,796
1518190126,113,2093
1518192136,84,473
1518194191,87,84
1518196132,83,64
1518198021,56,60
1518199953,73,77
1518202110,76,81
1518204045,130,88
1518205953,60,142
1518207889,124,69
1518209788,63,86
1518211734,86,112
1518213879,129,68
1518215785,74,80
1518217975,88,85
1518220129,86,69
1518222064,73,77
1518223955,60,60
1518225896,56,88
1518227790,61,83
1518229982,78,71
1518231877,68,62
1518234060,98,81
1518235978,76,80
1518237896,58,80
1518240004,86,63
1518241967,68,63
1518244016,64,66
1518246089,51,73
1518247891,64,66
1518249864,65,125
1518251741,54,60
1518253956,59,95
1518256159,70,148
1518258034,2049,64
1518259970,2226,71
1518261869,460,99
1518263909,62,62
1518265712,43,50
1518267717,58,75
1518269579,40,60
1518271734,44,95
1518273657,66,137
1518275863,47,96
1518277959,67,105
1518279895,61,67
1518281790,57,76
1518283730,39,78
1518285688,74,72
1518287851,49,79
1518289727,60,125
1518291660,59,64
1518293579,71,72
1518295506,111,114
1518297411,66,75
1518299825,63,148
1518301719,56,74
1518303686,45,64
1518306007,69,86
1518308011,55,66
1518309897,54,55
1518311851,66,71
1518313734,61,59
1518315916,69,84
1518317811,50,73
1518319745,47,96
1518321684,45,82
1518323847,55,88
1518325734,72,71
1518327908,63,68
1518329816,74,62
1518331978,77,62
1518333887,63,60
1518335816,53,69
1518337968,50,62
1518339926,62,66
1518341817,52,61
1518343766,69,1281
1518345653,71,2247
1518347588,69,1228
1518349492,79,85
1518351596,57,54
1518354082,57,74
1518355982,46,65
1518357894,57,35
1518359809,60,61
1518361943,62,63
1518363869,114,66
1518365711,62,54
1518367725,122,70
1518369757,96,50
1518371573,64,51
1518373783,58,58
1518375689,64,48
1518377799,58,75
1518379966,79,73
1518382144,79,67
1518384048,67,138
1518385960,66,58
1518387879,80,60
1518390115,82,65
1518392264,79,62
1518394147,82,73
1518396052,990,60
1518398204,2032,69
1518400112,251,58
1518402043,51,62
1518403982,50,55
1518405898,51,57
1518407787,100,43
1518409717,54,41
1518411690,95,55
1518413806,78,79
1518415739,58,63
1518417871,60,64
1518419822,58,68
1518421954,68,54
1518423894,2129,61
1518425781,1928,63
1518427974,85,66
1518429888,67,62
1518431811,59,78
1518435027,123,113
1518437099,77,66
1518439244,87,48
1518441169,52,52
1518443088,52,48
1518445020,42,52
1518446938,62,55
1518449099,91,117
1518451000,111,48
1518452924,69,55
1518455080,73,125
1518456991,98,73
1518458943,77,60
1518460957,57,56
1518462774,68,58
1518464698,59,52
1518466605,74,66
1518469521,100,77
1518471659,77,75
1518473590,67,66
1518475463,55,65
1518477422,76,62
1518479582,74,71
1518481468,76,63
1518483725,61,1924
1518485578,55,972
1518487498,39,54
1518489629,75,66
