DateTime,Entries,UniqueIPs
1518124618,12047,12047
1518126733,12078,12078
1518128933,12072,12072
1518130976,12097,12097
1518132923,12110,12110
1518134955,12102,12102
1518136858,12111,12111
1518138994,12092,12092
1518140918,12095,12095
1518143014,12073,12073
1518144983,12055,12055
1518146819,12050,12050
1518149086,12067,12067
1518151036,12073,12073
1518152920,12057,12057
1518155108,12044,12044
1518157061,12053,12053
1518158931,12062,12062
1518160851,12055,12055
1518162757,12004,12004
1518164692,12042,12042
1518166596,11977,11977
1518168513,12010,12010
1518170487,12007,12007
1518172374,12012,12012
1518174279,12014,12014
1518176197,12034,12034
1518178137,12027,12027
1518180033,12018,12018
1518181838,10215,10215
1518183863,8153,8153
1518185807,8158,8158
1518187974,7444,7444
1518190126,5464,5464
1518192136,5075,5075
1518194191,5078,5078
1518196132,5097,5097
1518198021,5093,5093
1518199953,5089,5089
1518202110,5084,5084
1518204045,5126,5126
1518205953,5044,5044
1518207889,5099,5099
1518209788,5076,5076
1518211734,5050,5050
1518213879,5111,5111
1518215785,5105,5105
1518217975,5108,5108
1518220129,5125,5125
1518222064,5121,5121
1518223955,5121,5121
1518225896,5089,5089
1518227790,5067,5067
1518229982,5074,5074
1518231877,5080,5080
1518234060,5097,5097
1518235978,5093,5093
1518237896,5071,5071
1518240004,5094,5094
1518241967,5099,5099
1518244016,5097,5097
1518246089,5075,5075
1518247891,5073,5073
1518249864,5013,5013
1518251741,5007,5007
1518253956,4971,4971
1518256159,4893,4893
1518258034,6878,6878
1518259970,9033,9033
1518261869,9394,9394
1518263909,9394,9394
1518265712,9387,9387
1518267717,9370,9370
1518269579,9350,9350
1518271734,9299,9299
1518273657,9228,9228
1518275863,9179,9179
1518277959,9141,9141
1518279895,9135,9135
1518281790,9116,9116
1518283730,9077,9077
1518285688,9079,9079
1518287851,9049,9049
1518289727,8984,8984
1518291660,8979,8979
1518293579,8978,8978
1518295506,8975,8975
1518297411,8966,8966
1518299825,8881,8881
1518301719,8863,8863
1518303686,8844,8844
1518306007,8827,8827
1518308011,8816,8816
1518309897,8815,8815
1518311851,8810,8810
1518313734,8812,8812
1518315916,8797,8797
1518317811,8774,8774
1518319745,8725,8725
1518321684,8688,8688
1518323847,8655,8655
1518325734,8656,8656
1518327908,8651,8651
1518329816,8663,8663
1518331978,8678,8678
1518333887,8681,8681
1518335816,8665,8665
1518337968,8653,8653
1518339926,8649,8649
1518341817,8640,8640
1518343766,7428,7428
1518345653,5252,5252
1518347588,4093,4093
1518349492,4087,4087
1518351596,4090,4090
1518354082,4073,4073
1518355982,4054,4054
1518357894,4076,4076
1518359809,4075,4075
1518361943,4074,4074
1518363869,4122,4122
1518365711,4130,4130
1518367725,4182,4182
1518369757,4228,4228
1518371573,4241,4241
1518373783,4241,4241
1518375689,4257,4257
1518377799,4240,4240
1518379966,4246,4246
1518382144,4258,4258
1518384048,4187,4187
1518385960,4195,4195
1518387879,4215,4215
1518390115,4232,4232
1518392264,4249,4249
1518394147,4258,4258
1518396052,5188,5188
1518398204,7151,7151
1518400112,7344,7344
1518402043,7333,7333
1518403982,7328,7328
1518405898,7322,7322
1518407787,7379,7379
1518409717,7392,7392
1518411690,7432,7432
1518413806,7431,7431
1518415739,7426,7426
1518417871,7422,7422
1518419822,7412,7412
1518421954,7426,7426
1518423894,9494,9494
1518425781,11359,11359
1518427974,11378,11378
1518429888,11383,11383
1518431811,11364,11364
1518435027,11374,11374
1518437099,11385,11385
1518439244,11424,11424
1518441169,11424,11424
1518443088,11428,11428
1518445020,11418,11418
1518446938,11425,11425
1518449099,11399,11399
1518451000,11462,11462
1518452924,11476,11476
1518455080,11424,11424
1518456991,11449,11449
1518458943,11466,11466
1518460957,11467,11467
1518462774,11477,11477
1518464698,11484,11484
1518466605,11492,11492
1518469521,11515,11515
1518471659,11517,11517
1518473590,11518,11518
1518475463,11508,11508
1518477422,11522,11522
1518479582,11525,11525
1518481468,11538,11538
1518483725,9675,9675
1518485578,8758,8758
1518487498,8743,8743
1518489629,8752,8752
1518491569,8760,8760
1518493462,8721,8721
1518495401,9027,9027
1518497303,9071,9071
1518499238,9050,9050
1518501140,9065,9065
1518503085,9070,9070
1518504988,9066,9066
1518506936,9072,9072
1518508886,9065,9065
1518510766,5219,5219
1518512674,4844,4844
1518514611,4845,4845
1518516533,4862,4862
1518518425,4929,4929
1518520616,4900,4900
1518522422,4918,4918
1518524444,4888,4888
1518526261,4874,4874
1518528071,4905,4905
1518530355,4919,4919
1518532159,4939,4939
1518534245,4945,4945
1518536437,4932,4932
1518538370,4894,4894
1518540284,4898,4898
1518542227,4899,4899
1518544137,4868,4868
1518546046,4856,4856
1518547963,4854,4854
1518549887,4841,4841
1518551813,4842,4842
1518553727,4831,4831
1518555704,4842,4842
1518557808,4831,4831
1518559720,4832,4832
1518561908,4826,4826
1518563809,4819,4819
1518566432,6358,6358
1518569245,7879,7879
1518571514,7898,7898
1518573408,7898,7898
1518575368,7912,7912
1518577839,7936,7936
1518579650,7937,7937
1518581770,7638,7638
1518583703,7540,7540
1518585640,7543,7543
1518587571,7540,7540
1518589431,7548,7548
1518591696,7521,7521
1518593826,7578,7578
1518595705,7599,7599
1518597898,7650,7650
1518599819,7659,7659
1518601742,7662,7662
1518603769,7600,7600
1518605581,7581,7581
1518607475,7580,7580
1518609411,7548,7548
1518611308,7543,7543
1518613292,7537,7537
1518615142,7510,7510
1518617103,7496,7496
1518619229,7509,7509
1518621180,7554,7554
1518623069,7634,7634
1518625233,7689,7689
1518627169,7727,7727
1518629100,7717,7717
1518631017,7712,7712
1518632937,7715,7715
1518634890,7724,7724
1518637000,7769,7769
1518638942,7822,7822
1518641091,7894,7894
1518643024,7917,7917
1518644947,7951,7951
1518646854,7931,7931
1518648954,7944,7944
1518650934,7935,7935
1518653030,7933,7933
1518655032,7942,7942
1518656931,7940,7940
1518659094,7950,7950
1518661264,7906,7906
1518663170,7898,7898
1518665335,7925,7925
1518667289,7911,7911
1518669435,7905,7905
1518671336,7897,7897
1518673500,7681,7681
1518675415,5879,5879
1518677581,4752,4752
1518679484,4690,4690
1518681415,4736,4736
1518683302,4733,4733
1518685298,4737,4737
1518687169,4735,4735
1518689344,5159,5159
1518691242,6444,6444
1518693174,7537,7537
1518695066,7878,7878
1518697419,7864,7864
1518699698,7858,7858
1518701606,7847,7847
1518703485,7874,7874
1518705427,7856,7856
1518707330,7825,7825
1518709286,7778,7778
1518711171,7717,7717
1518713353,7661,7661
1518715228,7665,7665
1518717201,7658,7658
1518719355,7649,7649
1518721310,7671,7671
1518723278,7613,7613
1518725096,7651,7651
1518726986,7577,7577
1518728951,7496,7496
1518730847,7512,7512
1518733019,7515,7515
1518734940,7499,7499
1518736999,7519,7519
1518739401,7546,7546
1518741413,7543,7543
1518743357,7528,7528
1518745243,7631,7631
1518747167,9659,9659
1518749081,11521,11521
1518751010,13003,13003
1518753177,13169,13169
1518755088,13179,13179
1518757325,13226,13226
1518759326,13246,13246
1518761551,13251,13251
1518763376,13253,13253
1518765409,14033,14033
1518767364,14667,14667
1518769246,14716,14716
1518771298,14711,14711
1518773298,14704,14704
1518775483,14509,14509
1518777414,13360,13360
1518779754,12098,12098
1518781712,11895,11895
1518783603,11918,11918
1518785555,11922,11922
1518787750,11925,11925
1518789695,11883,11883
1518791585,11883,11883
1518793501,11885,11885
1518796431,11890,11890
1518798310,11909,11909
1518800248,12006,12006
1518802180,12034,12034
1518804324,12040,12040
1518806249,12039,12039
1518808117,12032,12032
1518810037,12020,12020
1518812234,11955,11955
1518814146,12016,12016
1518816313,11968,11968
1518818216,12013,12013
1518820159,12031,12031
1518822313,11998,11998
1518824249,11994,11994
1518826372,12001,12001
1518828297,12011,12011
1518830261,11988,11988
1518832131,11357,11357
1518834332,9327,9327
1518836193,7901,7901
1518838368,6973,6973
1518840291,6953,6953
1518842208,6936,6936
1518844132,6950,6950
1518846033,6950,6950
1518847960,6945,6945
1518849879,6928,6928
1518851805,5717,5717
1518853723,4540,4540
1518855643,4473,4473
1518857558,4483,4483
1518859477,4450,4450
1518861400,4346,4346
1518863328,4341,4341
1518865479,4342,4342
1518867406,4332,4332
1518869439,4337,4337
1518871496,4349,4349
1518873758,4352,4352
1518875892,4359,4359
1518877980,4355,4355
1518879877,4370,4370
1518882050,4328,4328
1518883966,4298,4298
1518886084,4246,4246
1518888021,4233,4233
1518889943,4217,4217
1518891883,4229,4229
1518894234,4227,4227
1518896180,4216,4216
1518898067,4242,4242
1518900047,4201,4201
1518902223,4195,4195
1518904137,4160,4160
1518906300,4147,4147
1518908209,4167,4167
1518910961,4167,4167
1518912776,4164,4164
1518914688,4149,4149
1518916616,4162,4162
1518918774,4173,4173
1518920665,4158,4158
1518922884,4161,4161
1518925164,4206,4206
1518927416,4195,4195
1518929341,4207,4207
1518931233,4194,4194
1518933171,4222,4222
1518935069,4224,4224
1518937006,4216,4216
1518938926,4201,4201
1518941050,4213,4213
1518942982,4209,4209
1518944906,4216,4216
1518947872,4321,4321
1518949713,4309,4309
1518951700,4308,4308
1518953575,4284,4284
1518955506,4282,4282
1518957636,4295,4295
1518959567,4297,4297
1518961479,4310,4310
1518963399,4309,4309
1518965242,4509,4509
1518967232,4509,4509
1518969384,4494,4494
1518971300,4480,4480
1518973472,4499,4499
1518975387,4478,4478
1518977316,4495,4495
1518979225,4515,4515
1518981210,4524,4524
1518983074,4503,4503
1518985010,4480,4480
1518986934,4459,4459
1518988847,4477,4477
1518990748,4466,4466
1518992665,4478,4478
1518995834,4538,4538
1518997709,4544,4544
1518999787,4548,4548
1519002083,4551,4551
1519003973,4727,4727
1519005891,4730,4730
1519007812,4721,4721
1519009717,4702,4702
1519011650,4668,4668
1519013571,4652,4652
1519015517,4660,4660
1519017407,4673,4673
1519019327,4658,4658
1519021244,4665,4665
1519023168,4671,4671
1519025063,4666,4666
1519027010,4653,4653
1519028921,4649,4649
1519030874,4637,4637
1519032763,4659,4659
1519034932,4722,4722
1519036818,6051,6051
1519039007,7229,7229
1519040900,7250,7250
1519042958,7247,7247
1519045280,7262,7262
1519047415,7295,7295
1519049334,7319,7319
1519051248,7339,7339
1519053149,7159,7159
1519055090,7182,7182
1519057017,7202,7202
1519059166,7215,7215
1519061070,7250,7250
1519062984,7295,7295
1519065239,7313,7313
1519067110,7329,7329
1519069269,7346,7346
1519071411,7381,7381
1519074317,7440,7440
1519076447,7467,7467
1519078277,7483,7483
1519080534,7464,7464
1519082452,7531,7531
1519084367,7570,7570
1519086539,7621,7621
1519088533,7658,7658
1519090372,7505,7505
1519092284,7555,7555
1519094210,7567,7567
1519096124,7607,7607
1519098015,7629,7629
1519100210,7705,7705
1519102134,7729,7729
1519104041,7768,7768
1519105984,7820,7820
1519107870,7853,7853
1519109821,7878,7878
1519111708,7907,7907
1519113690,7959,7959
1519115554,7996,7996
1519117520,8054,8054
1519119390,8053,8053
1519121344,8142,8142
1519123231,6797,6797
1519125327,5636,5636
