DateTime,Entries,UniqueIPs
1518124620,5418,5418
1518126734,5420,5420
1518128934,5416,5416
1518130978,5419,5419
1518132924,5420,5420
1518134956,5417,5417
1518136859,5428,5428
1518138996,5432,5432
1518140919,5433,5433
1518143015,5428,5428
1518144984,5433,5433
1518146820,5430,5430
1518149087,5438,5438
1518151037,5436,5436
1518152921,5433,5433
1518155109,5430,5430
1518157061,5431,5431
1518158931,5427,5427
1518160852,5428,5428
1518162757,5437,5437
1518164693,5434,5434
1518166597,5441,5441
1518168513,5435,5435
1518170488,5421,5421
1518172374,5423,5423
1518174280,5424,5424
1518176197,5424,5424
1518178138,5451,5451
1518180034,5455,5455
1518181839,3413,3413
1518183863,1074,1074
1518185808,1073,1073
1518187975,1075,1075
1518190127,1061,1061
1518192138,987,987
1518194192,986,986
1518196133,1001,1001
1518198022,1003,1003
1518199954,1002,1002
1518202111,1011,1011
1518204046,1020,1020
1518205954,1019,1019
1518207890,1009,1009
1518209789,1015,1015
1518211735,1022,1022
1518213880,1014,1014
1518215786,1024,1024
1518217975,1026,1026
1518220130,1027,1027
1518222064,1016,1016
1518223955,1015,1015
1518225897,1012,1012
1518227791,1018,1018
1518229982,1004,1004
1518231877,1007,1007
1518234060,1000,1000
1518235979,1001,1001
1518237897,1002,1002
1518240005,1016,1016
1518241968,1014,1014
1518244017,1018,1018
1518246090,1020,1020
1518247892,1018,1018
1518249865,1021,1021
1518251742,1026,1026
1518253957,1020,1020
1518256159,1018,1018
1518258034,3054,3054
1518259971,5277,5277
1518261870,5668,5668
1518263910,5664,5664
1518265713,5658,5658
1518267718,5653,5653
1518269579,5638,5638
1518271735,5633,5633
1518273658,5554,5554
1518275864,5552,5552
1518277960,5542,5542
1518279896,5538,5538
1518281790,5527,5527
1518283730,5527,5527
1518285689,5518,5518
1518287852,5514,5514
1518289728,5514,5514
1518291661,5509,5509
1518293579,5511,5511
1518295506,5586,5586
1518297412,5577,5577
1518299826,5576,5576
1518301720,5568,5568
1518303687,5571,5571
1518306008,5570,5570
1518308012,5574,5574
1518309898,5573,5573
1518311852,5570,5570
1518313735,5564,5564
1518315917,5560,5560
1518317812,5556,5556
1518319746,5554,5554
1518321685,5548,5548
1518323848,5549,5549
1518325735,5553,5553
1518327909,5552,5552
1518329817,5559,5559
1518331979,5562,5562
1518333888,5564,5564
1518335817,5554,5554
1518337969,5547,5547
1518339927,5545,5545
1518341817,5546,5546
1518343767,4282,4282
1518345653,2052,2052
1518347589,884,884
1518349493,887,887
1518351597,892,892
1518354083,893,893
1518355983,895,895
1518357895,900,900
1518359809,903,903
1518361944,904,904
1518363869,910,910
1518365712,914,914
1518367726,912,912
1518369758,919,919
1518371574,921,921
1518373784,928,928
1518375689,926,926
1518377800,920,920
1518379966,924,924
1518382145,924,924
1518384049,819,819
1518385961,825,825
1518387879,831,831
1518390116,828,828
1518392264,835,835
1518394148,836,836
1518396053,841,841
1518398204,845,845
1518400113,841,841
1518402044,839,839
1518403984,837,837
1518405899,838,838
1518407788,849,849
1518409718,865,865
1518411691,860,860
1518413807,854,854
1518415740,845,845
1518417872,836,836
1518419823,837,837
1518421955,840,840
1518423895,3155,3155
1518425782,5323,5323
1518427977,5324,5324
1518429889,5331,5331
1518431812,5330,5330
1518435029,5330,5330
1518437100,5329,5329
1518439245,5332,5332
1518441170,5331,5331
1518443089,5335,5335
1518445022,5326,5326
1518446940,5322,5322
1518449109,5324,5324
1518451001,5319,5319
1518452925,5322,5322
1518455081,5330,5330
1518456993,5321,5321
1518458944,5335,5335
1518460959,5335,5335
1518462775,5338,5338
1518464699,5337,5337
1518466606,5331,5331
1518469522,5345,5345
1518471660,5334,5334
1518473591,5337,5337
1518475464,5341,5341
1518477423,5336,5336
1518479582,5336,5336
1518481469,5339,5339
1518483726,5340,5340
1518485579,5343,5343
1518487499,5352,5352
1518489630,5352,5352
1518491570,5347,5347
1518493463,5353,5353
1518495402,5350,5350
1518497303,5349,5349
1518499239,5356,5356
1518501141,5358,5358
1518503086,5363,5363
1518504989,5371,5371
1518506937,5372,5372
1518508887,5373,5373
1518510767,1277,1277
1518512675,879,879
1518514612,886,886
1518516534,888,888
1518518426,897,897
1518520617,894,894
1518522423,887,887
1518524444,880,880
1518526262,888,888
1518528072,897,897
1518530356,902,902
1518532160,917,917
1518534246,910,910
1518536438,912,912
1518538371,918,918
1518540285,922,922
1518542227,919,919
1518544138,908,908
1518546047,907,907
1518547964,903,903
1518549887,903,903
1518551814,905,905
1518553728,914,914
1518555705,911,911
1518557809,917,917
1518559721,916,916
1518561908,904,904
1518563809,902,902
1518567808,901,901
1518569991,902,902
1518571994,900,900
1518573902,886,886
1518575796,888,888
1518577840,904,904
1518579651,905,905
1518581771,893,893
1518583703,900,900
1518585641,894,894
1518587572,884,884
1518589432,884,884
1518591697,883,883
1518593827,880,880
1518595706,890,890
1518597898,899,899
1518599820,896,896
1518601743,889,889
1518603770,881,881
1518605582,877,877
1518607476,878,878
1518609412,872,872
1518611309,875,875
1518613293,859,859
1518615143,851,851
1518617104,849,849
1518619230,843,843
1518621181,858,858
1518623070,862,862
1518625234,878,878
1518627170,887,887
1518629101,885,885
1518631018,880,880
1518632938,882,882
1518634891,884,884
1518637001,881,881
1518638943,959,959
1518641092,960,960
1518643025,952,952
1518644948,955,955
1518646855,956,956
1518648954,961,961
1518650935,963,963
1518653031,957,957
1518655033,958,958
1518656931,956,956
1518659095,951,951
1518661265,947,947
1518663171,938,938
1518665336,949,949
1518667290,957,957
1518669436,967,967
1518671337,953,953
1518673502,957,957
1518675416,957,957
1518677582,955,955
1518679485,952,952
1518681416,944,944
1518683303,940,940
1518685299,935,935
1518687170,936,936
1518689346,932,932
1518691243,933,933
1518693175,941,941
1518695067,930,930
1518697420,921,921
1518699699,923,923
1518701607,923,923
1518703486,923,923
1518705427,926,926
1518707331,909,909
1518709287,906,906
1518711172,897,897
1518713354,895,895
1518715229,890,890
1518717202,891,891
1518719356,891,891
1518721311,894,894
1518723279,890,890
1518725097,843,843
1518726987,810,810
1518728952,803,803
1518730848,805,805
1518733020,811,811
1518734941,800,800
1518737000,799,799
1518739402,812,812
1518741413,805,805
1518743358,804,804
1518745244,811,811
1518747168,827,827
1518749082,834,834
1518751011,838,838
1518753179,845,845
1518755089,853,853
1518757326,871,871
1518759327,874,874
1518761552,883,883
1518763377,891,891
1518765410,2137,2137
1518767365,3334,3334
1518769247,3335,3335
1518771299,3329,3329
1518773299,3331,3331
1518775484,3327,3327
1518777415,3342,3342
1518779755,3338,3338
1518781713,3347,3347
1518783604,3342,3342
1518785556,3348,3348
1518787752,3356,3356
1518789696,3348,3348
1518791586,3358,3358
1518793503,3363,3363
1518796432,3352,3352
1518798311,3364,3364
1518800250,3366,3366
1518802181,3371,3371
1518804325,3369,3369
1518806250,3370,3370
1518808118,3373,3373
1518810038,3360,3360
1518812235,3356,3356
1518814147,3351,3351
1518816314,3354,3354
1518818217,3355,3355
1518820160,3362,3362
1518822314,3357,3357
1518824250,3355,3355
1518826373,3357,3357
1518828298,3363,3363
1518830262,3360,3360
1518832133,3349,3349
1518834332,3340,3340
1518836194,3339,3339
1518838369,3329,3329
1518840293,3325,3325
1518842209,3324,3324
1518844133,3318,3318
1518846034,3318,3318
1518847962,3321,3321
1518849880,3314,3314
1518851806,2070,2070
1518853724,843,843
1518855644,840,840
1518857559,847,847
1518859478,842,842
1518861401,848,848
1518863329,841,841
1518865480,841,841
1518867407,838,838
1518869440,826,826
1518871496,827,827
1518873759,828,828
1518875893,835,835
1518877981,831,831
1518879878,837,837
1518882051,833,833
1518883966,820,820
1518886085,819,819
1518888022,828,828
1518889944,819,819
1518891884,821,821
1518894235,808,808
1518896181,803,803
1518898068,803,803
1518900048,799,799
1518902224,791,791
1518904138,798,798
1518906301,797,797
1518908210,801,801
1518910962,806,806
1518912777,803,803
1518914689,802,802
1518916617,798,798
1518918775,806,806
1518920666,805,805
1518922885,809,809
1518925165,819,819
1518927417,813,813
1518929342,817,817
1518931234,827,827
1518933172,835,835
1518935070,831,831
1518937007,830,830
1518938927,830,830
1518941051,837,837
1518942982,837,837
1518944906,831,831
1518947873,968,968
1518949714,965,965
1518951701,963,963
1518953576,959,959
1518955507,955,955
1518957637,962,962
1518959568,960,960
1518961480,953,953
1518963400,937,937
1518965243,934,934
1518967233,925,925
1518969385,933,933
1518971301,938,938
1518973473,949,949
1518975388,954,954
1518977317,952,952
1518979226,964,964
1518981211,966,966
1518983075,971,971
1518985011,969,969
1518986935,965,965
1518988848,965,965
1518990749,957,957
1518992666,949,949
1518995835,951,951
1518997710,960,960
1518999787,967,967
1519002084,966,966
1519003974,964,964
1519005892,960,960
1519007813,960,960
1519009718,962,962
1519011651,961,961
1519013572,956,956
1519015518,950,950
1519017408,952,952
1519019328,955,955
1519021244,958,958
1519023169,957,957
1519025064,958,958
1519027010,948,948
1519028922,940,940
1519030876,941,941
1519032764,952,952
1519034933,960,960
1519036819,2328,2328
1519039008,3482,3482
1519040901,3485,3485
1519042959,3488,3488
1519045281,3489,3489
1519047416,3501,3501
1519049335,3514,3514
1519051248,3503,3503
1519053150,3502,3502
1519055091,3497,3497
1519057018,3502,3502
1519059167,3505,3505
1519061071,3512,3512
1519062985,3520,3520
1519065240,3524,3524
1519067111,3533,3533
1519069270,3529,3529
1519071412,3536,3536
1519074318,3540,3540
1519076448,3550,3550
1519078278,3559,3559
1519080535,3565,3565
1519082453,3579,3579
1519084368,3576,3576
1519086540,3579,3579
1519088534,3585,3585
1519090373,3595,3595
1519092285,3604,3604
1519094211,3612,3612
1519096125,3612,3612
1519098016,3615,3615
1519100211,3635,3635
1519102135,3646,3646
1519104042,3644,3644
1519105985,3647,3647
1519107871,3652,3652
1519109822,3653,3653
1519111709,3654,3654
1519113691,3656,3656
1519115555,3662,3662
1519117521,3686,3686
1519119391,3686,3686
1519121345,3689,3689
1519123232,2306,2306
1519125329,1186,1186
