DateTime,AddedIPs,RemovedIPs
1518124620,18,9
1518126734,14,9
1518128934,15,11
1518130978,9,11
1518132924,10,12
1518134956,12,14
1518136859,11,11
1518138996,6,9
1518140920,15,11
1518143016,9,15
1518144984,10,3
1518146821,5,7
1518149088,12,6
1518151037,7,13
1518152921,12,16
1518155109,9,11
1518157062,11,10
1518158932,9,9
1518160852,7,8
1518162758,15,12
1518164694,7,7
1518166597,9,14
1518168514,10,11
1518170489,8,12
1518172375,12,7
1518174280,12,10
1518176198,15,7
1518178139,7,11
1518180034,9,11
1518181839,8,11
1518183864,13,11
1518185808,12,16
1518187975,13,11
1518190127,16,7
1518192140,6,6
1518194192,6,10
1518196133,11,3
1518198022,14,10
1518199954,14,5
1518202111,11,11
1518204046,9,9
1518205955,9,8
1518207890,8,7
1518209789,6,20
1518211735,8,12
1518213880,6,13
1518215786,8,16
1518217975,15,9
1518220130,7,11
1518222065,9,13
1518223955,6,7
1518225897,8,10
1518227791,9,14
1518229983,11,7
1518231877,13,10
1518234061,14,7
1518235979,6,8
1518237897,13,10
1518240005,9,11
1518241968,8,9
1518244017,8,10
1518246090,8,7
1518247892,11,11
1518249865,10,11
1518251742,9,8
1518253957,10,12
1518256160,7,10
1518258035,8,9
1518259972,9,13
1518261870,7,18
1518263911,8,10
1518265713,6,5
1518267718,11,10
1518269580,10,10
1518271736,7,16
1518273659,9,10
1518275864,5,14
1518277960,16,9
1518279896,6,7
1518281791,8,7
1518283731,5,16
1518285689,8,14
1518287852,7,10
1518289729,5,10
1518291661,14,12
1518293580,10,9
1518295507,10,4
1518297412,12,7
1518299827,11,9
1518301720,8,6
1518303687,8,10
1518306008,7,12
1518308012,7,9
1518309899,10,4
1518311853,5,11
1518313736,9,9
1518315917,8,12
1518317813,7,11
1518319747,8,12
1518321686,10,10
1518323848,2,8
1518325735,11,12
1518327909,11,7
1518329818,14,7
1518331979,9,10
1518333889,6,11
1518335817,8,10
1518337969,8,9
1518339928,12,8
1518341818,14,9
1518343767,13,8
1518345654,9,6
1518347589,11,9
1518349493,5,5
1518351597,6,10
1518354083,12,13
1518355983,11,10
1518357896,9,6
1518359810,8,7
1518361944,11,6
1518363870,7,15
1518365712,6,6
1518367726,9,8
1518369758,9,6
1518371574,9,8
1518373784,8,8
1518375690,4,4
1518377800,8,15
1518379967,9,10
1518382145,11,10
1518384049,9,11
1518385961,8,10
1518387880,7,7
1518390116,13,9
1518392265,7,6
1518394148,10,7
1518396053,10,11
1518398205,9,5
1518400113,10,9
1518402044,8,6
1518403985,4,7
1518405899,5,9
1518407788,6,6
1518409718,5,6
1518411692,3,6
1518413807,12,14
1518415740,14,13
1518417872,7,12
1518419824,9,4
1518421955,7,9
1518423895,9,8
1518425782,6,12
1518427977,8,13
1518429889,10,14
1518431812,5,13
1518435029,12,14
1518437100,15,5
1518439245,13,8
1518441170,9,12
1518443089,10,7
1518445022,7,9
1518446940,9,9
1518449110,9,11
1518451001,5,4
1518452925,11,9
1518455082,11,8
1518456993,12,12
1518458944,10,7
1518460959,7,6
1518462775,8,6
1518464699,8,8
1518466607,9,9
1518469522,20,15
1518471661,10,8
1518473592,8,7
1518475464,9,9
1518477424,16,7
1518479583,10,11
1518481469,7,10
1518483727,7,11
1518485580,9,6
1518487499,4,12
1518489630,12,8
1518491570,9,3
1518493463,14,6
1518495403,3,5
1518497304,10,5
1518499240,12,6
1518501142,8,12
1518503087,9,10
1518504989,6,7
1518506937,8,9
1518508888,1,8
1518510767,7,5
1518512675,5,8
1518514612,8,11
1518516534,4,6
1518518427,10,6
1518520617,9,10
1518522424,11,7
1518524445,11,16
1518526262,4,9
1518528072,8,9
1518530356,11,9
1518532160,9,5
1518534246,11,11
1518536438,7,9
1518538372,4,8
1518540285,14,12
1518542228,7,11
1518544139,10,10
1518546047,8,9
1518547964,11,8
1518549888,5,7
1518551814,11,8
1518553729,4,12
1518555706,13,12
1518557810,7,11
1518559721,7,6
1518561909,13,11
1518563810,14,16
1518566474,11,11
1518569246,7,11
1518571515,7,12
1518573409,3,5
1518575369,6,9
1518577841,12,10
1518579651,12,15
1518581772,8,4
1518583704,7,10
1518585641,4,12
1518587572,9,8
1518589433,11,8
1518591697,6,9
1518593827,7,6
1518595706,7,1
1518597899,15,11
1518599820,5,5
1518601744,7,6
1518603770,3,9
1518605582,6,5
1518607476,5,10
1518609412,5,12
1518611310,9,8
1518613293,5,6
1518615143,2,11
1518617104,4,7
1518619230,7,11
1518621182,7,10
1518623070,8,6
1518625234,7,5
1518627170,7,14
1518629101,5,7
1518631018,7,12
1518632938,11,9
1518634892,8,8
1518637001,10,9
1518638944,15,7
1518641092,7,7
1518643026,5,12
1518644948,5,6
1518646855,3,10
1518648955,9,12
1518650935,7,14
1518653032,8,8
1518655034,11,3
1518656932,8,7
1518659095,4,5
1518661265,17,4
1518663172,13,10
1518665336,6,10
1518667290,5,13
1518669436,8,6
1518671337,6,6
1518673502,4,7
1518675416,4,11
1518677583,5,5
1518679486,5,9
1518681416,7,7
1518683304,9,9
1518685299,6,10
1518687171,5,7
1518689346,11,4
1518691243,7,5
1518693175,7,7
1518695067,8,3
1518697420,7,10
1518699700,12,6
1518701607,13,2
1518703486,7,4
1518705428,3,5
1518707331,10,9
1518709287,7,6
1518711173,4,8
1518713354,4,9
1518715229,5,4
1518717202,6,8
1518719356,9,11
1518721311,10,8
1518723279,10,9
1518725098,9,10
1518726988,10,10
1518728953,6,8
1518730848,6,5
1518733021,7,3
1518734942,10,7
1518737000,5,8
1518739402,13,9
1518741414,6,10
1518743358,12,8
1518745244,7,3
1518747168,10,12
1518749082,2,18
1518751012,7,5
1518753180,10,7
1518755090,5,8
1518757326,8,4
1518759327,6,4
1518761553,12,4
1518763377,8,7
1518765410,6,5
1518767365,3,5
1518769247,7,8
1518771299,4,8
1518773300,11,4
1518775485,14,8
1518777415,7,9
1518779755,7,9
1518781713,5,8
1518783604,14,4
1518785557,9,12
1518787753,5,11
1518789697,3,9
1518791587,2,3
1518793503,11,8
1518796433,12,11
1518798312,7,5
1518800250,11,4
1518802181,15,6
1518804325,7,7
1518806250,10,8
1518808118,2,9
1518810039,8,11
1518812235,6,10
1518814147,3,10
1518816314,10,8
1518818218,10,6
1518820161,7,5
1518822314,7,10
1518824251,8,5
1518826373,9,13
1518828298,7,6
1518830263,5,13
1518832134,6,7
1518834333,8,6
1518836194,8,5
1518838370,7,7
1518840294,6,10
1518842209,11,3
1518844133,6,8
1518846035,4,6
1518847962,6,12
1518849880,7,8
1518851806,6,6
1518853724,8,3
1518855644,6,7
1518857559,11,4
1518859479,5,9
1518861401,3,14
1518863329,11,6
1518865481,5,7
1518867407,10,7
1518869441,11,10
1518871497,13,11
1518873759,8,7
1518875893,8,3
1518877981,6,3
1518879878,11,11
1518882051,8,9
1518883967,7,5
1518886086,9,11
1518888022,10,11
1518889944,9,13
1518891884,5,8
