DateTime,AddedIPs,RemovedIPs
1518002535,2,1
1518004368,0,2
1518006286,0,1
1518008211,0,1
1518010107,1,1
1518012139,0,2
1518013971,4,2
1518015904,3,1
1518017786,1,1
1518019739,0,1
1518021659,0,1
1518023579,1,0
1518025467,2,1
1518027418,0,1
1518029313,3,0
1518031476,1,1
1518033384,3,0
1518035578,7,2
1518037692,0,2
1518039623,1,1
1518041465,1,0
1518044295,2,6
1518046120,2,1
1518048191,4,1
1518050454,2,1
1518052378,0,1
1518054299,1,1
1518056214,1,2
1518058128,1,0
1518060053,2,0
1518063901,2,1
1518065788,1,0
1518067961,1,0
1518069884,3,0
1518071826,7,0
1518075628,1,0
1518079488,0,1
1518081306,2,0
1518083324,2,0
1518085257,1,0
1518087145,2,1
1518089064,0,1
1518091015,0,1
1518093342,4,0
1518095557,1,0
1518097470,2,1
1518099326,0,2
1518101328,1,3
1518103310,3,0
1518105141,1,0
1518107326,1,3
1518109313,1,2
1518111200,2,2
1518113089,0,2
1518114995,1,2
1518116900,1,3
1518118789,2,3
1518120742,3,5
1518122555,1,4
1518124622,1,1
1518126735,0,2
1518128935,2,0
1518130979,2,0
1518132925,4,0
1518134957,2,2
1518136860,0,2
1518138997,1,0
1518140921,0,2
1518143016,1,2
1518146823,0,1
1518149089,1,1
1518151038,0,1
1518152922,1,1
1518155110,1,3
1518157063,2,1
1518158933,1,0
1518160853,1,9
1518162759,0,1
1518164694,1,0
1518166598,2,1
1518170490,0,4
1518172376,0,1
1518174281,0,1
1518178139,1,2
1518180035,2,3
1518181840,3,1
1518183865,0,1
1518185809,3,0
1518187976,2,3
1518190128,0,2
1518192142,1,2
1518194193,1,0
1518196134,0,1
1518198023,1,1
1518199955,1,1
1518202112,1,0
1518204047,0,1
1518205955,1,3
1518207891,1,4
1518209790,3,1
1518211736,3,0
1518213881,2,0
1518215787,2,2
1518217976,3,2
1518220131,2,3
1518222066,1,1
1518223956,0,1
1518225898,2,1
1518227792,3,1
1518229983,2,1
1518231878,1,0
1518234062,1,0
1518235980,1,2
1518237898,2,1
1518240006,0,2
1518241969,0,2
1518244018,2,5
1518246091,0,1
1518249866,0,1
1518251743,1,0
1518253958,0,1
1518256161,1,0
1518258036,1,0
1518259972,1,0
1518261871,0,1
1518263912,1,0
1518265714,0,3
1518267719,1,2
1518269581,1,1
1518271737,1,3
1518273659,1,3
1518275865,0,1
1518277961,1,1
1518279897,0,1
1518287853,1,2
1518289730,1,0
1518291662,2,0
1518293581,2,1
1518295508,0,1
1518297413,2,2
1518299828,3,2
1518301721,1,0
1518303689,4,1
1518306009,1,1
1518308013,3,1
1518309899,0,1
1518311854,0,3
1518313737,2,1
1518315918,3,2
1518317814,0,2
1518319748,0,1
