DateTime,AddedIPs,RemovedIPs
1518122556,7,6
1518124623,21,5
1518126736,16,1
1518128936,6,3
1518130979,1,6
1518132926,1,1
1518134958,2,0
1518136861,4,0
1518138997,0,3
1518140921,6,2
1518143017,2,1
1518144985,2,4
1518146824,2,2
1518149089,4,2
1518151039,3,4
1518152923,3,1
1518155111,5,3
1518157063,4,1
1518158933,4,3
1518160854,2,4
1518162759,0,2
1518164695,1,3
1518166598,3,2
1518168515,1,1
1518170490,3,2
1518172376,5,3
1518174281,4,4
1518176199,1,7
1518178140,6,4
1518180036,6,1
1518181840,9,3
1518183865,4,3
1518185810,5,4
1518187977,55,7
1518190128,4,2
1518192143,5,3
1518194193,2,4
1518196134,5,1
1518198023,6,1
1518199956,4,3
1518202113,3,2
1518204048,33,5
1518205956,4,2
1518207891,6,2
1518209790,5,7
1518211737,4,23
1518213882,7,9
1518215787,6,2
1518217977,3,2
1518220132,1,1
1518222066,2,4
1518223957,1,2
1518225898,2,5
1518227793,2,3
1518229984,4,3
1518231879,3,1
1518234062,9,3
1518235981,6,2
1518237898,4,2
1518240007,3,3
1518241969,2,6
1518244019,3,3
1518246091,3,3
1518247893,1,2
1518249867,4,1
1518251744,2,1
1518253959,2,5
1518256161,8,5
1518258036,4,2
1518259973,7,3
1518261872,0,2
1518263912,1,4
1518265715,3,1
1518267721,2,7
1518269581,5,4
1518271737,7,0
1518273660,2,50
1518275866,3,3
1518277962,3,6
1518279898,3,3
1518281792,1,3
1518283732,3,3
1518285691,2,5
1518287853,5,2
1518289730,4,32
1518291663,2,4
1518293581,4,4
1518295508,3,8
1518297414,6,6
1518299828,3,7
1518301722,3,7
1518303690,8,2
1518306010,4,3
1518308014,5,2
1518309900,4,3
1518311854,2,4
1518313737,1,5
1518315919,3,6
1518317814,1,4
1518319748,3,8
1518321687,1,2
1518323850,2,6
1518325736,1,5
1518327911,3,4
1518329819,2,2
1518331981,1,3
1518333890,2,2
1518335819,3,3
1518337970,2,3
1518339929,3,0
1518341819,3,3
1518343769,6,9
1518345655,3,2
1518347591,2,2
1518349495,3,5
1518351598,6,2
1518354085,3,1
1518355985,5,8
1518357897,7,5
1518359811,4,4
1518361945,3,5
1518363871,4,3
1518365714,1,2
1518367728,10,1
1518369759,3,2
1518371576,7,3
1518373786,1,3
1518375691,0,4
1518377802,3,3
1518379968,3,4
1518382147,4,4
1518384051,4,5
1518385962,3,4
1518387881,4,1
1518390118,3,8
1518392266,5,3
1518394150,2,3
1518396055,4,2
1518398206,2,3
1518400115,1,3
1518402046,2,1
1518403988,2,2
1518405900,4,4
1518407790,2,2
1518409720,4,2
1518411695,4,1
1518413808,4,1
1518415742,4,2
1518417873,2,2
1518419826,3,3
1518421956,2,1
1518423897,1,1
1518425783,0,2
1518427979,2,3
1518429891,5,7
1518431814,0,1
1518435033,4,2
1518437102,4,5
1518439247,1,3
1518441172,3,6
1518443090,2,6
1518445024,3,5
1518446942,2,4
1518449111,10,4
1518451003,4,3
1518452927,3,3
1518455083,4,5
1518456996,2,5
1518458945,5,1
1518460960,4,4
1518464701,0,4
1518466608,4,5
1518469524,3,8
1518471662,1,4
1518473593,4,4
1518475466,3,1
1518477425,6,7
1518479584,4,2
1518481470,4,3
1518483728,4,8
1518485581,7,1
1518487501,6,2
1518489631,4,6
1518491572,5,8
1518493465,3,3
1518495404,6,4
1518497305,3,3
1518499241,1,4
1518501143,3,3
1518503088,2,3
1518504991,2,3
1518506939,2,1
1518508889,3,3
1518510768,5,3
1518512677,1,2
1518514614,3,2
1518516536,2,5
1518518428,24,1
1518520618,45,3
1518522425,36,3
1518524446,27,5
1518526264,29,1
1518528074,24,2
1518530358,31,3
1518532162,26,2
1518534248,29,5
1518536439,28,3
1518538374,32,2
1518540287,29,4
1518542230,36,2
1518544140,30,1
1518546049,20,3
1518547966,13,4
1518549890,13,2
1518551816,3,2
1518553730,2,3
1518555708,1,2
1518557811,6,2
1518559723,3,6
1518561910,0,2
1518563811,3,3
1518566570,1,4
1518569247,2,4
1518571516,5,6
