DateTime,AddedIPs,RemovedIPs
1518688115,3,11
1518689322,6,12
1518690267,11,3
1518691220,2,7
1518692191,6,9
1518693153,6,6
1518693858,7,4
1518694581,3,3
1518695301,4,8
1518696044,1,9
1518697380,6,7
1518698185,1,11
1518699139,7,1
1518700115,10,15
1518701399,5,13
1518702041,6,0
1518702738,6,14
1518703465,3,6
1518704431,4,17
1518705395,2,5
1518706345,7,9
1518707309,3,4
1518708261,8,10
1518709230,4,5
1518710185,3,7
1518711150,5,10
1518712105,5,14
1518712817,7,0
1518713545,6,9
1518714267,2,14
1518714981,6,4
1518715687,5,8
1518716780,5,13
1518717869,13,3
1518719326,10,17
1518720029,8,7
1518720751,3,8
1518721706,7,6
1518722416,4,7
1518723149,8,0
1518723858,4,10
1518724591,6,20
1518725293,5,11
1518726029,3,6
1518726742,3,0
1518727462,6,18
1518728440,11,8
1518729390,10,8
1518730095,3,4
1518730825,6,12
1518731786,9,9
1518732515,1,0
1518733464,8,10
1518734176,10,8
1518734920,6,7
1518735865,4,4
1518736848,7,7
1518737546,5,9
1518738264,2,9
1518739233,5,3
1518740437,6,26
1518741390,5,0
1518742349,8,13
1518743310,4,0
1518744265,5,22
1518745221,4,0
1518746185,4,11
1518747147,2,5
1518748347,6,13
1518749062,6,8
1518750031,7,25
1518750988,17,8
1518752189,3,21
1518753145,8,11
1518754116,8,11
1518755066,6,7
1518755787,3,15
1518756509,3,0
1518757227,2,12
1518758191,10,12
1518759146,5,7
1518760110,3,7
1518761072,5,10
1518762027,5,7
1518762988,4,7
1518763717,3,7
1518764434,3,0
1518765387,10,13
1518766397,5,7
1518767306,3,6
1518768279,2,6
1518769227,5,3
1518770191,7,13
1518771149,7,3
1518772127,13,7
1518773060,8,6
1518774028,4,2
1518774983,9,4
1518775953,7,6
1518776657,6,5
1518777384,12,7
1518778096,5,4
1518779068,5,3
1518780292,15,8
1518781225,1,5
1518781937,6,5
1518782679,4,0
1518783520,10,10
1518784122,10,4
1518784810,3,5
1518785531,3,8
1518786505,6,2
1518787207,6,7
1518788192,12,6
1518789139,4,6
1518789865,6,2
1518790575,6,0
1518791537,7,14
1518792505,5,10
1518793459,4,7
1518794672,16,12
1518795626,5,9
1518796842,12,10
1518797534,10,9
1518798265,3,22
1518798979,8,0
1518799698,7,0
1518800681,6,14
1518801624,6,12
1518802595,5,13
1518803541,7,0
1518804281,2,6
1518805217,5,18
1518806179,4,4
1518806889,7,11
1518807865,1,10
1518808586,11,8
1518809293,6,0
1518810009,1,10
1518810756,7,11
1518811472,5,16
1518812205,4,0
1518813146,3,9
1518814106,7,14
1518815315,5,8
1518816263,2,9
1518817223,0,6
1518818187,5,11
1518819144,10,4
1518820108,3,10
1518821061,7,9
1518822268,5,14
1518823470,8,16
1518824192,5,0
1518824852,8,3
