DateTime,AddedIPs,RemovedIPs
1518688115,51,50
1518689322,58,37
1518690267,43,63
1518691220,47,38
1518692191,56,64
1518693153,56,72
1518693858,52,36
1518694581,50,34
1518695301,37,41
1518696044,40,41
1518697380,46,74
1518698185,84,58
1518699139,60,37
1518700115,51,86
1518701399,66,52
1518702041,52,48
1518702738,43,52
1518703465,47,66
1518704431,83,51
1518705395,40,42
1518706345,64,55
1518707309,48,57
1518708261,55,46
1518709230,35,50
1518710185,51,54
1518711150,61,48
1518712105,56,76
1518712817,66,51
1518713545,49,50
1518714267,50,32
1518714981,63,59
1518715687,50,61
1518716780,58,46
1518717869,63,69
1518719326,85,60
1518720029,52,51
1518720751,43,57
1518721706,75,56
1518722416,34,54
1518723149,56,55
1518723858,62,46
1518724591,47,55
1518725293,58,118
1518726029,95,35
1518726742,50,42
1518727462,52,62
1518728440,67,70
1518729390,52,70
1518730095,44,94
1518730825,89,80
1518731786,93,62
1518732515,45,61
1518733464,54,133
1518734176,125,48
1518734920,35,107
1518735865,89,50
1518736848,62,58
1518737546,37,41
1518738264,48,43
1518739233,46,74
1518740437,76,44
1518741390,36,49
1518742349,63,36
1518743310,29,50
1518744265,42,46
1518745221,48,47
1518746185,37,30
1518747147,48,50
1518748347,54,86
1518749062,68,58
1518750031,63,37
1518750988,51,63
1518752189,54,88
1518753145,80,52
1518754116,50,27
1518755066,46,78
1518755787,52,49
1518756509,41,41
1518757227,39,42
1518758191,63,42
1518759146,33,46
1518760110,67,58
1518761072,58,48
1518762027,40,40
1518762988,54,39
1518763717,46,35
1518764434,33,63
1518765387,70,64
1518766397,69,60
1518767306,48,45
1518768279,59,52
1518769227,51,57
1518770191,56,34
1518771149,57,57
1518772127,71,52
1518773060,42,63
1518774028,70,50
1518774983,57,81
1518775953,63,65
1518776657,58,41
1518777384,47,54
1518778096,47,47
1518779068,58,40
1518780292,73,73
1518781225,53,38
1518781937,46,44
1518782679,50,46
1518783520,60,74
1518784122,55,63
1518784810,52,54
1518785531,61,31
1518786505,43,44
1518787207,51,54
1518788192,62,57
1518789139,57,45
1518789865,49,50
1518790575,55,68
1518791537,74,65
1518792505,65,62
1518793459,55,66
1518794672,99,92
1518795626,81,50
1518796842,79,90
1518797534,65,58
1518798265,49,55
1518798979,62,48
1518799698,47,58
1518800681,50,54
1518801624,71,76
1518802595,53,63
1518803541,87,76
1518804281,46,43
1518805217,85,58
1518806179,54,63
1518806889,54,53
1518807865,45,45
1518808586,60,53
1518809293,60,47
1518810009,48,55
1518810756,48,51
1518811472,39,48
1518812205,41,74
1518813146,70,46
1518814106,61,59
1518815315,64,48
1518816263,53,62
1518817223,38,49
1518818187,65,66
1518819144,54,104
1518820108,69,42
1518821061,62,61
1518822268,45,52
1518823470,54,81
1518824192,56,59
1518824852,53,61
1518825867,60,63
1518826825,43,39
1518827783,48,79
1518828749,96,53
1518829702,56,47
1518830658,28,53
1518831614,58,55
1518832586,48,65
1518833799,71,72
1518834753,44,40
1518835707,50,65
1518836683,69,46
1518837872,74,82
1518838828,58,54
1518839781,54,55
1518840765,48,49
1518841705,43,45
1518842668,47,67
1518843626,40,54
1518844599,94,42
1518845546,34,55
1518846515,53,48
1518847472,57,43
1518848434,40,60
1518849387,58,69
1518850349,72,37
1518851309,41,44
1518852274,48,67
1518853221,57,72
1518854193,75,60
1518855144,74,56
1518856112,56,55
1518857064,82,62
1518858033,43,47
1518858986,66,64
1518859958,72,65
1518860903,75,67
1518861874,53,46
1518862580,74,70
1518863298,49,35
1518864263,56,72
1518864987,71,62
1518865952,67,50
1518866904,65,51
1518867875,51,43
1518868831,63,64
1518869796,77,88
1518870513,56,47
1518871466,65,78
1518872433,74,75
1518873152,66,80
1518874109,107,75
1518875068,84,62
1518875862,49,47
1518876993,76,62
1518877947,76,85
1518878907,83,100
1518879622,88,65
1518880351,60,57
1518882528,87,135
1518883222,92,63
1518883944,60,50
1518884657,48,39
1518885379,37,50
1518886357,76,138
1518887063,113,49
1518887789,66,39
1518888747,50,53
1518889709,59,66
1518890448,49,77
1518891137,71,48
1518891862,56,46
1518892825,44,55
1518893544,70,61
1518894521,57,41
1518895215,36,48
1518895945,42,44
1518896659,51,61
1518897389,60,41
1518898357,63,68
1518899058,45,42
1518900024,67,76
1518900982,64,65
1518902200,61,63
1518903143,57,50
1518904114,61,80
1518905072,62,59
1518906278,58,69
1518907221,50,88
1518908187,54,40
1518909149,63,78
1518909868,58,39
1518910930,47,73
1518911793,49,48
1518912753,47,72
1518913705,77,52
1518914666,48,62
1518915631,74,49
1518916594,42,59
1518917792,66,79
1518918750,53,68
1518919714,50,48
1518920413,36,41
1518921386,61,70
1518922099,50,47
1518922831,45,45
1518923799,62,61
1518924747,52,58
1518925466,47,28
1518926180,39,53
1518926919,52,52
1518927869,68,54
1518928825,49,81
1518929787,67,54
1518930753,63,59
1518931709,54,52
1518932419,45,44
1518933144,44,45
1518933860,33,45
1518934593,42,54
1518935796,70,48
1518936751,48,47
1518937472,45,44
1518938182,77,60
1518938903,47,53
1518939622,52,59
1518940343,60,49
1518941311,58,57
1518942016,46,43
1518942745,42,46
1518943712,63,56
1518944674,41,34
1518945394,50,47
1518946097,45,60
1518946826,56,42
1518948285,79,70
1518949221,61,57
1518949941,45,55
1518950667,50,67
1518951629,70,58
1518952597,71,68
1518953548,68,59
1518954508,37,51
1518955482,62,42
1518956455,43,53
1518957130,41,42
1518957855,54,47
1518958817,60,54
1518959544,47,50
1518960500,84,46
1518961455,40,47
1518962421,57,58
1518963383,54,53
1518964088,41,39
1518965059,53,60
1518965793,50,35
1518966513,56,43
1518967214,47,46
1518967945,53,55
1518968907,52,53
1518969631,50,46
1518970357,49,57
1518971066,64,47
1518972023,60,67
1518972983,47,51
1518973697,39,41
1518974430,37,52
1518975140,55,38
1518975866,59,63
1518976830,66,55
1518977542,35,37
1518978267,85,60
1518978994,58,44
1518979703,37,76
