DateTime,AddedIPs,RemovedIPs
1518510938,2,10
1518513058,1,1
1518514121,22,0
1518515106,8,0
1518516523,0,3
1518518336,13,4
1518519406,0,3
1518520478,2,0
1518521289,2,0
1518523051,2,7
1518524069,5,1
1518525068,4,2
1518525942,8,2
1518527033,2,2
1518528049,2,0
1518528513,17,0
1518529545,1,4
1518530863,1,2
1518532042,1,0
1518532947,3,3
1518534945,12,1
1518535709,3,0
1518536742,2,199
1518538845,10,2
1518539769,1,6
1518540987,1,0
1518541849,1,4
1518542649,9,1
1518544592,13,7
1518545738,1,0
1518547911,26,1
1518548870,3,2
1518550250,3,0
1518550953,25,2
1518551790,11,0
1518552663,5,1
1518553835,15,5
1518554735,7,0
1518556239,41,8
1518557519,14,2
1518558397,15,3
1518559844,13,4
1518560905,17,0
1518562588,16,3
1518563691,17,5
1518565360,39,7
1518567049,23,0
1518568234,8,6
1518568948,21,1
1518570069,15,1
1518570946,12,0
1518571866,7,0
1518572749,19,2
1518574488,22,1
1518575308,9,0
1518576155,10,4
1518577799,15,2
1518579040,27,3
1518579939,10,0
1518581076,8,2
1518581676,5,1
1518582508,11,0
1518583538,16,5
1518585046,17,2
1518586268,12,2
1518586950,10,2
1518587804,13,1
1518588643,14,0
1518590209,17,6
1518591410,13,3
1518592248,19,1
1518594048,22,3
1518595460,13,0
1518596447,5,0
1518596916,8,0
1518599667,3,1
1518601352,22,4
1518603045,2,0
1518603936,1,0
1518604958,6,1
1518605795,2,0
1518606641,8,2
1518607815,2,5
1518608557,3,2
1518609397,10,1
1518610245,4,0
1518611473,5,6
1518612155,3,1
1518613840,16,6
1518615755,16,3
1518617675,18,4
1518619247,9,2
1518620205,6,0
1518621083,12,7
1518622065,3,0
1518623150,10,14
1518624650,37,3
1518626573,19,2
1518627860,36,0
1518628830,12,0
1518629973,19,2
1518630973,10,238
1518631848,2,0
1518632079,1,0
1518633070,8,3
1518633935,2,3
1518635268,4,3
1518636671,9,9
1518637539,14,0
1518638480,5,2
1518639340,2,1
1518640106,7,0
1518640954,2,2
1518642479,4,0
1518643708,18,0
1518644565,1,5
1518646470,2,7
1518649386,12,11
1518650449,8,0
1518651387,0,7
1518652955,10,4
1518654048,3,1
1518654518,1,0
1518655551,3,5
1518657051,11,3
1518658118,1,0
1518659033,6,2
1518659800,1,0
1518660639,3,2
1518662123,22,7
1518663389,5,1
1518666150,12,3
1518667849,0,2
1518668804,1,0
1518669938,1,2
1518672265,10,1
1518673347,12,2
1518674238,0,1
1518675053,1,0
1518676956,5,4
1518678649,3,2
1518680547,2,5
1518682247,13,2
1518683127,8,0
1518684157,1,6
1518684993,7,0
1518685844,1,2
1518686727,14,0
1518687627,1,0
1518688589,2,2
1518689672,3,0
1518691359,12,5
1518692404,2,1
1518693344,4,0
1518694561,0,4
1518695795,19,1
1518696654,2,1
1518697717,0,1
1518698759,2,4
1518699707,13,0
1518700550,8,1
1518701972,4,4
1518702834,1,0
1518703846,2,2
1518705502,9,4
1518706453,2,0
1518707688,21,1
1518708644,0,173
1518709605,1,1
1518711277,9,2
1518712264,1,2
1518713160,2,2
1518714570,5,3
1518716449,7,3
1518717300,1,0
1518719142,6,4
1518719991,2,7
1518720980,2,10
1518724892,23,39
1518725754,8,0
1518726512,11,1
1518728399,13,33
1518729306,29,0
1518730247,11,18
1518731139,16,6
1518732648,24,8
1518733716,5,1
1518734741,3,24
1518735814,4,15
1518736848,3,0
1518737320,2,0
1518739194,33,30
1518740079,2,0
1518741066,26,15
1518741943,4,0
1518743755,16,13
1518747049,28,33
1518748640,5,15
1518749473,4,0
1518750868,6,20
1518752162,16,17
1518752552,3,0
1518754476,9,15
1518756149,17,15
1518757840,15,17
1518758762,6,1
1518759767,13,22
1518761076,3,16
1518761667,5,0
1518762667,5,8
1518763545,6,12
1518765287,10,11
1518766962,34,7
1518768505,5,3
1518769857,8,3
1518770738,2,1
1518771555,2,1
1518772548,4,0
1518774496,23,7
1518775467,16,3
1518776447,8,1
1518777341,5,4
1518778997,17,3
1518780048,15,0
1518781227,5,1
1518783040,15,8
1518784957,26,8
1518786001,3,1
1518786942,5,0
1518787857,8,4
1518788554,8,3
1518790220,12,1
1518791691,7,4
1518792626,10,0
1518793731,9,16
1518795063,8,385
1518795936,9,0
1518797182,7,35
1518798045,7,0
1518799360,12,17
1518800162,4,0
1518801047,6,5
1518801878,9,0
1518802848,7,3
1518803691,9,1
1518804641,4,5
1518806547,17,3
1518808475,19,4
1518809709,7,1
1518810200,2,0
