DateTime,Entries,UniqueIPs
1518510938,9186,9186
1518513058,9186,9186
1518514121,9208,9208
1518515106,9216,9216
1518516523,9213,9213
1518518336,9222,9222
1518519406,9219,9219
1518520478,9221,9221
1518521289,9223,9223
1518523051,9218,9218
1518524069,9222,9222
1518525068,9224,9224
1518525942,9230,9230
1518527033,9230,9230
1518528049,9232,9232
1518528513,9249,9249
1518529545,9246,9246
1518530863,9245,9245
1518532042,9246,9246
1518532947,9246,9246
1518534945,9257,9257
1518535709,9260,9260
1518536742,9063,9063
1518538845,9071,9071
1518539769,9066,9066
1518540987,9067,9067
1518541849,9064,9064
1518542649,9072,9072
1518544592,9078,9078
1518545738,9079,9079
1518547911,9104,9104
1518548870,9105,9105
1518550250,9108,9108
1518550953,9131,9131
1518551790,9142,9142
1518552663,9146,9146
1518553835,9156,9156
1518554735,9163,9163
1518556239,9196,9196
1518557519,9208,9208
1518558397,9220,9220
1518559844,9229,9229
1518560905,9246,9246
1518562588,9259,9259
1518563691,9271,9271
1518565360,9303,9303
1518567049,9326,9326
1518568234,9328,9328
1518568948,9348,9348
1518570069,9362,9362
1518570946,9374,9374
1518571866,9381,9381
1518572749,9398,9398
1518574488,9419,9419
1518575308,9428,9428
1518576155,9434,9434
1518577799,9447,9447
1518579040,9471,9471
1518579939,9481,9481
1518581076,9487,9487
1518581676,9491,9491
1518582508,9502,9502
1518583538,9513,9513
1518585046,9528,9528
1518586268,9538,9538
1518586950,9546,9546
1518587804,9558,9558
1518588643,9572,9572
1518590209,9583,9583
1518591410,9593,9593
1518592248,9611,9611
1518594048,9630,9630
1518595460,9643,9643
1518596447,9648,9648
1518596916,9656,9656
1518599667,9658,9658
1518601352,9676,9676
1518603045,9678,9678
1518603936,9679,9679
1518604958,9684,9684
1518605795,9686,9686
1518606641,9692,9692
1518607815,9689,9689
1518608557,9690,9690
1518609397,9699,9699
1518610245,9703,9703
1518611473,9702,9702
1518612155,9704,9704
1518613840,9714,9714
1518615755,9727,9727
1518617675,9741,9741
1518619247,9748,9748
1518620205,9754,9754
1518621083,9759,9759
1518622065,9762,9762
1518623150,9758,9758
1518624650,9792,9792
1518626573,9809,9809
1518627860,9845,9845
1518628830,9857,9857
1518629973,9874,9874
1518630973,9646,9646
1518631848,9648,9648
1518632079,9649,9649
1518633070,9654,9654
1518633935,9653,9653
1518635268,9654,9654
1518636671,9654,9654
1518637539,9668,9668
1518638480,9671,9671
1518639340,9672,9672
1518640106,9679,9679
1518640954,9679,9679
1518642479,9683,9683
1518643708,9701,9701
1518644565,9697,9697
1518646470,9692,9692
1518649386,9693,9693
1518650449,9701,9701
1518651387,9694,9694
1518652955,9700,9700
1518654048,9702,9702
1518654518,9703,9703
1518655551,9701,9701
1518657051,9709,9709
1518658118,9710,9710
1518659033,9714,9714
1518659800,9715,9715
1518660639,9716,9716
1518662123,9731,9731
1518663389,9735,9735
1518666150,9744,9744
1518667849,9742,9742
1518668804,9743,9743
1518669938,9742,9742
1518672265,9751,9751
1518673347,9761,9761
1518674238,9760,9760
1518675053,9761,9761
1518676956,9762,9762
1518678649,9763,9763
1518680547,9760,9760
1518682247,9771,9771
1518683127,9779,9779
1518684157,9774,9774
1518684993,9781,9781
1518685844,9780,9780
1518686727,9794,9794
1518687627,9795,9795
1518688589,9795,9795
1518689672,9798,9798
1518691359,9805,9805
1518692404,9806,9806
1518693344,9810,9810
1518694561,9806,9806
1518695795,9824,9824
1518696654,9825,9825
1518697717,9824,9824
1518698759,9822,9822
1518699707,9835,9835
1518700550,9842,9842
1518701972,9842,9842
1518702834,9843,9843
1518703846,9843,9843
1518705502,9848,9848
1518706453,9850,9850
1518707688,9870,9870
1518708644,9697,9697
1518709605,9697,9697
1518711277,9704,9704
1518712264,9703,9703
1518713160,9703,9703
1518714570,9705,9705
1518716449,9709,9709
1518717300,9710,9710
1518719142,9712,9712
1518719991,9707,9707
1518720980,9699,9699
1518724892,9683,9683
1518725754,9691,9691
1518726512,9701,9701
1518728399,9681,9681
1518729306,9710,9710
1518730247,9703,9703
1518731139,9713,9713
1518732648,9729,9729
1518733716,9733,9733
1518734741,9712,9712
1518735814,9701,9701
1518736848,9704,9704
1518737320,9706,9706
1518739194,9709,9709
1518740079,9711,9711
1518741066,9722,9722
1518741943,9726,9726
1518743755,9729,9729
1518747049,9724,9724
1518748640,9714,9714
1518749473,9718,9718
1518750868,9704,9704
1518752162,9703,9703
1518752552,9706,9706
1518754476,9700,9700
1518756149,9702,9702
1518757840,9700,9700
1518758762,9705,9705
1518759767,9696,9696
1518761076,9683,9683
1518761667,9688,9688
1518762667,9685,9685
1518763545,9679,9679
1518765287,9678,9678
1518766962,9705,9705
1518768505,9707,9707
1518769857,9712,9712
1518770738,9713,9713
1518771555,9714,9714
1518772548,9718,9718
1518774496,9734,9734
1518775467,9747,9747
