DateTime,AddedIPs,RemovedIPs
1518431516,1,0
1518432380,1,0
1518435136,1,5
1518437088,0,1
1518438977,2,2
1518439841,0,1
1518441118,0,1
1518441959,1,0
1518442813,1,0
1518443770,1,0
1518444661,0,1
1518445723,0,1
1518446693,0,3
1518447811,0,1
1518451888,1,2
1518453388,0,2
1518454242,1,0
1518454938,1,0
1518456696,0,2
1518459090,2,1
1518460963,2,0
1518462658,1,3
1518464560,2,3
1518466364,1,2
1518468070,0,7
1518469888,0,1
1518471966,1,0
1518473680,2,0
1518475361,6,0
1518476909,12,0
1518478859,1,1
1518480655,1,0
1518482565,3,3
1518484486,1,2
1518486111,1,1
1518486945,1,0
1518487856,2,0
1518490593,2,3
1518492666,1,0
1518493363,0,1
1518494252,0,1
1518496987,0,1
1518501554,0,2
1518504072,3,4
1518505898,1,0
1518507760,1,0
1518509769,1,0
1518510956,0,2
1518516544,0,1
1518518370,1,0
1518520489,0,1
1518521302,1,0
1518523063,2,4
1518525083,0,1
1518525960,1,1
1518527099,0,1
1518528531,1,0
1518529559,0,3
1518530875,0,1
1518532962,1,2
1518534959,1,1
1518535720,3,0
1518536764,1,1
1518538167,1,1
1518539444,0,1
1518540322,0,2
1518541886,1,1
1518543666,3,1
1518544606,0,1
1518545757,1,0
1518547923,4,1
1518548882,1,0
1518550306,0,1
1518550964,3,1
1518551802,7,0
1518552700,4,1
1518553851,12,4
1518554747,8,0
1518556249,13,6
1518557541,13,0
1518558411,8,2
1518559857,10,2
1518560916,12,0
1518562599,14,2
1518563713,9,3
1518565376,14,6
1518567085,15,0
1518568249,7,2
1518568960,5,1
1518570085,11,1
1518570979,5,0
1518571880,6,0
1518572762,5,2
1518574500,9,1
1518575322,6,0
1518576172,10,1
1518577822,14,0
1518579061,14,2
1518579951,7,0
1518581688,12,2
1518582521,6,0
1518583549,7,5
1518585123,14,2
1518586304,10,1
1518586961,6,1
1518587815,7,1
1518588655,10,0
1518590220,11,3
1518591421,8,1
1518592261,7,0
1518594059,15,2
1518595491,10,0
1518599678,2,0
1518601363,2,3
1518606657,0,1
1518607840,1,1
1518608569,1,1
1518610258,3,0
1518611493,1,1
1518612169,1,0
1518613850,2,1
1518615766,3,0
1518617686,1,0
1518619273,2,0
1518621100,1,1
1518622076,1,0
