DateTime,AddedIPs,RemovedIPs
1518468062,3,5
1518469859,5,2
1518471952,1,1
1518473673,2,1
1518475354,3,1
1518476879,0,3
1518478846,3,6
1518479785,2,2
1518480648,3,0
1518482556,4,3
1518484479,2,4
1518486060,5,5
1518486938,4,0
1518487844,1,3
1518488081,1,0
1518490586,14,20
1518491445,3,1
1518492656,5,10
1518493356,3,4
1518494245,1,5
1518495076,5,0
1518496979,2,8
1518498659,2,2
1518500448,4,15
1518501396,3,1
1518501547,0,9
1518502551,4,1
1518504063,3,11
1518504988,2,7
1518505875,7,0
1518507753,6,14
1518509758,7,5
1518510943,6,9
1518512138,4,1
1518513063,3,5
1518514125,1,0
1518515124,4,4
1518516530,5,4
1518518341,5,5
1518519411,1,3
1518520482,1,0
1518521294,1,0
1518523056,7,2
1518524074,5,3
1518525075,2,2
1518525948,1,1
1518527048,5,8
1518528523,5,0
1518529550,2,5
1518532058,1,0
1518532953,1,1
1518534950,0,1
1518535713,2,0
1518536747,0,3
1518538849,4,3
1518539793,2,5
1518540637,3,0
1518540992,1,0
1518541860,3,2
1518544598,2,4
1518545747,1,0
1518547915,2,4
1518548875,1,1
1518550263,0,1
1518552687,2,3
1518553843,2,0
1518554740,1,0
1518556243,2,1
1518557525,2,2
1518558404,1,0
1518559849,1,4
1518560910,1,0
1518562592,2,2
1518563696,1,5
1518565369,1,5
1518567055,0,3
1518568238,0,5
1518568953,2,1
1518570073,2,6
1518570957,1,0
1518571873,3,8
1518572754,2,2
1518574492,2,5
1518575313,3,0
1518576165,3,8
1518577813,1,7
1518579047,3,5
1518579944,1,3
1518581091,1,4
1518581681,2,0
1518582512,2,0
1518583542,3,5
1518585094,3,4
1518586278,0,10
1518586955,1,0
1518587808,0,9
1518588647,2,0
1518590214,2,10
1518591414,4,4
1518592254,7,0
1518594052,6,10
1518595470,2,7
1518596452,3,0
1518596920,1,0
1518597857,8,5
1518599671,1,8
1518601356,5,9
1518602209,2,10
1518603050,1,0
1518603953,1,0
1518604962,4,4
1518605800,2,0
1518606645,3,10
1518607831,2,6
1518608561,1,3
1518609402,0,5
1518610251,2,0
1518610483,1,0
1518611480,3,5
1518612160,0,2
1518613844,4,1
1518615759,3,3
