DateTime,AddedIPs,RemovedIPs
1518523054,61,62
1518524073,22,29
1518525071,27,24
1518525946,24,5
1518527037,34,44
1518528522,53,8
1518529549,29,49
1518530867,35,34
1518532055,46,5
1518532952,56,82
1518534948,60,44
1518535712,21,4
1518536745,23,85
1518538848,56,33
1518539781,29,51
1518540636,28,9
1518540990,8,2
1518541853,18,24
1518542653,21,2
1518544597,83,77
1518545746,40,4
1518547914,64,41
1518548874,27,18
1518550261,29,48
1518550956,19,10
1518551794,26,9
1518552676,29,21
1518553840,31,29
1518554739,33,6
1518556242,40,36
1518557523,39,34
1518558400,69,28
1518559848,41,29
1518560909,37,6
1518562591,53,29
1518563695,29,37
1518565368,27,54
1518567054,44,26
1518568237,20,28
1518568952,13,15
1518570072,22,41
1518570950,26,11
1518571869,30,29
1518572753,25,21
1518574491,34,25
1518575312,22,7
1518576164,24,24
1518577807,60,42
1518579045,25,19
1518579943,18,12
1518581089,28,27
1518581680,16,4
1518582511,21,6
1518583541,31,42
1518585049,30,26
1518586271,26,39
1518586954,14,9
1518587807,26,18
1518588646,22,2
1518590213,37,38
1518591413,32,33
1518592253,15,3
1518594051,39,49
1518595464,32,34
1518596450,29,7
1518596919,13,3
1518597856,31,27
1518599670,47,64
1518601355,59,61
1518602208,26,41
1518603049,17,3
1518603946,17,0
1518604961,20,49
1518605799,14,7
1518606644,17,42
1518607825,20,44
1518608560,10,21
1518609401,16,27
1518610249,13,3
1518610482,3,1
1518611477,9,27
1518612159,16,10
1518613843,27,35
1518615758,43,87
1518617679,60,39
1518619251,32,59
1518620208,22,8
1518621091,18,54
1518622068,19,7
1518623153,35,48
1518624654,47,51
1518626576,64,59
1518627863,26,28
1518628833,27,5
1518629982,30,41
1518630976,35,31
1518631852,20,2
1518632083,8,2
1518633075,26,43
1518633938,18,7
1518635275,18,18
1518636674,31,29
1518637542,23,4
1518638486,34,24
1518639343,18,1
1518640114,22,4
1518640957,22,34
1518642482,45,29
1518643711,23,2
1518644576,34,40
1518646474,60,18
1518649389,82,67
1518650454,13,3
1518651391,21,36
1518652965,30,20
1518654052,8,6
1518654521,7,1
1518655555,12,51
1518657054,26,26
1518658122,20,4
1518659037,23,53
1518659804,16,7
1518660642,17,27
1518662132,34,66
1518663392,28,36
1518664482,37,0
1518666154,57,50
1518667853,28,29
1518668807,34,3
1518669942,24,65
1518672277,37,44
1518673350,42,32
1518674242,14,35
1518675059,16,1
1518676959,37,37
1518677798,18,3
1518678652,23,29
1518680550,47,54
1518682251,46,25
1518683130,25,10
1518684160,19,52
1518684999,22,3
1518685847,22,40
1518686731,16,5
1518687639,28,37
1518688593,15,43
1518689676,18,8
1518691362,35,58
1518692456,19,38
1518693348,13,4
1518694568,15,52
1518695798,18,4
1518696665,10,32
1518697721,21,6
1518698767,17,48
1518699711,19,38
1518700554,22,5
1518701976,33,89
1518702838,18,1
1518703849,9,29
1518705514,27,48
1518706459,27,3
1518707692,31,27
1518708648,14,44
1518709609,14,26
1518711280,30,46
1518712268,18,44
1518713164,21,37
1518714580,30,39
1518716452,32,52
1518717307,20,1
1518719145,36,56
1518719994,14,50
1518720983,15,29
1518721845,11,8
1518724903,67,88
1518725764,10,3
1518726515,18,6
1518728402,43,130
1518729317,25,2
1518730252,27,41
1518731142,16,18
1518732651,34,33
1518733719,14,4
1518734744,19,39
1518735827,16,28
1518736851,24,0
1518737324,6,4
1518739197,39,61
1518740082,12,3
1518741069,23,41
1518741947,12,3
1518743758,29,48
1518747053,38,76
1518748655,21,59
1518749484,10,1
1518750871,13,54
1518752169,18,63
1518752555,4,3
1518754479,24,23
1518756152,30,26
1518757843,23,49
1518758765,5,6
1518759770,18,48
1518761079,31,35
1518761671,10,3
