DateTime,AddedIPs,RemovedIPs
1518528511,92,1
1518529541,107,182
1518530861,114,116
1518532036,109,1
1518532945,91,171
1518534940,131,167
1518535706,72,2
1518536739,65,251
1518538838,159,116
1518539767,87,222
1518540631,68,0
1518540985,24,1
1518541842,77,111
1518542646,66,0
1518543650,126,134
1518544589,80,148
1518545730,129,0
1518547909,199,174
1518548868,83,109
1518550246,121,165
1518550950,80,53
1518551788,72,1
1518552655,80,108
1518553828,115,133
1518554731,105,0
1518556236,148,163
1518557514,110,130
1518558395,136,62
1518559842,162,108
1518560903,114,0
1518562586,169,134
1518563689,118,178
1518565353,168,198
1518567046,157,131
1518568231,93,147
1518568946,68,38
1518570065,85,126
1518570944,87,0
1518571863,90,142
1518572741,85,60
1518574480,156,102
1518575306,83,0
1518576153,59,203
1518577792,114,140
1518579037,82,150
1518579934,64,52
1518581062,89,114
1518581674,41,0
1518582505,60,0
1518583533,108,191
1518585044,108,83
1518586265,105,144
1518586944,61,57
1518587802,97,83
1518588640,96,0
1518590207,152,210
1518591407,105,112
1518592245,71,1
1518594041,204,171
1518595458,159,105
1518596444,110,1
1518596914,45,0
1518597850,98,131
1518599665,183,175
1518601349,169,234
1518602202,79,126
1518603043,82,1
1518603929,102,0
1518604955,94,152
1518605793,68,0
1518606639,91,151
1518607807,103,138
1518608554,69,50
1518609395,90,106
1518610243,86,0
1518610476,18,0
1518611470,84,117
1518612153,65,39
1518613837,158,127
1518615753,200,277
1518617673,215,128
1518619241,167,178
1518620202,105,0
1518621063,61,117
1518622063,86,2
1518623148,81,145
1518624648,174,191
1518626571,211,214
1518627858,147,128
1518628827,115,0
1518629971,131,446
1518630971,100,414
1518631846,83,0
1518632077,16,1
1518633064,80,160
1518633932,40,77
1518635264,76,100
1518636664,147,146
1518637537,100,0
1518638475,109,139
1518639332,67,0
1518640104,73,0
1518640951,88,186
1518642477,160,108
1518643705,133,1
1518644558,95,191
1518646468,193,100
1518649384,347,334
1518650441,90,0
1518651384,75,206
1518652944,155,101
1518654041,79,0
1518654515,35,1
1518655548,109,231
1518657046,131,118
1518658116,101,1
1518659031,71,189
1518659798,68,1
1518660636,66,109
1518662116,155,237
1518663381,108,109
1518664476,117,0
1518666148,168,173
1518667847,175,107
1518668801,120,0
1518669936,139,236
1518672259,191,114
1518673344,95,193
1518674236,94,93
1518675051,112,0
1518676952,210,179
1518677792,87,0
1518678642,88,93
1518680545,204,211
1518682245,164,73
1518683124,85,1
1518684155,98,130
1518684988,79,0
1518685842,61,82
1518686725,69,0
1518687625,78,114
1518688587,60,149
1518689670,89,3
1518691356,135,181
1518692401,71,91
1518693336,58,1
1518694555,59,166
1518695792,84,0
1518696650,37,100
1518697715,79,0
1518698748,69,186
1518699701,78,156
