DateTime,Entries,UniqueIPs
1518532029,6627,6627
1518532940,6569,6569
1518534928,6573,6573
1518535701,6592,6592
1518536733,6576,6576
1518537874,6577,6577
1518538823,6601,6601
1518539760,6576,6576
1518540623,6596,6596
1518540979,6605,6605
1518541826,6598,6598
1518542637,6617,6617
1518543633,6589,6589
1518544579,6542,6542
1518545725,6572,6572
1518547903,6581,6581
1518548863,6551,6551
1518550240,6528,6528
1518550943,6514,6514
1518551782,6536,6536
1518552636,6540,6540
1518553814,6528,6528
1518554721,6540,6540
1518556232,6540,6540
1518557504,6549,6549
1518558386,6548,6548
1518559832,6567,6567
1518560898,6597,6597
1518562579,6599,6599
1518563668,6580,6580
1518565348,6577,6577
1518567036,6567,6567
1518568224,6553,6553
1518568940,6539,6539
1518570010,6539,6539
1518570928,6561,6561
1518571851,6538,6538
1518572725,6537,6537
1518574465,6554,6554
1518575300,6573,6573
1518576145,6532,6532
1518577787,6528,6528
1518579031,6510,6510
1518579924,6512,6512
1518581055,6502,6502
1518581664,6524,6524
1518582500,6534,6534
1518583524,6524,6524
1518585034,6528,6528
1518586254,6515,6515
1518586939,6509,6509
1518587797,6494,6494
1518588629,6513,6513
1518590202,6479,6479
1518591401,6486,6486
1518592237,6506,6506
1518594027,6519,6519
1518595453,6542,6542
1518596429,6556,6556
1518596904,6562,6562
1518597845,6536,6536
1518599660,6508,6508
1518601340,6494,6494
1518602197,6500,6500
1518603034,6523,6523
1518603914,6540,6540
1518604944,6538,6538
1518605783,6575,6575
1518606634,6564,6564
1518607752,6596,6596
1518608544,6560,6560
1518609390,6563,6563
1518610233,6588,6588
1518610463,6596,6596
1518611458,6586,6586
1518612143,6584,6584
1518613827,6598,6598
1518615744,6603,6603
1518617663,6603,6603
1518619227,6564,6564
1518620189,6580,6580
1518621053,6563,6563
1518622058,6610,6610
1518623138,6604,6604
1518624637,6623,6623
1518626557,6593,6593
1518627853,6605,6605
1518628822,6634,6634
1518629957,6623,6623
1518630919,6629,6629
1518631833,6589,6589
1518632062,6592,6592
1518633045,6576,6576
1518633922,6586,6586
1518635253,6581,6581
1518636649,6562,6562
1518637528,6591,6591
1518638469,6593,6593
1518639316,6641,6641
1518640099,6667,6667
1518640942,6632,6632
1518642471,6636,6636
1518643700,6677,6677
1518644551,6660,6660
1518646462,6694,6694
1518649377,6717,6717
1518650424,6748,6748
1518651379,6716,6716
1518652935,6740,6740
1518654026,6764,6764
1518654505,6777,6777
1518655543,6753,6753
1518657029,6756,6756
1518658105,6789,6789
1518659026,6759,6759
1518659785,6768,6768
1518660625,6756,6756
1518662058,6749,6749
1518663324,6757,6757
1518664465,6749,6749
1518666142,6640,6640
1518667836,6661,6661
1518668791,6677,6677
1518669926,6652,6652
1518672244,6684,6684
1518673339,6645,6645
1518674231,6637,6637
1518675046,6645,6645
1518676943,6621,6621
1518677783,6638,6638
1518678627,6621,6621
1518680540,6615,6615
1518682239,6637,6637
1518683119,6656,6656
1518684145,6607,6607
1518684979,6633,6633
1518685835,6598,6598
1518686720,6617,6617
1518687619,6584,6584
1518688577,6533,6533
1518689664,6570,6570
1518691345,6553,6553
1518692396,6549,6549
1518693321,6579,6579
1518694545,6555,6555
1518695783,6578,6578
1518696637,6573,6573
1518697705,6595,6595
1518698735,6541,6541
1518699692,6473,6473
1518700525,6501,6501
1518701964,6391,6391
1518702826,6421,6421
1518703829,6417,6417
1518705490,6402,6402
1518706439,6421,6421
1518707667,6375,6375
1518708636,6345,6345
1518709597,6357,6357
1518711265,6357,6357
1518712246,6326,6326
1518713143,6346,6346
1518714554,6362,6362
1518716428,6383,6383
1518717293,6396,6396
1518719134,6403,6403
1518719983,6373,6373
1518720922,6390,6390
1518721835,6378,6378
1518724884,6384,6384
1518725741,6404,6404
1518726502,6422,6422
1518728391,6355,6355
1518729291,6372,6372
1518730235,6355,6355
1518731120,6354,6354
1518732634,6358,6358
1518733703,6396,6396
1518734723,6356,6356
1518735793,6360,6360
1518736829,6397,6397
1518737305,6420,6420
1518739186,6387,6387
1518740065,6414,6414
1518741041,6401,6401
1518741930,6420,6420
1518743731,6419,6419
1518747026,6438,6438
1518748623,6423,6423
1518749459,6452,6452
1518750526,6427,6427
1518750860,6438,6438
1518752149,6415,6415
1518752544,6422,6422
1518754467,6438,6438
1518756141,6436,6436
1518757827,6437,6437
1518758748,6463,6463
1518759751,6428,6428
1518761069,6415,6415
1518761660,6428,6428
1518762646,6406,6406
1518763532,6395,6395
1518765261,6398,6398
1518766950,6377,6377
1518768493,6388,6388
1518769845,6377,6377
1518770719,6378,6378
1518771548,6363,6363
1518772525,6388,6388
1518774480,6369,6369
1518775459,6321,6321
1518776429,6347,6347
1518777325,6323,6323
1518778984,6324,6324
1518780027,6354,6354
1518781219,6335,6335
1518783033,6348,6348
1518784945,6355,6355
1518785987,6378,6378
1518786924,6409,6409
1518787839,6410,6410
1518788546,6421,6421
1518790199,6452,6452
1518791682,6428,6428
1518792619,6444,6444
1518793722,6392,6392
1518795048,6375,6375
1518795922,6391,6391
1518797168,6370,6370
1518798028,6400,6400
1518799340,6364,6364
1518800154,6385,6385
1518801033,6385,6385
1518801866,6412,6412
1518802827,6389,6389
1518803684,6410,6410
1518804634,6411,6411
1518806540,6406,6406
1518808463,6389,6389
1518809689,6347,6347
1518810193,6361,6361
1518810988,6313,6313
1518811834,6334,6334
1518813343,6318,6318
1518814227,6340,6340
1518815313,6350,6350
1518817227,6329,6329
1518817340,6328,6328
1518819259,6341,6341
1518820528,6323,6323
1518820939,6331,6331
1518822573,6339,6339
1518823701,6370,6370
1518824726,6334,6334
1518826236,6368,6368
1518826460,6375,6375
1518827441,6357,6357
1518828142,6383,6383
1518830075,6398,6398
1518830939,6406,6406
1518831937,6384,6384
1518833435,6397,6397
1518834639,6395,6395
1518835344,6411,6411
1518837037,6390,6390
1518838091,6413,6413
1518839129,6374,6374
1518839975,6372,6372
1518840866,6389,6389
1518842428,6376,6376
1518844232,6367,6367
1518845299,6389,6389
1518846340,6380,6380
1518848064,6390,6390
1518848903,6408,6408
1518849926,6391,6391
1518851426,6373,6373
1518852503,6403,6403
1518853338,6359,6359
1518854286,6333,6333
1518855328,6354,6354
1518856099,6378,6378
1518857135,6379,6379
1518858345,6375,6375
1518859185,6398,6398
1518860429,6371,6371
1518861804,6347,6347
1518862750,6370,6370
1518864922,6358,6358
1518865826,6358,6358
1518867739,6339,6339
1518869724,6377,6377
1518870504,6405,6405
1518871339,6357,6357
1518873030,6347,6347
1518874940,6365,6365
1518876867,6365,6365
1518878925,6405,6405
1518882144,6409,6409
1518883834,6404,6404
1518885039,6377,6377
1518885914,6352,6352
1518887090,6353,6353
1518888015,6371,6371
1518889214,6333,6333
1518891035,6342,6342
1518892061,6367,6367
1518893034,6342,6342
1518894626,6345,6345
1518896426,6321,6321
1518897388,6349,6349
1518898237,6342,6342
1518899303,6355,6355
1518900348,6318,6318
1518901713,6327,6327
1518903039,6290,6290
1518903743,6309,6309
1518905441,6297,6297
1518906499,6321,6321
1518907522,6290,6290
1518909267,6267,6267
1518910100,6300,6300
1518911125,6253,6253
1518913228,6284,6284
1518914541,6266,6266
1518916460,6273,6273
1518917439,6244,6244
1518918146,6257,6257
1518918997,6233,6233
1518919835,6249,6249
1518920724,6295,6295
1518921756,6254,6254
1518923660,6276,6276
1518925227,6253,6253
1518926116,6266,6266
1518927361,6276,6276
1518928415,6250,6250
1518929420,6266,6266
1518930627,6264,6264
1518931699,6281,6281
1518932547,6235,6235
1518934460,6242,6242
1518935605,6228,6228
1518937826,6228,6228
1518938907,6253,6253
1518939925,6201,6201
1518941428,6199,6199
1518943348,6208,6208
1518944391,6215,6215
1518945269,6245,6245
1518947728,6248,6248
1518948630,6235,6235
1518949731,6274,6274
1518951583,6174,6174
1518952391,6189,6189
1518953485,6168,6168
1518954149,6164,6164
1518955019,6149,6149
1518955833,6173,6173
1518956060,6179,6179
1518957362,6170,6170
1518958637,6215,6215
1518959730,6195,6195
1518960620,6172,6172
1518961522,6191,6191
1518963032,6207,6207
1518964946,6191,6191
1518966863,6218,6218
1518968432,6214,6214
1518970230,6208,6208
1518972148,6186,6186
1518973831,6201,6201
1518975741,6183,6183
1518977440,6163,6163
1518978503,6177,6177
1518979343,6135,6135
1518981029,6145,6145
1518982939,6139,6139
1518984626,6132,6132
1518986119,6137,6137
1518988024,6123,6123
1518989184,6146,6146
1518990235,6103,6103
1518992123,6085,6085
1518993745,6069,6069
1518995435,6064,6064
1518997228,6065,6065
1518998185,6040,6040
1518999026,6058,6058
1519000944,6042,6042
1519002630,6077,6077
1519003849,6066,6066
1519004549,6086,6086
1519005396,6090,6090
1519006230,6106,6106
1519006461,6111,6111
1519007448,6084,6084
1519008327,6087,6087
1519009627,6088,6088
1519010910,6112,6112
1519011925,6100,6100
1519013197,6066,6066
1519013664,6077,6077
1519015351,6052,6052
1519016409,6036,6036
1519017322,6060,6060
1519018103,6073,6073
1519019122,6057,6057
1519020636,6046,6046
1519021730,6077,6077
1519022547,6031,6031
1519024228,6037,6037
1519025660,6022,6022
1519026522,6042,6042
1519027830,6022,6022
1519029754,6014,6014
1519031435,6028,6028
1519032552,6062,6062
1519033441,6036,6036
1519035032,6064,6064
1519038338,6024,6024
1519039222,6054,6054
1519040099,6016,6016
1519041029,6043,6043
1519042234,6052,6052
1519043336,6081,6081
1519044304,6051,6051
1519046059,6113,6113
1519047047,6107,6107
1519047745,6123,6123
1519049659,6133,6133
1519050500,6168,6168
1519051347,6168,6168
1519052564,6154,6154
1519053628,6242,6242
1519054099,6261,6261
1519054939,6248,6248
1519056625,6280,6280
1519057841,6281,6281
1519058547,6295,6295
1519060226,6324,6324
1519062031,6327,6327
1519063825,6353,6353
1519065745,6407,6407
1519066678,6436,6436
1519067728,6437,6437
1519068505,6449,6449
1519069735,6451,6451
1519071028,6469,6469
1519072945,6468,6468
1519074636,6497,6497
1519075655,6535,6535
1519076548,6531,6531
1519077865,6547,6547
1519078827,6581,6581
1519079303,6592,6592
1519080138,6555,6555
1519081279,6574,6574
1519082061,6598,6598
1519083745,6579,6579
1519085434,6586,6586
1519086501,6631,6631
1519087340,6605,6605
1519089036,6618,6618
1519090253,6609,6609
1519091126,6648,6648
1519092224,6634,6634
1519093230,6663,6663
1519094224,6641,6641
1519095393,6668,6668
1519096229,6671,6671
1519097122,6698,6698
1519098030,6695,6695
1519098920,6737,6737
1519100060,6752,6752
1519101047,6755,6755
1519101745,6761,6761
1519102773,6763,6763
1519103723,6780,6780
1519104677,6780,6780
1519105340,6801,6801
1519107032,6850,6850
1519108073,6912,6912
1519108943,6893,6893
1519110255,6910,6910
1519111057,6938,6938
1519112435,6962,6962
1519113374,6938,6938
1519114236,6982,6982
1519116140,7019,7019
1519117171,7013,7013
1519118127,7040,7040
1519118899,7085,7085
1519119842,7058,7058
1519121139,7092,7092
1519121950,7123,7123
1519122920,7154,7154
1519124472,7153,7153
1519125718,7183,7183
