DateTime,AddedIPs,RemovedIPs
1518681334,28,97
1518682294,20,96
1518683013,17,79
1518683735,14,66
1518684454,20,60
1518685173,30,57
1518686106,26,1441
1518687093,20,854
1518688053,21,47
1518689253,27,51
1518690213,21,44
1518691173,31,34
1518692133,15,27
1518693092,18,27
1518693813,6,20
1518694533,11,28
1518695253,17,24
1518695973,15,23
1518697653,41,62
1518698614,13,31
1518699573,27,32
1518700533,26,51
1518701253,16,92
1518701973,18,17
1518702693,16,22
1518703413,14,27
1518704373,22,32
1518705332,22,24
1518706293,13,28
1518707253,16,18
1518708213,13,31
1518709172,13,22
1518710134,9,51
1518711093,11,64
1518712054,13,83
1518712774,34,51
1518713493,18,70
1518714213,18,73
1518714934,16,67
1518716135,24,105
1518717093,21,87
1518719253,58,87
1518719973,16,21
1518720692,18,11
1518721653,23,31
1518722373,22,28
1518723093,10,35
1518723814,14,36
1518724533,9,28
1518725253,15,34
1518725973,12,25
1518726693,7,25
1518727413,11,24
1518728373,20,32
1518729334,25,34
1518730052,19,31
1518730773,8,27
1518731733,13,28
1518732452,26,22
1518733413,20,42
1518734132,13,28
1518735332,19,44
1518736774,26,65
1518737493,22,20
1518738213,7,17
1518739174,22,23
1518740373,22,38
1518741332,19,31
1518742293,25,24
1518743254,20,39
1518744213,20,29
1518745133,16,18
1518746133,20,42
1518747093,24,30
1518748293,20,31
1518749013,16,22
1518749972,18,18
1518750932,30,26
1518752132,21,22
1518753093,26,31
1518754052,20,25
1518755012,25,23
1518755732,14,15
1518756428,18,20
1518757172,18,6
1518758131,26,19
1518759092,23,16
1518760053,25,30
1518761012,23,20
1518761973,24,31
1518762934,20,33
1518763653,19,23
1518764373,15,28
1518765333,15,17
1518766292,38,25
1518767252,28,22
1518768212,28,30
1518769173,32,22
1518770132,22,18
1518771093,28,28
1518772052,15,36
1518773013,26,16
1518773971,30,22
1518774933,25,18
1518775893,18,17
1518776613,22,18
1518777333,28,23
1518778052,21,14
1518779013,34,18
1518780272,31,1099
1518781172,1103,12
1518781893,12,13
1518782611,15,16
1518783333,15,16
1518784532,34,29
1518785252,20,10
1518785973,26,20
1518786934,18,27
1518787653,21,17
1518788612,23,24
1518789333,19,11
1518790292,25,18
1518791013,13,18
1518791972,21,16
1518792932,33,15
1518793892,17,16
1518794612,17,9
1518795572,16,12
1518797252,40,17
1518798212,17,9
1518798933,17,32
1518799653,17,22
1518800613,28,19
1518801573,34,25
1518802533,20,19
1518803492,36,19
1518804693,30,28
1518805652,22,28
1518806613,22,18
1518807333,17,20
1518808053,21,16
1518808772,11,19
1518809733,24,11
1518810692,30,13
1518811412,14,9
1518812134,23,18
1518813092,24,9
1518814051,14,13
1518815253,30,23
1518816213,18,21
1518817172,16,9
1518818132,29,11
1518819093,21,28
1518820052,22,11
1518821012,14,16
1518822213,24,16
1518823412,16,19
1518824132,12,14
1518825333,24,17
1518826293,20,12
1518827252,20,20
1518828213,20,19
1518829173,18,12
1518830133,23,13
1518831093,12,14
1518832052,13,16
1518833012,19,19
1518833732,4,13
1518834692,14,9
1518835653,15,15
1518836613,13,14
1518837813,17,29
1518838772,12,13
1518839732,19,24
1518840693,16,16
1518841626,11,13
1518842613,12,18
1518843573,17,19
1518844533,20,16
1518845492,25,21
1518846452,14,12
1518847411,41,11
1518848372,22,20
1518849333,26,14
1518850292,26,18
1518851252,20,16
1518852213,15,21
1518853173,38,16
1518854132,20,12
1518855092,14,24
1518856052,18,14
1518857012,23,18
1518857972,26,21
1518858933,22,16
1518859892,13,13
