DateTime,Entries,UniqueIPs
1518028824,9126,9324
1518034820,9107,9305
1518036740,9094,9292
1518038662,9108,9307
1518040575,9103,9302
1518042491,9118,9317
1518044683,9123,9322
1518046711,9126,9325
1518048514,9126,9325
1518050427,9126,9325
1518052352,9131,9330
1518054271,9126,9325
1518056187,9131,9330
1518060036,9123,9321
1518061946,9122,9320
1518063870,9117,9315
1518065774,9110,9307
1518067944,9107,9305
1518069868,9105,9303
1518073714,9109,9307
1518075614,9119,9317
1518079465,9124,9322
1518081618,9128,9326
1518083529,9124,9322
1518085450,9119,9317
1518087387,9122,9320
1518089292,9136,9334
1518091219,9139,9337
1518093150,9133,9331
1518095063,9149,9347
1518099150,9153,9351
1518101056,9164,9363
1518102975,9169,9368
1518104905,9182,9381
1518106824,9185,9384
1518108979,9185,9384
1518110894,9198,9397
1518112836,9204,9403
1518114751,9205,9405
1518116663,9209,9409
1518120511,9205,9405
1518122416,9208,9408
1518124593,9209,9409
1518128427,9209,9409
1518131323,9209,9409
1518133286,9220,9420
1518137055,9226,9426
1518139238,9237,9438
1518147139,9226,9426
1518150984,9211,9411
1518152895,9207,9407
1518155072,9209,9409
1518160828,9212,9413
1518162734,9221,9423
1518164662,9231,9433
1518166574,9235,9437
1518170418,9230,9431
1518172340,9248,9449
1518174258,9254,9455
1518176176,9260,9461
1518178106,9264,9466
1518180020,9265,9468
1518184102,9268,9471
1518186272,9282,9485
1518188428,9289,9494
1518190583,9288,9493
1518192534,9276,9482
1518194419,9280,9486
1518196584,9294,9500
1518198501,9302,9508
1518200416,9305,9511
1518202338,9298,9504
1518204250,9310,9516
1518206177,9314,9520
1518208088,9327,9533
1518210030,9327,9533
1518212179,9329,9535
1518214100,9327,9533
1518216009,9327,9534
1518220103,9326,9533
1518222034,9328,9535
1518223936,9329,9536
1518225870,9333,9540
1518227774,9338,9545
1518229956,9341,9548
1518231862,9345,9552
1518234029,9350,9558
1518235949,9355,9564
1518237870,9341,9550
1518239792,9361,9570
1518241695,9373,9582
1518243870,9389,9598
1518245772,9398,9608
1518247711,9405,9615
1518249625,9403,9613
1518251546,9403,9613
1518253473,9408,9619
1518255394,9415,9626
1518257544,9406,9617
1518259473,9406,9618
1518261394,9411,9623
1518263312,9415,9627
1518265481,9427,9639
1518267375,9427,9639
1518269552,9419,9631
1518271468,9421,9633
1518273629,9418,9630
1518275587,9423,9635
1518277465,9433,9645
1518279396,9442,9655
1518281313,9449,9662
1518283234,9449,9662
1518285150,9446,9659
1518287070,9451,9664
1518289238,9446,9659
1518291151,9448,9661
1518295461,9451,9664
1518297388,9451,9664
1518299773,9455,9668
1518301698,9464,9678
1518303629,9465,9679
1518305971,9463,9677
1518309867,9470,9684
1518311795,9462,9677
1518313708,9457,9676
1518315863,9468,9688
1518319706,9472,9691
1518321629,9478,9696
1518323791,9480,9698
1518325710,9477,9694
1518327867,9481,9699
1518329791,9477,9696
1518331944,9475,9694
1518333862,9474,9693
1518335776,9463,9682
1518337942,9470,9690
1518339872,9481,9703
1518341787,9479,9701
1518345624,9475,9697
1518347553,9491,9713
1518353771,9480,9702
1518355955,9479,9701
1518360010,9478,9700
1518362438,9474,9695
1518364335,9467,9688
1518366262,9478,9700
1518368170,9486,9709
1518370098,9477,9700
1518372031,9478,9701
1518374192,9471,9694
1518378021,9478,9701
1518382112,9489,9712
1518384027,9493,9716
1518385938,9495,9718
1518387857,9489,9712
1518390035,9503,9727
1518392242,9525,9749
1518394120,9532,9756
1518396025,9546,9772
1518398185,9546,9772
1518400098,9547,9773
1518402029,9550,9775
1518403946,9562,9787
1518405868,9560,9785
1518407771,9576,9801
1518409696,9581,9806
1518411634,9586,9812
1518415711,9585,9812
1518417854,9584,9811
1518419795,9596,9824
1518421938,9591,9819
1518423868,9593,9820
1518425766,9585,9812
1518427948,9578,9805
1518429861,9582,9809
1518431781,9589,9816
1518433943,9594,9821
1518435864,9609,9836
1518437697,9607,9834
1518439695,9619,9846
1518441608,9622,9849
1518443529,9613,9840
1518445452,9625,9853
1518447371,9622,9850
1518449298,9619,9847
1518451215,9619,9847
1518453141,9624,9852
1518455062,9618,9846
1518456974,9613,9841
1518460820,9603,9831
1518462749,9605,9833
1518466588,9591,9819
1518468519,9583,9811
1518470422,9581,9809
1518472584,9582,9810
1518476444,9565,9793
1518480737,9553,9782
1518482652,9552,9781
1518484585,9546,9775
1518486509,9542,9771
1518488422,9534,9762
1518490333,9538,9766
1518492263,9549,9777
1518494170,9549,9778
1518496110,9556,9785
1518498035,9553,9782
1518499946,9554,9783
1518501859,9547,9776
1518504024,9542,9771
1518505943,9539,9769
1518509798,9520,9750
1518511696,9529,9759
1518513627,9522,9752
1518515543,9518,9748
1518517467,9524,9754
1518519378,9526,9757
1518521547,9525,9756
1518523479,9519,9750
1518526685,9506,9737
1518528490,9507,9738
1518530668,9520,9751
1518532579,9524,9755
1518534507,9527,9758
1518538347,9509,9740
1518542200,9501,9732
1518544104,9514,9745
1518546021,9516,9747
1518549864,9526,9757
1518551780,9527,9758
1518553703,9532,9764
1518555626,9537,9769
1518557784,9530,9762
1518559695,9534,9766
1518561874,9530,9762
1518563786,9532,9764
1518566345,9533,9765
1518568960,9527,9760
1518570974,9519,9751
1518574818,9499,9731
1518578211,9488,9720
1518580100,9487,9718
1518582040,9483,9714
1518583936,9485,9716
1518586118,9475,9706
1518588035,9471,9700
1518590017,9472,9701
1518592112,9464,9693
1518594257,9456,9685
1518596210,9447,9676
1518598338,9442,9671
1518600259,9444,9673
1518602175,9451,9680
1518604176,9450,9679
1518606030,9456,9686
1518609878,9458,9688
1518612017,9456,9686
1518614029,9451,9681
1518615872,9452,9682
1518618035,9447,9677
1518619938,9445,9675
1518621864,9443,9673
1518624037,9444,9673
1518628113,9438,9666
1518630020,9443,9671
1518631955,9450,9678
1518633856,9458,9686
1518635799,9448,9676
1518637963,9447,9675
1518639875,9464,9692
1518641770,9467,9695
1518643947,9467,9695
1518645864,9472,9700
1518647781,9468,9695
1518649950,9469,9696
1518651867,9478,9704
1518653798,9485,9711
1518655713,9494,9720
1518657862,9501,9727
1518660038,9492,9718
1518662190,9498,9724
1518664124,9493,9719
1518666268,9496,9721
1518668200,9494,9719
1518670361,9504,9729
1518672269,9505,9732
1518676349,9505,9732
1518678511,9508,9735
1518680427,9509,9736
1518682353,9510,9737
1518684261,9520,9746
1518686194,9524,9750
1518688111,9522,9748
1518690263,9520,9746
1518692187,9521,9748
1518694094,9528,9755
1518696040,9530,9757
1518698181,9532,9759
1518700111,9530,9757
1518702037,9529,9756
1518703944,9537,9764
1518705859,9548,9776
1518707815,9549,9777
1518709703,9549,9776
1518713541,9551,9778
1518717864,9541,9768
1518720025,9531,9758
1518722182,9532,9760
1518724587,9535,9763
1518726489,9540,9768
1518728436,9551,9780
1518730338,9547,9776
1518732511,9547,9776
1518734409,9549,9778
1518736844,9547,9776
1518738736,9549,9778
1518740905,9549,9778
1518742828,9542,9770
1518744756,9545,9773
1518746664,9545,9772
1518748585,9540,9767
1518750501,9534,9762
1518752672,9533,9761
1518754586,9537,9765
1518756505,9541,9769
1518758654,9547,9776
1518760571,9540,9769
1518762492,9540,9769
1518764430,9536,9765
1518766393,9535,9764
1518768275,9527,9756
1518770187,9521,9750
1518772123,9525,9754
1518774023,9526,9755
1518775949,9528,9758
1518777858,9528,9758
1518780288,9527,9757
1518782175,9522,9752
1518784118,9511,9741
1518786041,9520,9752
1518788188,9520,9752
1518790350,9517,9749
1518792501,9531,9762
1518794668,9542,9773
1518802591,9527,9757
1518804751,9531,9762
1518806667,9538,9769
1518808582,9538,9769
1518810751,9539,9770
1518812661,9544,9775
1518814631,9533,9764
1518816771,9533,9764
1518818667,9536,9767
1518820596,9531,9762
1518822751,9532,9763
1518824848,9540,9771
1518826821,9540,9771
1518830654,9545,9777
1518832581,9541,9773
1518834748,9536,9768
1518836679,9535,9767
1518838824,9532,9764
1518840761,9536,9768
1518842664,9528,9760
1518844595,9527,9760
1518846511,9521,9753
1518848431,9522,9754
1518850345,9517,9749
1518852270,9531,9763
1518856108,9526,9758
1518858028,9523,9755
1518859954,9520,9752
1518861870,9516,9747
1518863783,9513,9744
1518865946,9515,9746
1518869792,9511,9742
1518871943,9504,9735
1518874105,9506,9738
1518876262,9498,9730
1518878432,9494,9726
1518880347,9501,9733
1518882524,9506,9738
1518884416,9504,9736
1518886353,9500,9732
1518888255,9502,9734
1518890444,9506,9738
1518892342,9507,9739
1518894517,9508,9741
1518896413,9505,9738
1518898353,9501,9734
1518900255,9506,9739
1518902196,9505,9738
1518904110,9510,9743
1518906274,9517,9750
1518908184,9514,9747
1518910923,9521,9755
1518912749,9538,9773
1518914662,9542,9778
1518916590,9557,9793
1518918746,9564,9799
1518922826,9568,9803
1518924743,9561,9796
1518926915,9568,9803
1518928821,9567,9802
1518930749,9575,9812
1518932654,9587,9824
1518934589,9583,9820
