DateTime,AddedIPs,RemovedIPs
1518028824,4,6
1518034820,11,19
1518036740,5,16
1518038662,19,5
1518040575,7,7
1518042491,17,4
1518044683,7,0
1518046711,6,2
1518048514,4,8
1518050427,7,8
1518052352,5,0
1518054271,14,0
1518056187,9,9
1518060036,3,25
1518061946,5,19
1518063870,14,9
1518065774,2,9
1518067944,5,20
1518069868,3,24
1518073714,4,8
1518075614,13,0
1518079465,15,16
1518081618,8,6
1518083529,11,16
1518085450,4,3
1518087387,4,8
1518089292,21,9
1518091219,7,0
1518093150,9,2
1518095063,16,6
1518099150,12,9
1518101056,23,0
1518102975,12,3
1518104905,14,8
1518106824,11,0
1518108979,12,10
1518110894,18,15
1518112836,7,0
1518114751,2,6
1518116663,8,0
1518120511,10,0
1518122416,5,0
1518124593,5,0
1518128427,16,0
1518131323,11,0
1518133286,16,0
1518137055,11,9
1518139238,13,10
1518147139,5,14
1518150984,5,12
1518152895,3,0
1518155072,15,0
1518160828,16,28
1518162734,15,7
1518164662,12,19
1518166574,13,16
1518170418,15,8
1518172340,24,8
1518174258,13,6
1518176176,15,0
1518178106,8,0
1518180020,7,4
1518184102,17,24
1518186272,20,19
1518188428,15,19
1518190583,8,7
1518192534,4,5
1518194419,9,0
1518196584,19,3
1518198501,15,8
1518200416,11,0
1518202338,3,6
1518204250,20,2
1518206177,9,4
1518208088,19,0
1518210030,7,7
1518212179,2,4
1518214100,5,2
1518216009,8,0
1518220103,18,5
1518222034,5,0
1518223936,8,14
1518225870,11,14
1518227774,9,9
1518229956,4,11
1518231862,6,7
1518234029,10,8
1518235949,11,0
1518237870,18,15
1518239792,23,11
1518241695,13,12
1518243870,24,23
1518245772,11,0
1518247711,17,2
1518249625,8,27
1518251546,10,17
1518253473,10,0
1518255394,7,10
1518257544,3,11
1518259473,12,18
1518261394,9,11
1518263312,15,0
1518265481,17,0
1518267375,10,14
1518269552,4,15
1518271468,11,13
1518273629,13,0
1518275587,10,23
1518277465,22,23
1518279396,17,9
1518281313,11,15
1518283234,11,10
1518285150,11,10
1518287070,12,14
1518289238,4,13
1518291151,9,3
1518295461,21,19
1518297388,9,5
1518299773,9,10
1518301698,21,4
1518303629,3,4
1518305971,3,7
1518309867,19,35
1518311795,16,7
1518313708,11,13
1518315863,16,5
1518319706,12,26
1518321629,17,0
1518323791,11,14
1518325710,12,16
1518327867,14,10
1518329791,13,22
1518331944,10,0
1518333862,15,12
1518335776,12,11
1518337942,12,14
1518339872,14,11
1518341787,8,0
1518345624,7,4
1518347553,19,14
1518353771,10,26
1518355955,7,10
1518360010,11,8
1518362438,9,9
1518364335,11,0
1518366262,20,8
1518368170,12,12
1518370098,12,8
1518372031,11,4
1518374192,2,15
1518378021,13,20
1518382112,25,12
1518384027,11,7
1518385938,7,0
1518387857,6,7
1518390035,20,9
1518392242,25,6
1518394120,12,9
1518396025,18,20
1518398185,12,7
1518400098,13,15
1518402029,16,14
1518403946,14,7
1518405868,26,7
1518407771,20,9
1518409696,18,0
1518411634,15,12
1518415711,13,33
1518417854,17,1
1518419795,15,13
1518421938,5,10
1518423868,11,5
1518425766,3,8
1518427948,8,9
1518429861,11,4
1518431781,9,2
1518433943,11,0
1518435864,16,17
1518437697,6,3
1518439695,25,14
1518441608,7,3
1518443529,5,17
1518445452,14,5
1518447371,7,6
1518449298,9,7
1518451215,5,6
1518453141,7,7
1518455062,4,5
1518456974,9,6
1518458917,1,12
1518460820,2,3
1518462749,3,5
1518466588,4,25
1518468519,11,2
1518470422,5,6
1518472584,7,3
1518476444,4,20
1518480737,6,5
1518482652,14,0
1518484585,3,6
1518486509,12,23
1518488422,5,9
1518490333,10,9
1518492263,19,8
1518494170,9,6
1518496110,15,0
1518498035,12,0
1518499946,2,7
1518501859,5,7
1518504024,5,0
1518505943,9,15
1518509798,8,10
1518511696,13,0
1518513627,3,8
1518515543,2,15
1518517467,9,12
1518519378,7,8
1518521547,6,4
1518523479,2,14
1518526685,13,2
1518528490,11,6
1518530668,20,4
1518532579,14,9
1518534507,18,11
1518538347,11,15
1518542200,11,18
1518544104,14,7
1518546021,6,6
1518549864,15,15
1518551780,4,10
1518553703,8,5
1518555626,6,12
1518557784,4,4
1518559695,4,6
1518561874,10,10
1518563786,2,4
1518566345,1,12
1518568960,7,11
1518570974,2,4
1518574818,3,17
1518578211,1,25
1518580100,11,7
1518582040,18,10
1518583936,2,16
1518586118,6,7
1518588035,3,0
1518590017,1,12
1518592112,4,0
1518594257,10,10
1518596210,6,0
1518598338,8,6
1518600259,10,0
1518602175,7,6
1518604176,6,6
1518606030,13,4
1518609878,6,14
1518612017,4,9
1518614029,3,15
1518615872,10,12
1518618035,7,12
1518619938,7,12
1518621864,9,10
1518624037,9,20
1518628113,4,8
1518630020,7,2
1518631955,7,8
1518633856,12,3
1518635799,5,0
1518639875,23,9
1518641770,8,11
1518643947,7,13
1518645864,7,8
1518647781,7,13
1518649950,5,7
1518651867,10,7
1518653798,11,3
