DateTime,AddedIPs,RemovedIPs
1518034820,30,7
1518036740,12,29
1518038662,42,14
1518040575,12,44
1518042491,42,10
1518044683,13,42
1518046711,14,14
1518048514,13,14
1518050427,19,11
1518052352,14,20
1518054271,39,12
1518056187,23,37
1518060036,17,26
1518061946,11,16
1518063870,42,11
1518065774,9,43
1518067944,11,10
1518069868,13,12
1518073714,13,13
1518075614,31,11
1518079465,48,29
1518081618,24,52
1518083529,24,18
1518085450,12,30
1518087387,15,12
1518089292,45,14
1518091219,19,42
1518093150,19,20
1518095063,26,19
1518099150,27,27
1518101056,56,25
1518102975,27,54
1518104905,40,26
1518106824,22,39
1518108979,22,27
1518110894,49,21
1518112836,17,49
1518114751,13,17
1518116663,18,14
1518120511,16,19
1518122416,23,16
1518124593,16,23
1518128427,40,16
1518131323,21,40
1518133286,41,20
1518137055,42,39
1518139238,39,41
1518147139,22,44
1518150984,17,22
1518152895,9,18
1518155072,43,7
1518160828,38,39
1518162734,24,39
1518164662,34,26
1518166574,21,31
1518170418,31,26
1518172340,43,28
1518174258,26,42
1518176176,40,26
1518178106,20,39
1518180020,18,24
1518184102,43,16
1518186272,41,40
1518188428,30,42
1518190583,14,31
1518192534,13,16
1518194419,20,15
1518196584,43,21
1518198501,34,35
1518200416,22,33
1518202338,13,25
1518204250,38,14
1518206177,15,41
1518208088,53,16
1518210030,30,48
1518212179,12,34
1518214100,15,11
1518216009,21,13
1518220103,45,22
1518222034,16,45
1518223936,19,21
1518225870,39,16
1518227774,16,36
1518229956,12,19
1518231862,13,13
1518234029,20,13
1518235949,32,18
1518237870,41,30
1518239792,46,40
1518241695,43,47
1518243870,51,43
1518245772,34,48
1518247711,50,35
1518249625,23,51
1518251546,31,24
1518253473,32,34
1518255394,34,30
1518257544,11,33
1518259473,28,14
1518261394,23,27
1518263312,46,21
1518265481,39,40
1518267375,21,46
1518269552,9,21
1518271468,25,11
1518273629,38,22
1518275587,28,37
1518277465,44,28
1518279396,45,43
1518281313,27,44
1518283234,29,29
1518285150,20,33
1518287070,41,20
1518289238,8,43
1518291151,17,9
1518295461,45,13
1518297388,28,44
1518299773,24,29
1518301698,47,24
1518303629,10,46
1518305971,11,12
1518309867,54,12
1518311795,41,46
1518313708,36,45
1518315863,47,33
1518319706,38,49
1518321629,37,39
1518323791,39,38
1518325710,45,40
1518327867,53,40
1518329791,32,56
1518331944,37,32
1518333862,55,36
1518335776,29,55
1518337942,36,29
1518339872,31,37
1518341787,21,30
1518345624,19,23
1518347553,53,20
1518353771,25,50
1518355955,15,25
1518360010,29,18
1518362438,40,25
1518364335,32,34
1518366262,43,39
1518368170,34,46
1518370098,38,32
1518372031,30,39
1518374192,14,31
1518378021,48,14
1518382112,53,41
1518384027,31,59
1518385938,20,32
1518387857,34,21
1518390035,48,28
1518392242,61,53
1518394120,31,59
1518396025,53,29
1518398185,34,53
1518400098,27,34
1518402029,42,29
1518403946,27,41
1518405868,51,26
1518407771,50,51
1518409696,45,50
1518411634,35,45
1518415711,39,31
1518417854,38,47
1518419795,29,35
1518421938,18,32
1518423868,42,18
1518425766,18,41
1518427948,23,15
1518429861,33,24
1518431781,20,33
1518433943,20,22
1518435864,37,17
1518437697,14,42
1518439695,51,15
1518441608,18,49
1518443529,25,20
1518445452,31,23
1518447371,14,33
1518449298,42,14
1518451215,16,39
1518453141,20,18
1518455062,13,18
1518456974,22,14
1518458917,17,23
1518460820,10,18
1518462749,16,10
1518466588,12,14
1518468519,47,10
1518470422,15,48
1518472584,14,17
1518476444,14,13
1518480737,19,13
1518482652,46,19
1518484585,7,46
1518486509,36,9
1518488422,24,30
1518490333,27,27
1518492263,48,28
1518494170,18,51
1518496110,52,19
1518498035,31,42
1518499946,9,39
1518501859,13,9
1518504024,19,13
1518505943,38,18
1518509798,22,31
1518511696,40,21
1518513627,6,45
1518515543,15,9
1518517467,30,15
1518519378,21,31
1518521547,24,21
1518523479,13,24
1518526685,48,13
1518528490,48,41
1518530668,45,50
1518532579,39,44
1518534507,36,34
1518538347,38,39
1518542200,29,40
1518544104,35,31
1518546021,25,36
1518549864,28,27
1518551780,5,28
1518553703,38,5
1518555626,19,36
1518557784,14,21
1518559695,18,13
1518561874,35,16
1518563786,13,36
1518566345,8,14
1518568960,38,8
1518570974,13,41
1518574818,11,10
1518578211,19,13
1518580100,44,18
1518582040,37,37
1518583936,13,45
1518586118,40,10
1518588035,9,39
1518590017,13,9
1518592112,13,12
1518594257,34,16
1518596210,14,32
1518598338,21,16
1518600259,36,20
1518602175,28,36
1518604176,21,31
1518606030,39,19
1518609878,14,40
1518612017,16,14
1518614029,18,18
1518615872,38,17
1518618035,16,35
1518619938,16,17
1518621864,45,18
1518624037,20,43
1518628113,17,24
1518630020,23,14
1518631955,26,24
1518633856,50,24
1518635799,14,48
1518637963,6,21
1518639875,58,3
1518641770,21,59
1518643947,19,20
1518645864,23,22
1518647781,25,23
1518649950,20,22
1518651867,26,18
1518653798,40,21
1518655713,41,41
1518657862,34,36
1518660038,14,44
1518662190,26,14
1518664124,12,26
1518666268,48,8
1518668200,19,47
1518670361,27,21
1518672269,37,24
1518676349,27,41
1518678511,32,23
1518680427,9,38
1518682353,12,8
1518684261,21,8
1518686194,9,23
1518688111,38,10
1518690263,22,41
1518692187,21,20
1518694094,42,21
1518696040,13,44
1518698181,6,13
1518700111,16,6
1518702037,11,15
1518703944,30,8
1518705859,44,28
1518707815,17,45
1518709703,32,13
1518713541,14,39
1518717864,15,15
1518720025,9,16
1518722182,13,10
1518724587,15,12
1518726489,47,11
1518728436,27,48
1518730338,11,30
1518732511,12,10
1518734409,10,14
1518736844,23,9
1518738736,10,22
1518740905,29,9
1518742828,28,32
1518744756,19,27
1518746664,16,17
1518748585,19,16
1518750501,36,17
1518752672,28,33
1518754586,41,27
1518756505,30,44
1518758654,41,30
1518760571,19,43
1518762492,41,18
1518764430,17,39
1518766393,27,16
1518768275,25,29
1518770187,12,28
1518772123,32,10
1518774023,13,34
1518775949,18,14
1518777858,7,21
1518780288,10,5
1518782175,6,10
1518784118,17,7
1518786041,41,16
1518788188,17,38
1518790350,24,16
1518792501,44,27
1518794668,41,41
1518802591,25,43
1518804751,21,22
1518806667,36,22
1518808582,12,37
1518810751,12,14
1518812661,34,14
1518814631,16,33
1518816771,12,14
1518818667,19,14
1518820596,17,18
1518822751,16,15
1518824848,40,14
1518826821,28,39
1518830654,29,30
1518832581,17,33
1518834748,24,20
1518836679,21,23
1518838824,10,18
1518840761,49,12
1518842664,44,37
1518844595,30,51
1518846511,30,32
1518848431,24,32
1518850345,28,22
1518852270,46,27
1518856108,36,42
1518858028,25,39
1518859954,15,28
1518861870,16,13
1518863783,13,19
1518865946,12,11
1518869792,13,15
1518871943,16,12
1518874105,30,12
1518876262,17,31
1518878432,23,15
1518880347,28,20
1518882524,27,34
1518884416,28,24
1518886353,16,28
1518888255,37,16
1518890444,20,40
1518892342,10,22
1518894517,26,11
1518896413,15,27
1518898353,21,15
1518900255,48,14
1518902196,29,52
1518904110,26,28
1518906274,34,23
1518908184,15,39
1518910923,29,15
1518912749,55,24
1518914662,28,53
1518916590,46,33
1518918746,34,49
1518922826,27,33
1518924743,17,24
1518926915,43,8
1518928821,22,49
1518930749,39,24
1518932654,39,39
1518934589,35,38
1518936747,38,32
1518938650,36,36
1518940819,23,41
1518942741,45,24
1518944670,17,49
1518946822,28,17
1518948738,22,28
1518950663,22,20
1518952592,19,25
1518954504,18,18
1518956451,29,15
1518958336,18,26
1518960496,46,19
1518962416,34,44
1518964585,29,35
1518966509,23,31
1518968415,23,25
1518970353,46,24
1518972499,42,43
1518976341,13,41
1518978262,39,15
1518980178,34,40
1518982090,51,34
1518984269,22,51
1518986413,17,21
1518988344,31,17
1518990262,43,28
1518992192,43,44
1518994094,42,42
1518996587,43,40
1518998669,16,49
1519000587,25,20
1519002504,36,21
1519004414,33,33
1519006341,38,31
1519008255,28,36
1519010176,43,33
1519012091,32,42
1519014015,36,28
1519015936,42,39
1519017858,32,42
1519019770,46,33
1519021695,40,48
1519023618,25,41
1519025541,24,26
1519027459,21,20
1519029380,21,23
1519031300,25,22
1519035382,15,24
1519037296,16,20
1519039209,19,15
1519041132,12,19
1519043303,40,12
1519045225,22,38
1519047389,19,22
1519049307,22,16
1519051223,22,19
1519053137,36,27
1519055065,36,38
1519056994,13,37
1519059143,12,11
1519061056,43,12
1519062968,13,44
1519065134,22,11
1519067076,20,21
1519068971,14,20
1519070910,24,14
1519073058,44,21
1519075470,25,44
1519077379,15,24
1519079297,45,16
1519081470,19,45
1519083308,15,25
1519085293,14,13
1519087216,16,16
1519089129,16,15
1519091060,40,10
1519092968,15,44
1519094895,37,14
1519097057,27,37
1519098976,11,30
1519102822,24,12
1519104733,28,21
1519106659,21,28
1519108569,33,14
1519110496,18,35
1519112407,13,23
1519114341,41,15
1519116252,34,37
1519118181,30,39
1519120086,43,28
1519122005,13,43
1519123930,19,14
1519125900,22,22
