DateTime,AddedIPs,RemovedIPs
1518681861,26,26
1518682812,29,21
1518683796,21,11
1518684735,30,7
1518685703,10,2
1518686656,23,9
1518687613,16,11
1518688580,27,18
1518689789,29,35
1518690742,31,2
1518691697,24,15
1518692667,28,12
1518693618,33,10
1518694596,21,25
1518695539,30,8
1518696519,26,26
1518697708,37,14
1518698665,21,12
1518699630,23,11
1518700590,23,24
1518702054,27,28
1518702976,22,16
1518703951,37,24
1518704896,20,14
1518705864,25,6
1518706819,18,22
1518707820,19,19
1518708742,27,18
1518709708,33,26
1518710665,22,7
1518711690,43,26
1518712830,35,7
1518713770,34,19
1518714744,30,17
1518715697,27,25
1518716794,36,9
1518717878,7,0
1518719339,56,65
1518720765,49,38
1518721718,29,18
1518722652,28,6
1518723637,41,35
1518724602,31,15
1518725544,36,3
1518726494,32,33
1518727475,42,18
1518728451,31,22
1518729401,23,5
1518730344,10,40
1518731301,3,0
1518732526,146,1346
1518733475,18,17
1518734415,28,30
1518735384,28,22
1518736860,36,23
1518737777,22,19
1518738741,36,18
1518739709,45,33
1518740912,47,22
1518741858,29,21
1518742833,17,18
1518743782,6,0
1518744763,33,35
1518745698,7,0
1518746669,10,11
1518747620,11,9
1518748589,10,17
1518749535,11,11
1518750506,42,21
1518751459,44,11
1518752677,53,34
1518753619,25,12
1518754591,30,32
1518755801,44,12
1518756737,20,25
1518757706,18,37
1518758661,23,19
1518759615,22,6
1518760576,22,33
1518761537,18,10
1518762498,31,24
1518763730,33,6
1518764905,30,25
1518765857,48,16
1518766817,34,22
1518767780,19,17
1518768741,21,16
1518769691,21,23
1518770656,29,28
1518771624,21,15
1518772585,17,11
1518773537,21,8
1518774503,15,4
1518775467,27,37
1518776420,23,32
1518777397,25,24
1518778341,17,5
1518779546,32,45
1518780740,27,14
1518781693,19,4
1518782754,47,24
1518784158,17,18
1518785296,26,23
1518786545,28,35
1518787727,35,23
1518788764,22,7
1518789943,36,26
1518791061,43,41
1518791567,0,3
1518792029,47,20
1518793033,104,22
1518793482,0,2
1518793964,1,16
1518795138,0,15
1518796892,7,19
1518798290,1,18
1518799247,4,24
1518800228,0,19
1518801145,1,1
1518802160,4,40
1518803064,3,18
1518804302,4,14
1518805263,4,10
1518806227,2,11
1518807386,7,25
1518808352,2,19
1518809356,6,6
1518810292,3,29
1518811580,1,11
1518812213,0,2
1518812664,4,19
1518813157,0,2
1518813613,5,27
1518814126,1,0
1518814644,4,27
1518815800,2,14
1518816292,2,0
1518816774,7,26
1518817233,1,0
1518817720,8,19
1518818708,88,1097
1518819177,0,1
1518819644,3,21
1518820599,5,22
1518821545,3,11
1518822291,2,1
1518822786,4,24
1518823486,2,0
1518824228,8,39
1518824866,1,2
1518825414,3,15
1518825879,1,3
1518826350,5,17
1518826859,1,3
1518827330,2,9
1518827825,2,5
1518828275,3,9
1518828780,0,1
1518829231,3,21
1518829748,1,2
1518830239,4,4
1518830678,2,0
1518831161,8,18
1518831647,3,2
1518832109,7,20
1518832596,0,4
1518833071,4,19
1518833808,0,1
1518834309,2,17
1518834764,1,0
1518835249,2,11
1518835728,2,1
1518836173,2,4
1518836692,0,2
1518837172,6,15
1518837883,0,2
1518838348,11,53
1518839346,2,0
1518839807,1,2
1518840261,5,10
1518841221,8,10
1518841714,1,3
1518842186,5,16
1518843154,11,23
1518843635,0,3
1518844111,7,18
1518844608,57,1
1518845056,21,13
1518845557,58,1
1518846012,4,21
1518846524,25,0
1518846974,2,20
1518847481,20,2
1518847940,6,21
1518848444,4,0
1518848896,4,20
1518849397,14,0
1518849857,2,15
1518850359,17,3
1518850830,3,12
1518851318,13,0
1518851782,9,24
1518852283,12,0
1518852743,6,11
1518853231,11,1
1518853700,3,8
1518854203,2,0
