DateTime,AddedIPs,RemovedIPs
1518687613,489,485
1518688580,610,614
1518689789,798,802
1518690742,709,709
1518691697,569,577
1518692667,416,419
1518693618,719,722
1518694596,600,600
1518695539,651,653
1518696519,676,677
1518697708,817,806
1518698665,477,479
1518699630,657,655
1518700590,664,667
1518702054,846,848
1518702976,652,648
1518703951,630,634
1518704896,571,576
1518705864,564,564
1518706819,589,594
1518707820,443,443
1518708742,806,808
1518709708,648,649
1518710665,596,599
1518711690,772,770
1518712830,710,719
1518713770,479,491
1518714744,721,721
1518715697,597,588
1518716794,646,640
1518717878,7,4
1518719339,1540,1533
1518720765,949,945
1518721718,367,365
1518722652,828,827
1518723637,679,680
1518724602,555,555
1518725544,806,804
1518726494,570,567
1518727475,667,654
1518728451,502,496
1518729401,899,897
1518730344,690,683
1518731301,512,506
1518732526,1987,2000
1518733475,782,787
1518734415,702,700
1518735384,735,744
1518736860,1199,1215
1518737777,659,669
1518738741,1001,1006
1518739709,1137,1110
1518740912,1347,1339
1518741858,879,888
1518742833,354,358
1518743782,191,197
1518744763,234,236
1518745698,199,203
1518746669,132,133
1518747620,191,198
1518748589,141,144
1518749535,134,132
1518750506,1277,1264
1518751459,1484,1515
1518752677,1873,1881
1518753619,575,556
1518754591,594,590
1518755801,782,764
1518756737,632,639
1518757706,637,648
1518758661,635,640
1518759615,602,596
1518760576,732,735
1518761537,551,544
1518762498,668,674
1518763730,767,764
1518764905,550,547
1518765857,784,786
1518766817,654,651
1518767780,565,563
1518768741,657,663
1518769691,507,497
1518770656,688,705
1518771624,544,551
1518772585,552,551
1518773537,672,673
1518774503,630,625
1518775467,526,522
1518776420,572,569
1518777397,557,549
1518778341,599,608
1518779546,675,672
1518780740,734,734
1518781693,742,741
1518782754,670,657
1518784158,705,713
1518785296,745,758
1518786545,490,506
1518787727,1322,1330
1518788764,646,650
1518789943,1147,1152
1518791061,1081,1079
1518791567,0,5
1518792029,1118,1122
1518792543,0,6
1518793033,1443,1799
1518793482,0,5
1518793964,17,993
1518794698,0,4
1518795138,25,200
1518795652,0,1
1518796892,35,89
1518798290,61,69
1518799247,39,57
1518800228,72,41
1518801145,57,36
1518802160,80,39
1518803064,18,30
1518804302,36,50
1518805263,74,30
1518806227,47,28
1518807386,49,22
1518808352,63,28
1518809356,72,44
1518810292,37,40
1518811580,43,42
1518812213,0,9
1518812664,60,53
1518813157,0,5
1518813613,37,21
1518814126,1,6
1518814644,121,28
1518815325,0,3
1518815800,119,59
1518816292,2,2
1518816774,170,54
1518817233,1,4
1518817720,49,22
1518818197,0,1
1518818708,32,29
1518819177,0,1
1518819644,27,58
1518820599,39,30
1518821545,47,34
1518822291,2,0
1518822786,78,37
1518823486,2,0
1518824228,97,65
1518824866,1,0
1518825414,62,91
1518825879,0,5
1518826350,34,101
1518826859,1,17
1518827330,39,159
1518827825,0,6
1518828275,45,66
1518828780,0,3
1518829231,85,37
1518829748,0,4
1518830239,35,22
1518830678,2,5
1518831161,364,28
1518831647,2,7
1518832109,102,26
1518832596,0,11
1518833071,34,56
1518833808,0,3
1518834309,58,51
1518834764,1,3
1518835249,39,51
1518835728,1,12
1518836173,48,41
1518836692,0,4
1518837172,53,29
1518837883,0,6
1518838348,68,41
1518839346,24,33
1518839807,0,7
1518840261,135,52
1518841221,35,15
1518841714,1,4
1518842186,81,349
1518843154,102,79
1518843635,0,4
1518844111,136,23
1518844608,58,1
1518845056,1561,840
1518845557,58,3
1518846012,293,283
1518846524,26,4
1518846974,200,199
1518847481,20,4
1518847940,48,48
1518848444,4,8
1518848896,60,59
1518849397,14,10
1518849857,95,92
1518850359,18,8
1518850830,85,86
1518851318,13,7
1518851782,55,55
1518852283,12,14
1518852743,40,40
1518853231,11,3
1518853700,23,23
1518854203,2,4
1518854673,51,51
1518855153,8,8
1518855622,1999,1997
1518856123,6,9
1518856580,1270,1274
1518857073,11,3
1518857537,1500,1500
1518858043,10,7
1518858504,475,473
1518858995,8,4
1518859456,628,629
1518859971,13,7
1518860417,1042,1043
1518860912,8,5
1518861379,1259,1257
1518861883,18,4
1518862340,1321,1323
1518862813,1,8
1518863307,1081,1084
1518863788,0,5
1518864273,1161,1164
1518864998,21,8
1518865458,1639,1643
1518865961,9,3
1518866419,1198,1199
1518866913,2,7
1518867385,1549,1551
1518867885,3,1
1518868334,1738,1737
1518868840,7,6
1518869419,1791,1804
1518869806,8,1
1518870523,1959,1970
1518870981,13,0
1518871476,1520,1519
1518871946,3,1
1518872443,1971,1960
1518873160,3,0
1518873620,150,149
1518874118,6,0
1518874576,92,89
1518875078,1,1
1518875535,590,587
1518876267,5,0
1518877002,1768,1767
1518877457,11,0
1518877958,570,578
1518878435,7,0
1518878916,450,449
1518879375,6,0
1518879861,752,751
1518880360,5,0
1518882540,1476,1463
1518883460,660,660
1518884421,510,511
1518885393,644,629
1518886369,587,579
1518887297,270,271
1518888260,819,811
1518889219,479,473
