DateTime,Entries,UniqueIPs
1518687613,2382,2382
1518688580,2378,2378
1518689789,2374,2374
1518690742,2374,2374
1518691697,2366,2366
1518692667,2363,2363
1518693618,2360,2360
1518694596,2360,2360
1518695539,2358,2358
1518696519,2357,2357
1518697708,2368,2368
1518698665,2366,2366
1518699630,2368,2368
1518700590,2365,2365
1518702054,2363,2363
1518702976,2367,2367
1518703951,2363,2363
1518704896,2358,2358
1518705864,2358,2358
1518706819,2353,2353
1518707820,2353,2353
1518708742,2351,2351
1518709708,2350,2350
1518710665,2347,2347
1518711690,2349,2349
1518712830,2340,2340
1518713770,2328,2328
1518714744,2328,2328
1518715697,2337,2337
1518716794,2343,2343
1518717878,2346,2346
1518719339,2353,2353
1518720765,2357,2357
1518721718,2359,2359
1518722652,2360,2360
1518723637,2359,2359
1518724602,2359,2359
1518725544,2361,2361
1518726494,2364,2364
1518727475,2377,2377
1518728451,2383,2383
1518729401,2385,2385
1518730344,2392,2392
1518731301,2398,2398
1518732526,2385,2385
1518733475,2380,2380
1518734415,2382,2382
1518735384,2373,2373
1518736860,2357,2357
1518737777,2347,2347
1518738741,2342,2342
1518739709,2369,2369
1518740912,2377,2377
1518741858,2368,2368
1518742833,2364,2364
1518743782,2358,2358
1518744763,2356,2356
1518745698,2352,2352
1518746669,2351,2351
1518747620,2344,2344
1518748589,2341,2341
1518749535,2343,2343
1518750506,2356,2356
1518751459,2325,2325
1518752677,2317,2317
1518753619,2336,2336
1518754591,2340,2340
1518755801,2358,2358
1518756737,2351,2351
1518757706,2340,2340
1518758661,2335,2335
1518759615,2341,2341
1518760576,2338,2338
1518761537,2345,2345
1518762498,2339,2339
1518763730,2342,2342
1518764905,2345,2345
1518765857,2343,2343
1518766817,2346,2346
1518767780,2348,2348
1518768741,2342,2342
1518769691,2352,2352
1518770656,2335,2335
1518771624,2328,2328
1518772585,2329,2329
1518773537,2328,2328
1518774503,2333,2333
1518775467,2337,2337
1518776420,2340,2340
1518777397,2348,2348
1518778341,2339,2339
1518779546,2342,2342
1518780740,2342,2342
1518781693,2343,2343
1518782754,2356,2356
1518784158,2348,2348
1518785296,2335,2335
1518786545,2319,2319
1518787727,2311,2311
1518788764,2307,2307
1518789943,2302,2302
1518791061,2304,2304
1518791567,2299,2299
1518792029,2295,2295
1518792543,2289,2289
1518793033,1933,1933
1518793482,1928,1928
1518793964,952,952
1518794698,948,948
1518795138,773,773
1518795652,772,772
1518796892,718,718
1518798290,710,710
1518799247,692,692
1518800228,723,723
1518801145,744,744
1518802160,785,785
1518803064,773,773
1518804302,759,759
1518805263,803,803
1518806227,822,822
1518807386,849,849
1518808352,884,884
1518809356,912,912
1518810292,909,909
1518811580,910,910
1518812213,901,901
1518812664,908,908
1518813157,903,903
1518813613,919,919
1518814126,914,914
1518814644,1007,1007
1518815325,1004,1004
1518815800,1064,1064
1518816292,1064,1064
1518816774,1180,1180
1518817233,1177,1177
1518817720,1204,1204
1518818197,1203,1203
1518818708,1206,1206
1518819177,1205,1205
1518819644,1174,1174
1518820599,1183,1183
1518821545,1196,1196
1518822291,1198,1198
1518822786,1239,1239
1518823486,1241,1241
1518824228,1273,1273
1518824866,1274,1274
1518825414,1245,1245
1518825879,1240,1240
1518826350,1173,1173
1518826859,1157,1157
1518827330,1037,1037
1518827825,1031,1031
1518828275,1010,1010
1518828780,1007,1007
1518829231,1055,1055
1518829748,1051,1051
1518830239,1064,1064
1518830678,1061,1061
1518831161,1397,1397
1518831647,1392,1392
1518832109,1468,1468
1518832596,1457,1457
1518833071,1435,1435
1518833808,1432,1432
1518834309,1439,1439
1518834764,1437,1437
1518835249,1425,1425
1518835728,1414,1414
1518836173,1421,1421
1518836692,1417,1417
1518837172,1441,1441
1518837883,1435,1435
1518838348,1462,1462
1518839346,1453,1453
1518839807,1446,1446
1518840261,1529,1529
1518841221,1549,1549
1518841714,1546,1546
1518842186,1278,1278
1518843154,1301,1301
1518843635,1297,1297
1518844111,1410,1410
1518844608,1467,1467
1518845056,2188,2188
1518845557,2243,2243
1518846012,2253,2253
1518846524,2275,2275
1518846974,2276,2276
1518847481,2292,2292
1518847940,2292,2292
1518848444,2288,2288
1518848896,2289,2289
1518849397,2293,2293
1518849857,2296,2296
1518850359,2306,2306
1518850830,2305,2305
1518851318,2311,2311
1518851782,2311,2311
1518852283,2309,2309
1518852743,2309,2309
1518853231,2317,2317
1518853700,2317,2317
1518854203,2315,2315
1518854673,2315,2315
1518855153,2315,2315
1518855622,2317,2317
1518856123,2314,2314
1518856580,2310,2310
1518857073,2318,2318
1518857537,2318,2318
1518858043,2321,2321
1518858504,2323,2323
1518858995,2327,2327
1518859456,2326,2326
1518859971,2332,2332
1518860417,2331,2331
1518860912,2334,2334
1518861379,2336,2336
