DateTime,AddedIPs,RemovedIPs
1518611552,7,2
1518612498,10,12
1518613491,11,4
1518614424,9,9
1518615371,8,7
1518616376,10,4
1518617534,13,3
1518618489,7,5
1518619473,6,8
1518620658,8,8
1518621614,7,5
1518622599,6,15
1518623531,6,0
1518624771,1,20
1518625696,6,2
1518626663,5,4
1518627628,4,6
1518628588,5,2
1518629551,5,6
1518630496,6,4
1518631478,8,2
1518632416,4,8
1518633394,6,2
1518634333,6,1
1518635303,5,5
1518636523,9,6
1518637454,6,4
1518638421,3,12
1518639385,7,0
1518640614,1,11
1518641531,2,0
1518642492,5,1
1518643458,3,3
1518644418,5,0
1518645390,7,6
1518646348,1,4
1518647310,9,5
1518649496,7,2
1518650415,5,12
1518651386,7,13
1518652339,8,0
1518653328,1,18
1518654262,10,18
1518655212,8,0
1518656174,5,36
1518657413,9,38
1518658337,5,32
1518659563,8,18
1518660518,5,7
1518661697,9,21
1518662657,7,16
1518663612,2,8
1518664583,7,9
1518665780,9,10
1518666748,6,27
1518667712,5,0
1518668692,15,24
1518669858,9,6
1518670823,12,10
1518671779,7,3
1518672734,5,8
1518673953,7,9
1518674917,2,7
1518675854,10,10
1518676813,5,0
1518678027,9,17
1518678988,1,14
1518679933,7,5
1518680900,2,2
1518681859,3,13
1518682810,7,13
1518683793,4,4
1518684732,8,8
1518685701,5,0
1518686654,3,11
1518687611,6,7
1518688578,10,6
1518689787,8,14
1518690740,9,0
1518691695,3,10
1518692664,9,11
1518693616,7,8
1518694594,5,7
1518695537,5,2
1518696517,2,12
1518697706,12,7
1518698663,6,0
1518699628,5,10
1518700588,3,16
1518702052,4,11
1518702973,5,3
1518703949,5,11
1518704894,2,4
1518705862,5,7
1518706817,2,7
1518707818,3,9
1518708739,4,4
1518709706,3,4
1518710662,5,6
1518711688,7,7
1518712827,5,0
1518713768,5,9
1518714742,4,10
1518715695,6,12
1518716792,6,6
1518717878,7,7
1518719336,8,32
1518720762,11,21
1518721715,11,0
1518722649,6,0
1518723635,4,0
1518724600,5,0
1518725541,6,0
1518726491,3,1
1518727472,8,1
1518728449,7,4
1518729399,6,0
1518730341,3,38
1518731299,3,0
1518732523,4,29
1518733472,0,7
1518734412,0,3
1518735382,1,6
1518736857,0,7
1518737775,0,3
1518738739,0,16
1518739707,17,27
1518740908,19,27
1518741856,11,28
1518742830,5,33
1518743780,5,0
1518744761,11,51
1518745696,3,0
1518746667,2,3
1518747618,5,27
1518748587,2,19
1518749533,5,11
1518750504,5,4
1518751457,2,16
1518752674,2,16
1518753617,1,13
1518754589,9,10
1518755799,13,4
1518756735,4,15
1518757704,5,13
1518758659,2,11
1518759613,8,9
1518760574,6,13
1518761535,6,11
1518762496,6,11
1518763728,6,12
1518764902,6,17
1518765855,6,5
1518766815,8,14
1518767778,5,10
1518768738,6,14
1518769689,10,3
1518770654,8,22
1518771622,7,14
1518772583,5,43
1518773535,9,36
1518774501,3,0
1518775465,7,16
1518776417,10,14
1518777395,15,9
1518778339,2,17
1518779544,11,8
1518780738,4,12
1518781690,7,5
1518782735,11,6
1518784156,1,18
1518785294,0,8
1518786514,1,14
1518787718,0,7
1518788762,1,9
1518789908,0,4
1518791567,0,14
1518792543,0,4
1518793482,0,12
1518794698,0,1
1518795652,0,2
1518796875,1,11
1518798287,0,5
1518799245,0,8
1518800226,0,11
1518802140,1,5
1518803062,0,12
1518804291,0,4
1518805239,1,3
1518806213,0,7
1518807384,2,6
1518808331,0,2
1518809302,2,5
1518810274,1,13
1518812213,0,13
1518813157,2,11
1518814126,1,1
1518815325,2,3
1518816292,2,6
1518817233,1,1
1518818197,0,5
1518819177,0,10
1518820138,0,1
1518822291,2,7
1518823486,2,5
