DateTime,AddedIPs,RemovedIPs
1518598342,8,0
1518599292,12,2
1518600264,11,0
1518601224,5,0
1518602180,7,0
1518603142,12,19
1518604178,6,27
1518605563,13,31
1518606524,9,9
1518607457,8,9
1518608416,4,7
1518609392,3,6
1518610484,6,5
1518611552,7,7
1518612498,10,5
1518613491,11,9
1518614424,9,7
1518615371,8,3
1518616376,10,3
1518617534,13,1
1518618489,7,11
1518619473,6,13
1518620658,8,5
1518621614,7,7
1518622599,6,3
1518623531,6,3
1518624771,1,4
1518625696,6,11
1518626663,5,7
1518627628,4,3
1518628588,5,11
1518629551,5,10
1518630496,6,2
1518631478,8,2
1518632416,4,12
1518633394,6,10
1518634333,6,7
1518635303,5,3
1518636523,9,7
1518637454,6,7
1518638421,3,6
1518639385,7,13
1518640614,1,8
1518641531,2,8
1518642492,5,6
1518643458,3,7
1518644418,5,8
1518645390,7,1
1518646348,1,1
1518647310,9,21
1518649496,7,4
1518650415,5,9
1518651386,7,8
1518652339,8,4
1518653328,1,11
1518654262,10,11
1518655212,8,22
1518656174,5,9
1518657413,9,13
1518658337,5,5
1518659563,8,3
1518660518,5,4
1518661697,9,2
1518662657,7,18
1518663612,2,8
1518664583,7,6
1518665780,9,13
1518666748,6,8
1518667712,5,7
1518668692,15,6
1518669858,9,3
1518670823,12,12
1518671779,7,4
1518672734,5,3
1518673953,7,2
1518674917,2,5
1518675854,10,8
1518676813,5,8
1518678027,9,11
1518678988,1,6
1518679933,7,1
1518680900,2,5
1518681859,3,6
1518682810,7,4
1518683793,4,12
1518684732,8,8
1518685701,5,5
1518686654,3,1
1518687611,6,6
1518688578,10,11
1518689787,8,14
1518690740,9,8
1518691695,3,4
1518692664,9,12
1518693616,7,6
1518694594,5,7
1518695537,5,8
1518696517,2,4
1518697706,12,4
1518698663,6,8
1518699628,5,7
1518700588,3,6
1518702052,4,7
1518702973,5,5
1518703949,5,6
1518704894,2,2
1518705862,5,5
1518706817,2,6
1518707818,3,5
1518708739,4,5
1518709706,3,3
1518710662,5,7
1518711688,7,7
1518712827,5,5
1518713768,5,11
1518714742,4,5
1518715695,6,3
1518716792,6,8
1518717878,7,4
1518719336,8,9
1518720762,11,1
1518721715,11,7
1518722649,6,2
1518723635,4,4
1518724600,5,4
1518725541,6,4
1518726491,3,5
1518727472,8,1
1518728449,7,3
1518729399,6,4
1518730341,3,2
1518731299,3,3
1518732523,4,4
1518733472,0,6
1518734412,0,2
1518735382,1,4
1518736857,0,8
1518737775,0,4
1518738739,0,4
1518739707,17,2
1518740908,19,14
1518741856,11,14
1518742830,5,9
1518743780,5,12
1518744761,11,12
1518745696,3,7
1518746667,2,4
1518747618,5,10
1518748587,2,4
1518749533,5,4
1518750504,5,3
1518751457,2,7
1518752674,2,3
1518753617,1,5
1518754589,9,5
1518755799,13,6
1518756735,4,9
1518757704,5,8
1518758659,2,4
1518759613,8,6
1518760574,6,5
1518761535,6,5
1518762496,6,6
1518763728,6,13
1518764902,6,6
1518765855,6,7
1518766815,8,4
1518767778,5,3
1518768738,6,10
1518769689,10,2
1518770654,8,20
1518771622,7,7
1518772583,5,6
1518773535,9,6
1518774501,3,5
1518775465,7,4
1518776417,10,3
1518777395,15,6
1518778339,2,7
1518779544,11,5
1518780738,4,6
1518781690,7,6
1518782735,11,2
1518784156,1,8
1518785294,0,4
1518786514,1,15
1518787718,0,7
1518788762,1,7
1518789908,0,3
1518791567,0,6
1518792543,0,6
1518793482,0,5
1518794698,0,4
1518795652,0,1
1518796875,1,3
1518798287,0,5
1518799245,0,6
1518800226,0,6
1518801143,0,6
1518802140,1,8
1518803062,0,3
1518804291,0,8
1518805239,1,10
1518806213,0,5
1518807384,2,5
1518808331,0,2
1518809302,2,4
1518810274,1,6
1518812213,0,9
1518813157,2,5
1518814126,1,6
1518815325,2,3
1518816292,2,3
1518817233,1,4
1518818197,0,1
1518819177,0,1
1518822291,2,0
1518823486,2,0
1518824866,1,0
1518825879,0,5
1518826859,1,19
1518827825,0,7
1518828780,1,3
1518829748,0,4
1518830678,2,5
1518831647,3,7
1518832596,0,11
1518833808,0,3
1518834764,1,3
1518835728,3,12
1518836692,0,4
1518837883,0,6
1518839807,3,8
1518841714,3,4
1518843635,4,6
1518844608,61,1
1518845557,58,3
1518846524,26,4
1518847481,20,4
1518848444,4,9
1518849397,14,10
1518850359,18,8
1518851318,13,7
1518852283,12,14
1518853231,11,3
1518854203,2,4
1518855153,8,8
1518856123,6,9
1518857073,11,3
1518858043,10,7
1518858995,8,4
1518859971,13,7
1518860912,8,5
1518861883,18,4
1518862813,1,8
1518863788,0,5
1518864998,21,8
1518865961,9,3
1518866913,2,7
1518867885,3,1
1518868840,7,6
1518869806,8,1
1518870981,13,0
1518871946,3,1
1518873160,3,0
1518874118,6,0
1518875078,1,1
1518876267,5,0
1518877457,11,0
1518878435,7,0
1518879375,6,0
1518880360,5,0
1518882538,12,1
1518883458,6,0
1518884419,5,0
1518885391,7,0
1518886366,9,0
1518887296,4,0
1518888258,6,1
1518889216,5,1
1518890458,6,0
1518891373,1,0
1518893554,0,1
1518894530,13,0
1518895452,9,2
1518896417,8,0
1518897398,3,0
1518899530,0,1
1518900494,13,1
1518901466,7,4
1518902657,8,2
1518903611,4,1
1518904576,3,0
1518905532,1,0
1518908662,4,1
1518909876,15,2
1518910944,4,1
1518912277,5,0
1518913215,0,1
1518915137,1,0
1518916107,13,0
1518917052,7,2
1518918256,5,3
1518919220,5,1
1518921396,8,3
1518922331,5,1
1518923306,18,0
1518924255,5,0
1518925476,5,3
1518926421,7,1
1518927389,0,1
1518928337,0,3
1518930258,10,2
1518931215,15,90
1518932173,13,67
1518933154,3,37
1518934095,4,17
1518935052,9,21
1518936256,12,54
1518937482,3,27
1518938409,6,21
