DateTime,Entries,UniqueIPs
1518598342,476,476
1518599292,486,486
1518600264,497,497
1518601224,502,502
1518602180,509,509
1518603142,502,502
1518604178,481,481
1518605563,463,463
1518606524,463,463
1518607457,462,462
1518608416,459,459
1518609392,456,456
1518610484,457,457
1518611552,457,457
1518612498,462,462
1518613491,464,464
1518614424,466,466
1518615371,471,471
1518616376,478,478
1518617534,490,490
1518618489,486,486
1518619473,479,479
1518620658,482,482
1518621614,482,482
1518622599,485,485
1518623531,488,488
1518624771,485,485
1518625696,480,480
1518626663,478,478
1518627628,479,479
1518628588,473,473
1518629551,468,468
1518630496,472,472
1518631478,478,478
1518632416,470,470
1518633394,466,466
1518634333,465,465
1518635303,467,467
1518636523,469,469
1518637454,468,468
1518638421,465,465
1518639385,459,459
1518640614,452,452
1518641531,446,446
1518642492,445,445
1518643458,441,441
1518644418,438,438
1518645390,444,444
1518646348,444,444
1518647310,432,432
1518649496,435,435
1518650415,431,431
1518651386,430,430
1518652339,434,434
1518653328,424,424
1518654262,423,423
1518655212,409,409
1518656174,405,405
1518657413,401,401
1518658337,401,401
1518659563,406,406
1518660518,407,407
1518661697,414,414
1518662657,403,403
1518663612,397,397
1518664583,398,398
1518665780,394,394
1518666748,392,392
1518667712,390,390
1518668692,399,399
1518669858,405,405
1518670823,405,405
1518671779,408,408
1518672734,410,410
1518673953,415,415
1518674917,412,412
1518675854,414,414
1518676813,411,411
1518678027,409,409
1518678988,404,404
1518679933,410,410
1518680900,407,407
1518681859,404,404
1518682810,407,407
1518683793,399,399
1518684732,399,399
1518685701,399,399
1518686654,401,401
1518687611,401,401
1518688578,400,400
1518689787,394,394
1518690740,395,395
1518691695,394,394
1518692664,391,391
1518693616,392,392
1518694594,390,390
1518695537,387,387
1518696517,385,385
1518697706,393,393
1518698663,391,391
1518699628,389,389
1518700588,386,386
1518702052,383,383
1518702973,383,383
1518703949,382,382
1518704894,382,382
1518705862,382,382
1518706817,378,378
1518707818,376,376
1518708739,375,375
1518709706,375,375
1518710662,373,373
1518711688,373,373
1518712827,373,373
1518713768,367,367
1518714742,366,366
1518715695,369,369
1518716792,367,367
1518717878,370,370
1518719336,369,369
1518720762,379,379
1518721715,383,383
1518722649,387,387
1518723635,387,387
1518724600,388,388
1518725541,390,390
1518726491,388,388
1518727472,395,395
1518728449,399,399
1518729399,401,401
1518730341,402,402
1518731299,402,402
1518732523,402,402
1518733472,396,396
1518734412,394,394
1518735382,391,391
1518736857,383,383
1518737775,379,379
1518738739,375,375
1518739707,390,390
1518740908,395,395
1518741856,392,392
1518742830,388,388
1518743780,381,381
1518744761,380,380
1518745696,376,376
1518746667,374,374
1518747618,369,369
1518748587,367,367
1518749533,368,368
1518750504,370,370
1518751457,365,365
1518752674,364,364
1518753617,360,360
1518754589,364,364
1518755799,371,371
1518756735,366,366
1518757704,363,363
1518758659,361,361
1518759613,363,363
1518760574,364,364
1518761535,365,365
1518762496,365,365
1518763728,358,358
1518764902,358,358
1518765855,357,357
1518766815,361,361
1518767778,363,363
1518768738,359,359
1518769689,367,367
1518770654,355,355
1518771622,355,355
1518772583,354,354
1518773535,357,357
1518774501,355,355
1518775465,358,358
1518776417,365,365
1518777395,374,374
1518778339,369,369
1518779544,375,375
1518780738,373,373
1518781690,374,374
1518782735,383,383
1518784156,376,376
1518785294,372,372
1518786514,358,358
1518787718,351,351
1518788762,345,345
1518789908,342,342
1518791567,336,336
1518792543,330,330
1518793482,325,325
1518794698,321,321
1518795652,320,320
1518796875,318,318
1518798287,313,313
1518799245,307,307
1518800226,301,301
1518801143,295,295
1518802140,288,288
1518803062,285,285
1518804291,277,277
1518805239,268,268
1518806213,263,263
1518807384,260,260
1518808331,258,258
1518809302,256,256
1518810274,251,251
1518812213,242,242
1518813157,239,239
1518814126,234,234
1518815325,233,233
1518816292,232,232
1518817233,229,229
1518818197,228,228
1518819177,227,227
1518822291,229,229
1518823486,231,231
1518824866,232,232
1518825879,227,227
1518826859,209,209
1518827825,202,202
1518828780,200,200
1518829748,196,196
1518830678,193,193
1518831647,189,189
1518832596,178,178
1518833808,175,175
1518834764,173,173
1518835728,164,164
1518836692,160,160
1518837883,154,154
1518839807,149,149
1518841714,148,148
1518843635,146,146
1518844608,206,206
1518845557,261,261
1518846524,283,283
1518847481,299,299
1518848444,294,294
1518849397,298,298
1518850359,308,308
1518851318,314,314
1518852283,312,312
1518853231,320,320
1518854203,318,318
1518855153,318,318
1518856123,315,315
1518857073,323,323
1518858043,326,326
1518858995,330,330
1518859971,336,336
1518860912,339,339
1518861883,353,353
1518862813,346,346
1518863788,341,341
1518864998,354,354
1518865961,360,360
1518866913,355,355
1518867885,357,357
1518868840,358,358
1518869806,365,365
1518870981,378,378
1518871946,380,380
1518873160,383,383
1518874118,389,389
1518875078,389,389
1518876267,394,394
1518877457,405,405
1518878435,412,412
1518879375,418,418
1518880360,423,423
1518882538,434,434
1518883458,440,440
1518884419,445,445
1518885391,452,452
1518886366,461,461
1518887296,465,465
1518888258,470,470
1518889216,474,474
1518890458,480,480
1518891373,481,481
1518893554,480,480
1518894530,493,493
1518895452,500,500
1518896417,508,508
1518897398,511,511
1518899530,510,510
1518900494,522,522
1518901466,525,525
1518902657,531,531
1518903611,534,534
1518904576,537,537
