DateTime,Entries,UniqueIPs
1518615373,29357,32231
1518616379,29384,32282
1518617536,29402,32299
1518618492,29378,32275
1518619477,29396,32292
1518620660,29423,32330
1518621616,29439,32360
1518622601,29474,32389
1518623533,29489,32390
1518624773,29409,32284
1518625699,29512,32410
1518626666,29642,32577
1518627630,29697,32643
1518628590,29850,32819
1518629554,29462,32386
1518630498,29597,32544
1518631481,29431,32347
1518632418,29561,32498
1518633396,29453,32395
1518634335,29635,32599
1518635305,29517,32433
1518636526,29471,32387
1518637457,29529,32469
1518638424,29529,32460
1518639387,29552,32467
1518640617,29693,32665
1518641533,29798,32792
1518642495,29600,32540
1518643461,30108,33019
1518644420,30618,33520
1518645392,29293,32202
1518646351,29558,32519
1518647312,29521,32481
1518649498,29538,32502
1518650417,29492,32438
1518651388,29457,32385
1518652341,29657,32619
1518653330,29598,32535
1518654264,29610,32549
1518655215,29744,32705
1518656176,29865,32846
1518657415,29511,32395
1518658340,29700,32620
1518659565,29616,32503
1518660520,29610,32483
1518661699,29627,32505
1518662660,29451,32285
1518663614,29583,32442
1518664585,29648,32515
1518665782,29651,32509
1518666751,29643,32491
1518667714,29620,32458
1518668694,29649,32490
1518669861,29798,32668
1518670826,29933,32825
1518671781,30040,32950
1518672735,29760,32611
1518673956,29809,32657
1518674920,29802,32639
1518675857,29760,32586
1518676816,29804,32622
1518678028,29808,32620
1518678991,29851,32677
1518679936,29819,32629
1518680902,29796,32593
1518681861,29755,32534
1518682812,29739,32535
1518683796,29746,32530
1518684735,29837,32644
1518685703,29697,32482
1518686656,29838,32654
1518687613,29794,32598
1518688580,29801,32598
1518689789,29719,32513
1518690742,29648,32413
1518691697,29760,32541
1518692667,29716,32457
1518693618,29771,32519
1518694596,29713,32434
1518695539,29713,32425
1518696519,29671,32368
1518697708,29683,32378
1518698665,29592,32246
1518699630,29660,32314
1518700590,29585,32221
1518702054,29405,31968
1518702976,29385,31958
1518703951,29380,31941
1518704896,29291,31814
1518705864,29388,31928
1518706819,29337,31876
1518707820,29342,31883
1518708742,29396,31952
1518709708,29381,31884
1518710665,29322,31813
1518711690,29399,31904
1518712830,29432,31944
1518713770,29431,31935
1518714744,29416,31933
1518715697,29393,31902
1518716794,29416,31915
1518719339,29369,31844
