DateTime,AddedIPs,RemovedIPs
1518616379,56,142
1518617536,34,59
1518618492,35,50
1518619477,45,51
1518620660,58,70
1518621616,36,74
1518622601,54,61
1518623533,60,47
1518624773,56,34
1518625699,57,63
1518626666,50,47
1518627630,36,66
1518628590,52,77
1518629554,40,75
1518630498,39,67
1518631481,47,64
1518632418,37,68
1518633396,33,86
1518634335,65,60
1518635305,26,114
1518636526,66,80
1518637457,56,42
1518638424,58,113
1518639387,41,262
1518640617,80,80
1518641533,40,85
1518642495,29,70
1518643461,632,50
1518644420,631,92
1518645392,244,90
1518646351,150,1541
1518647312,45,72
1518649498,86,139
1518650417,33,145
1518651388,45,0
1518652341,60,69
1518653330,44,80
1518654264,53,73
1518655215,54,50
1518656176,65,84
1518657415,33,53
1518658340,64,73
1518659565,66,137
1518660520,47,0
1518661699,51,115
1518662660,49,74
1518663614,56,49
1518664585,18,78
1518665782,74,45
1518666751,42,58
1518667714,44,59
1518668694,43,63
1518669861,71,71
1518670826,47,81
1518671781,50,44
1518672735,54,91
1518673956,74,65
1518674920,42,55
1518675857,45,68
1518676816,49,52
1518678028,56,104
1518678991,49,55
1518679936,42,0
1518680902,38,63
1518681861,37,130
1518682812,53,0
1518683796,51,107
1518684735,37,0
1518685703,46,116
1518686656,42,0
1518687613,36,54
1518688580,40,122
1518689789,46,50
1518690742,52,47
1518691697,42,57
1518692667,31,53
1518693618,54,62
1518694596,40,81
1518695539,52,28
1518696519,46,76
1518697708,66,54
1518698665,32,59
1518699630,53,61
1518700590,53,63
1518702054,62,48
1518702976,43,18
1518703951,54,88
1518704896,40,38
1518705864,38,72
1518706819,37,70
1518707820,29,45
1518708742,66,53
1518709708,58,93
1518710665,44,61
1518711690,47,66
1518712830,70,248
1518713770,52,63
1518714744,52,37
1518715697,46,117
1518716794,57,63
1518719339,111,184
1518720765,79,60
1518721718,33,49
1518722652,59,42
1518723637,59,79
1518724602,53,60
1518725544,69,57
1518726494,44,44
1518727475,57,93
1518728451,39,64
1518729401,328,59
1518730344,687,52
1518731301,509,100
1518732526,140,1434
1518733475,47,59
1518734415,45,126
1518735384,70,0
1518736860,76,40
1518737777,51,72
1518738741,63,70
1518739709,77,66
1518740912,108,52
1518741858,48,57
1518742833,19,59
1518743782,3,41
1518744763,16,49
1518745698,7,51
1518746669,7,66
1518747620,11,66
1518748589,10,43
1518749535,7,28
1518750506,78,53
1518751459,110,31
1518752677,143,47
1518753619,44,65
1518754591,39,46
1518755801,62,51
1518756737,38,78
1518757706,43,51
1518758661,35,0
1518759615,35,72
1518760576,54,34
1518761537,30,53
1518762498,47,56
1518763730,61,104
1518764905,41,37
1518765857,63,46
1518766817,53,42
1518767780,30,57
1518768741,41,50
1518769691,24,52
1518770656,39,50
1518771624,23,50
1518772585,34,39
1518773537,41,33
1518774503,38,41
1518775467,35,73
1518776420,39,53
1518777397,37,52
1518778341,48,69
1518779546,56,29
1518780740,46,53
1518781693,40,61
1518782754,48,77
1518784158,51,123
1518785296,60,61
1518786545,38,61
1518787727,85,49
1518788764,36,56
1518789943,87,134
1518791061,100,0
1518792029,125,63
1518793033,292,53
1518793964,0,55
1518795138,0,70
1518796892,2,103
1518798290,1,52
1518799247,0,41
1518800228,0,33
1518801145,2,60
1518802160,1,63
1518803064,0,62
1518804302,2,111
1518805263,4,50
1518806227,3,0
1518807386,4,85
1518808352,2,60
1518809356,4,46
1518810292,2,81
1518811580,2,45
1518812664,4,46
1518813613,0,4
1518814644,4,77
1518815800,5,54
1518816774,3,40
1518817720,3,149
1518818708,0,1406
1518819644,0,54
1518820599,1,55
1518821545,2,62
1518822786,2,25
1518824228,3,65
1518825414,3,86
1518826350,1,46
1518827330,2,53
1518828275,3,0
1518829231,4,124
1518830239,1,24
1518831161,13,57
1518832109,10,60
1518833071,2,0
1518834309,1,104
1518835249,3,51
1518836173,3,0
1518837172,2,62
1518838348,4,93
1518839346,4,43
1518840261,6,0
1518841221,4,39
1518842186,4,85
1518843154,5,52
1518844111,5,54
1518845056,905,0
1518846012,293,50
1518846974,200,29
1518847940,48,58
1518848896,60,35
1518849857,95,43
1518850830,30,50
1518851782,3,63
1518852743,5,34
1518853700,3,39
1518854673,7,63
1518855622,285,40
1518856580,201,51
1518857537,191,48
1518858504,52,30
1518859456,76,52
1518860417,128,65
1518861379,142,50
1518862340,174,16
1518863307,122,48
1518864273,155,90
1518865458,171,41
1518866419,112,40
1518867385,163,52
1518868334,133,56
1518869419,143,40
1518870523,190,13
1518871476,163,48
1518872443,168,77
1518873620,12,35
1518874576,8,42
1518875535,48,43
1518877002,139,55
1518877958,37,73
1518878916,40,44
1518879861,52,0
1518882540,117,144
1518883460,41,50
1518884421,43,22
1518885393,49,63
1518886369,41,38
1518887297,22,64
1518888260,69,49
1518889219,34,43
1518890461,52,76
1518891375,19,0
1518892349,35,59
1518893556,49,148
1518894533,53,52
1518895455,53,0
1518896420,40,101
1518897401,50,78
1518898476,49,61
1518899533,43,58
1518900496,54,65
1518901468,247,26
1518902659,137,35
1518903613,79,80
1518904578,719,0
1518905534,149,1214
1518906751,54,117
1518907692,33,29
1518908664,51,75
1518909878,49,75
1518910946,62,47
1518912279,147,82
1518913217,23,0
1518914185,33,90
1518915139,33,0
1518916110,35,82
1518917054,11,0
1518918258,6,74
