DateTime,Entries,UniqueIPs
1518616379,2000,2000
1518617536,2000,2000
1518618492,2000,2000
1518619477,2000,2000
1518620660,2000,2000
1518621616,2000,2000
1518622601,2000,2000
1518623533,2000,2000
1518624773,2000,2000
1518625699,2000,2000
1518626666,2000,2000
1518627630,2000,2000
1518628590,2000,2000
1518629554,2000,2000
1518630498,2000,2000
1518631481,2000,2000
1518632418,2000,2000
1518633396,2000,2000
1518634335,2000,2000
1518635305,2000,2000
1518636526,2000,2000
1518637457,2000,2000
1518638424,2000,2000
1518639387,2000,2000
1518640617,2000,2000
1518641533,2000,2000
1518642495,2000,2000
1518643461,2000,2000
1518644420,2000,2000
1518645392,2000,2000
1518646351,2000,2000
1518647312,2000,2000
1518649498,2000,2000
1518650417,2000,2000
1518651388,2000,2000
1518652341,2000,2000
1518653330,2000,2000
1518654264,2000,2000
1518655215,2000,2000
1518656176,2000,2000
1518657415,2000,2000
1518658340,2000,2000
1518659565,2000,2000
1518660520,2000,2000
1518661699,2000,2000
1518662660,2000,2000
1518663614,2000,2000
1518664585,2000,2000
1518665782,2000,2000
1518666751,2000,2000
1518667714,2000,2000
1518668694,2000,2000
1518669861,2000,2000
1518670826,2000,2000
1518671781,2000,2000
1518672735,2000,2000
1518673956,2000,2000
1518674920,2000,2000
1518675857,2000,2000
1518676816,2000,2000
1518678028,2000,2000
1518678991,2000,2000
1518679936,2000,2000
1518680902,2000,2000
1518681861,2000,2000
1518682812,2000,2000
1518683796,2000,2000
1518684735,2000,2000
1518685703,2000,2000
1518686656,2000,2000
1518687613,2000,2000
1518688580,2000,2000
1518689789,2000,2000
1518690742,2000,2000
1518691697,2000,2000
1518692667,2000,2000
1518693618,2000,2000
1518694596,2000,2000
1518695539,2000,2000
1518696519,2000,2000
1518697708,2000,2000
1518698665,2000,2000
1518699630,2000,2000
1518700590,2000,2000
1518702054,2000,2000
1518702976,2000,2000
1518703951,2000,2000
1518704896,2000,2000
1518705864,2000,2000
1518706819,2000,2000
1518707820,2000,2000
1518708742,2000,2000
1518709708,2000,2000
1518710665,2000,2000
1518711690,2000,2000
1518712830,2000,2000
1518713770,2000,2000
1518714744,2000,2000
1518715697,2000,2000
1518716794,2000,2000
1518719339,2000,2000
1518720765,2000,2000
1518721718,2000,2000
1518722652,2000,2000
1518723637,2000,2000
1518724602,2000,2000
1518725544,2000,2000
1518726494,2000,2000
1518727475,2000,2000
1518728451,2000,2000
1518729401,2000,2000
1518730344,2000,2000
1518731301,2000,2000
1518732526,2000,2000
1518733475,2000,2000
1518734415,2000,2000
1518735384,2000,2000
1518736860,2000,2000
1518737777,2000,2000
1518738741,2000,2000
1518739709,2000,2000
1518740912,2000,2000
1518741858,2000,2000
1518742833,2000,2000
1518743782,2000,2000
1518744763,2000,2000
1518745698,2000,2000
1518746669,2000,2000
1518747620,2000,2000
1518748589,2000,2000
1518749535,2000,2000
1518750506,2000,2000
1518751459,2000,2000
1518752677,2000,2000
1518753619,2000,2000
1518754591,2000,2000
1518755801,2000,2000
1518756737,2000,2000
1518757706,2000,2000
1518758661,2000,2000
1518759615,2000,2000
1518760576,2000,2000
1518761537,2000,2000
1518762498,2000,2000
1518763730,2000,2000
