DateTime,AddedIPs,RemovedIPs
1516503618,2,0
1516507217,0,3
1516510821,0,3
1516514416,1,1
1516518017,0,1
1516521619,1,2
1516528818,3,1
1516532418,2,2
1516536018,2,1
1516539617,2,1
1516543217,1,3
1516546817,4,4
1516550416,0,5
1516554016,1,2
1516557617,2,4
1516561216,0,6
1516564816,1,5
1516568416,0,8
1516572015,1,8
1516575615,0,6
1516579217,1,0
1516582816,0,5
1516586415,1,4
1516590015,1,6
1516593615,1,0
1516611615,1,1
1516615215,2,2
1516618815,1,1
1516622415,2,0
1516636815,1,0
1516647614,2,0
1516651215,0,1
1516658415,2,0
1516662016,1,0
1516665615,2,0
1516669215,1,0
1516672815,1,0
1516676416,1,0
1516683616,1,0
1516701616,1,0
1516708818,3,0
1516712419,0,1
1516716020,2,2
1516726823,1,0
1516730420,1,2
1516737629,3,1
1516744825,2,0
1516748423,1,0
1516752022,1,1
1516762826,3,0
1516766428,2,0
1516770029,3,0
1516773625,0,1
1516777223,0,1
1516780821,1,0
1516798825,1,2
1516802426,1,0
1516813229,0,1
1516816822,1,1
1516824022,2,0
1516831225,1,0
1516838423,2,0
1516842023,0,1
1516845624,0,2
1516849223,1,0
1516863620,3,0
1516867220,0,1
1516870829,7,0
1516874425,2,1
1516878024,1,0
1516885223,4,0
1516888826,1,0
1516896025,0,1
1516903223,2,0
1516906821,1,2
1516910423,4,2
1516914024,1,2
1516921224,0,2
1516924820,1,2
1516928420,1,0
1516932018,1,2
1516935616,0,3
1516939217,0,5
1516942818,1,1
1516946416,2,0
1516950017,1,0
1516953616,1,0
1516968018,2,1
1516975217,0,1
1516993217,3,0
1517007617,1,1
1517011218,0,1
1517014869,0,1
1517022016,0,1
1517025618,0,1
1517029217,1,0
1517032821,0,1
1517040020,0,1
1517043618,0,1
1517050817,1,0
1517061620,0,1
1517065218,1,1
1517072419,1,0
1517076020,1,2
1517083222,0,1
1517086820,0,1
1517090417,2,2
1517094017,0,1
1517097619,1,4
1517101234,0,2
1517104819,0,1
1517108438,2,1
1517115616,0,1
1517122816,0,1
1517126416,0,1
1517130016,8,0
1517133617,3,2
1517137217,1,1
1517140818,1,0
1517144416,2,3
1517148019,0,1
1517151620,1,1
1517155219,3,2
1517158817,0,1
1517162417,1,1
1517173218,0,2
1517176817,0,3
1517180416,1,1
1517184020,0,4
1517187821,1,0
1517194825,0,1
1517198418,0,7
1517205618,1,1
1517209218,0,1
1517212816,1,3
1517220017,0,2
1517223623,1,1
1517227238,0,1
1517230823,1,0
1517234417,0,1
1517238018,3,0
1517241616,0,2
1517245219,0,1
1517248820,3,1
1517252417,3,1
1517256016,2,0
1517259616,3,0
1517263220,1,1
1517266817,1,1
1517270419,2,1
1517277616,2,3
1517281218,1,2
1517284817,5,1
1517288416,8,3
1517292017,12,1
1517295617,5,1
1517299217,2,4
1517302816,3,1
1517310018,1,0
1517313617,2,0
1517317217,0,1
1517328017,1,0
1517335218,1,1
1517338819,1,0
1517342422,0,2
1517353224,0,1
1517360420,2,0
1517367627,1,0
1517371226,1,0
1517374818,0,3
1517378422,0,1
1517385623,2,0
1517421625,0,1
1517425229,2,0
1517432423,1,0
1517439628,1,1
1517443234,0,2
1517454026,0,1
