DateTime,AddedIPs,RemovedIPs
1516950169,0,2
1516953758,0,2
1516957373,2,2
1516960975,0,1
1516971789,1,2
1516975412,1,1
1516979013,1,1
1516986219,0,2
1516989811,3,0
1516993404,1,2
1516997006,3,1
1517000604,3,0
1517007802,0,1
1517015001,1,1
1517018583,2,2
1517022181,1,1
1517025767,3,0
1517029385,0,2
1517032980,2,0
1517040186,1,0
1517043773,1,2
1517047391,1,1
1517050989,0,1
1517054558,1,1
1517058187,1,1
1517061785,4,4
1517065394,5,1
1517068963,2,4
1517072583,4,4
1517076204,0,2
1517079802,0,2
1517083346,0,1
1517086978,1,0
1517090605,1,0
1517094201,0,1
1517097743,6,0
1517101361,3,0
1517104996,1,0
1517108457,2,0
1517112055,0,2
1517115681,1,0
1517126529,0,1
1517130120,1,0
1517140934,0,1
1517144532,1,1
1517148139,1,0
1517151753,2,1
1517155355,1,1
1517158954,0,1
1517162546,1,1
1517169774,1,0
1517173385,1,2
1517180572,1,1
1517184188,2,1
1517191380,4,2
1517194843,1,1
1517198540,1,1
1517202136,0,2
1517205734,0,1
1517212937,1,2
1517216547,1,1
1517220146,1,0
1517227260,1,1
1517230928,0,3
1517234551,0,2
1517241794,2,1
1517245413,3,4
1517249018,1,3
1517252617,2,4
1517256210,1,0
1517259805,0,1
1517263406,1,4
1517267005,1,0
1517270599,2,3
1517277790,6,2
1517281391,1,1
1517284997,3,2
1517288586,1,1
1517292179,3,1
1517295775,1,1
1517299381,0,3
1517302990,2,3
1517310169,0,1
1517313785,1,0
1517317372,2,1
1517320945,9,0
1517324564,2,0
1517328153,2,3
1517331807,0,3
1517335413,2,1
1517339012,0,1
1517342607,2,5
1517346213,2,1
1517349814,0,1
1517353409,0,1
1517357012,5,2
1517360584,2,3
1517364177,5,0
1517367809,0,2
1517371412,1,3
1517374969,1,3
1517378585,0,2
1517382212,3,1
1517385803,1,0
1517389344,1,1
1517400203,5,2
1517403792,4,0
1517407400,2,1
1517411009,1,1
1517414612,1,1
1517418214,0,1
1517425391,0,1
1517428954,1,0
1517432546,1,1
1517436137,1,1
1517439741,1,1
1517443367,4,2
1517446967,1,1
1517450575,1,0
1517457750,0,1
1517461366,0,1
1517468554,1,1
1517472161,0,1
1517475758,0,2
1517482980,1,1
1517486864,3,0
1517492283,1,0
1517499050,1,1
1517504485,2,0
1517508105,0,1
1517511737,1,3
1517515337,0,2
1517518940,1,2
1517522584,2,0
1517526190,2,4
1517529816,2,2
1517536862,1,4
1517540531,1,1
1517544133,4,0
1517547732,5,1
1517551404,3,1
1517555015,1,1
1517558598,2,0
1517562185,1,1
1517565784,0,1
1517569399,2,2
1517573011,1,3
1517576610,2,4
1517580192,1,2
1517583808,2,2
1517587386,1,3
1517590999,1,0
1517594596,0,5
1517598161,2,2
1517601747,0,1
1517605354,1,4
1517608998,2,0
1517613463,1,0
1517619514,0,1
1517626836,2,4
1517630455,3,1
1517637784,1,0
1517645002,2,1
1517648609,1,0
1517652182,1,2
1517655812,1,0
1517659391,1,0
1517662990,1,1
1517666558,1,1
1517670171,0,1
1517673796,3,0
1517677401,0,1
1517680962,0,1
1517684583,3,1
1517688180,0,1
1517691799,0,2
1517695412,0,2
1517699007,0,1
1517702591,1,2
1517706183,1,2
1517709768,0,3
1517716963,1,6
1517720587,0,2
1517727783,1,0
1517731375,1,0
1517734967,1,0
1517739503,1,0
1517744336,1,0
1517749254,1,1
1517752906,1,4
1517756531,0,1
1517760138,1,5
1517767360,1,2
1517770980,0,5
1517774578,0,3
1517778172,2,4
1517781791,0,2
1517789008,0,3
1517792589,2,4
1517796194,3,1
1517803380,2,1
1517806975,0,1
1517828330,0,2
1517835641,0,3
1517839309,2,1
1517846855,2,1
1517850359,0,1
1517853825,0,2
1517857379,0,1
1517860999,2,1
1517864578,0,2
1517868237,1,1
1517871813,2,3
1517875406,2,2
1517886200,0,1
1517889799,1,0
1517893412,0,1
1517897005,7,4
1517900551,3,0
1517907800,1,1
1517914965,1,1
1517922223,2,1
1517925814,1,3
1517929417,2,0
1517933016,1,0
1517936610,3,1
1517940214,1,0
1517947397,1,1
1517950978,1,0
1517954576,2,1
1517958181,1,1
1517961778,1,2
1517965371,0,2
1517968972,0,1
1517972575,4,5
1517976211,1,7
1517979798,0,4
1517983376,1,1
1517990607,0,1
1517997786,2,0
1518001389,2,0
1518004987,1,4
1518008580,3,2
1518012175,1,5
1518015802,1,2
1518023011,0,1
1518026584,1,0
1518030199,1,1
1518033815,0,1
1518037406,0,2
1518040984,1,2
1518044609,5,1
1518048147,1,1
1518051775,0,2
1518055395,2,3
1518058996,1,0
1518062553,2,2
1518069783,0,2
1518073394,1,1
1518077029,3,1
1518080610,0,1
1518084224,1,1
1518087805,1,0
1518091390,0,2
1518094976,2,1
1518098564,0,1
1518102157,0,1
1518105772,1,0
1518109379,1,3
1518112987,1,0
1518116577,1,1
1518120179,2,0
1518123799,1,0
1518127412,5,1
1518131020,1,0
1518134614,3,2
1518138214,3,0
1518141809,3,1
1518145408,6,1
1518148996,1,2
1518163382,1,1
1518167018,0,1
1518170607,1,0
1518174188,0,1
1518177810,0,1
1518181402,1,2
1518185007,2,1
1518188605,1,1
1518192212,4,0
1518195749,0,2
1518199394,2,2
1518203019,0,3
1518206561,1,2
1518213800,1,1
1518217399,2,0
1518221000,2,0
1518228193,1,0
1518231775,1,0
1518235370,0,1
1518246185,0,2
1518249764,0,2
1518253369,0,2
1518257001,1,1
1518264163,2,1
1518267764,2,1
1518271411,0,2
1518278604,0,1
1518282205,0,2
1518285805,2,0
1518292984,2,0
1518300190,0,1
1518303801,2,0
1518310987,4,2
1518314579,1,0
1518318184,3,0
1518321795,1,0
1518328965,1,0
1518343364,0,1
1518354215,1,0
