DateTime,AddedIPs,RemovedIPs
1510495315,0,1
1510527682,0,1
1510538494,1,0
1510545733,1,0
1510549323,2,0
1510552919,1,1
1510563700,1,0
1510588970,1,0
1510603315,1,1
1510610519,0,1
1510621319,1,0
1510639322,0,1
1510653721,1,0
1510671719,0,2
1510678927,1,1
1510686118,1,1
1510700531,0,1
1510711278,2,0
1510754517,0,1
1510776113,1,0
1510808520,0,1
1510815674,1,0
1510873302,0,1
1510884119,1,0
1510905689,0,1
1511013725,1,0
1511028121,0,1
1511049742,1,0
1511082132,0,1
1511103733,1,1
1511150546,0,1
1511154144,0,1
1511157740,0,1
1511168530,0,1
1511175741,0,1
1511186546,1,1
1511193729,0,2
1511258534,0,1
1511262112,0,1
1511280132,1,0
1511323330,0,1
1511380927,1,0
1511395347,1,1
1511402530,0,2
1511467340,0,1
1511474525,1,0
1511478130,0,1
1511488931,0,1
1511514123,1,1
1511564526,1,0
1511575341,1,0
1511600523,1,0
1511614927,1,0
1511654545,0,1
1511701319,1,0
1511708527,0,1
1511737316,1,0
1511740949,0,1
1511805744,1,0
1511812877,1,0
1511827323,1,0
1511830931,1,0
1511838123,1,0
1511866893,1,0
1511870522,5,0
1511892133,1,0
1511895724,1,0
1511899332,1,0
1511910123,1,0
1511928125,1,0
1511949733,1,0
1511964148,0,1
1511985743,0,1
1512000143,0,1
1512039747,1,0
1512075756,1,0
1512090146,1,0
1512169362,0,1
1512183746,0,1
1512219741,1,0
1512226933,0,1
1512244934,1,0
1512306150,0,1
1512316954,1,0
1512392528,0,1
1512410530,0,1
1512417737,0,1
1512435723,1,0
1512446513,1,0
1512453725,0,1
1512464527,1,0
1512471739,0,1
1512475348,0,1
1512478959,0,1
1512496943,0,1
1512500554,0,2
1512514943,0,1
1512522153,0,1
1512532955,0,2
1512547349,0,1
1512554563,0,2
1512572545,0,1
1512615722,0,1
1512658945,0,1
1512680548,0,1
1512694928,1,1
1512738123,1,0
1512759732,1,0
1512892933,1,0
1512907351,0,1
1512928975,0,1
1512936115,1,1
1513011715,0,1
1513026137,1,0
1513040546,0,1
1513069355,0,1
1513072958,1,0
1513087314,1,0
1513112530,0,1
1513126927,0,1
1513130526,1,0
1513173728,0,1
1513177331,0,3
1513260161,1,0
1513267343,1,0
1513278152,0,1
1513285315,2,0
1513299736,0,1
1513335725,2,0
1513357333,0,1
1513360951,0,1
1513447359,1,0
1513454546,1,0
1513494114,1,0
1513519326,1,0
1513540942,0,1
1513602164,1,0
1513634551,0,1
1513638139,1,0
1513652553,1,0
1513659753,1,0
1513677761,0,1
1513692116,0,1
1513728159,1,0
1513742569,0,1
1513789349,1,0
1513803737,3,0
1513828946,1,0
1513836125,1,0
1513864946,0,1
1513868559,0,1
1513940541,0,1
1513972938,1,0
1514026958,0,1
1514041358,0,1
1514048576,0,2
1514052123,0,1
1514055730,1,0
1514116970,1,0
1514124144,0,1
1514149350,1,0
1514214154,0,1
1514242945,0,1
1514246570,1,0
1514253752,1,0
1514264551,0,1
1514300549,1,0
1514304154,1,0
1514314960,0,1
1514332965,1,0
1514336574,1,0
1514379758,1,0
1514383364,2,0
1514394150,0,1
1514401357,1,0
1514408560,0,2
1514412156,0,1
1514430153,0,1
1514433753,0,1
1514455331,0,1
1514667768,0,1
1514746966,0,1
1514754173,0,1
1514775754,1,0
1514840560,1,0
1514851363,0,1
1514854965,0,1
1514858565,0,1
1514880169,1,0
1514908953,0,1
1514912564,0,1
1514923366,0,1
1514937772,0,1
1514955718,1,0
1514962954,2,0
1514966547,1,0
1514977360,1,0
1514988158,0,1
1514995367,1,0
1514998924,2,1
1515006137,0,1
1515009780,1,1
1515013319,1,0
1515016953,1,0
1515027743,1,0
1515045721,1,0
1515049345,1,0
1515060142,1,0
1515067345,1,0
1515070949,1,0
1515092572,2,0
1515096155,1,0
1515099779,1,0
1515103382,1,0
1515114150,1,0
1515117749,1,0
1515128558,1,0
1515153759,2,0
1515171772,2,0
1515182528,2,0
1515196970,2,0
1515225786,1,0
1515236546,1,0
1515243715,1,0
1515250916,1,0
1515254526,1,0
1515268913,1,0
1515276127,1,0
1515312174,1,0
1515319386,1,0
1515380566,0,1
1515394972,1,0
1515409374,1,0
1515438182,1,0
1515470555,1,0
1515484968,0,1
1515567770,0,1
1515571386,0,1
1515582133,0,1
1515600160,0,1
1515603787,0,1
1515607385,0,1
1515614553,0,1
1515618186,0,1
1515621784,0,1
1515636178,1,0
1515639778,0,1
1515646933,0,1
1515654147,0,1
1515672163,0,2
1515675752,0,1
1515690175,0,1
1515700958,0,1
1515704533,0,1
1515708136,0,1
1515718917,0,1
1515722522,0,1
1515740513,0,1
1515758517,0,2
1515772918,0,1
1515776515,0,2
1515783756,1,1
1515787371,0,1
1515794586,2,0
1515801723,0,3
1515812538,0,1
1515830590,0,1
1515841391,0,1
1515848579,0,1
1515855768,0,1
1515859392,0,1
1515862976,1,0
1515873761,0,1
1515877365,0,1
1515902540,0,1
1515916986,0,1
1515924168,0,1
1515934954,1,0
1515938561,1,0
1515985351,1,0
1515992545,1,0
1515999772,0,2
1516014162,0,1
1516064558,2,1
1516068164,2,0
1516075356,0,1
1516082588,1,0
1516089772,1,0
1516122167,1,0
1516143784,0,1
1516158163,0,1
1516179751,1,0
1516201388,1,0
1516212184,1,0
1516222960,3,0
1516240970,0,1
1516262537,1,0
1516399382,0,1
1516410154,1,0
1516467779,1,0
1516507395,1,0
1516518179,0,1
1516539758,0,1
1516564949,0,1
1516579354,1,0
1516586550,1,0
1516633368,0,1
1516640551,2,0
1516662152,1,0
1516669334,1,1
1516672946,0,3
1516694539,0,1
1516716157,1,0
1516719783,1,0
1516726984,0,1
1516748598,1,0
1516755793,1,0
1516762993,1,0
1516766601,1,0
1516773792,3,0
1516780967,1,1
1516788170,1,0
1516791730,1,0
1516813374,2,0
1516816996,1,0
1516827769,0,1
1516831371,1,0
1516834969,0,1
1516852983,1,0
1516874573,1,0
1516888948,0,1
1516917791,1,0
1516921395,0,1
1516978993,1,0
1517007783,1,0
1517014980,0,1
1517061765,1,0
1517072563,0,1
1517079783,0,1
1517090582,0,1
1517130099,2,0
1517140913,1,0
1517148118,0,1
1517155332,1,0
1517162525,0,1
1517212915,0,1
1517245393,2,1
1517252594,1,0
1517256190,1,0
1517259782,2,0
1517263386,1,0
1517266983,0,1
1517277770,1,0
1517281372,1,0
1517284976,1,0
1517288568,1,0
1517317352,3,0
1517320925,1,1
1517324542,0,1
1517349795,1,0
1517353389,0,1
1517360563,0,1
1517367789,0,1
1517374949,1,0
1517378566,0,3
1517385783,0,1
1517392960,0,1
1517396581,0,1
1517400183,0,1
1517418193,1,2
1517421775,0,1
1517457730,0,1
1517461345,0,1
1517464941,0,1
1517479352,0,1
1517501461,0,1
1517590978,1,0
1517605334,1,0
1517612612,1,1
1517616058,4,0
1517644979,1,0
1517655791,1,0
1517659371,0,1
1517666539,0,1
1517684564,0,1
1517709748,1,0
1517720567,0,1
1517734947,0,1
1517745728,0,1
1517781772,0,2
1517846559,0,1
1517850157,0,2
1517864562,0,2
1517878991,1,1
1517882587,1,0
1517886172,0,1
1517889780,0,1
1517893393,0,1
1517907781,1,1
1517925794,0,1
1517932995,0,1
1517954557,0,1
1517958161,0,1
1517965352,1,0
1517979778,0,1
1517990589,1,0
1518008561,0,1
1518019378,1,0
1518026565,0,1
1518033795,1,0
1518037387,1,0
1518044590,1,0
1518069765,1,0
1518087786,1,0
1518141790,1,0
1518195728,0,2
1518199374,0,1
1518220973,0,2
1518228171,0,1
1518231756,1,0
1518256973,0,1
1518271390,0,1
1518300171,1,0
1518314560,0,1
1518328946,1,0
1518372178,1,0
1518397353,1,0
1518451392,1,0
1518483801,0,1
1518487392,0,1
1518508922,1,0
1518512512,0,1
1518541386,1,0
1518570198,0,1
1518598956,1,0
1518609805,0,1
1518613376,1,0
1518649360,0,1
1518667382,2,0
1518674563,0,1
1518688993,1,0
1518692596,1,1
1518696188,3,0
1518699727,4,0
1518703364,1,0
1518706989,1,0
1518710597,1,0
1518714129,1,0
1518721382,1,0
1518724991,1,0
1518732196,1,0
1518742958,1,0
1518746548,1,0
1518764592,1,0
1518778993,0,1
1518782600,1,0
1518786201,1,0
1518796959,1,0
1518807776,4,0
1518811408,2,0
1518815012,1,0
1518825777,1,0
1518829403,0,1
1518833002,2,0
1518836594,1,0
1518840186,1,0
1518843770,2,0
1518847338,1,0
1518861735,1,0
1518865350,1,0
1518868947,2,0
1518872530,1,0
1518876142,0,1
1518883382,1,0
1518886985,1,0
1518890567,1,0
1518901356,1,0
1518926576,1,0
1518933779,0,1
1518940980,1,0
1518948190,1,0
1518955391,1,0
1518966143,1,0
1518976921,0,1
1518994948,1,0
1519005769,2,0
1519009374,1,0
1519020173,1,0
1519030996,0,1
1519048974,1,0
1519052592,0,1
1519056180,0,1
1519070587,2,0
1519092149,1,0
1519099331,1,0
1519102945,1,0
1519110196,4,0
1519113790,4,1
1519120968,1,0
1519124553,1,0
