DateTime,AddedIPs,RemovedIPs
1517222350,37,44
1517227913,44,47
1517233202,124,103
1517236762,43,48
1517240262,57,51
1517243980,52,38
1517247552,33,34
1517249752,57,51
1517253372,51,46
1517260529,116,154
1517264203,46,59
1517267730,38,56
1517272713,42,72
1517276640,82,45
1517280308,51,54
1517283465,50,51
1517286207,60,64
1517292924,86,120
1517297931,47,56
1517301509,59,54
1517305113,52,78
1517308735,54,54
1517312272,36,59
1517315917,33,55
1517319479,47,65
1517321695,69,66
1517326601,45,49
1517330321,65,70
1517333868,65,76
1517336062,53,64
1517343232,93,116
1517346736,49,108
1517350335,50,61
1517353936,47,57
1517357545,37,49
1517361137,99,75
1517364746,148,51
1517368341,84,52
1517371946,88,64
1517375558,87,67
1517379155,68,63
1517382748,76,62
1517386350,67,62
1517389957,71,80
1517393555,63,79
1517397152,52,49
1517400750,39,51
1517404351,57,60
1517407955,87,41
1517411549,67,62
1517415148,67,52
1517418746,66,56
1517422352,50,54
1517425948,48,49
1517429543,54,45
1517433149,57,49
1517436747,68,66
1517440349,52,48
1517443947,37,66
1517447548,33,72
1517451151,70,62
1517454750,65,61
1517458346,40,50
1517461948,49,68
1517465545,58,52
1517469149,29,46
1517472745,42,47
1517476342,44,66
1517479945,64,90
1517488023,51,55
1517505063,74,95
1517512344,297,280
1517515933,48,32
1517519558,26,33
1517523143,60,65
1517526738,39,71
1517530339,37,30
1517536959,31,47
1517541192,101,97
1517544731,45,56
1517548327,35,46
1517551968,53,51
1517555538,40,54
1517559133,49,56
1517562727,25,43
1517566343,50,52
1517569935,43,77
1517573532,49,45
1517577127,33,58
1517580739,31,55
1517584352,58,48
1517587931,67,68
1517591533,37,40
1517595131,47,62
1517598733,60,56
1517602329,47,42
1517605935,54,38
1517609536,45,42
1517627518,201,279
1517631117,63,43
1517634718,36,39
1517638323,30,55
1517645533,54,85
1517649118,27,35
1517652734,28,33
1517656322,24,63
1517659966,18,79
1517663517,18,34
1517667119,36,40
1517670715,27,48
1517674353,21,48
1517677930,22,43
1517681519,37,41
1517685119,32,50
1517688721,42,43
1517692333,65,42
1517695918,41,39
1517699519,38,52
1517703115,51,62
1517706745,40,38
1517710321,46,33
1517717521,88,82
1517721128,37,50
1517724729,37,30
1517728317,31,58
1517731927,36,41
1517735531,77,36
1517740880,43,29
1517749757,42,53
1517753538,185,182
1517757152,47,50
1517760709,44,54
1517764317,45,48
1517767916,41,39
1517771526,49,50
1517775116,66,58
1517778713,72,39
1517782320,36,34
1517785930,26,97
1517789518,29,91
1517793105,30,83
1517796705,36,57
1517800311,62,69
1517803918,59,73
1517807513,44,44
1517811101,47,65
1517836296,323,435
1517839892,48,53
1517845169,65,60
1517850154,60,59
1517854671,99,101
1517857898,68,50
1517861489,34,83
1517865083,38,51
1517872304,96,89
1517875890,41,54
1517879503,31,87
1517883101,28,60
1517886704,51,48
1517890292,57,63
1517893885,28,54
1517897498,42,45
1517901098,59,43
1517904694,36,66
1517908348,48,52
1517911890,45,59
1517915492,63,44
1517919091,42,35
1517922700,39,61
1517926300,41,74
1517929892,53,52
1517933491,73,57
1517937090,42,67
1517940695,49,57
1517944297,58,58
1517947890,45,45
1517951488,53,69
1517955084,25,51
1517958699,47,45
1517962289,31,57
1517965884,25,73
1517969483,28,101
1517973079,26,77
1517976679,18,96
1517980267,20,94
1517983870,20,79
1517987472,29,83
1517991071,24,77
1517994668,34,97
1517998277,49,52
1518001858,34,65
1518005458,48,50
1518009054,70,61
1518012654,36,85
1518016246,41,85
1518019848,59,66
1518023447,45,62
1518027051,62,65
1518030651,41,58
1518034261,72,47
1518037854,50,64
1518041448,47,82
1518045047,27,43
1518048653,59,52
1518052253,65,45
1518055856,45,78
1518059445,48,69
1518063053,57,58
1518066650,35,47
1518070255,35,54
1518073850,75,44
1518077455,56,46
1518081045,37,52
1518084655,46,56
1518088251,26,49
1518091843,35,42
1518095449,67,44
1518099044,47,56
1518102641,55,63
1518106249,38,50
1518109848,63,55
1518113452,56,59
1518117049,44,34
1518120649,52,54
1518124248,54,26
1518127845,41,64
1518131454,25,44
1518135047,43,42
1518138650,57,37
1518142243,67,49
1518145838,47,65
1518149437,47,48
1518153043,51,45
1518156642,30,56
1518160246,49,47
1518163850,41,56
1518167443,56,40
1518171040,36,46
1518174655,40,38
1518178249,48,36
1518181846,54,30
1518185452,77,41
1518189048,35,66
1518192657,50,86
1518196257,53,37
1518199855,44,48
1518203456,51,68
1518207038,38,47
1518210640,62,54
1518214240,42,48
1518217842,45,59
1518221447,30,37
1518225043,48,38
1518228644,72,39
1518232243,40,43
1518235843,48,66
1518239448,46,41
1518243042,35,32
1518246645,51,27
1518250251,29,25
1518253846,28,25
1518261040,57,56
1518264636,25,27
1518268244,20,22
1518271846,26,35
1518275442,19,23
1518279042,28,26
1518282647,17,22
1518286241,28,35
1518289843,26,40
1518293439,26,45
1518297039,30,64
1518300639,23,39
1518304239,35,43
1518307838,27,55
1518311431,25,30
1518315036,14,41
1518318632,21,48
1518322231,21,60
1518325827,16,45
1518329435,38,31
1518333033,29,30
1518336632,44,52
1518340236,59,77
1518343838,37,47
1518347438,53,49
1518354631,93,131
1518358242,45,63
1518361829,21,38
1518365435,62,45
1518369032,36,49
1518372636,40,38
1518376232,33,59
1518379833,54,66
1518383431,69,64
1518387029,36,49
1518390633,45,31
1518394234,48,49
1518397830,38,36
1518401429,50,49
1518405033,29,76
1518408629,59,70
1518412225,32,57
1518415820,38,52
1518419421,26,51
1518423023,28,68
1518426618,65,49
1518430214,39,60
1518433811,36,61
1518437408,33,63
1518441015,55,49
1518444621,39,57
1518448212,39,84
1518451817,105,63
1518455420,92,49
1518459025,64,53
1518462620,46,68
1518466223,47,46
1518469824,62,42
1518473422,69,58
1518477030,39,52
1518480623,37,42
1518484224,46,43
1518487823,28,32
1518491419,44,49
1518495018,49,71
1518498620,50,43
1518502213,31,45
1518505816,29,62
1518509417,29,43
1518513018,53,52
1518516616,78,50
1518520217,87,72
1518523822,48,45
1518527417,38,40
1518531018,43,45
1518534611,29,66
1518538220,53,72
1518541806,75,49
1518545416,21,49
1518549017,20,60
1518552616,29,48
1518556215,25,57
1518559809,44,30
1518563411,31,45
1518567030,50,38
1518570607,63,25
1518574213,31,37
1518577808,38,28
1518581418,58,26
1518585018,29,33
1518588615,50,31
1518592218,25,32
1518595824,74,29
1518599415,29,35
1518603014,35,45
1518606613,29,42
1518610224,43,55
1518613813,60,74
1518617417,36,46
1518621010,38,46
1518624624,154,53
1518628225,110,47
1518631819,68,54
1518635422,31,35
1518639025,64,70
1518642622,35,50
1518646223,41,36
1518649826,37,24
1518653423,38,52
1518657027,66,62
1518660625,115,47
1518664219,46,57
1518667819,49,50
1518671417,32,40
1518675017,26,41
1518678609,31,84
1518682215,49,64
1518685813,42,38
1518689422,40,47
1518693013,32,28
1518696618,52,37
1518700220,62,86
1518703819,79,52
1518707425,63,55
1518711026,75,40
1518714626,77,69
1518718226,53,47
1518721825,55,48
1518725435,58,49
1518729028,60,53
1518732626,60,49
1518736225,55,45
1518739826,60,52
1518743433,78,59
1518747024,89,74
1518750628,85,52
1518754228,93,49
1518757835,83,63
1518761446,60,33
1518765039,80,46
1518768637,60,46
1518772239,74,62
1518775840,37,31
1518779443,64,44
1518783039,44,53
1518786635,41,50
1518790251,66,82
1518793845,58,37
1518797434,62,57
1518801042,76,60
1518804647,32,42
1518808247,62,48
1518811852,53,36
1518815444,80,62
1518819055,50,31
1518822643,49,38
1518826253,38,34
1518829849,56,46
1518833449,65,69
1518837043,32,35
1518840636,35,43
1518844239,43,42
1518847852,46,42
1518851439,37,43
1518855038,28,41
1518858639,45,32
1518862238,40,39
1518865844,29,24
1518869443,26,21
1518873045,30,19
1518876638,50,20
1518880260,63,22
1518883847,47,40
1518887446,54,16
1518891044,52,24
1518894646,39,33
1518901843,81,66
1518905445,55,38
1518909054,50,30
1518912671,30,29
1518916251,30,27
1518919856,46,18
1518923458,55,28
1518927055,32,25
1518930660,50,20
1518934252,58,35
1518937860,24,27
1518941457,52,47
1518945059,41,60
1518948662,51,39
1518952249,39,45
1518955845,42,49
1518959456,41,44
1518963054,48,54
1518966673,64,23
1518970258,37,62
1518973857,47,37
1518977462,39,45
1518981060,33,34
1518984659,49,48
1518988255,23,62
1518991859,56,42
1518995457,32,51
1518999062,37,35
1519002654,21,44
1519006255,48,54
1519009856,59,27
1519013452,43,62
1519017051,39,30
1519020652,44,41
1519024250,35,24
1519027851,49,38
1519031454,30,66
1519035050,61,37
1519038652,51,34
1519042257,41,38
1519045858,40,59
1519049457,46,46
1519053057,81,43
1519056657,79,86
1519060265,127,79
1519063865,115,58
1519067480,112,45
1519071068,74,51
1519074667,98,65
1519078267,92,74
1519081870,76,49
1519085477,66,37
1519089067,60,51
1519092674,49,39
1519096280,95,38
1519099879,103,39
1519103486,131,52
1519107096,151,33
1519110689,118,30
1519114299,101,33
