DateTime,Entries,UniqueIPs
1517222350,12635,12635
1517227913,12632,12632
1517233202,12653,12653
1517236762,12648,12648
1517240262,12654,12654
1517243980,12668,12668
1517247552,12667,12667
1517249752,12673,12673
1517253372,12678,12678
1517260529,12640,12640
1517264203,12627,12627
1517267730,12609,12609
1517272713,12579,12579
1517276640,12616,12616
1517280308,12613,12613
1517283465,12612,12612
1517286207,12608,12608
1517292924,12574,12574
1517297931,12565,12565
1517301509,12570,12570
1517305113,12544,12544
1517308735,12544,12544
1517312272,12521,12521
1517315917,12499,12499
1517319479,12481,12481
1517321695,12484,12484
1517326601,12480,12480
1517330321,12475,12475
1517333868,12464,12464
1517336062,12453,12453
1517343232,12430,12430
1517346736,12371,12371
1517350335,12360,12360
1517353936,12350,12350
1517357545,12338,12338
1517361137,12362,12362
1517364746,12459,12459
1517368341,12491,12491
1517371946,12515,12515
1517375558,12535,12535
1517379155,12540,12540
1517382748,12554,12554
1517386350,12559,12559
1517389957,12550,12550
1517393555,12534,12534
1517397152,12537,12537
1517400750,12525,12525
1517404351,12522,12522
1517407955,12568,12568
1517411549,12573,12573
1517415148,12588,12588
1517418746,12598,12598
1517422352,12594,12594
1517425948,12593,12593
1517429543,12602,12602
1517433149,12610,12610
1517436747,12612,12612
1517440349,12616,12616
1517443947,12587,12587
1517447548,12548,12548
1517451151,12556,12556
1517454750,12560,12560
1517458346,12550,12550
1517461948,12531,12531
1517465545,12537,12537
1517469149,12520,12520
1517472745,12515,12515
1517476342,12493,12493
1517479945,12467,12467
1517488023,12463,12463
1517505063,12442,12442
1517512344,12459,12459
1517515933,12475,12475
1517519558,12468,12468
1517523143,12463,12463
1517526738,12431,12431
1517530339,12438,12438
1517536959,12422,12422
1517541192,12426,12426
1517544731,12415,12415
1517548327,12404,12404
1517551968,12406,12406
1517555538,12392,12392
1517559133,12385,12385
1517562727,12367,12367
1517566343,12365,12365
1517569935,12331,12331
1517573532,12335,12335
1517577127,12310,12310
1517580739,12286,12286
1517584352,12296,12296
1517587931,12295,12295
1517591533,12292,12292
1517595131,12277,12277
1517598733,12281,12281
1517602329,12286,12286
1517605935,12302,12302
1517609536,12305,12305
1517627518,12227,12227
1517631117,12247,12247
1517634718,12244,12244
1517638323,12219,12219
1517645533,12188,12188
1517649118,12180,12180
1517652734,12175,12175
1517656322,12136,12136
1517659966,12075,12075
1517663517,12059,12059
1517667119,12055,12055
1517670715,12034,12034
1517674353,12007,12007
1517677930,11986,11986
1517681519,11982,11982
1517685119,11964,11964
1517688721,11963,11963
1517692333,11986,11986
1517695918,11988,11988
1517699519,11974,11974
1517703115,11963,11963
1517706745,11965,11965
1517710321,11978,11978
1517717521,11984,11984
1517721128,11971,11971
1517724729,11978,11978
1517728317,11951,11951
1517731927,11946,11946
1517735531,11987,11987
1517740880,12001,12001
1517749757,11990,11990
1517753538,11993,11993
1517757152,11990,11990
1517760709,11980,11980
1517764317,11977,11977
1517767916,11979,11979
1517771526,11978,11978
1517775116,11986,11986
1517778713,12019,12019
1517782320,12021,12021
1517785930,11950,11950
1517789518,11888,11888
1517793105,11835,11835
1517796705,11814,11814
1517800311,11807,11807
1517803918,11793,11793
1517807513,11793,11793
1517811101,11775,11775
1517836296,11663,11663
1517839892,11658,11658
1517845169,11663,11663
1517850154,11664,11664
1517854671,11662,11662
1517857898,11680,11680
1517861489,11631,11631
1517865083,11618,11618
1517872304,11625,11625
1517875890,11612,11612
1517879503,11556,11556
1517883101,11524,11524
1517886704,11527,11527
1517890292,11521,11521
1517893885,11495,11495
1517897498,11492,11492
1517901098,11508,11508
1517904694,11478,11478
1517908348,11474,11474
1517911890,11460,11460
1517915492,11479,11479
1517919091,11486,11486
1517922700,11464,11464
1517926300,11431,11431
1517929892,11432,11432
1517933491,11448,11448
1517937090,11423,11423
1517940695,11415,11415
1517944297,11415,11415
1517947890,11415,11415
1517951488,11399,11399
1517955084,11373,11373
1517958699,11375,11375
1517962289,11349,11349
1517965884,11301,11301
1517969483,11228,11228
1517973079,11177,11177
1517976679,11099,11099
1517980267,11025,11025
1517983870,10966,10966
1517987472,10912,10912
1517991071,10859,10859
1517994668,10796,10796
1517998277,10793,10793
1518001858,10762,10762
1518005458,10760,10760
1518009054,10769,10769
1518012654,10720,10720
1518016246,10676,10676
1518019848,10669,10669
1518023447,10652,10652
1518027051,10649,10649
1518030651,10632,10632
1518034261,10657,10657
1518037854,10643,10643
1518041448,10608,10608
1518045047,10592,10592
1518048653,10599,10599
1518052253,10619,10619
1518055856,10586,10586
1518059445,10565,10565
1518063053,10564,10564
1518066650,10552,10552
1518070255,10533,10533
1518073850,10564,10564
1518077455,10574,10574
1518081045,10559,10559
1518084655,10549,10549
1518088251,10526,10526
1518091843,10519,10519
1518095449,10542,10542
1518099044,10533,10533
1518102641,10525,10525
1518106249,10513,10513
1518109848,10521,10521
1518113452,10518,10518
1518117049,10528,10528
1518120649,10526,10526
1518124248,10554,10554
1518127845,10531,10531
1518131454,10512,10512
1518135047,10513,10513
1518138650,10533,10533
1518142243,10551,10551
1518145838,10533,10533
1518149437,10532,10532
1518153043,10538,10538
1518156642,10512,10512
1518160246,10514,10514
1518163850,10499,10499
1518167443,10515,10515
1518171040,10505,10505
1518174655,10507,10507
1518178249,10519,10519
1518181846,10543,10543
1518185452,10579,10579
1518189048,10548,10548
1518192657,10512,10512
1518196257,10528,10528
1518199855,10524,10524
1518203456,10507,10507
1518207038,10498,10498
1518210640,10506,10506
1518214240,10500,10500
1518217842,10486,10486
1518221447,10479,10479
1518225043,10489,10489
1518228644,10522,10522
