DateTime,AddedIPs,RemovedIPs
1517233222,102,89
1517236736,38,44
1517240232,50,45
1517243909,43,35
1517247603,24,31
1517249733,53,46
1517253414,40,44
1517260507,96,139
1517267746,61,108
1517272657,33,62
1517276460,68,42
1517280202,47,51
1517283453,46,49
1517286045,52,59
1517292873,79,93
1517297939,45,51
1517301530,51,51
1517305037,44,71
1517308709,50,49
1517312251,26,55
1517315900,34,48
1517319426,43,53
1517321649,68,57
1517326620,40,41
1517330338,49,66
1517333885,57,65
1517336104,45,53
1517343269,83,88
1517346771,42,93
1517350368,41,53
1517353967,38,45
1517357576,32,47
1517361176,65,71
1517364770,113,48
1517368366,63,48
1517371975,69,57
1517375581,74,68
1517379173,51,60
1517382769,56,60
1517386371,50,50
1517389980,65,71
1517393579,49,69
1517397179,42,44
1517400778,28,44
1517404375,49,50
1517407979,77,34
1517411568,58,54
1517415166,60,43
1517418773,55,42
1517422370,41,45
1517425967,41,34
1517429569,47,33
1517433167,43,39
1517436767,55,60
1517440367,44,41
1517443966,30,57
1517447568,26,59
1517451164,52,45
1517454771,60,45
1517458364,35,32
1517461963,42,63
1517465560,54,34
1517469171,26,37
1517472764,36,32
1517476369,39,50
1517479964,57,75
1517488212,43,40
1517504930,62,81
1517512365,252,212
1517515967,44,23
1517519584,24,31
1517523169,53,43
1517526767,36,63
1517530364,34,24
1517536845,24,40
1517541202,99,86
1517544757,38,48
1517548359,31,42
1517551978,45,45
1517555567,37,47
1517559159,46,44
1517562759,20,35
1517566373,45,42
1517569961,40,64
1517573557,39,38
1517577159,23,52
1517580774,22,47
1517584374,50,44
1517587958,63,58
1517591563,30,33
1517595172,35,56
1517598766,56,37
1517602363,45,37
1517605966,49,37
1517609568,41,37
1517627555,174,234
1517631148,60,38
1517634753,36,39
1517638356,25,50
1517645559,47,71
1517649161,24,34
1517652763,24,25
1517656356,19,56
1517659977,15,66
1517663545,16,31
1517667148,34,42
1517670747,21,41
1517674384,13,42
1517677954,20,39
1517681552,33,31
1517685147,26,40
1517688759,38,28
1517692362,56,31
1517695950,33,38
1517699554,27,48
1517703155,43,57
1517706769,32,35
1517710349,43,30
1517717564,77,75
1517721164,30,43
1517724762,33,31
1517728355,29,52
1517731961,32,38
1517735571,70,32
1517740769,39,23
1517749607,38,36
1517753556,154,156
1517757161,42,41
1517760741,29,40
1517764348,37,42
1517767955,26,32
1517771558,44,37
1517775149,58,45
1517778751,67,33
1517782363,29,32
1517785976,24,65
1517789553,23,59
1517793143,26,71
1517796742,32,42
1517800346,54,55
1517803961,39,67
1517807556,43,37
1517812071,34,57
1517834706,34,41
1517836330,248,308
1517839933,46,48
1517845051,58,53
1517852111,89,74
1517854461,49,57
1517857944,52,45
1517861543,31,71
1517865148,34,38
1517868751,34,35
1517872338,46,28
1517875936,39,44
1517879543,22,68
1517883139,25,49
1517886732,47,41
1517890328,55,46
1517893930,23,46
1517897528,40,39
1517901134,46,41
1517904725,30,59
1517908323,46,41
1517911932,37,49
1517915535,55,34
1517919131,35,34
1517922733,28,51
1517926337,35,68
1517929940,45,45
1517933533,66,44
1517937130,33,57
1517940739,35,43
1517944340,40,47
1517947934,36,39
1517951532,46,60
1517955136,21,40
1517958736,40,38
1517962334,28,40
1517965926,18,57
1517969525,19,79
1517973123,20,59
1517976717,13,63
1517980311,18,78
1517983924,15,57
1517987527,22,54
1517991125,20,57
1517994722,27,73
1517998323,37,32
1518001923,30,47
1518005503,38,38
1518009106,62,50
1518012704,29,69
1518016301,38,63
1518019895,45,53
1518023500,34,49
1518027105,59,54
1518030707,38,52
1518034321,63,35
1518037913,46,46
1518041506,39,68
1518045103,25,37
1518048705,60,44
1518052306,57,36
1518055911,42,52
1518059512,45,60
1518063111,49,48
1518066710,29,39
1518070308,25,48
1518073910,51,34
1518077509,51,38
1518081107,31,36
1518084711,36,47
1518088307,23,44
1518091898,28,33
1518095508,59,35
1518099103,39,50
1518102698,42,53
1518106304,30,42
1518109910,49,44
1518113511,50,53
1518117107,32,28
1518120713,30,50
1518124312,42,22
1518127905,33,55
1518131501,21,40
1518135107,32,31
1518138702,46,30
1518142300,59,44
1518145897,39,61
1518149500,37,41
1518153093,34,40
1518156699,22,49
1518160297,40,39
1518163899,36,54
1518167501,49,31
1518171101,31,44
1518174701,36,32
1518178305,35,28
1518181903,50,19
1518185503,65,34
1518189105,30,52
1518192706,36,76
1518196313,43,30
1518199913,37,38
1518203511,39,62
1518207097,29,42
1518210701,54,44
1518214294,40,45
1518217893,39,45
1518221493,27,31
1518225100,36,31
1518228702,63,39
1518232294,40,38
1518235896,44,62
1518239497,38,36
1518243096,31,29
1518246700,44,26
1518250294,23,24
1518253895,22,20
1518261094,50,45
1518264694,21,23
1518268292,14,18
1518271893,20,29
1518275495,13,21
1518279095,22,21
1518282697,16,17
1518286297,22,31
1518289900,18,32
1518293493,17,39
1518297100,28,53
1518300691,15,35
1518304293,30,27
1518307893,18,43
1518311489,21,25
1518315092,11,41
1518318692,13,45
1518322289,18,53
1518325885,15,34
1518329488,32,28
1518333086,26,24
1518336683,40,43
1518340292,54,71
1518343897,29,35
1518347496,45,40
1518354695,69,98
1518358288,42,55
1518361887,18,38
1518365488,49,36
1518369087,24,45
1518372696,34,25
1518376291,26,43
1518379896,45,59
1518383491,61,60
1518387089,36,36
1518390697,41,22
1518394293,33,36
1518397890,34,26
1518401491,45,40
1518405091,24,59
1518408685,50,54
1518412279,29,47
1518415877,32,31
1518419476,23,40
