DateTime,Entries,UniqueIPs
1517233222,10039,10039
1517236736,10033,10033
1517240232,10038,10038
1517243909,10046,10046
1517247603,10039,10039
1517249733,10046,10046
1517253414,10042,10042
1517260507,9999,9999
1517267746,9952,9952
1517272657,9923,9923
1517276460,9949,9949
1517280202,9945,9945
1517283453,9942,9942
1517286045,9935,9935
1517292873,9921,9921
1517297939,9915,9915
1517301530,9915,9915
1517305037,9888,9888
1517308709,9889,9889
1517312251,9860,9860
1517315900,9846,9846
1517319426,9836,9836
1517321649,9847,9847
1517326620,9846,9846
1517330338,9829,9829
1517333885,9821,9821
1517336104,9813,9813
1517343269,9808,9808
1517346771,9757,9757
1517350368,9745,9745
1517353967,9738,9738
1517357576,9723,9723
1517361176,9717,9717
1517364770,9782,9782
1517368366,9797,9797
1517371975,9809,9809
1517375581,9815,9815
1517379173,9806,9806
1517382769,9802,9802
1517386371,9802,9802
1517389980,9796,9796
1517393579,9776,9776
1517397179,9774,9774
1517400778,9758,9758
1517404375,9757,9757
1517407979,9800,9800
1517411568,9804,9804
1517415166,9821,9821
1517418773,9834,9834
1517422370,9830,9830
1517425967,9837,9837
1517429569,9851,9851
1517433167,9855,9855
1517436767,9850,9850
1517440367,9853,9853
1517443966,9826,9826
1517447568,9793,9793
1517451164,9800,9800
1517454771,9815,9815
1517458364,9818,9818
1517461963,9797,9797
1517465560,9817,9817
1517469171,9806,9806
1517472764,9810,9810
1517476369,9799,9799
1517479964,9781,9781
1517488212,9784,9784
1517504930,9765,9765
1517512365,9805,9805
1517515967,9826,9826
1517519584,9819,9819
1517523169,9829,9829
1517526767,9802,9802
1517530364,9812,9812
1517536845,9796,9796
1517541202,9809,9809
1517544757,9799,9799
1517548359,9788,9788
1517551978,9788,9788
1517555567,9778,9778
1517559159,9780,9780
1517562759,9765,9765
1517566373,9768,9768
1517569961,9744,9744
1517573557,9745,9745
1517577159,9716,9716
1517580774,9691,9691
1517584374,9697,9697
1517587958,9702,9702
1517591563,9699,9699
1517595172,9678,9678
1517598766,9697,9697
1517602363,9705,9705
1517605966,9717,9717
1517609568,9721,9721
1517627555,9661,9661
1517631148,9683,9683
1517634753,9680,9680
1517638356,9655,9655
1517645559,9631,9631
1517649161,9621,9621
1517652763,9620,9620
1517656356,9583,9583
1517659977,9532,9532
1517663545,9517,9517
1517667148,9509,9509
1517670747,9489,9489
1517674384,9460,9460
1517677954,9441,9441
1517681552,9443,9443
1517685147,9429,9429
1517688759,9439,9439
1517692362,9464,9464
1517695950,9459,9459
1517699554,9438,9438
1517703155,9424,9424
1517706769,9421,9421
1517710349,9434,9434
1517717564,9436,9436
1517721164,9423,9423
1517724762,9425,9425
1517728355,9402,9402
1517731961,9396,9396
1517735571,9434,9434
1517740769,9450,9450
1517749607,9452,9452
1517753556,9450,9450
1517757161,9451,9451
1517760741,9440,9440
1517764348,9435,9435
1517767955,9429,9429
1517771558,9436,9436
1517775149,9449,9449
1517778751,9483,9483
1517782363,9480,9480
1517785976,9439,9439
1517789553,9403,9403
1517793143,9358,9358
1517796742,9348,9348
1517800346,9347,9347
1517803961,9319,9319
1517807556,9325,9325
1517812071,9302,9302
1517834706,9295,9295
1517836330,9235,9235
1517839933,9233,9233
1517845051,9238,9238
1517852111,9253,9253
1517854461,9245,9245
1517857944,9252,9252
1517861543,9212,9212
1517865148,9208,9208
1517868751,9207,9207
1517872338,9225,9225
1517875936,9220,9220
1517879543,9174,9174
1517883139,9150,9150
1517886732,9156,9156
1517890328,9165,9165
1517893930,9142,9142
1517897528,9143,9143
1517901134,9148,9148
1517904725,9119,9119
1517908323,9124,9124
1517911932,9112,9112
1517915535,9133,9133
1517919131,9134,9134
1517922733,9111,9111
1517926337,9078,9078
1517929940,9078,9078
1517933533,9100,9100
1517937130,9076,9076
1517940739,9068,9068
1517944340,9061,9061
1517947934,9058,9058
1517951532,9044,9044
1517955136,9025,9025
1517958736,9027,9027
1517962334,9015,9015
1517965926,8976,8976
1517969525,8916,8916
1517973123,8877,8877
1517976717,8827,8827
1517980311,8767,8767
1517983924,8725,8725
1517987527,8693,8693
1517991125,8656,8656
1517994722,8610,8610
1517998323,8615,8615
1518001923,8598,8598
1518005503,8598,8598
1518009106,8610,8610
1518012704,8570,8570
1518016301,8545,8545
1518019895,8537,8537
1518023500,8522,8522
1518027105,8527,8527
1518030707,8513,8513
1518034321,8541,8541
1518037913,8541,8541
1518041506,8512,8512
1518045103,8500,8500
1518048705,8516,8516
1518052306,8537,8537
1518055911,8527,8527
1518059512,8512,8512
1518063111,8513,8513
1518066710,8503,8503
1518070308,8480,8480
1518073910,8497,8497
1518077509,8510,8510
1518081107,8505,8505
1518084711,8494,8494
1518088307,8473,8473
1518091898,8468,8468
1518095508,8492,8492
1518099103,8481,8481
1518102698,8470,8470
1518106304,8458,8458
1518109910,8463,8463
1518113511,8460,8460
1518117107,8464,8464
1518120713,8444,8444
1518124312,8464,8464
1518127905,8442,8442
1518131501,8423,8423
1518135107,8424,8424
1518138702,8440,8440
1518142300,8455,8455
1518145897,8433,8433
1518149500,8429,8429
1518153093,8423,8423
1518156699,8396,8396
1518160297,8397,8397
1518163899,8379,8379
1518167501,8397,8397
1518171101,8384,8384
1518174701,8388,8388
1518178305,8395,8395
1518181903,8426,8426
1518185503,8457,8457
1518189105,8435,8435
1518192706,8395,8395
1518196313,8408,8408
1518199913,8407,8407
1518203511,8384,8384
1518207097,8371,8371
1518210701,8381,8381
1518214294,8376,8376
1518217893,8370,8370
1518221493,8366,8366
1518225100,8371,8371
1518228702,8395,8395
1518232294,8397,8397
1518235896,8379,8379
1518239497,8381,8381
1518243096,8383,8383
1518246700,8401,8401
1518250294,8400,8400
1518253895,8402,8402
1518261094,8407,8407
1518264694,8405,8405
1518268292,8401,8401
1518271893,8392,8392
1518275495,8384,8384
1518279095,8385,8385
1518282697,8384,8384
1518286297,8375,8375
1518289900,8361,8361
1518293493,8339,8339
1518297100,8314,8314
1518300691,8294,8294
1518304293,8297,8297
1518307893,8272,8272
1518311489,8268,8268
1518315092,8238,8238
1518318692,8206,8206
1518322289,8171,8171
1518325885,8152,8152
1518329488,8156,8156
1518333086,8158,8158
1518336683,8155,8155
1518340292,8138,8138
1518343897,8132,8132
1518347496,8137,8137
1518354695,8108,8108
1518358288,8095,8095
1518361887,8075,8075
1518365488,8088,8088
1518369087,8067,8067
1518372696,8076,8076
1518376291,8059,8059
1518379896,8045,8045
1518383491,8046,8046
1518387089,8046,8046
1518390697,8065,8065
1518394293,8062,8062
1518397890,8070,8070
1518401491,8075,8075
1518405091,8040,8040
1518408685,8036,8036
1518412279,8018,8018
1518415877,8019,8019
1518419476,8002,8002
1518423077,7967,7967
1518426680,7988,7988
1518430280,7976,7976
1518433879,7962,7962
1518437476,7946,7946
1518441074,7941,7941
1518444683,7921,7921
1518448275,7887,7887
1518451877,7927,7927
1518455486,7977,7977
1518459092,7987,7987
1518462685,7979,7979
1518466287,7974,7974
1518469883,7989,7989
1518473483,8005,8005
1518477091,7993,7993
1518480685,7992,7992
1518484294,7994,7994
1518487888,7990,7990
1518491482,7985,7985
1518495076,7969,7969
