DateTime,AddedIPs,RemovedIPs
1517137408,2,0
1517141009,2,1
1517144606,0,1
1517148217,2,1
1517151805,3,0
1517155407,6,3
1517159026,2,2
1517162608,1,1
1517166212,1,0
1517169807,2,0
1517173409,1,3
1517177013,0,3
1517180611,6,1
1517184222,2,1
1517191415,1,1
1517194999,1,0
1517198617,0,1
1517202217,3,1
1517205814,1,0
1517209402,2,0
1517213002,2,1
1517216601,2,2
1517220209,5,2
1517223803,1,3
1517227381,2,2
1517231001,4,1
1517234608,4,2
1517238206,1,1
1517241807,4,2
1517245410,4,1
1517249012,1,1
1517252611,2,2
1517256207,2,1
1517259812,11,2
1517263407,10,3
1517267015,17,1
1517270618,16,0
1517277822,11,6
1517281410,2,0
1517285007,4,1
1517288621,3,1
1517292206,0,1
1517295813,2,0
1517299405,1,0
1517303011,4,1
1517306614,2,1
1517310212,2,3
1517317404,3,0
1517321012,3,2
1517324608,3,1
1517328209,3,1
1517331811,15,0
1517335417,32,2
1517339015,6,0
1517342609,5,2
1517346216,2,1
1517349820,4,0
1517353417,5,1
1517357018,3,3
1517360621,3,0
1517364213,1,1
1517367814,1,2
1517371417,0,2
1517375027,2,2
1517378619,1,2
1517382218,3,1
1517385815,1,2
1517393023,5,0
1517396622,2,0
1517400217,1,0
1517403816,2,4
1517407422,1,0
1517411017,0,2
1517414615,5,2
1517418219,0,1
1517421815,1,3
1517425415,14,2
1517429015,3,2
1517432617,2,5
1517436213,0,3
1517439819,2,1
1517443417,4,1
1517447024,0,2
1517450630,0,1
1517454216,1,1
1517457812,0,2
1517461420,0,2
1517468617,1,3
1517472215,1,1
1517475817,2,0
1517479413,0,3
1517483015,2,2
1517487040,2,0
1517494274,3,0
1517504468,2,2
1517508223,10,4
1517511814,2,2
1517515412,1,2
1517519023,1,2
1517522618,3,2
1517526221,1,4
1517529812,0,2
1517536990,3,4
1517540612,2,1
1517544215,0,3
1517547812,1,1
1517551419,1,2
1517555018,0,5
1517558615,2,1
1517565809,2,3
1517569416,0,3
1517573018,0,1
1517576615,3,4
1517580212,0,2
1517583816,2,4
1517587406,1,1
1517591026,0,4
1517594622,2,2
1517598211,1,4
1517601815,4,3
