DateTime,Entries,UniqueIPs
1517137408,430,430
1517141009,431,431
1517144606,430,430
1517148217,431,431
1517151805,434,434
1517155407,437,437
1517159026,437,437
1517162608,437,437
1517166212,438,438
1517169807,440,440
1517173409,438,438
1517177013,435,435
1517180611,440,440
1517184222,441,441
1517191415,441,441
1517194999,442,442
1517198617,441,441
1517202217,443,443
1517205814,444,444
1517209402,446,446
1517213002,447,447
1517216601,447,447
1517220209,450,450
1517223803,448,448
1517227381,448,448
1517231001,451,451
1517234608,453,453
1517238206,453,453
1517241807,455,455
1517245410,458,458
1517249012,458,458
1517252611,458,458
1517256207,459,459
1517259812,468,468
1517263407,475,475
1517267015,491,491
1517270618,507,507
1517277822,512,512
1517281410,514,514
1517285007,517,517
1517288621,519,519
1517292206,518,518
1517295813,520,520
1517299405,521,521
1517303011,524,524
1517306614,525,525
1517310212,524,524
1517317404,527,527
1517321012,528,528
1517324608,530,530
1517328209,532,532
1517331811,547,547
1517335417,577,577
1517339015,583,583
1517342609,586,586
1517346216,587,587
1517349820,591,591
1517353417,595,595
1517357018,595,595
1517360621,598,598
1517364213,598,598
1517367814,597,597
1517371417,595,595
1517375027,595,595
1517378619,594,594
1517382218,596,596
1517385815,595,595
1517393023,600,600
1517396622,602,602
1517400217,603,603
1517403816,601,601
1517407422,602,602
1517411017,600,600
1517414615,603,603
1517418219,602,602
1517421815,600,600
1517425415,612,612
1517429015,613,613
1517432617,610,610
1517436213,607,607
1517439819,608,608
1517443417,611,611
1517447024,609,609
1517450630,608,608
1517454216,608,608
1517457812,606,606
1517461420,604,604
1517468617,602,602
1517472215,602,602
1517475817,604,604
1517479413,601,601
1517483015,601,601
1517487040,603,603
1517494274,606,606
1517504468,606,606
1517508223,612,612
1517511814,612,612
1517515412,611,611
1517519023,610,610
1517522618,611,611
1517526221,608,608
1517529812,606,606
1517536990,605,605
1517540612,606,606
1517544215,603,603
1517547812,603,603
1517551419,602,602
1517555018,597,597
1517558615,598,598
1517565809,597,597
1517569416,594,594
1517573018,593,593
1517576615,592,592
1517580212,590,590
1517583816,588,588
1517587406,588,588
1517591026,584,584
1517594622,584,584
1517598211,581,581
1517601815,582,582
1517605412,578,578
1517609017,572,572
1517618240,573,573
1517625064,574,574
1517627023,574,574
1517630605,574,574
1517634214,575,575
1517637818,574,574
1517645027,574,574
1517648616,572,572
1517652217,573,573
1517655827,574,574
1517659427,575,575
1517663012,574,574
1517666622,577,577
1517670215,579,579
1517673825,580,580
1517677417,579,579
1517681020,578,578
1517684620,579,579
1517688219,578,578
1517691816,574,574
1517695418,575,575
1517699021,575,575
1517702618,574,574
1517709815,574,574
1517720624,574,574
1517727818,577,577
1517731428,574,574
1517735025,573,573
1517745206,574,574
1517749269,574,574
1517753021,573,573
1517760241,569,569
1517763819,574,574
1517767419,578,578
1517771016,576,576
1517774610,579,579
1517778210,577,577
1517781816,576,576
1517785427,570,570
1517789024,572,572
1517792618,576,576
1517796217,577,577
1517799819,576,576
1517803427,575,575
1517807022,573,573
1517810621,571,571
1517822182,573,573
1517833936,573,573
1517835810,571,571
1517839414,571,571
1517846912,569,569
1517850466,568,568
1517853888,570,570
1517857419,571,571
1517861014,570,570
1517864616,567,567
1517868256,563,563
1517871822,557,557
1517875412,547,547
1517879018,540,540
1517882617,533,533
1517886226,535,535
1517889812,532,532
1517900615,531,531
1517904208,530,530
1517907810,526,526
1517911408,526,526
1517915013,526,526
1517918617,526,526
1517922226,524,524
1517925814,526,526
1517929411,528,528
1517933012,527,527
1517936616,521,521
1517940217,495,495
1517943816,488,488
1517947412,482,482
1517951008,480,480
1517954610,482,482
1517958217,473,473
1517961807,464,464
1517965409,467,467
1517969012,469,469
1517972607,468,468
1517976215,467,467
1517979809,468,468
1517983420,465,465
1517987025,461,461
1517990617,459,459
1517997822,453,453
1518001425,452,452
1518005010,450,450
1518008614,452,452
1518012206,452,452
1518015811,453,453
1518019409,454,454
1518023012,455,455
1518026606,453,453
1518030210,428,428
1518033825,425,425
1518037405,424,424
1518041012,424,424
1518044611,426,426
1518048219,422,422
1518051812,423,423
1518055401,424,424
1518059037,424,424
1518062617,423,423
1518066212,424,424
1518069804,422,422
1518073415,422,422
1518077029,421,421
1518080609,418,418
1518084220,418,418
1518087813,418,418
1518091406,418,418
1518095012,416,416
