DateTime,AddedIPs,RemovedIPs
1517453522,82,90
1517459284,94,119
1517461207,0,5884
1517463126,5856,0
1517466963,158,91
1517470805,111,91
1517474644,104,79
1517480402,165,149
1517487125,176,152
1517493123,79,85
1517498884,149,171
1517502964,108,80
1517506803,106,86
1517510646,106,99
1517514483,139,109
1517518326,89,119
1517522165,91,113
1517526009,105,109
1517527923,109,105
1517529843,167,219
1517531762,138,111
1517535605,143,109
1517539443,74,119
1517541364,119,74
1517543523,159,218
1517547608,113,134
1517549523,87,122
1517553363,121,87
1517559123,110,80
1517561043,84,82
1517562962,82,84
1517565844,192,175
1517571603,102,87
1517575443,96,95
1517579283,112,94
1517583123,84,107
1517586964,99,91
1517589123,119,93
1517593203,97,102
1517595124,113,95
1517598963,164,177
1517600882,199,184
1517604722,114,116
1517606643,171,183
1517608562,93,113
1517614323,101,1986
1517616483,1824,0
1517618404,137,106
1517622483,125,90
1517624403,68,96
1517630409,76,135
1517634242,187,210
1517638084,118,77
1517641923,90,80
1517647682,90,74
1517651524,118,74
1517655607,100,70
1517657524,89,83
1517661604,101,88
1517663523,498,560
1517665443,574,501
1517667364,119,103
1517671443,103,119
1517673362,185,164
1517677208,114,104
1517679124,109,102
1517682963,113,100
1517687283,89,108
1517689203,108,89
1517691123,147,203
1517695211,102,86
1517697124,87,124
1517699282,306,249
1517701444,249,306
1517703602,81,104
1517705524,135,115
1517709364,94,89
1517711523,70,101
1517715362,101,70
1517717284,143,194
1517719204,113,158
1517721124,104,98
1517727122,107,86
1517731209,73,84
1517733362,75,76
1517737203,115,74
1517741283,110,71
1517743202,108,103
1517748963,91,93
1517750884,115,90
1517754722,107,90
1517758562,107,85
1517762402,93,107
1517764563,107,93
1517766483,93,107
1517768403,124,101
1517772484,104,95
1517774408,99,98
1517778242,94,110
1517780162,105,124
1517784004,98,120
1517788084,91,120
1517793843,128,140
1517796009,111,117
1517797923,79,85
1517801763,81,143
1517807523,111,127
1517809444,94,101
1517811363,131,77
1517817609,91,94
1517821443,93,83
1517823363,101,87
1517827444,79,87
1517829606,85,84
1517833452,93,105
1517839208,114,92
1517841124,82,78
1517844965,91,94
1517848803,94,91
1517850723,189,146
1517854802,94,108
1517856964,119,103
1517858883,124,105
1517862962,92,115
1517868725,112,100
1517870642,92,137
1517874482,105,109
1517876406,237,200
1517878323,200,237
1517880244,134,117
1517882168,107,113
1517886007,61,88
1517887924,94,99
1517891765,122,141
1517895603,91,108
1517899447,123,105
1517901363,88,74
1517903283,144,176
1517905202,176,144
1517907124,79,59
1517909043,89,74
1517914810,85,67
1517918643,104,82
1517922484,77,95
1517924402,101,67
1517926325,101,90
1517932083,97,92
1517935922,93,75
1517940008,109,116
1517941925,100,105
1517945765,105,86
1517947682,101,121
1517953445,109,123
1517959202,92,109
1517963042,72,122
1517964964,126,92
1517968809,86,99
1517970722,65,114
1517974804,109,114
1517976724,108,135
1517982482,110,115
1517986322,110,76
1517990163,102,86
1517992324,94,68
1517996163,81,78
1518000002,80,84
1518001923,84,80
1518003842,152,139
1518007683,90,98
1518011522,106,81
1518015363,100,92
1518019210,80,110
1518021122,93,101
1518024962,102,95
1518028804,120,101
1518030964,105,95
1518036722,91,101
1518038643,95,111
1518044644,99,112
1518046563,96,115
1518050404,135,127
1518054243,98,114
1518056164,72,109
1518061922,104,110
1518063842,110,104
1518065762,189,222
1518067924,96,105
1518071763,142,74
1518075604,107,76
1518077523,77,94
1518083522,82,91
1518085442,91,82
1518088323,137,126
1518090242,108,70
1518094082,93,89
1518098163,83,92
1518102007,76,101
1518103923,109,88
1518107763,109,75
1518111845,100,93
1518115686,112,107
1518119764,113,110
1518123609,93,94
1518127684,94,93
1518129845,174,229
1518133683,78,126
1518137762,135,97
1518141610,104,99
1518143763,75,97
1518145683,97,75
1518147604,134,193
1518151443,107,125
1518153364,89,108
1518161283,126,75
1518163212,99,75
1518165124,78,119
1518169204,110,78
1518173043,87,84
1518177124,97,79
1518179293,141,162
1518181209,185,161
1518183123,98,80
1518186966,89,99
1518191045,92,99
1518195125,112,111
1518198964,100,103
1518202808,118,108
1518204722,115,120
1518208803,86,114
1518212648,81,112
1518216723,108,97
1518221043,68,121
1518222963,124,99
1518230885,89,94
1518234964,147,175
1518238809,106,143
1518240963,99,120
1518244803,117,68
1518248644,76,65
1518252483,88,73
1518254404,97,68
1518260407,102,71
1518264242,88,72
1518266406,113,96
1518268563,92,102
1518272643,159,166
1518274564,166,159
1518276483,102,111
1518278408,180,161
1518280324,186,207
1518284162,109,76
1518288243,82,101
1518292083,101,82
1518294003,166,177
1518297842,82,98
1518300243,79,101
1518302164,79,123
1518306484,83,123
1518308404,214,130
1518312243,198,244
1518314163,96,92
1518316324,82,96
1518318243,83,109
1518324244,115,135
1518328323,96,106
1518330242,106,96
1518332409,190,169
1518334324,87,62
1518338403,62,87
1518340323,186,143
1518342244,79,93
1518344163,93,79
1518346083,111,76
1518349923,81,78
1518354483,114,101
1518356403,113,112
1518360243,114,96
1518364322,89,91
1518368163,114,104
1518370083,100,117
1518374164,105,104
1518378003,94,104
1518382084,111,92
1518384003,92,111
1518385924,164,161
1518390008,69,141
1518394083,182,209
1518400083,119,136
1518402003,195,184
1518405846,141,187
1518411608,113,130
1518413763,104,106
1518417842,114,92
1518421923,94,67
1518423843,99,80
1518427923,84,81
1518431762,75,83
1518435843,98,79
1518440411,100,109
1518442322,88,103
1518446403,81,97
1518452402,98,74
1518454323,122,95
1518458163,95,122
1518460084,187,168
1518464162,190,163
1518468003,101,88
1518472084,107,114
1518475923,87,142
1518480011,79,127
1518486003,202,196
1518489842,72,95
1518493683,92,118
1518497522,130,141
1518501362,100,101
1518503523,128,83
1518505442,83,128
1518507363,192,134
1518511203,89,83
1518513123,83,89
1518515043,89,83
1518516962,93,71
1518518883,87,77
1518522964,86,90
1518527283,86,100
1518529204,100,85
1518533043,99,91
1518536884,100,101
1518538804,99,83
1518546483,177,174
1518552242,198,162
1518558244,108,132
1518560165,259,274
1518562323,284,340
1518567123,80,103
1518569764,134,113
1518571924,112,117
1518573846,117,112
1518575763,112,117
1518580083,158,197
1518583922,112,131
1518588010,97,97
1518592083,116,68
1518594243,82,81
1518598322,89,81
1518604082,95,75
1518606008,79,75
1518607923,87,83
1518612003,93,86
