DateTime,AddedIPs,RemovedIPs
1518690615,4,3
1518691516,6,0
1518692115,6,0
1518692715,7,0
1518693016,5,0
1518693316,7,0
1518693917,5,0
1518694222,5,0
1518694516,1,0
1518696017,3,0
1518697516,1,0
1518698116,41,0
1518698416,29,0
1518699016,36,0
1518699618,35,0
1518699918,2,0
1518700817,3,0
1518701417,11,12
1518702017,2,0
1518703217,1,0
1518703515,2,0
1518704416,0,3
1518704716,1,0
1518705315,3,0
1518706816,6,3
1518707116,29,0
1518707715,210,3
1518708315,98,3
1518708617,1,0
1518709216,2,0
1518710116,4,0
1518710420,1,0
1518711016,1,0
1518711316,51,0
1518711617,45,0
1518712216,123,0
1518714017,4,0
1518715515,2,0
1518716416,5,0
1518717015,2,0
1518718816,51,0
1518719116,5,0
1518720017,3,0
1518720615,2,0
1518721216,1,0
1518721518,7,0
1518722116,17,0
1518722417,14,0
1518722716,5,0
1518723015,1,0
1518723915,2,0
1518724516,4,0
1518724818,2,0
1518725415,1,0
1518726617,7,0
1518726915,77,0
1518727217,6,0
1518728418,9,0
1518728715,1,0
1518729316,1,0
1518729616,1,0
1518729916,2,0
1518730215,4,0
1518730814,4,0
1518731118,1,0
1518732024,3,0
1518732315,7,1
1518732916,25,11
1518733216,2,0
1518733816,9,0
1518734717,2,0
1518736215,2,0
1518736816,8,0
1518737716,1,0
1518738615,59,0
1518739217,1,0
1518739815,3,0
1518740715,3,0
1518741315,7,0
1518742216,3,0
1518742817,16,0
1518743116,4,0
1518743716,12,3
1518744018,9,0
1518744615,13,0
1518745218,66,0
1518745516,1,0
1518746116,1,0
1518746417,11,0
1518747015,1,0
1518748516,6,0
1518749415,1,0
1518750316,4,0
1518750915,1,0
1518752115,6,0
1518752416,3,0
1518753016,1,0
1518753617,4,0
1518754515,6,0
1518755415,3,0
1518756616,7,0
1518757216,1,0
1518757514,1,0
1518758115,1,0
1518759314,3,0
1518759616,1,0
1518760818,2,0
1518761417,8,0
1518762016,4,0
1518764115,1,0
1518764416,1,0
1518765317,1,0
1518766816,53,0
1518767716,1,0
1518769516,1,0
1518770716,61,0
1518771017,2,0
1518771617,2,0
1518772515,17,0
1518773115,3,0
1518773415,4,0
1518774017,3,0
1518774315,16,6
1518774916,2,0
1518775815,7,0
1518776717,1,0
1518777015,0,3
1518778515,19,6
1518781216,3,0
1518782716,1,0
1518783317,1,0
1518783915,51,0
1518784516,66,0
1518784817,1,0
1518786315,10,3
1518786916,2,0
1518787216,1,0
1518788116,4,0
1518789315,9,0
1518789618,19,0
1518790215,1,0
1518790515,55,0
1518791116,221,0
1518791417,120,0
1518792016,55,0
1518792915,2,0
1518793218,2,0
1518794114,16,79
1518794416,1,0
1518796215,9,0
1518796817,174,0
1518797116,15,0
1518798016,1,0
1518798616,16,0
1518799516,3,0
1518799816,1,0
1518801015,1,0
1518801615,22,0
1518801917,3,0
1518802514,9,0
1518803115,71,0
1518803417,17,0
1518803716,1,0
1518804316,2,0
1518804621,8,0
1518805216,2,0
1518806717,1,0
1518807315,8,0
1518808518,1,0
1518810018,1,0
1518810915,11,0
1518811516,62,0
1518812115,46,0
1518812422,3,0
1518813015,4,0
1518813617,3,0
1518813916,1,0
1518814515,3,0
1518815116,13,0
1518815715,4,0
1518816317,1,0
1518817216,10,3
1518818116,1,0
1518819015,2,0
1518819616,18,0
1518819915,3,0
1518821715,8,3
1518822318,2,0
1518822614,1,0
1518823515,23,0
1518824115,1,0
1518824716,4,0
1518825618,1,0
1518826215,1,0
1518826816,10,0
1518827117,1,0
1518827715,3,0
1518828616,18,0
1518829217,50,0
1518830116,2,0
1518830717,5,0
1518831616,1,0
1518832515,8,0
1518833715,16,0
1518834317,40,0
1518834617,2,0
1518835217,2,0
1518835516,1,0
1518836115,2,0
1518837616,1,0
1518838216,4,0
1518838816,1,0
1518840016,2,0
1518840615,4,0
1518842115,1,0
1518842715,0,3
1518844517,19,0
1518846017,3,0
1518846615,8,0
1518848416,2,0
1518849016,14,0
1518849319,1,0
1518850215,2,0
1518850817,1,3
1518851117,1,0
1518851715,1,0
1518852615,5,0
1518853216,1,0
1518854115,1,0
1518855016,5,0
1518855616,6,0
1518855917,4,0
1518856515,39,0
1518857415,4,0
1518858316,1,0
1518859816,2,0
1518860415,5,0
1518860716,11,0
