DateTime,Entries,UniqueIPs
1518690615,806276,844789
1518691516,806282,844795
1518692115,806288,844801
1518692715,806294,844808
1518693016,806299,844813
1518693316,806306,844820
1518693917,806310,844825
1518694222,806309,844830
1518694516,806310,844831
1518696017,806313,844834
1518697516,806314,844835
1518698116,806354,844876
1518698416,806381,844905
1518699016,806416,844941
1518699618,806450,844976
1518699918,806452,844978
1518700817,806454,844981
1518701417,806454,844980
1518702017,806456,844982
1518703217,806457,844983
1518703515,806459,844985
1518704416,806457,844982
1518704716,806458,844983
1518705315,806460,844986
1518706816,806463,844989
1518707116,806491,845018
1518707715,806690,845225
1518708315,806784,845320
1518708617,806785,845321
1518709216,806787,845323
1518710116,806791,845327
1518710420,806792,845328
1518711016,806793,845329
1518711316,806842,845380
1518711617,806887,845425
1518712216,807008,845548
1518714017,807011,845552
1518715515,807013,845554
1518716416,807016,845559
1518717015,807018,845561
1518718816,807067,845612
1518719116,807072,845617
1518720017,807075,845620
1518720615,807076,845622
1518721216,807077,845623
1518721518,807083,845630
1518722116,807096,845647
1518722417,807108,845661
1518722716,807112,845666
1518723015,807113,845667
1518723915,807115,845669
1518724516,807119,845673
1518724818,807121,845675
1518725415,807121,845676
1518726617,807128,845683
1518726915,807205,845760
1518727217,807211,845766
1518728418,807220,845775
1518728715,807221,845776
1518729316,807222,845777
1518729616,807223,845778
1518729916,807224,845780
1518730215,807227,845784
1518730814,807231,845788
1518731118,807232,845789
1518732024,807235,845792
1518732315,807241,845798
1518732916,807254,845812
1518733216,807256,845814
1518733816,807265,845823
1518734717,807267,845825
1518736215,807269,845827
1518736816,807277,845835
1518737716,807278,845836
1518738615,807336,845895
1518739217,807337,845896
1518739815,807340,845899
1518740715,807342,845902
1518741315,807349,845909
1518742216,807352,845912
1518742817,807368,845928
1518743116,807372,845932
1518743716,807381,845941
1518744018,807388,845950
1518744615,807401,845963
1518745218,807458,846029
1518745516,807459,846030
1518746116,807460,846031
1518746417,807470,846042
1518747015,807471,846043
1518748516,807477,846049
1518749415,807478,846050
1518750316,807482,846054
1518750915,807483,846055
1518752115,807489,846061
1518752718,807492,846064
1518753016,807493,846065
1518753617,807496,846069
1518754515,807502,846075
1518755415,807505,846078
1518756616,807511,846085
1518757216,807512,846086
1518757514,807513,846087
1518758115,807514,846088
1518759314,807517,846091
1518759616,807518,846092
1518760818,807519,846094
1518761417,807519,846102
1518762016,807522,846106
1518764115,807523,846107
1518764416,807524,846108
1518765317,807524,846109
1518766816,807575,846162
1518767716,807575,846163
1518769516,807576,846164
1518770716,807635,846225
1518771017,807637,846227
1518771617,807638,846229
1518772515,807653,846246
1518773115,807655,846249
1518773415,807659,846253
1518774017,807662,846256
1518774315,807673,846266
1518774916,807674,846268
1518775815,807681,846275
1518776717,807682,846276
1518777015,807680,846273
1518778515,807694,846286
1518781216,807697,846289
1518782716,807698,846290
1518783617,807699,846291
1518783915,807750,846342
1518784516,807815,846408
1518784817,807816,846409
1518786315,807824,846416
1518786916,807826,846418
1518787216,807827,846419
1518788116,807831,846423
1518789315,807840,846432
1518789618,807858,846451
1518790215,807859,846452
1518790515,807914,846507
1518791116,808133,846728
1518791417,808251,846848
1518792016,808303,846903
1518792915,808305,846905
1518793218,808307,846907
1518794114,808244,846844
1518794416,808245,846845
1518796215,808252,846854
1518796817,808420,847028
1518797116,808435,847043
1518798318,808436,847044
1518798616,808450,847060
1518799516,808453,847063
1518799816,808453,847064
1518801015,808454,847065
1518801615,808475,847087
1518801917,808477,847090
1518802514,808485,847099
1518803115,808553,847170
1518803417,808570,847187
1518803716,808571,847188
1518804316,808573,847190
1518804621,808581,847198
1518805216,808583,847200
1518806717,808584,847201
1518807315,808592,847209
1518808518,808593,847210
1518810018,808593,847211
1518810915,808603,847222
1518811516,808663,847284
1518812115,808708,847330
1518812422,808711,847333
1518813015,808715,847337
1518813617,808717,847340
1518813916,808718,847341
1518814515,808721,847344
1518815116,808733,847357
1518815715,808736,847361
1518816317,808737,847362
1518817216,808745,847369
1518818116,808746,847370
1518819015,808748,847372
1518819616,808766,847390
1518819915,808769,847393
1518821715,808775,847398
1518822318,808776,847400
1518822614,808777,847401
1518823515,808797,847424
1518824115,808797,847425
1518824716,808801,847429
1518825618,808802,847430
1518826215,808803,847431
1518826816,808813,847441
1518827117,808814,847442
1518827715,808816,847445
1518828616,808834,847463
1518829217,808882,847513
1518830116,808884,847515
1518830717,808889,847520
1518831616,808890,847521
1518832515,808891,847529
1518833715,808907,847545
1518834317,808946,847585
1518834617,808948,847587
1518835217,808950,847589
1518835516,808951,847590
1518836115,808953,847592
1518837616,808954,847593
1518838216,808958,847597
1518838816,808958,847598
1518840016,808960,847600
1518840615,808963,847604
1518842115,808964,847605
1518842715,808962,847602
1518844517,808980,847621
1518846017,808983,847624
1518846615,808991,847632
1518848416,808993,847634
1518849016,809007,847648
1518849319,809008,847649
1518850215,809009,847651
1518850817,809008,847649
1518851117,809009,847650
1518851715,809010,847651
1518852615,809009,847656
1518853216,809009,847657
1518854115,809010,847658
1518855016,809015,847663
1518855616,809021,847669
1518855917,809025,847673
1518856515,809061,847712
1518857415,809065,847716
1518858316,809066,847717
1518859816,809068,847719
1518860415,809073,847724
1518860716,809078,847735
1518861915,809076,847732
1518862516,809083,847739
1518862816,809084,847740
1518863715,809086,847742
1518864315,809093,847749
1518864916,809114,847772
1518865218,809113,847771
1518865815,809114,847772
1518866715,809118,847776
1518867315,809121,847779
1518868216,809131,847789
1518869716,809132,847790
1518870915,809142,847802
1518871216,809163,847824
1518871817,809191,847854
1518872415,809228,847894
1518873016,809255,847924
1518874516,809269,847938
1518874818,809270,847939
1518876316,809273,847942
1518877815,809303,847972
1518878416,809458,848135
1518878715,809490,848166
1518882017,809493,848169
1518882915,809496,848172
1518885315,809511,848187
1518885915,809651,848331
1518887116,809662,848342
1518888617,809680,848361
1518888919,809694,848376
1518889217,809711,848393
1518889820,809715,848396
1518890416,809717,848397
1518890716,809718,848396
1518891316,809719,848398
1518891616,809721,848400
1518892215,809759,848438
1518892816,809763,848444
1518893115,809771,848453
